,Concept_ID,te,mdf
0,Auge::N,కన్ను,сельме
1,Ohr::N,చెవి,пиле
2,Nase::N,ముక్కు,шалхка
3,Mund::N,నోరు,курга
4,Zahn::N,పల్లు,пей
5,Zunge::N,నాలుక,кяль
6,Lippe::N,పెదవి,търва́
7,Wange::N,చెంప,щёка
8,Gesicht::N,ముఖము,шама
9,Stirn::N,నుదురు,коня
10,Haar::N,వెండ్రుక,шя́ярь
11,Schnurrbart::N,మీసము,уса́
12,Bart::N,గడ్డము,сакал
13,Kinn::N,గడ్డము,ула
14,Kiefer[Anatomie]::N,దౌడ,саласка
15,Kehle::N,గొంతు,кълдома
16,Kehle::N,గొంతు,кърга́парь
17,Hals::N,మెడ,сялдаз
18,Genick::N,మూపు,шовонь
19,Kopf::N,తల,пря
20,Rücken::N,వెన్ను,копорь
21,Bauch::N,కడుపు,пеке
22,Nabel::N,బొడ్డు,по́кон
23,Busen::N,స్తనము,потя
24,Brust::N,ఱొమ్ము,мяште
25,Schulter::N,భుజము,лафту
26,Arm::N,చేయి,кядь
27,Ellenbogen::N,మోచేయి,кенерьба́карь
28,Hand::N,చేయి,кядь
29,Handfläche::N,అరచేయు,кядьлапш
30,Finger::N,చేతిప్రేలు,сур
31,Fingernagel::N,గోరు,кенже
32,Nagel[Anatomie]::N,గోరు,кенже
33,Zeh::N,కాలిప్రేలు,пильгосу́р
34,Fuß::N,అడుగు,пильге
35,Fuß::N,అడుగు,пильгелапа
36,Ferse::N,మడమ,кочкяря
37,Knie::N,మోకాలు,эль
38,Knie::N,మోకాలు,пълма́нжа
39,Oberschenkel::N,తొడ,пильгепукша
40,Bein::N,కాలు,пильге
41,Körper::N,కాయము,ро́нга
42,Körper::N,కాయము,по́нда
43,Haut::N,చర్మము,киське
44,Blut::N,రక్తము,вер
45,Ader::N,సిర,сан
46,Ader::N,సిర,верза́н
47,Sehne::N,స్నాయువు,коське сан
48,Knochen::N,ఎముక,пакарь
49,Gehirn::N,మెదడు,уй
50,Herz::N,హృదయము,седи
51,Magen::N,కడుపు,коткърдазь
52,Leber::N,కాలేయము,макса
53,Atem::N,ఉపిరి,лекома
54,Atem::N,ఉపిరి,ваймонь тарксема
