,Concept_ID,vep,cv
0,Auge::N,sil'm,куҫ
1,Ohr::N,korv,хӑлха
2,Nase::N,nena,сӑмса
3,Mund::N,su,ҫӑвар
4,Zahn::N,pi,шӑл
5,Zahn::N,hambaz,шӑл
6,Zunge::N,kel',чӗлхе
7,Lippe::N,hul',тута
8,Wange::N,modpolišk,пит ҫӑмарти
9,Gesicht::N,mod,пит
10,Gesicht::N,mod,пит-куҫ
11,Stirn::N,oc,ҫамка
12,Haar::N,tuk,ҫӳҫ
13,Haar::N,hibuz,ҫӳҫ
14,Schnurrbart::N,habinod,усси
15,Bart::N,bard,сухал
16,Kinn::N,löug,янах
17,Kiefer[Anatomie]::N,hambazlu,янах
18,Kehle::N,kurk,пыр
19,Kehle::N,kurk,карланкӑ
20,Hals::N,kagl,пыр
21,Genick::N,tagarai,ӗнсе
22,Kopf::N,pä,пуҫ
23,Rücken::N,sel'g,ҫурӑм
24,Bauch::N,vac,
25,Bauch::N,koht,
26,Nabel::N,naba,кӑвапа
27,Busen::N,niža,кӑкӑр
28,Brust::N,rind,умӗ
29,Schulter::N,oug,хул пуҫҫи
30,Arm::N,käzi,алӑ
31,Ellenbogen::N,künambruz,чавса
32,Hand::N,käzi,алӑ сыппи
33,Hand::N,käzitera,алӑ сыппи
34,Handfläche::N,kämen,ал лаппи
35,Finger::N,sor'm,пӳрне
36,Fingernagel::N,künz',чӗрне
37,Nagel[Anatomie]::N,künz',чӗрне
38,Zeh::N,barbaz,пӳрне
39,Fuß::N,jaug,ура лаппи
40,Ferse::N,kand,кӗле
41,Knie::N,komb,чӗркуҫҫи
42,Knie::N,pol'v,чӗркуҫҫи
43,Oberschenkel::N,riiže,пӗҫӗ
44,Bein::N,jaug,ура
45,Körper::N,hibj,ӳт
46,Körper::N,hibj,ӳт-пӳ
47,Haut::N,nahk,тир
48,Blut::N,čak,юн
49,Blut::N,veri,юн
50,Ader::N,son',вена
51,Sehne::N,jände,шӑнӑр
52,Knochen::N,lu,шӑмӑ
53,Gehirn::N,aivod,миме
54,Herz::N,südäin,чӗре
55,Magen::N,südäikoht,хырӑмлӑх
56,Leber::N,maks,пӗвер
57,Atem::N,hengaiduz,сывлав
58,Hunger::N,näl'g,выҫлӑх
59,Träne::N,kündal',куҫҫуль
60,Geschmack::N,magu,техӗм
61,Geruch::N,haju,шӑршӑ
62,Schlaf::N,uni,ыйхӑ
63,Traum::N,unikuva,тӗлӗк
64,Himmel::N,taivaz,пӗлӗт
65,Sonne::N,päiväine,хӗвел
66,Mond::N,kudmaine,уйӑх
67,Stern::N,tähtaz,ҫӑлтӑр
68,Luft::N,il'm,сывлӑш
69,Wind::N,döl,ҫил
70,Wind::N,tullei,ҫил
71,Welle::N,ald,хум
72,Welle::N,laineh,хум
73,Wasser::N,vezi,шыв
74,Wasser::N,vezi,шыв-шур
75,Stein::N,kivi,чул
76,Boden::N,ma,тӑпра
77,Boden::N,pohj,тӑпра
78,Erde::N,ma,ҫӗр
79,Staub::N,pölü,тусан
80,Rauch::N,savu,тӗтӗм
81,Funke::N,kibin,хӗм
82,Feuer::N,lämoi,вут
83,Feuer::N,lämoi,ҫулӑм
84,Licht::N,vauktuz,ҫутӑ
85,Schatten::N,pil'vez,сулхӑн
86,Schatten::N,kuvahaine,сулхӑн
87,Wetter::N,sä,ҫанталӑк
88,Nebel::N,sumeg,тӗтре
89,Wolke::N,pil'v,пӗлӗт
90,Regen::N,vihm,ҫумӑр
91,Schnee::N,lumi,юр
