,Concept_ID,myv,lez
0,Auge::N,сельме,вил
1,Ohr::N,пиле,яб
2,Nase::N,судо,нер
3,Mund::N,курго,сив
4,Zahn::N,пей,сас
5,Zahn::N,пей,свах
6,Zunge::N,кель,мез
7,Lippe::N,турва,пӏуз
8,Wange::N,чамабока,хъвехъ
9,Wange::N,чамаумарь,хъвехъ
10,Gesicht::N,чама,ччин
11,Stirn::N,коня,пел
12,Haar::N,черь,чӏар
13,Schnurrbart::N,ус,спел
14,Schnurrbart::N,ус,спелар
15,Schnurrbart::N,муюк,спел
16,Schnurrbart::N,муюк,спелар
17,Bart::N,сакал,ччуру
18,Kinn::N,уло,чене
19,Kiefer[Anatomie]::N,пейпакар,чене
20,Kiefer[Anatomie]::N,пейловажа,чене
21,Kehle::N,кирьгапарь,туьд
22,Hals::N,кирьга,гардан
23,Genick::N,човонь,кьам
24,Kopf::N,пря,кьил
25,Rücken::N,копорь,далу
26,Bauch::N,пеке,руфун
27,Nabel::N,почо,пицӏ
28,Busen::N,поте,мам
29,Brust::N,меште,хур
30,Schulter::N,лавтов,къуьн
31,Arm::N,кедь,гъил
32,Ellenbogen::N,кенерепакарь,кьуьнт
33,Hand::N,кедь,капаш
34,Handfläche::N,кедькуншка,капан юкь
35,Handfläche::N,кедьлапушка,капан юкь
36,Finger::N,сур,тӏуб
37,Fingernagel::N,кенже,кек
38,Nagel[Anatomie]::N,кенже,кек
39,Zeh::N,пильге сур,кул
40,Fuß::N,пильге,кӏвач
41,Ferse::N,кочкаря,дабан
42,Knie::N,эле,мет
43,Knie::N,эзне,мет
44,Knie::N,кумажа,мет
45,Oberschenkel::N,качо,
46,Bein::N,пильге,кӏвач
47,Körper::N,рунго,беден
48,Haut::N,киське,хам
49,Blut::N,верь,иви
50,Ader::N,сан,дамар
51,Sehne::N,коське сан,кьуру дамар
52,Knochen::N,пакарь,кӏараб
53,Gehirn::N,удем,мефт
54,Herz::N,седей,рикӏ
55,Magen::N,пеке,хук
56,Leber::N,максо,лекь
57,Atem::N,лексема,ял
58,Atem::N,лексема,нефес
59,Atem::N,оймень таргсема,ял
60,Atem::N,оймень таргсема,нефес
61,Hunger::N,вачочи,каш
62,Träne::N,селведь,вилин нагъв
63,Geschmack::N,тансть,дад
64,Geschmack::N,тансть,тӏям
65,Geruch::N,чине,ни
