,Concept_ID,ka,os
0,Auge::N,თვალი,цӕст
1,Ohr::N,ყური,хъус
2,Nase::N,ცხვირი,фындз
3,Mund::N,პირი,дзых
4,Zahn::N,კბილი,дӕндаг
5,Zunge::N,ენა,ӕвзаг
6,Lippe::N,ბაგე,был
7,Wange::N,ლოყა,рус
8,Wange::N,ლოყა,уадул
9,Wange::N,ლოყა,ӕхсӕрфарс
10,Gesicht::N,სახე,цӕсгом
11,Stirn::N,შუბლი,ных
12,Haar::N,თმა,хил
13,Schnurrbart::N,ულვაში,рихи
14,Bart::N,წვერი,зачъе
15,Kinn::N,ნიკაპი,роцъо
16,Kiefer[Anatomie]::N,ყბა,ӕфсӕр
17,Kehle::N,ყელი,хъуыр
18,Hals::N,ყელი,къубал
19,Hals::N,კისერი,къубал
20,Genick::N,კეფა,къӕбут
21,Kopf::N,თავი,сӕр
22,Rücken::N,ზურგი,фӕсонтӕ
23,Bauch::N,მუცელი,гуыбын
24,Nabel::N,ჭიპი,бикъ
25,Busen::N,ძუძუ,дзидзи
26,Brust::N,მკერდი,риу
27,Schulter::N,მხარი,уӕхск
28,Schulter::N,მკლავი,уӕхск
29,Arm::N,ხელი,цонг
30,Ellenbogen::N,იდაყვი,рæмбын
31,Hand::N,ხელი,къух
32,Handfläche::N,ნები,армытъӕпӕн
33,Handfläche::N,ხელისგული,армытъӕпӕн
34,Finger::N,თითი,ӕнруылдз
35,Fingernagel::N,ფრჩხილი,ных
36,Nagel[Anatomie]::N,ფრჩხილი,ных
37,Zeh::N,ფეხის თითი,къух
38,Fuß::N,ტერფი,фад
39,Fuß::N,ფეხისგული,фад
40,Ferse::N,ქუსლი,зӕвӕт
41,Knie::N,მუხლი,уӕраг
42,Oberschenkel::N,ბარძაყი,агъд
43,Bein::N,ფეხი,зӕнг
44,Körper::N,ტანი,буар
45,Körper::N,სხეული,буар
46,Haut::N,კანი,царм
47,Blut::N,სისხლი,туг
48,Ader::N,ძარღვი,дадзин
49,Ader::N,ძარღვი,тугдадзин
50,Sehne::N,მყესი,хъиутæ
51,Sehne::N,მყესი,нуар
52,Knochen::N,ძვალი,стӕг
53,Gehirn::N,ტვინი,магъз
54,Herz::N,გული,зӕрдӕ
55,Magen::N,კუჭი,ахсӕн
56,Leber::N,ღვიძლი,игæр
57,Atem::N,სუნთქვა,улӕфт
58,Hunger::N,შიმშილი,стонг
59,Träne::N,ცრემლი,цæссыг
60,Geschmack::N,გემო,ад
