,Concept_ID,lt,sah
0,Auge::N,akis,харах
1,Ohr::N,ausis,кулгаах
2,Nase::N,nosis,мурун
3,Mund::N,burna,айах
4,Zahn::N,dantis,тиис
5,Zunge::N,liežuvis,тыл
6,Lippe::N,lūpa,уос
7,Wange::N,žandas,иэдэс
8,Wange::N,skruostas,иэдэс
9,Gesicht::N,veidas,сирэй
10,Stirn::N,kakta,сүүс
11,Haar::N,plaukai,баттах
12,Schnurrbart::N,ūsai,уос бытыга
13,Bart::N,barzda,сэҥийэ бытыга
14,Kinn::N,smakras,сэҥийэ
15,Kiefer[Anatomie]::N,žandikaulis,сыҥаах
16,Kehle::N,gerklė,тамах
17,Kehle::N,gerklė,күөмэй
18,Hals::N,kaklas,моой
19,Genick::N,sprandas,кэтэх
20,Kopf::N,galva,бас
21,Rücken::N,nugara,көҕүс
22,Bauch::N,pilvas,ис
23,Nabel::N,bamba,киин
24,Busen::N,krūtinė,эмиий
25,Brust::N,krūtis,түөс
26,Schulter::N,petys,сарын
27,Arm::N,ranka,илии
28,Ellenbogen::N,alkūnė,тоҕонох
29,Hand::N,ranka,илии
30,Hand::N,plaštaka,илии
31,Handfläche::N,delnas,ытыс
32,Handfläche::N,plaštaka,ытыс
33,Finger::N,pirštas,тарбах
34,Fingernagel::N,nagas,тыҥырах
35,Nagel[Anatomie]::N,nagas,тыҥырах
36,Zeh::N,pirštas,тарбах
37,Fuß::N,pėda,уллуҥах
38,Ferse::N,kulnas,тилэх
39,Knie::N,kelis,тобук
40,Knie::N,kelis,дьилбэк
41,Oberschenkel::N,kulšis,уллук
42,Oberschenkel::N,kulšis,өттүк
43,Oberschenkel::N,šlaunis,уллук
44,Oberschenkel::N,šlaunis,өттүк
45,Bein::N,koja,атах
46,Körper::N,kūnas,бэйэ
47,Haut::N,oda,тирии
48,Blut::N,kraujas,хаан
49,Ader::N,kraujagyslė,вена
50,Ader::N,kraujagyslė,күөх_тымыр
51,Sehne::N,sausgyslė,иҥиир
52,Knochen::N,kaulas,уҥуох
53,Knochen::N,kaulas,уҥгуох
54,Gehirn::N,smegenys,мэйии
55,Herz::N,širdis,сүрэх
56,Magen::N,skrandis,куртах
57,Leber::N,kepenys,быар
58,Atem::N,kvapas,тыын
59,Hunger::N,badas,аас
60,Hunger::N,alkis,аас
61,Träne::N,ašara,харах уута
62,Geschmack::N,skonis,амтан
63,Geruch::N,kvapas,сыт
64,Schlaf::N,miegas,утуйуу
65,Traum::N,sapnas,түүл
66,Himmel::N,dangus,халлаан
67,Sonne::N,saulė,күн
68,Mond::N,mėnulis,ый
69,Stern::N,žvaigždė,сулус
70,Luft::N,oras,салгын
71,Wind::N,vėjas,тыал
72,Welle::N,banga,долгун
73,Welle::N,banga,балхаан
74,Welle::N,vilnis,долгун
75,Welle::N,vilnis,балхаан
76,Wasser::N,vanduo,уу
77,Stein::N,akmuo,таас
78,Boden::N,žemė,сир
79,Boden::N,dugnas,сир
80,Erde::N,žemė,буор
81,Staub::N,dulkės,быыл
82,Rauch::N,dūmai,буруо
83,Funke::N,kibirkštis,кыым
84,Feuer::N,ugnis,уот
85,Licht::N,šviesa,уот
86,Schatten::N,paūksmė,күлүк
87,Wetter::N,oras,күн-дьыл
88,Nebel::N,migla,туман
89,Nebel::N,rūkas,туман
90,Wolke::N,debesis,былыт
91,Regen::N,lietus,самыыр
92,Schnee::N,sniegas,хаар
93,Eis::N,ledas,муус
94,Frost::N,šalna,тымныы
95,Kälte::N,šaltis,тымныы
96,Hitze::N,karštis,куйаас
97,Raureif::N,šerkšnas,кырыа
98,Regenbogen::N,vaivorykštė,кустук
99,Donner::N,perkūnas,этиҥ
100,Donner::N,griaustinis,этиҥ
101,Strömung::N,tėkmė,сүүрүк
102,Tropfen::N,lašas,таммах
103,Tropfen::N,lašas,хааппыла
104,Schaum::N,putos,күүгэн
105,Schmutz::N,purvas,кир
106,See::N,ežeras,күөл
107,Sumpf::N,klampynė,бадараан
