,Concept_ID,mn,fr
0,Auge::N,нүд,œil
1,Ohr::N,чих,oreille
2,Nase::N,хамар,nez
3,Mund::N,ам,bouche
4,Zahn::N,шүд,dent
5,Zunge::N,хэл,langue
6,Lippe::N,уруул,lèvre
7,Wange::N,хацар,joue
8,Gesicht::N,царай,face
9,Gesicht::N,царай,visage
10,Gesicht::N,нүүр,face
11,Gesicht::N,нүүр,visage
12,Stirn::N,дух,front
13,Haar::N,үс,cheveu
14,Schnurrbart::N,дээд сахал,moustache
15,Schnurrbart::N,живэр сахал,moustache
16,Bart::N,сахал,barbe
17,Kinn::N,эрүү,menton
18,Kiefer[Anatomie]::N,эрүү,mâchoire
19,Kehle::N,хоолой,gorge
20,Hals::N,хүзүү,cou
21,Genick::N,шил,nuque
22,Genick::N,хүзүү,nuque
23,Kopf::N,толгой,tête
24,Rücken::N,ар,dos
25,Rücken::N,нуруу,dos
26,Bauch::N,хэвлий,ventre
27,Bauch::N,гэдэс,ventre
28,Nabel::N,хүйс,nombril
29,Busen::N,хөх,sein
30,Brust::N,цээж,poitrine
31,Schulter::N,мөр,épaule
32,Schulter::N,бугалга,épaule
33,Arm::N,гар,bras
34,Ellenbogen::N,тохой,coude
35,Hand::N,гар,main
36,Hand::N,алга,main
37,Handfläche::N,алга,paume
38,Finger::N,хуруу,doigt
39,Fingernagel::N,хурууны хумс,ongle
40,Nagel[Anatomie]::N,хумс,ongle
41,Zeh::N,хуруу,orteil
42,Zeh::N,хуруу,doigt de pied
43,Fuß::N,хөл,pied
44,Ferse::N,өсгий,talon
45,Knie::N,өвдөг,genou
46,Oberschenkel::N,гуя,cuisse
47,Bein::N,хөл,jambe
48,Körper::N,бие,corps
49,Haut::N,арьс,peau
50,Blut::N,цус,sang
51,Ader::N,судас,veine
52,Sehne::N,бүлх,tendon
53,Sehne::N,шандас,tendon
54,Knochen::N,яс,os
55,Gehirn::N,тархи,cerveau
56,Herz::N,зүрх,cœur
57,Magen::N,ходоод,estomac
58,Leber::N,элэг,foie
59,Atem::N,амьсгаа,haleine
60,Hunger::N,өлсгөлөн,faim
61,Träne::N,нулимс,larme
62,Geschmack::N,амт,goût
63,Geschmack::N,амт,saveur
64,Geruch::N,үнэр,odeur
65,Schlaf::N,нойр,sommeil
66,Traum::N,зүүд,songe
67,Himmel::N,тэнгэр,ciel
68,Himmel::N,огторгуй,ciel
69,Sonne::N,нар,soleil
70,Mond::N,сар,lune
71,Stern::N,од,étoile
72,Luft::N,агаар,air
73,Wind::N,салхи,vent
74,Welle::N,долгио,vague
75,Welle::N,давалгаа,vague
76,Wasser::N,ус,eau
77,Stein::N,чулуу,pierre
78,Boden::N,хөрс,sol
79,Boden::N,хөрс,terrain
80,Erde::N,газар,terre
81,Erde::N,шороо,terre
82,Staub::N,тоос,poussière
83,Rauch::N,утаа,fumée
84,Funke::N,оч,étincelle
85,Feuer::N,гал,feu
86,Licht::N,гэрэл,lumière
87,Licht::N,гэгээ,lumière
88,Schatten::N,сүүдэр,ombre
89,Wetter::N,тэнгэр,temps
90,Wetter::N,цаг уур,temps
91,Nebel::N,будан,brume
92,Nebel::N,будан,brouillard
93,Wolke::N,үүл,nuage
94,Regen::N,бороо,pluie
95,Schnee::N,цас,neige
96,Eis::N,мөс,glace
97,Frost::N,хүйт,gel
98,Frost::N,хүйт,gelée
99,Kälte::N,хүйт,froid
100,Hitze::N,халуун,chaleur
101,Raureif::N,цан,givre
102,Raureif::N,хяруу,givre
103,Regenbogen::N,солонго,arc-en-ciel
104,Donner::N,тэнгэрийн дуу,tonnerre
105,Strömung::N,урсгал,courant
106,Tropfen::N,дусал,goutte
107,Schaum::N,хөөс,écume
108,Schaum::N,хөөс,mousse
109,Schmutz::N,хир,boue
110,Schmutz::N,хир,saleté
111,Schmutz::N,шавхай,boue
112,Schmutz::N,шавхай,saleté
113,See::N,нуур,lac
114,Sumpf::N,намаг,marais
115,Sumpf::N,намаг,marécage
116,Sumpf::N,балчиг,marais
117,Sumpf::N,балчиг,marécage
118,Moor::N,хүлрийн намаг,tourbière
119,Wiese::N,нуга,pré
120,Wald::N,ой,bois
121,Wald::N,ой,forêt
122,Hügel::N,болдог,coteau
123,Hügel::N,болдог,colline
124,Anhöhe::N,гүвээ,éminence
125,Anhöhe::N,гүвээ,élévation
126,Berg::N,уул,mont
127,Berg::N,уул,montagne
128,Gipfel::N,орой,cime
129,Gipfel::N,орой,sommet
130,Gipfel::N,оргил,cime
131,Gipfel::N,оргил,sommet
132,Höhle::N,агуй,caverne
133,Abhang::N,хүр,pente
134,Abhang::N,хүр,versant
135,Quelle::N,булаг,source
136,Quelle::N,булаг,fontaine
137,Bach::N,горхи,ruisseau
138,Fluss::N,гол,fleuve
139,Fluss::N,гол,rivière
140,Fluss::N,мөрөн,fleuve
141,Fluss::N,мөрөн,rivière
142,Ufer::N,эрэг,bord
143,Ufer::N,эрэг,rivage
144,Küste::N,эрэг,côte
145,Festland::N,хуурай газар,terre ferme
146,Meer::N,далай,mer
147,Meer::N,тэнгис,mer
148,Bucht::N,булан,baie
149,Bucht::N,далайн тохой,baie
