,Concept_ID,,bg
0,Auge::N,,око
1,Ohr::N,,ухо
2,Nase::N,,нос
3,Mund::N,,уста
4,Zahn::N,,зъб
5,Zunge::N,,език
6,Lippe::N,,устна
7,Wange::N,,буза
8,Gesicht::N,,лице
9,Gesicht::N,,образ
10,Stirn::N,,чело
11,Haar::N,,коса
12,Haar::N,,косъм
13,Schnurrbart::N,,мустаци
14,Bart::N,,брада
15,Kinn::N,,брада
16,Kinn::N,,брадичка
17,Kiefer[Anatomie]::N,,челюст
18,Kehle::N,,гърло
19,Hals::N,,врат
20,Genick::N,,тил
21,Kopf::N,,глава
22,Rücken::N,,гръб
23,Bauch::N,,корем
24,Nabel::N,,пъп
25,Busen::N,,бозка
26,Brust::N,,гръд
27,Schulter::N,,рамо
28,Schulter::N,,плещи
29,Arm::N,,ръка
30,Ellenbogen::N,,лакът
31,Hand::N,,ръка
32,Hand::N,,китка
33,Handfläche::N,,длан
34,Finger::N,,пръст
35,Fingernagel::N,,нокът
36,Nagel[Anatomie]::N,,нокът
37,Zeh::N,,пръст на крак
38,Fuß::N,,крак
39,Fuß::N,,нога
40,Ferse::N,,пета
41,Knie::N,,коляно
42,Oberschenkel::N,,бедро
43,Bein::N,,крак
44,Bein::N,,нога
45,Körper::N,,тяло
46,Haut::N,,кожа
47,Blut::N,,кръв
48,Ader::N,,вена
49,Ader::N,,артерия
50,Sehne::N,,жила
51,Sehne::N,,сухожилие
52,Knochen::N,,кост
53,Gehirn::N,,мозък
54,Herz::N,,сърце
55,Magen::N,,стомах
56,Leber::N,,черен дроб
57,Atem::N,,дишане
58,Hunger::N,,глад
59,Träne::N,,сълза
60,Geschmack::N,,вкус
61,Geruch::N,,миризма
62,Schlaf::N,,сън
63,Traum::N,,сън
64,Himmel::N,,небе
65,Sonne::N,,слънце
66,Mond::N,,луна
67,Mond::N,,месец
68,Stern::N,,звезда
69,Luft::N,,въздух
70,Wind::N,,вятър
71,Welle::N,,вълна
72,Wasser::N,,вода
73,Stein::N,,камък
74,Boden::N,,земя
75,Boden::N,,почва
76,Erde::N,,земя
77,Erde::N,,почва
78,Staub::N,,прах
79,Rauch::N,,дим
80,Rauch::N,,пушек
81,Funke::N,,искра
82,Feuer::N,,огън
83,Licht::N,,светлина
84,Schatten::N,,сянка
85,Wetter::N,,време
86,Nebel::N,,мъгла
87,Wolke::N,,облак
88,Regen::N,,дъжд
89,Schnee::N,,сняг
90,Eis::N,,лед
91,Frost::N,,мраз
92,Kälte::N,,студ
93,Hitze::N,,жега
94,Hitze::N,,горещина
95,Raureif::N,,скреж
96,Raureif::N,,слана
97,Regenbogen::N,,дъга
98,Donner::N,,гръм
99,Strömung::N,,течение
100,Tropfen::N,,капка
101,Schaum::N,,пяна
102,Schmutz::N,,кал
103,Schmutz::N,,мръсотия
104,See::N,,езеро
105,Sumpf::N,,блато
106,Moor::N,,мочурище
107,Wiese::N,,ливада
108,Wald::N,,гора
109,Hügel::N,,рид
110,Hügel::N,,хълм
111,Anhöhe::N,,могила
112,Anhöhe::N,,възвишение
113,Berg::N,,планина
114,Gipfel::N,,връх
115,Höhle::N,,пещера
116,Abhang::N,,склон
117,Abhang::N,,стръмнина
118,Quelle::N,,извор
119,Bach::N,,поток
120,Fluss::N,,река
121,Ufer::N,,бряг
122,Küste::N,,бряг
123,Küste::N,,крайбрежие
124,Festland::N,,суша
125,Meer::N,,море
126,Bucht::N,,залив
127,Insel::N,,остров
128,Blume::N,,цвете
129,Gras::N,,трева
130,Wurzel::N,,корен
131,Baum::N,,дърво
132,Stamm::N,,стъбло
133,Rinde::N,,кора
134,Ast::N,,клон
135,Zweig::N,,клон
136,Blatt::N,,лист
137,Birke::N,,бреза
138,Kiefer[Baum]::N,,бор
139,Weide[Baum]::N,,върба
