,Concept_ID,sk,kv
0,Auge::N,oko,син
1,Ohr::N,ucho,пель
2,Nase::N,nos,ныр
3,Mund::N,ústa,ӧм
4,Zahn::N,zub,пинь
5,Zunge::N,jazyk,кыв
6,Lippe::N,pera,тырп
7,Wange::N,líce,рожабан
8,Gesicht::N,tvár,бан
9,Gesicht::N,obličaj,бан
10,Stirn::N,čelo,кымӧс
11,Haar::N,vlas,юрси
12,Schnurrbart::N,fúzy,уссэз
13,Bart::N,brada,тош
14,Kinn::N,brada,тшӧка
15,Kiefer[Anatomie]::N,čeľusť,ан
16,Kehle::N,hrdlo,юан
17,Hals::N,krk,юан
18,Genick::N,väzy,юр бӧр
19,Kopf::N,hlava,юр
20,Rücken::N,chrbát,мышк
21,Bauch::N,brucho,кынӧм
22,Nabel::N,pupok,гӧг
23,Busen::N,prsia,морос
24,Brust::N,hruď,морос
25,Schulter::N,plece,пельпон
26,Arm::N,rameno,ки
27,Ellenbogen::N,lakeť,гырдзза
28,Hand::N,ruka,кикар
29,Handfläche::N,dlaň,ки пыдӧс
30,Finger::N,prst,чунь
31,Fingernagel::N,necht,гыж
32,Nagel[Anatomie]::N,necht,гыж
33,Zeh::N,prst na nohe,чунь
34,Fuß::N,noha,кокпыдӧс
35,Ferse::N,päta,кокдзир
36,Knie::N,koleno,пидзӧс
37,Oberschenkel::N,stehno,лядьбей
38,Bein::N,noha,кок
39,Körper::N,telo,вывтыр
40,Haut::N,koža,кучик
41,Blut::N,krv,вир
42,Ader::N,žila,сӧн
43,Sehne::N,šľacha,жила
44,Knochen::N,kosť,коска
45,Gehirn::N,mozog,вем
46,Herz::N,srdce,сьӧлӧм
47,Magen::N,žalúdok,жӧвдӧк
48,Leber::N,pečeň,мус
49,Atem::N,dych,лолалӧм
50,Hunger::N,hlad,тшыг
51,Träne::N,slza,синва
52,Geschmack::N,chuť,кӧр
53,Geruch::N,pach,дук
54,Schlaf::N,spánok,он
55,Traum::N,sen,вӧт
56,Himmel::N,nebo,небо
57,Sonne::N,slnko,шондi
58,Mond::N,mesiac,тӧлiсь
59,Stern::N,hviezda,кӧдзыв
60,Luft::N,vzduch,ру
61,Wind::N,vietor,тӧв
62,Welle::N,vlna,гы
63,Wasser::N,voda,ва
64,Stein::N,kameň,из
65,Boden::N,zem,му
66,Boden::N,pôda,му
67,Erde::N,zem,му
68,Staub::N,prach,бус
69,Rauch::N,dym,тшын
70,Funke::N,iskra,бичир
71,Feuer::N,oheň,би
72,Licht::N,svetlo,би
73,Schatten::N,tieň,вуджӧр
74,Wetter::N,počasie,погоддя
75,Nebel::N,hmla,туман
76,Wolke::N,oblak,кымӧр
77,Wolke::N,mračno,кымӧр
78,Regen::N,dážď,зэр
79,Schnee::N,sneh,лым
80,Eis::N,ľad,йы
81,Frost::N,mráz,мороз
82,Kälte::N,zima,кӧдзыт
83,Kälte::N,chlad,кӧдзыт
84,Hitze::N,horúčava,ӧд
85,Raureif::N,srieň,кижа
86,Raureif::N,inovať,кижа
87,Regenbogen::N,dúha,енӧшка
88,Donner::N,hrom,гым
89,Strömung::N,prúdenie,визывтӧм
90,Tropfen::N,kvapka,тёп
91,Schaum::N,pena,быг
