,Concept_ID,et,be
0,Auge::N,silm,вока
1,Ohr::N,kõrv,вуха
2,Nase::N,nina,нос
3,Mund::N,suu,рот
4,Zahn::N,hammas,зуб
5,Zunge::N,keel,язык
6,Lippe::N,huul,губа
7,Wange::N,põsk,шчака
8,Gesicht::N,nägu,твар
9,Stirn::N,otsmik,лоб
10,Haar::N,juus,волас
11,Haar::N,juus,валасы
12,Schnurrbart::N,vurrud,вус
13,Schnurrbart::N,vurrud,вусы
14,Schnurrbart::N,vuntsid,вус
15,Schnurrbart::N,vuntsid,вусы
16,Bart::N,habe,барада
17,Kinn::N,lõug,падбародак
18,Kiefer[Anatomie]::N,lõualuu,сківіца
19,Kehle::N,kõri,горла
20,Hals::N,kael,шыя
21,Genick::N,kukal,патыліца
22,Kopf::N,pea,галава
23,Rücken::N,selg,спіна
24,Bauch::N,kõht,жывот
25,Nabel::N,naba,пупок
26,Busen::N,rind,грудзі
27,Brust::N,rind,грудзі
28,Schulter::N,õlg,плячо
29,Arm::N,käsivars,рука
30,Ellenbogen::N,küünarnukk,локаць
31,Hand::N,käsi,кісць
32,Handfläche::N,pihk,далонь
33,Finger::N,sõrm,палец
34,Fingernagel::N,küüs,ногаць
35,Nagel[Anatomie]::N,küüs,ногаць
36,Zeh::N,varvas,палец
37,Fuß::N,jalg,нага
38,Ferse::N,kand,пята
39,Ferse::N,kand,пятка
40,Knie::N,põlv,калена
41,Oberschenkel::N,reis,бядро
42,Oberschenkel::N,reis,сцягно
43,Bein::N,jalg,нага
44,Körper::N,ihu,цела
45,Körper::N,keha,цела
46,Haut::N,nahk,скура
47,Blut::N,veri,кроў
48,Ader::N,veen,вена
49,Ader::N,veen,сасуд
50,Sehne::N,kõõlus,жыла
51,Sehne::N,kõõlus,цеціва
52,Sehne::N,kõõlus,сухажылле
53,Knochen::N,luu,косць
54,Gehirn::N,aju,мозг
55,Herz::N,süda,сэрца
56,Magen::N,magu,страўнік
57,Leber::N,maks,печань
58,Atem::N,hingeõhk,дыханне
59,Atem::N,hingamine,дыханне
60,Hunger::N,nälg,голад
61,Träne::N,pisar,сляза
62,Geschmack::N,maitse,смак
63,Geruch::N,lõhn,пах
64,Schlaf::N,uni,сон
65,Traum::N,unenägu,сон
66,Himmel::N,taevas,неба
67,Sonne::N,päike,сонца
68,Mond::N,kuu,месяц
69,Stern::N,täht,зорка
70,Luft::N,õhk,паветра
71,Wind::N,tuul,вецер
72,Welle::N,laine,хваля
73,Wasser::N,vesi,вада
74,Stein::N,kivi,камень
75,Boden::N,maa,глеба
76,Boden::N,pinnas,глеба
77,Erde::N,maa,зямля
78,Staub::N,põrm,пыл
79,Rauch::N,suits,дым
80,Funke::N,säde,іскра
81,Feuer::N,tuli,агонь
82,Licht::N,valgus,святло
83,Schatten::N,vari,цень
84,Wetter::N,ilm,пагода
85,Wetter::N,ilm,надворʼе
86,Nebel::N,udu,туман
87,Wolke::N,pilv,воблака
88,Regen::N,sadu,дождж
89,Schnee::N,lumi,снег
90,Eis::N,jää,лёд
91,Frost::N,pakane,мароз
92,Kälte::N,külm,холад
93,Kälte::N,külmus,холад
94,Hitze::N,kuumus,спёка
95,Hitze::N,palavus,спёка
96,Raureif::N,härmatis,іней
97,Regenbogen::N,vikerkaar,вясёлка
98,Donner::N,kõu,гром
99,Donner::N,müristamine,гром
100,Strömung::N,voolus,цячэнне
101,Strömung::N,jõevool,цячэнне
102,Tropfen::N,tilk,кропля
103,Schaum::N,vaht,пена
104,Schmutz::N,pori,гразь
105,Schmutz::N,mustus,гразь
106,See::N,järv,возера
107,Sumpf::N,soo,багна
108,Moor::N,raba,балота
109,Wiese::N,aas,луг
110,Wiese::N,nurm,луг
111,Wald::N,mets,лес
112,Hügel::N,küngas,узгорак
113,Anhöhe::N,küngas,узвышша
114,Berg::N,mägi,гара
115,Gipfel::N,mäetipp,вяршыня
116,Höhle::N,koobas,пячора
117,Abhang::N,nõlvak,схіл
118,Quelle::N,allikas,крыніца
119,Bach::N,oja,ручай
120,Fluss::N,jõgi,рака
121,Ufer::N,kallas,бераг
122,Küste::N,rannik,узбярэжжа
123,Festland::N,mander,суша
124,Festland::N,maismaa,суша
125,Meer::N,meri,мора
126,Bucht::N,laht,бухта
127,Insel::N,saar,востраў
128,Blume::N,lill,кветка
129,Gras::N,rohi,трава
130,Wurzel::N,juur,корань
131,Baum::N,puu,дрэва
132,Stamm::N,tüvi,ствол
133,Rinde::N,koor,кара
134,Ast::N,oks,сук
135,Zweig::N,oks,галіна
136,Blatt::N,leht,ліст
137,Birke::N,kask,бяроза
138,Kiefer[Baum]::N,mänd,хвоя
139,Kiefer[Baum]::N,mänd,сасна
140,Weide[Baum]::N,paju,вярба
141,Tanne::N,nulg,яліна
142,Horn::N,sarv,рог
143,Feder::N,sulg,пяро
144,Fell::N,karvkate,шкура
145,Fell::N,karusnahk,шкура
146,Flügel::N,tiib,крыло
147,Flügel::N,tiivik,крыло
148,Klaue::N,küüs,кіпцюр
149,Kralle::N,küünis,лапа
150,Schwanz::N,saba,хвост
151,Ei::N,muna,яйка
152,Nest::N,pesa,гняздо
153,Bau::N,urg,нара
154,Tier::N,loom,жывёла
155,Herde::N,kari,статак
156,Kuh::N,lehm,карова
157,Bulle::N,pull,бык
158,Pferd::N,hobune,конь
159,Schaf::N,lammas,авечка
160,Schwein::N,siga,свіння
161,Hund::N,koer,сабака
162,Katze::N,kass,кошка
163,Bär::N,karu,мядзведзь
164,Eichhörnchen::N,orav,вавёрка
165,Elch::N,põder,лось
166,Fuchs::N,rebane,ліса
