,Concept_ID,ka,sk
0,Auge::N,თვალი,oko
1,Ohr::N,ყური,ucho
2,Nase::N,ცხვირი,nos
3,Mund::N,პირი,ústa
4,Zahn::N,კბილი,zub
5,Zunge::N,ენა,jazyk
6,Lippe::N,ბაგე,pera
7,Wange::N,ლოყა,líce
8,Gesicht::N,სახე,tvár
9,Gesicht::N,სახე,obličaj
10,Stirn::N,შუბლი,čelo
11,Haar::N,თმა,vlas
12,Schnurrbart::N,ულვაში,fúzy
13,Bart::N,წვერი,brada
14,Kinn::N,ნიკაპი,brada
15,Kiefer[Anatomie]::N,ყბა,čeľusť
16,Kehle::N,ყელი,hrdlo
17,Hals::N,ყელი,krk
18,Hals::N,კისერი,krk
19,Genick::N,კეფა,väzy
20,Kopf::N,თავი,hlava
21,Rücken::N,ზურგი,chrbát
22,Bauch::N,მუცელი,brucho
23,Nabel::N,ჭიპი,pupok
24,Busen::N,ძუძუ,prsia
25,Brust::N,მკერდი,hruď
26,Schulter::N,მხარი,plece
27,Schulter::N,მკლავი,plece
28,Arm::N,ხელი,rameno
29,Ellenbogen::N,იდაყვი,lakeť
30,Hand::N,ხელი,ruka
31,Handfläche::N,ნები,dlaň
32,Handfläche::N,ხელისგული,dlaň
33,Finger::N,თითი,prst
34,Fingernagel::N,ფრჩხილი,necht
35,Nagel[Anatomie]::N,ფრჩხილი,necht
36,Zeh::N,ფეხის თითი,prst na nohe
37,Fuß::N,ტერფი,noha
38,Fuß::N,ფეხისგული,noha
39,Ferse::N,ქუსლი,päta
40,Knie::N,მუხლი,koleno
41,Oberschenkel::N,ბარძაყი,stehno
42,Bein::N,ფეხი,noha
43,Körper::N,ტანი,telo
44,Körper::N,სხეული,telo
45,Haut::N,კანი,koža
46,Blut::N,სისხლი,krv
47,Ader::N,ძარღვი,žila
48,Sehne::N,მყესი,šľacha
49,Knochen::N,ძვალი,kosť
50,Gehirn::N,ტვინი,mozog
51,Herz::N,გული,srdce
52,Magen::N,კუჭი,žalúdok
53,Leber::N,ღვიძლი,pečeň
54,Atem::N,სუნთქვა,dych
55,Hunger::N,შიმშილი,hlad
56,Träne::N,ცრემლი,slza
57,Geschmack::N,გემო,chuť
58,Geruch::N,სუნი,pach
59,Schlaf::N,ძილი,spánok
60,Traum::N,სიზმარი,sen
61,Himmel::N,ცა,nebo
62,Sonne::N,მზე,slnko
63,Mond::N,მთვარე,mesiac
64,Stern::N,ვარსკვლავი,hviezda
65,Luft::N,ჰაერი,vzduch
66,Wind::N,ქარი,vietor
67,Welle::N,ტალღა,vlna
68,Wasser::N,წყალი,voda
69,Stein::N,ქვა,kameň
70,Boden::N,მიწა,zem
71,Boden::N,მიწა,pôda
72,Erde::N,ნიადაგი,zem
73,Staub::N,მტვერი,prach
74,Rauch::N,ბოლი,dym
75,Rauch::N,კვამლი,dym
76,Funke::N,ნაკვესი,iskra
77,Feuer::N,ცეცხლი,oheň
78,Licht::N,შუქი,svetlo
79,Licht::N,სინათლე,svetlo
80,Schatten::N,ლანდი,tieň
81,Schatten::N,ჩრდილი,tieň
82,Wetter::N,ამინდი,počasie
83,Nebel::N,ნისლი,hmla
84,Wolke::N,ღრუბელი,oblak
85,Wolke::N,ღრუბელი,mračno
86,Regen::N,წვიმა,dážď
87,Schnee::N,თოვლი,sneh
88,Eis::N,თოში,ľad
89,Eis::N,ყინული,ľad
90,Frost::N,ყინვა,mráz
91,Kälte::N,სიცივე,zima
