,Concept_ID,el,eu
0,Auge::N,μάτι,begi
1,Auge::N,οφθαλμός,begi
2,Ohr::N,αυτί,belarri
3,Nase::N,μύτη,sudur
4,Mund::N,στόμα,aho
5,Zahn::N,δόντι,hortz
6,Zunge::N,γλώσσα,mihi
7,Lippe::N,χείλος,ezpain
8,Wange::N,παρειά,masail
9,Wange::N,μάγουλο,masail
10,Gesicht::N,πρόσωπο,aurpegi
11,Stirn::N,μέτωπο,bekoki
12,Haar::N,μαλλιά,ile
13,Haar::N,μαλλιά,bilo
14,Schnurrbart::N,μουστάκι,bibote
15,Schnurrbart::N,μουστάκι,sudurpeko
16,Bart::N,γένια,bizar
17,Kinn::N,πιγούνι,kokots
18,Kiefer[Anatomie]::N,σαγόνι,masailezur
19,Kehle::N,λαρύγγι,eztarri
20,Hals::N,λαιμός,sama
21,Genick::N,σβέρκος,garondo
22,Kopf::N,κεφάλι,buru
23,Rücken::N,ράχη,bizkar
24,Bauch::N,κοιλιά,sabel
25,Nabel::N,αφαλός,zilbor
26,Busen::N,στήθος,titi
27,Busen::N,στήθος,ugatz
28,Brust::N,στήθος,bular
29,Schulter::N,ώμος,besaburu
30,Arm::N,χέρι,beso
31,Arm::N,μπράτςο,beso
32,Ellenbogen::N,αγκώνας,ukondo
33,Hand::N,χέρι,esku
34,Handfläche::N,παλάμη,ahur
35,Finger::N,δάχτυλο,hatz
36,Fingernagel::N,νύχι,azazkal
37,Nagel[Anatomie]::N,νύχι,azazkal
38,Zeh::N,δάχτυλο του ποδιού,behatz
39,Fuß::N,πόδι,oin
40,Ferse::N,φτέρνα,orpo
41,Ferse::N,φτέρνα,oinburu
42,Knie::N,γόνατο,belaun
43,Oberschenkel::N,μηρός,izter
44,Bein::N,πόδι,zango
45,Körper::N,σώμα,soin
46,Körper::N,κορμί,soin
47,Haut::N,πετσί,azal
48,Blut::N,αίμα,odol
49,Ader::N,φλέβα,zain
50,Sehne::N,νεύρο,gihar-zain
51,Sehne::N,τένοντας,gihar-zain
52,Knochen::N,οστό,hezur
53,Knochen::N,κόκκαλο,hezur
54,Gehirn::N,μυαλό,garun
55,Gehirn::N,μυαλό,burmuin
56,Gehirn::N,εγκέφαλος,garun
57,Gehirn::N,εγκέφαλος,burmuin
58,Herz::N,καρδιά,bihotz
59,Magen::N,στομάχι,urdail
60,Leber::N,ήπαρ,gibel
61,Leber::N,συκωτί,gibel
62,Atem::N,αναπνοή,hats
63,Atem::N,αναπνοή,arnasa
64,Hunger::N,πείνα,gose
65,Träne::N,δάκρυ,malko
66,Geschmack::N,γεύση,dasta
67,Geruch::N,οσμή,usain
68,Geruch::N,μυρωδία,usain
69,Schlaf::N,ύπνος,lo
70,Traum::N,όνειρο,amets
71,Himmel::N,ουρανός,zeru
72,Sonne::N,ήλιος,eguzki
73,Mond::N,σελήνη,ilargi
74,Mond::N,φεγγάρι,ilargi
75,Stern::N,άστρο,izar
76,Stern::N,αστέρι,izar
77,Luft::N,αέρας,aire
78,Wind::N,αέρας,haize
79,Wind::N,άνεμος,haize
80,Welle::N,κύμα,uhin
81,Welle::N,κύμα,olatu
82,Wasser::N,νερό,ur
83,Stein::N,πέτρα,harri
84,Boden::N,χώμα,lur
85,Boden::N,χώμα,zoru
86,Erde::N,γη,lur
87,Staub::N,σκόνη,hauts
88,Rauch::N,καπνός,ke
89,Funke::N,σπίθα,zirta
90,Funke::N,σπίθα,txinparta
91,Funke::N,σπινθήρας,zirta
92,Funke::N,σπινθήρας,txinparta
93,Feuer::N,φωτιά,su
94,Licht::N,φως,argi
95,Schatten::N,σκιά,itzal
96,Schatten::N,σκιά,geriza
97,Schatten::N,ίσκιος,itzal
98,Schatten::N,ίσκιος,geriza
99,Wetter::N,καιρός,eguraldi
100,Nebel::N,ομίχλη,laino
101,Wolke::N,σύννεφο,hodei
102,Regen::N,βροχή,euri
103,Schnee::N,χιόνι,elur
104,Eis::N,πάγος,horma
