,Concept_ID,fi,se
0,Auge::N,silmä,tjelmie
1,Auge::N,silmä,tjalmme
2,Auge::N,silmä,čalbmi
3,Auge::N,silmä,čalme
4,Auge::N,silmä,čâ´lmm
5,Auge::N,silmä,ча̄лльм
6,Ohr::N,korva,bieljie
7,Ohr::N,korva,biellje
8,Ohr::N,korva,beallji
9,Ohr::N,korva,pelji
10,Ohr::N,korva,pe´llj
11,Ohr::N,korva,пе̄лльй
12,Nase::N,nenä,njuenie
13,Nase::N,nenä,njunnje
14,Nase::N,nenä,njunni
15,Nase::N,nenä,njuṇe
16,Nase::N,nenä,njuu´nn
17,Nase::N,nenä,нюннҍ
18,Mund::N,suu,njaelmie
19,Mund::N,suu,njálmme
20,Mund::N,suu,njálbmi
21,Mund::N,suu,njälmi
22,Mund::N,suu,njä´lmm
23,Mund::N,suu,ня̄лльм
24,Zahn::N,hammas,baenie
25,Zahn::N,hammas,bádne
26,Zahn::N,hammas,bátni
27,Zahn::N,hammas,pääṇi
28,Zahn::N,hammas,pää´nn
29,Zahn::N,hammas,па̄ннҍ
30,Zunge::N,kieli,njoektjeme
31,Zunge::N,kieli,njuovtjav
32,Zunge::N,kieli,njuovčča
33,Zunge::N,kieli,njuovčâ
34,Zunge::N,kieli,njuhččâm
35,Zunge::N,kieli,нюхчем
36,Lippe::N,huuli,bangseme
37,Lippe::N,huuli,njálmmerabdda
38,Lippe::N,huuli,bavssa
39,Lippe::N,huuli,poovsâ
40,Lippe::N,huuli,põõus
41,Lippe::N,huuli,пэ̄кс
42,Wange::N,poski,skiehrie
43,Wange::N,poski,nierra
44,Wange::N,poski,muohtu
45,Wange::N,poski,nieṛâ
46,Wange::N,poski,njiõrr
47,Wange::N,poski,нӣрр
48,Gesicht::N,naama,ååredæjja
49,Gesicht::N,naama,muohto
50,Gesicht::N,naama,muođut
51,Gesicht::N,naama,ámadadju
52,Gesicht::N,naama,muáđuh
53,Gesicht::N,naama,muâđ
54,Gesicht::N,naama,ка̄ссв
55,Gesicht::N,kasvot,ååredæjja
56,Gesicht::N,kasvot,muohto
