,Concept_ID,ady,fa
0,Auge::N,нэ,چشم
1,Ohr::N,тхьакӏу́м,گوش
2,Nase::N,пэ,بینی
3,Mund::N,жэ,دهان
4,Zahn::N,цэ,دندان
5,Zunge::N,бзэгу,زبان
6,Lippe::N,ӏупшӏэ́,لب
7,Wange::N,нэкӏу́шъу,لپ
8,Gesicht::N,нэ́гу,رو
9,Gesicht::N,нэ́гу,چهره
10,Stirn::N,натӏэ́,پیشانی
11,Haar::N,шъхьацы́,مو
12,Bart::N,жакӏэ́,ریش
13,Kinn::N,жэкӏэпэпкъ,چانه
14,Kiefer[Anatomie]::N,жэпкъы́,فک
15,Kiefer[Anatomie]::N,жэпкъы́,آرواره
16,Kehle::N,чый,حلق
17,Hals::N,пшъэ,گردن
18,Genick::N,шъхьэпхэтыку,پشت گردن
19,Kopf::N,шъхьэ́,سر
20,Kopf::N,шъхьэ́,کله
21,Rücken::N,кӏыбы́,پشت
22,Bauch::N,ныбэ́,شکم
23,Busen::N,бгъэ́,پستان
24,Brust::N,бгъэ́,سینه
25,Schulter::N,блыпкъ,دوش
26,Schulter::N,блыпкъ,شانه
27,Arm::N,ӏэ,بازو
28,Ellenbogen::N,ӏэнтэ́гъу,آرنج
29,Hand::N,ӏэтхьэцу,دست
30,Handfläche::N,ӏэ́гу,کف دست
31,Finger::N,ӏэхъуа́мб,انگشت
32,Fingernagel::N,ӏэбжъа́н,ناخن دست
33,Nagel[Anatomie]::N,ӏэбжъа́н,ناخن
34,Zeh::N,ӏэхъуа́мб,انگشت پا
35,Fuß::N,лъэгу,پا
36,Ferse::N,лъэдакъэ,پاشنه
37,Knie::N,лъагуа́ндж,زانو
38,Oberschenkel::N,ко,ران
39,Bein::N,лъакъо́,پا
40,Bein::N,лъакъо́,لنگ
41,Körper::N,пкъышъол,تن
42,Körper::N,пкъышъол,بدن
43,Haut::N,кӏы́шъу,پوست
44,Blut::N,лъы,خون
45,Ader::N,льытф,رگ
46,Sehne::N,фэ,زردپی
47,Knochen::N,къупшъхьэ́,استخوان
48,Gehirn::N,куцӏы,مخ
49,Gehirn::N,куцӏы,مغز
50,Herz::N,гу,دل
51,Herz::N,гу,قلب
52,Magen::N,мышкӏу,معده
53,Leber::N,шӏу,کبد
54,Atem::N,къэщэныр,نفس
55,Hunger::N,гъаблэ́,گرسنگی
56,Träne::N,нэпсы,اشک
57,Geschmack::N,ӏэшӏугъа́кӏ,مزه
58,Geruch::N,мэ,بو
59,Schlaf::N,пчыхьы́пӏ,خواب
60,Traum::N,пчыхьы́пӏ,رؤیا
61,Himmel::N,уашъо́,فلک
62,Himmel::N,уашъо́,آسمان
63,Sonne::N,тыгъэ,آفتاب
64,Sonne::N,тыгъэ,خورشید
65,Mond::N,мазэ,ماه
66,Stern::N,жъуагъо́,ستاره
67,Luft::N,жьы,هوا
68,Wind::N,жьыбгъэ́,باد
69,Welle::N,ор,موج
70,Welle::N,оры,موج
71,Wasser::N,псы,آب
72,Stein::N,мыжъо́,سنگ
73,Boden::N,чӏ́ыгу,زمین
74,Erde::N,чӏ́ыгу,خاک
75,Erde::N,чӏ́ыгу,زمین
76,Staub::N,сап,گرد
77,Staub::N,сап,غبار
78,Rauch::N,ӏугъо́,دود
79,Funke::N,мэшӏуа́ч,جرقه
80,Feuer::N,машӏо́,آتش
81,Licht::N,нэфы,نور
82,Licht::N,нэфы,روشنی
83,Licht::N,нэфын,نور
84,Licht::N,нэфын,روشنی
85,Schatten::N,жьау́,سایه
86,Schatten::N,ныбжьыкъу,سایه
87,Nebel::N,пща́гъу,مه
88,Wolke::N,ошъуапщэ,ابر
89,Regen::N,ощхы,باران
90,Schnee::N,осы́,برف
91,Eis::N,мылы,یخ
92,Kälte::N,чъыӏэ́,سرما
93,Hitze::N,фэба́е,گرما
94,Hitze::N,фэба́е,حرارت
95,Regenbogen::N, лэгъупэкъо́пс,رنگین‌کمان
96,Donner::N,шыблэ́,رعد
97,Strömung::N,ток,جریان
98,Tropfen::N,ткӏопс,قطره
99,Tropfen::N,гъуаткӏу,قطره
100,Schaum::N,тхъурбэ,کف
101,Schmutz::N,псынжъы,گل
102,Schmutz::N,псынжъы,کثافت
103,See::N,хыку́м,دریاچه
104,See::N,псыхъура́й,دریاچه
105,Sumpf::N,орыжъ,مرداب
106,Sumpf::N,орыжъ,باتلاق
107,Moor::N,орыжъ,باتلاق
108,Wiese::N,хъупӏэ́,چمن
109,Wiese::N,мэкъупӏ,چمن
110,Wald::N,мэзы́,جنگل
111,Hügel::N,ӏуашъхь,تل
112,Hügel::N,ӏуашъхь,تپه
113,Anhöhe::N,чӏыӏэтыгъ,بلندی
114,Berg::N,къушъхьэ́,کوه
115,Gipfel::N,шыгу,قله
116,Höhle::N,гъочӏэгъ,غار
117,Abhang::N,чапэ,سرازیری
118,Quelle::N,псынэчэ́чъ,چشمه
119,Bach::N,псышкуашку,نهر
120,Fluss::N,псыхъо́,رود
121,Ufer::N,нэпкъы,ساحل
122,Ufer::N,нэпкъы,کرانه
123,Küste::N,ӏушъо,ساحل
124,Festland::N,чӏл́ыгу,خشکی
125,Meer::N,хы,دریا
126,Bucht::N,хыблыгу,خلیج
127,Insel::N,хыгъэхъу́н,جزیره
128,Blume::N,къэгъа́гь,گل
129,Gras::N,уцы́,علف
130,Wurzel::N,лъапсэ́,ریشه
131,Baum::N,чъыгы́,درخت
132,Stamm::N,пкъы,تنه
133,Rinde::N,пхъашъо́,توژ
134,Rinde::N,пхъашъо́,پوست
135,Ast::N,куамэ,شاخه
136,Zweig::N,къутамэ́,شاخه
137,Blatt::N,тхьап,برگ
138,Birke::N,пчэн,غان
139,Kiefer[Baum]::N,сэснэй,کاج
140,Weide[Baum]::N,пце́л,بید
141,Tanne::N,ель,صنوبر
142,Horn::N,бжъэ,شاخ
143,Feder::N,къамӏы́й,پر
144,Fell::N,шъо,خز
145,Flügel::N,тамэ́,پر
146,Flügel::N,тамэ́,بال
147,Klaue::N,лъэбжъа́н,چنگ
148,Klaue::N,лъэбжъа́н,پنجه
149,Kralle::N,лъакъо,پنجه
150,Schwanz::N,кӏэ,دم
151,Ei::N,кӏэнкӏэ́,تخم
152,Nest::N,набгъо́,لانه
153,Bau::N,гъу,بنا
154,Bau::N,гъу,ساختمان
155,Bau::N,бы,بنا
156,Bau::N,бы,ساختمان
157,Tier::N,псэу́шъхь,هیوان
158,Herde::N,ӏэхъогъу,رمه
159,Kuh::N,чэмы́,گاو
160,Bulle::N,цу,گاو نر
161,Pferd::N,шы,اسب
162,Schaf::N,мэлы́,گوسفند
163,Schwein::N,къо,خوک
164,Hund::N,бьэ,سگ
165,Katze::N,чэты́у,گربه
166,Bär::N,мышъэ́,خرس
167,Eichhörnchen::N,цызэ́,سنجاب
168,Elch::N,лось,گوزن شمالی
169,Fuchs::N,баджэ́,روباه
170,Hase::N,тхьакӏумкӏы́хь,خرگوش
171,Maus::N,цыгъо́,موش
172,Wolf::N,тыгъу́жъ,گرگ
173,Vogel::N,бзы́у,پرنده
174,Schwarm::N,отэр,دسته
175,Huhn::N,чэты́,مرغ
176,Hahn::N,атакъэ́,خروس
177,Gans::N,къа́з,غاز
178,Ente::N,псычэ́т,اردک
179,Ente::N,псычэ́т,مرغابی
180,Eule::N,тыгъурыгъу,جغد
181,Kranich::N,къэрэ́у,درنا
182,Krähe::N,къолэ́жъ,زاغ
183,Krähe::N,къолэ́жъ,کلاغ
184,Kuckuck::N,куку́у,فاخته
185,Fisch::N,пцэжъы́й,ماهی
186,Barsch::N,тхыкъэц,ماهی خاردار
187,Hecht::N,лэнд,اردک ماهی
188,Schlange[Tier]::N,блэ́,مار
189,Wurm::N,хьамлыу,کرم
190,Spinne::N,бэдж,عنکبوت
191,Ameise::N,къамзэ́гу,مورچه
192,Laus::N,цӏэ,شپش
193,Mücke::N,аргъо́й,پشه
194,Fliege::N,бадзэ́,مگس
195,Schmetterling::N,хьампӏыра́шъу,پروانه
196,Beere::N,маткӏо,گیله
197,Apfel::N,мыӏэры́с,سیب
198,Pilz::N,хьаӏу,قارچ
199,Zwiebel::N,бжьыны́,پیاز
200,Saat::N,чылапхъ,بذر
201,Korn::N,цэ,تخم
202,Korn::N,цэ,دانه
203,Heu::N,мэкъу,علف خشک
204,Schale::N,кӏы́шъу,پوست
205,Grube::N,машэ́,گودال
206,Falle::N,зэраубытырэ́ ӏэмэпсы́м,دام
207,Schlinge::N,бзыуубыт,حلقه
208,Spur::N,ужы,رد
209,Spur::N,лъэуж,رد
210,Asche::N,яжьэ́,خاکستر
211,Dreck::N,псынжъы,کثافت
212,Eisen::N,гыучӏы́,آهن
213,Eisen::N,къэнджа́л,آهن
214,Gold::N,дышъэ́,زر
215,Gold::N,дышъэ́,طلا
216,Silber::N,тыжьы́н,نقره
217,Kohle::N,шӏомыкӏ,زغال
218,Glas::N,апч,شیشه
219,Lehm::N,етӏагъо́,گل
220,Sand::N,пшахъо,شن
221,Sand::N,пшахъо,ماسه
222,Mensch::N,цӏыфы́,آدم
223,Mensch::N,цӏыфы́,انسان
224,Mann::N,хъулъфы́гъ,مرد
225,Frau::N,бӏылъфыгъэ́,زن
226,Kind::N,кӏэлэцӏы́кӏу,بچه
227,Kind::N,кӏэлэцӏы́кӏу,کودک
228,Junge::N,кӏэлэцӏы́кӏу,پسر
229,Mädchen::N,пшъэшъэжъый,دختر
230,Familie::N,быны́,فامیل
231,Familie::N,быны́,خانواده
232,Familie::N,уна́гъу,فامیل
233,Familie::N,уна́гъу,خانواده
234,Großvater::N,тэтэ́жъ,پدربزرگ
235,Großmutter::N,нэнэ́жъ,مادر‌بزرگ
236,Eltern::N,ны-тыхэ́р,والدین
237,Eltern::N,ны-тыхэ́р,پدر‌و‌مادر
238,Vater::N,ты,پدر
239,Mutter::N,ны,مادر
240,Sohn::N,къо,پسر
241,Tochter::N,пхъу,دختر
242,Bruder::N,шы,برادر
243,Schwester::N,шы́пхъу,خواهر
244,Onkel::N,янэ́ш,عمو
245,Onkel::N,янэ́ш,دایی
246,Tante::N,атэшыпхъу,عمه
247,Tante::N,атэшыпхъу,خاله
248,Ehemann::N,лӏы,همسر
249,Ehefrau::N,шъу́з,همسر
250,Freude::N,гушӏуа́гъу,شادی
251,Gelächter::N,щхыныр,خنده
252,Gelächter::N,щхыныр,قاه‌قاه
253,Glück::N,насы́п,اقبال
254,Kummer::N,тхьамыкӏагъу,غم
255,Kummer::N,тхьамыкӏагъу,غصه
256,Wunsch::N,шӏонгъоны́гъ,آرزو
257,Lust::N,шӏонгъоны́гъ,هوس
258,Geist::N,гу,روح
259,Gedanke::N,гупшыс,فکر
260,Gedächtnis::N,память,حافظه
261,Verstand::N,акъы́л,هوش
262,Sinn::N,мэхьанэ,معنا
263,Sinn::N,мэхьанэ,مفهوم
264,Grund::N,ушъхьагъу,سبب
265,Grund::N,ушъхьагъу,دلیل
266,Wahrheit::N,шъыпкъэ́,حقیقت
267,Gespräch::N,гущыӏ,صحبت
268,Gespräch::N,гущыӏ,گفتگو
269,Märchen::N,пшысэ,قصه
270,Märchen::N,пшысэ,افسانه
271,Erzählung::N,къэба́р,داستان
272,Nachricht::N,къэба́р,خبر
273,Neuigkeit::N,къэбарыкӏ,خبر تازه
274,Name::N,цӏэ,اسم
275,Rätsel::N,коджэхь-къоджэшх,معما
276,Rede::N,гущыӏ,سخن
277,Sprache::N,бзэ,زبان
278,Stimme::N,макъэ́,صدا
279,Wort::N,гущыӏ,کلمه
280,Zeichen::N,тамы́гъ,نشان
281,Zeichen::N,тамы́гъ,علامت
282,Ruf::N,джэ макъ,صدا
283,Lärm::N,макъэ,هیاهو
284,Laut::N,макъэ,صدا
285,Lied::N,орэ́д,آواز
286,Lied::N,орэ́д,ترانه
287,Ruhe::N,самбырыныгъ,آرامش
288,Leute::N,цӏыфхэ́р,مردم
289,Volk::N,цӏыф лъэпкъ,خلق
290,Arbeit::N,ӏофшӏакӏэ́н,کار
291,Gast::N,хьакӏэ́,مهمان
292,Geschenk::N,шӏухьафтын,هدیه
293,Spiel::N,еоны́р,بازی
294,Spiel::N,джэгуны́р,بازی
295,Spiel::N,къегъэӏоны́р,بازی
296,Gesellschaft::N,обществ,جمعیت
297,Hilfe::N,ӏэпыӏэгъу,کمک
298,Freund::N,ныбджэгъу,دوست
299,Kamerad::N,ныбджэгъу,رفیق
300,Angelegenheit::N,ӏофы́,امر
301,Angelegenheit::N,ӏофы́,قضیه
302,Anzahl::N,пчъагъэ́,عده
303,Anzahl::N,пчъагъэ́,شمار
304,Art::N,изэрэщы́т,نوع
305,Art::N,лъэпкъ,نوع
306,Stück::N,такъы́р,تکه
307,Stück::N,такъы́р,قطعه
308,Teil::N,щыщ,بخش
309,Teil::N,щыщ,قسمت
310,Teil::N,ӏахь,بخش
311,Teil::N,ӏахь,قسمت
312,Hälfte::N,ныкъо́,نیم
313,Kreis::N,хъура́й,حلقه
314,Kreis::N,хъура́й,دایره
315,Kreuz::N,къащ,صلیب
316,Linie::N,хъахъ,خط
317,Linie::N,хъахъ,سطر
318,Linie::N,итхъа́гъ,خط
319,Linie::N,итхъа́гъ,سطر
320,Strich::N,хъахъ,خط
321,Strich::N,итхъагъ,خط
322,Abstand::N,азыфагу,فاصله
323,Entfernung::N,чӏыгууанэ,مسافت
324,Gegend::N,чӏыпӏэ́,منطقه
325,Platz::N,азыфагу,گنجایش
326,Ort::N,чӏыпӏэ́,جا
327,Ort::N,чӏыпӏэ́,محل
328,Ort::N,чӏыпӏэ́,مکان
329,Seite::N,лъэны́къу,طرف
330,Mitte::N,гузэ́гу,وسط
331,Mitte::N,гузэ́гу,میان
332,Gegenstand::N,пкъыгъо,چیز
333,Rand::N,цакӏэ́,کنار
334,Rand::N,цакӏэ́,حاشیه
335,Kante::N,цэгэналъ,لبه
336,Ecke::N,къогъу,گوشه
337,Spitze::N,пакӏэ,سر
338,Spitze::N,пакӏэ,نوک
339,Ende::N,кӏэ,ته
340,Ende::N,кӏэ,آخر
341,Loch::N,гъуа́н,سوراخ
342,Winkel::N,къогъу,کنج
343,Muster::N,тхыпхъэ,نقش
344,Größe::N,иина́гъ,قد
345,Größe::N,иина́гъ,بزرگی
346,Länge::N,икӏыхьа́гъ,طول
347,Höhe::N,лъэгагъ,بلندی
348,Gewicht::N,онтэгъугъэ́,وزن
349,Menge::N,пчъагъэ́,مقدار
350,Menge::N,пчъагъэ́,اندازه
351,Haufen::N,ӏат,توده
352,Reihe::N,саты́р,ردیف
353,Boot::N,къуашъо́,قایق
354,Ruder::N,къошъобэ́щ,پارو
355,Ski::N,лыжэхэр,اسکی
356,Lagerfeuer::N,пхъэмашӏу,آتش
357,Gang::N,кӏоныр,راه رفتن
358,Schritt::N,лъэубэ́къу,قدم
359,Norden::N,темы́р,شمال
360,Süden::N,къыблэ́,جنوب
361,Westen::N,тыгъэкъохьа́пӏ,غرب
362,Osten::N,тыгьэкъокӏы́пӏ,شرق
363,Holz::N,чъыгы́,چوب
364,Brett::N,пхъэ́мбгъу,تخته
365,Platte::N,упсыхьагъ,صفحه
366,Stütze::N,кӏэгъэкъон,تکیه
367,Stange::N,къорэ́гъ,میله
368,Stock::N,бэщ,چوب
369,Stab::N,бэщ кӏы́хь,عصا
370,Rohr::N,онджэкъ,لوله
371,Haus::N,унэ́,منزل
372,Heim::N,унэ́,خانه
373,Heim::N,унэ́,کاشانه
374,Ofen::N,гъэжъэн,بخاری
375,Fußboden::N,джэхашъу,کف اتاق
376,Tisch::N,стол,میز
377,Stuhl::N,пхъэнтӏэ́кӏу,صندلی
378,Wiege::N,кушъэ́,گهواره
379,Bett::N,пӏэкӏо́р,تختخواب
380,Regal::N,мэкӏай,قفسه
381,Kiste::N,ящык,صندوق
382,Fenster::N,шъхьаныгъу́пчъ,پنجره
383,Tür::N,пчъэ,در
384,Tür::N,пчъэ,درب
385,Tor::N,къэла́пчъ,دروازه
386,Zaun::N,шӏыхьагъэ́,حصار
387,Dach::N,шъхьэ́,بام
388,Leiter::N,лъэо́й,نردبان
389,Leiter::N,дэкӏояпӏэ́,نردبان
