,Concept_ID,tr,az
0,Auge::N,göz,göz
1,Ohr::N,kulak,qulaq
2,Nase::N,burun,burun
3,Mund::N,ağız,ağız
4,Zahn::N,diş,diş
5,Zunge::N,dil,dil
6,Lippe::N,dudak,dodaq
7,Wange::N,yanak,yanaq
8,Gesicht::N,yüz,üz
9,Stirn::N,alın,alın
10,Haar::N,saç,saç
11,Schnurrbart::N,bıyık,bığ
12,Bart::N,sakal,saqqal
13,Kinn::N,çene,çənə
14,Kiefer[Anatomie]::N,çene,çənə
15,Kehle::N,boğaz,boğaz
16,Hals::N,boyun,boyun
17,Hals::N,gerdan,boyun
18,Genick::N,ense,ənsə
19,Kopf::N,baş,baş
20,Kopf::N,kafa,baş
21,Rücken::N,arka,bel
22,Bauch::N,karın,qarın
23,Nabel::N,göbek,göbək
24,Busen::N,koyun,məmə
25,Brust::N,göğüs,döş
26,Schulter::N,omuz,çiyin
27,Arm::N,kol,qol
28,Ellenbogen::N,dirsek,dirsək
29,Hand::N,el,əl
30,Handfläche::N,avuç,ovuc
31,Handfläche::N,el ayası,ovuc
32,Finger::N,parmak,barmaq
33,Fingernagel::N,el tırnağı,barmaq dırnağı
34,Nagel[Anatomie]::N,tırnak,dırnak
35,Zeh::N,ayak parmağı,ayaq barmağı
36,Fuß::N,ayak,ayaq
37,Ferse::N,topuk,daban
38,Knie::N,diz,diz
39,Oberschenkel::N,uyluk,bud
40,Bein::N,bacak,qıç
41,Körper::N,vücut,əndam
42,Haut::N,cilt,dəri
43,Blut::N,kan,qan
44,Ader::N,damar,damar
45,Sehne::N,kiriş,vətər
46,Knochen::N,kemik,sümük
47,Gehirn::N,beyin,beyin
48,Herz::N,kalp,ürək
49,Herz::N,yürek,ürək
50,Magen::N,mide,mədə
51,Leber::N,karaciğer,qara ciyər
52,Atem::N,nefes,nəfəs
53,Hunger::N,açlık,aclıq
54,Träne::N,gözyaşı,göz yaşı
55,Geschmack::N,tat,tam
56,Geschmack::N,tat,ləzzət
57,Geschmack::N,lezzet,tam
58,Geschmack::N,lezzet,ləzzət
59,Geruch::N,koku,qoxu
60,Schlaf::N,uyku,yuxu
61,Traum::N,düş,röya
62,Traum::N,rüya,röya
63,Himmel::N,gök,göy
64,Himmel::N,gök,səma
65,Sonne::N,güneş,günəş
66,Mond::N,ay,ay
67,Stern::N,yıldız,ulduz
68,Luft::N,hava,hava
69,Wind::N,yel,yel
70,Wind::N,yel,külək
71,Wind::N,rüzgâr,yel
72,Wind::N,rüzgâr,külək
73,Welle::N,dalga,dalğa
74,Wasser::N,su,su
75,Stein::N,taş,daş
76,Boden::N,yer,yer
77,Boden::N,yer,zəmin
78,Boden::N,zemin,yer
79,Boden::N,zemin,zəmin
80,Erde::N,toprak,yer torpaq
81,Staub::N,toz,toz
82,Rauch::N,duman,tüstü
83,Funke::N,kıvılcım,qığılcım
84,Feuer::N,ateş,od
85,Licht::N,ışık,işıq
86,Schatten::N,gölge,kölgə
87,Wetter::N,hava,hava
88,Nebel::N,pus,duman
89,Wolke::N,bulut,bulud
90,Regen::N,yağmur,yağış
91,Regen::N,yağmur,yağmur
92,Schnee::N,kar,qar
93,Eis::N,buz,buz
94,Frost::N,don,ayaz
95,Kälte::N,soğukluk,soyuq
96,Hitze::N,sıcaklık,coşğunluq
97,Raureif::N,kırç,qırov
98,Regenbogen::N,gökkuşağı,göy qurşağı
99,Donner::N,gök gürlemesi,göy gurultusu
100,Strömung::N,akıntı,axın
101,Strömung::N,cereyan,axın
102,Tropfen::N,damla,damcı
103,Schaum::N,köpük,köpük
104,Schmutz::N,çamur,çamır
105,Schmutz::N,pislik,çamır
106,See::N,göl,göl
107,Sumpf::N,batak,bataqlıq
108,Moor::N,cılgıt,bataqlıq
109,Wiese::N,çimen,çəmən
110,Wald::N,koru,meşə
111,Wald::N,orman,meşə
112,Hügel::N,tepe,təpə
113,Anhöhe::N,tümsek,təpə
114,Anhöhe::N,yükseklik,təpə
115,Berg::N,dağ,dağ
116,Gipfel::N,zirve,zirvə
117,Höhle::N,in,mağara
118,Höhle::N,mağara,mağara
119,Abhang::N,bayır,yamac
120,Quelle::N,pınar,bulaq
121,Quelle::N,kaynak,bulaq
122,Bach::N,çay,kiçik çay
123,Bach::N,dere,kiçik çay
