,Concept_ID,az,kv
0,Auge::N,göz,син
1,Ohr::N,qulaq,пель
2,Nase::N,burun,ныр
3,Mund::N,ağız,ӧм
4,Zahn::N,diş,пинь
5,Zunge::N,dil,кыв
6,Lippe::N,dodaq,тырп
7,Wange::N,yanaq,рожабан
8,Gesicht::N,üz,бан
9,Stirn::N,alın,кымӧс
10,Haar::N,saç,юрси
11,Schnurrbart::N,bığ,уссэз
12,Bart::N,saqqal,тош
13,Kinn::N,çənə,тшӧка
14,Kiefer[Anatomie]::N,çənə,ан
15,Kehle::N,boğaz,юан
16,Hals::N,boyun,юан
17,Genick::N,ənsə,юр бӧр
18,Kopf::N,baş,юр
19,Rücken::N,bel,мышк
20,Bauch::N,qarın,кынӧм
21,Nabel::N,göbək,гӧг
22,Busen::N,məmə,морос
23,Brust::N,döş,морос
24,Schulter::N,çiyin,пельпон
25,Arm::N,qol,ки
26,Ellenbogen::N,dirsək,гырдзза
27,Hand::N,əl,кикар
28,Handfläche::N,ovuc,ки пыдӧс
29,Finger::N,barmaq,чунь
30,Fingernagel::N,barmaq dırnağı,гыж
31,Nagel[Anatomie]::N,dırnak,гыж
32,Zeh::N,ayaq barmağı,чунь
33,Fuß::N,ayaq,кокпыдӧс
34,Ferse::N,daban,кокдзир
35,Knie::N,diz,пидзӧс
36,Oberschenkel::N,bud,лядьбей
37,Bein::N,qıç,кок
38,Körper::N,əndam,вывтыр
39,Haut::N,dəri,кучик
40,Blut::N,qan,вир
41,Ader::N,damar,сӧн
42,Sehne::N,vətər,жила
43,Knochen::N,sümük,коска
44,Gehirn::N,beyin,вем
45,Herz::N,ürək,сьӧлӧм
46,Magen::N,mədə,жӧвдӧк
47,Leber::N,qara ciyər,мус
48,Atem::N,nəfəs,лолалӧм
49,Hunger::N,aclıq,тшыг
50,Träne::N,göz yaşı,синва
51,Geschmack::N,tam,кӧр
52,Geschmack::N,ləzzət,кӧр
53,Geruch::N,qoxu,дук
54,Schlaf::N,yuxu,он
55,Traum::N,röya,вӧт
56,Himmel::N,göy,небо
57,Himmel::N,səma,небо
58,Sonne::N,günəş,шондi
59,Mond::N,ay,тӧлiсь
60,Stern::N,ulduz,кӧдзыв
61,Luft::N,hava,ру
62,Wind::N,yel,тӧв
63,Wind::N,külək,тӧв
64,Welle::N,dalğa,гы
65,Wasser::N,su,ва
66,Stein::N,daş,из
67,Boden::N,yer,му
68,Boden::N,zəmin,му
69,Erde::N,yer torpaq,му
70,Staub::N,toz,бус
71,Rauch::N,tüstü,тшын
72,Funke::N,qığılcım,бичир
73,Feuer::N,od,би
74,Licht::N,işıq,би
75,Schatten::N,kölgə,вуджӧр
76,Wetter::N,hava,погоддя
77,Nebel::N,duman,туман
78,Wolke::N,bulud,кымӧр
79,Regen::N,yağış,зэр
80,Regen::N,yağmur,зэр
81,Schnee::N,qar,лым
82,Eis::N,buz,йы
83,Frost::N,ayaz,мороз
84,Kälte::N,soyuq,кӧдзыт
85,Hitze::N,coşğunluq,ӧд
86,Raureif::N,qırov,кижа
87,Regenbogen::N,göy qurşağı,енӧшка
88,Donner::N,göy gurultusu,гым
89,Strömung::N,axın,визывтӧм
90,Tropfen::N,damcı,тёп
91,Schaum::N,köpük,быг
92,Schmutz::N,çamır,нять
93,See::N,göl,ты
94,Sumpf::N,bataqlıq,арай
95,Moor::N,bataqlıq,нюр
96,Wiese::N,çəmən,видз
97,Wald::N,meşə,вӧр
98,Hügel::N,təpə,мыльк
99,Anhöhe::N,təpə,вывтас
100,Anhöhe::N,təpə,вылынін
101,Berg::N,dağ,керӧс
102,Gipfel::N,zirvə,йыв
103,Höhle::N,mağara,нора
104,Abhang::N,yamac,покат
105,Quelle::N,bulaq,больган
106,Bach::N,kiçik çay,шор
107,Fluss::N,çay,ю
108,Ufer::N,kənar,берег
109,Küste::N,sahil,берег
110,Festland::N,materik,му
111,Meer::N,dəniz,море
112,Bucht::N,körfəz,курья
113,Insel::N,ada,
114,Blume::N,çiçək,цветок
115,Gras::N,ot,турун
116,Wurzel::N,kök,вуж
117,Baum::N,ağac,пу
118,Stamm::N,gövdə,мыр
119,Stamm::N,gövdə,кер
120,Rinde::N,qabıq,кач
121,Ast::N,şax,ув
122,Zweig::N,budaq,ув
123,Blatt::N,yarpaq,лист
124,Birke::N,tozağacı,кыдз
125,Kiefer[Baum]::N,şam,пожум
126,Weide[Baum]::N,söyüd,бадь
127,Tanne::N,küknar,кӧз
128,Horn::N,buynuz,сюр
129,Feder::N,tük,гӧн
130,Feder::N,lələk,гӧн
131,Fell::N,xəz,кучик
132,Flügel::N,qanad,борд
133,Klaue::N,pəncə,гыж
134,Kralle::N,dırnaq,кабыр
135,Schwanz::N,quyruq,бӧж
136,Ei::N,yumurta,кольть
137,Nest::N,yuva,поз
138,Bau::N,yuva,осьта
139,Bau::N,yuva,нора
140,Tier::N,heyvan,зверь
141,Herde::N,sürü,гурт
142,Kuh::N,inək,мӧс
143,Bulle::N,öküz,ӧшка
144,Pferd::N,at,вӧв
145,Schaf::N,qoyun,баля
146,Schwein::N,donuz,порсь
147,Hund::N,it,пон
148,Hund::N,köpək,пон
149,Katze::N,pişik,кань
150,Bär::N,ayı,ош
151,Eichhörnchen::N,dələ,ур
152,Elch::N,sığın,вӧр мӧс
153,Fuchs::N,tülkü,руч
154,Hase::N,dovşan,кӧч
155,Maus::N,siçan,шыр
156,Wolf::N,qurd,кӧин
157,Vogel::N,quş,кай
158,Schwarm::N,sürü,стая
159,Schwarm::N,sürü,чукӧр
160,Huhn::N,toyuq,курӧг
161,Hahn::N,xoruz,петух
162,Hahn::N,xoruz,ай курӧг
163,Gans::N,qaz,дзодзог
164,Adler::N,qartal,куч
165,Adler::N,qartal,кутш
166,Adler::N,qaraquş,куч
167,Adler::N,qaraquş,кутш
168,Ente::N,ördək,утка
169,Eule::N,bayquş,тупка
170,Kranich::N,durna,тури
171,Krähe::N,qarğa,рака
172,Kuckuck::N,ququ,кӧк
173,Schwan::N,qu quşu,юсь
174,Fisch::N,balıq,чери
175,Barsch::N,tar,ёкыш
176,Hecht::N,durnabalığı,сирпинь
177,Schlange[Tier]::N,ilan,змей
178,Wurm::N,qurd,номыр
179,Spinne::N,hörümçək,черань
180,Ameise::N,qarışqa,кӧдзывкар
181,Laus::N,bit,ляпа той
182,Mücke::N,ağcaqanad,ном
183,Fliege::N,milçək,гут
184,Schmetterling::N,kəpənək,бабыв
185,Beere::N,gilə,ягӧд
186,Apfel::N,alma,яблоко
187,Pilz::N,göbələk,тшак
188,Zwiebel::N,soğan,грез
189,Saat::N,əkin,кӧдзыс
190,Korn::N,taxıl,сю
191,Heu::N,quru ot,турун
192,Schale::N,qabıq,кыш
193,Schale::N,qabıq,киль
194,Grube::N,çuxur,яма
195,Falle::N,tələ,нальк
196,Falle::N,tələ,кляпча
197,Falle::N,duzaq,нальк
198,Falle::N,duzaq,кляпча
199,Schlinge::N,ilmək,лӧч
200,Spur::N,iz,туй
201,Asche::N,kül,пӧим
202,Dreck::N,kir,нять
203,Eisen::N,dəmir,кӧрт
204,Gold::N,altun,зарни
205,Silber::N,gümüş,язісь
206,Kohle::N,kömür,шом
207,Kohle::N,kömür,уголь
208,Glas::N,şüşə,стекло
209,Lehm::N,gil,сёй
210,Lehm::N,palçıq,сёй
211,Sand::N,qum,лыа
212,Mensch::N,adam,морт
213,Mensch::N,insan,морт
214,Mann::N,kişi,мужик
215,Frau::N,qadın,инька
216,Kind::N,uşaq,кага
217,Junge::N,oğlan,зонка
218,Mädchen::N,qız,нывкаок
219,Familie::N,ailə,семья
220,Großvater::N,baba,дед
221,Großmutter::N,nənə,баб
222,Eltern::N,valideyn,ай-мам
223,Vater::N,ata,ай
224,Mutter::N,ana,мам
225,Sohn::N,oğul,зон
226,Tochter::N,qız,ныв
227,Bruder::N,qardaş,вон
228,Schwester::N,bacı,сой
229,Onkel::N,əmi,дядь
230,Onkel::N,dayı,дядь
231,Tante::N,bibi,айӧлӧн сой
232,Tante::N,bibi,ичинь
233,Ehemann::N,ər,жӧник
234,Ehefrau::N,arvad,инь
235,Freude::N,nəşə,гаж
236,Freude::N,nəşə,радъялӧм
237,Freude::N,sevinc,гаж
238,Freude::N,sevinc,радъялӧм
239,Gelächter::N,gülüş,сералӧм
240,Gelächter::N,qəhqəhə,сералӧм
241,Glück::N,səadət,мичлун
242,Glück::N,xoşbəxtlik,мичлун
243,Kummer::N,qəm,шог
244,Kummer::N,kədər,шог
245,Wunsch::N,arzu,мӧдӧм
246,Wunsch::N,arzu,охотитӧм
247,Lust::N,həvəs,охота
248,Geist::N,ruh,лов
249,Gedanke::N,fikir,дума
250,Gedanke::N,düşüncə,дума
251,Gedächtnis::N,xatir,тӧдвыв
252,Gedächtnis::N,hafizə,тӧдвыв
253,Verstand::N,ağıl,вежӧр
254,Sinn::N,məna,ылӧс
