,Concept_ID,ab,myv
0,Auge::N,ала,сельме
1,Ohr::N,алымҳа,пиле
2,Nase::N,аҧынҵа,судо
3,Mund::N,аҧышə,курго
4,Zahn::N,ахаҧыц,пей
5,Zunge::N,абз,кель
6,Lippe::N,ақьышə,турва
7,Wange::N,аӡамҩа,чамабока
8,Wange::N,аӡамҩа,чамаумарь
9,Gesicht::N,аҿы,чама
10,Stirn::N,алахь,коня
11,Haar::N,ахəыц,черь
12,Schnurrbart::N,аҧаҵа,ус
13,Schnurrbart::N,аҧаҵа,муюк
14,Bart::N,ажакьа,сакал
15,Kinn::N,ацламкəыгə,уло
16,Kiefer[Anatomie]::N,ацламҳəа,пейпакар
17,Kiefer[Anatomie]::N,ацламҳəа,пейловажа
18,Kehle::N,ахəда,кирьгапарь
19,Hals::N,ахəда,кирьга
20,Genick::N,ахəдаџьал,човонь
21,Kopf::N,ахы,пря
22,Rücken::N,азқəа,копорь
23,Bauch::N,амгəа,пеке
24,Nabel::N,аҷапан,почо
25,Busen::N,агəыҧҳəы,поте
26,Brust::N,агəышҧы,меште
27,Schulter::N,ажəҩахыр,лавтов
28,Arm::N,амахəар,кедь
29,Ellenbogen::N,амашьхəылҵ,кенерепакарь
30,Hand::N,анапы,кедь
31,Handfläche::N,анапсаргəыҵа,кедькуншка
32,Handfläche::N,анапсаргəыҵа,кедьлапушка
33,Finger::N,анацəа,сур
34,Fingernagel::N,анапхыц,кенже
35,Nagel[Anatomie]::N,ашьапхыц,кенже
36,Zeh::N,ашьацəа,пильге сур
37,Fuß::N,ашьапсыргəыҵа,пильге
38,Ferse::N,ашьхəа,кочкаря
39,Knie::N,ашьамхы,эле
40,Knie::N,ашьамхы,эзне
41,Knie::N,ашьамхы,кумажа
42,Oberschenkel::N,ауаҭəа,качо
43,Bein::N,ашьапы,пильге
44,Körper::N,ацəеижь,рунго
45,Haut::N,ацəа,киське
46,Blut::N,ашьа,верь
47,Ader::N,ада,сан
48,Sehne::N,адаш,коське сан
49,Knochen::N,абаҩ,пакарь
50,Gehirn::N,ахшлыбаҩ,удем
51,Gehirn::N,ахшыбаҩ,удем
52,Herz::N,агəы,седей
53,Magen::N,аца,пеке
54,Magen::N,ацар,пеке
55,Leber::N,агəаҵəа,максо
56,Atem::N,аҧсыҧлагаҩгара,лексема
57,Atem::N,аҧсыҧлагаҩгара,оймень таргсема
58,Hunger::N,амла,вачочи
59,Träne::N,алабжыш,селведь
60,Geschmack::N,агьама,тансть
61,Geruch::N,афҩы,чине
62,Schlaf::N,ацəа,удома
63,Traum::N,аҧхыӡ,он
64,Himmel::N,ажəҩан,менель
65,Sonne::N,амра,чи
66,Mond::N,амза,ков
67,Stern::N,аеҵəа,теште
68,Luft::N,аҳаир,кошт
69,Wind::N,аҧша,варма
70,Welle::N,ацəқəырҧа,толкун
71,Wasser::N,аӡы,ведь
72,Stein::N,ахаҳə,кев
73,Boden::N,адгьыл,мода
74,Erde::N,адгьыл,мастор
75,Staub::N,асаба,пуль
76,Rauch::N,алҩа,качамо
77,Funke::N,акəиц,сятко
78,Funke::N,ацҧхь,сятко
79,Feuer::N,амца,тол
80,Licht::N,алашара,валдо
81,Schatten::N,ашəшьыра,сулей
82,Schatten::N,ашəшьыра,сулейкс
83,Wetter::N,амш,ушо
84,Nebel::N,анаҟəа,сув
85,Wolke::N,аҧсҭҳəа,пель
86,Regen::N,ақəа,пиземс
87,Schnee::N,асы,лов
88,Eis::N,аҵаа,эй
89,Frost::N,аҵаа,кельме
90,Kälte::N,ахьҭа,якшамо
91,Hitze::N,ашоура,пси
92,Raureif::N,аҵааҧшқа,лекш
93,Regenbogen::N,ацəаҟəа,пурьгинечирьке
94,Regenbogen::N,ацəаҟəа,пурьгинеёнкс
95,Donner::N,адыд,пурьгине
96,Strömung::N,аиасра,чудема
97,Strömung::N,аиасра,чудевкс
98,Strömung::N,амҩасра,чудема
99,Strömung::N,амҩасра,чудевкс
100,Tropfen::N,ацəыкəбар,петнявкс
101,Schaum::N,ашəах,чов
102,Schmutz::N,алымт,рудаз
103,See::N,аӡиа,эрьке
104,Sumpf::N,аӡмах,чей
105,Wiese::N,адəы,луга
106,Wald::N,абна,вирь
107,Hügel::N,ахəы,губорь
108,Hügel::N,ахəы,пандыне
109,Anhöhe::N,аҳаракыра,губорь
110,Anhöhe::N,аҳаракыра,пандыне
111,Berg::N,ашьха,пандо
112,Gipfel::N,ацəқəа,пря
113,Höhle::N,аҳаҧы,пещера
114,Abhang::N,анаара,пандочама
115,Quelle::N,аҵҵырҭа,ушодкс
116,Bach::N,акəараҷҷа,чудикерькс
117,Fluss::N,аӡиас,лей
118,Ufer::N,ахықə,чире
119,Küste::N,ахықə,лейчире
120,Festland::N,абарра,мода
121,Meer::N,амшын,моря
122,Bucht::N,аӡбжьахала,усия
123,Insel::N,адгьылбжьаха,усия
124,Blume::N,ашəҭ,цеця
125,Gras::N,аҳасакьын,тикше
126,Wurzel::N,адац,юр
127,Wurzel::N,адац,ундокс
128,Baum::N,аҵла,чувто
129,Stamm::N,ашьапы,рунго
130,Rinde::N,ацəа,суд
131,Rinde::N,ацəа,керь
132,Ast::N,амахə,морго
133,Ast::N,амахəҭа,морго
134,Zweig::N,амахə,тарад
135,Zweig::N,амахəҭа,тарад
136,Blatt::N,абҕьы,лопа
137,Birke::N,аҵааҵла,килей
138,Kiefer[Baum]::N,амза,пиче
139,Weide[Baum]::N,аҧслыш,каль
140,Tanne::N,аҧсаӡ,куз
141,Horn::N,атəыҩа,сюро
142,Feder::N,ахӡы,толга
143,Fell::N,ацəа,пона
144,Flügel::N,амҵəыжəа,сёлмо
145,Klaue::N,ашьапхыц,кенже
146,Schwanz::N,аҵыхəа,пуло
147,Ei::N,акəтаӷь,ал
148,Nest::N,аҭра,пизэ
149,Nest::N,аҵысҭра,пизэ
150,Bau::N,аҭыҩра,варя
151,Bau::N,аҭыҩра,пизе
152,Tier::N,аҧстəы,ракша
153,Tier::N,агыгшəыг,ракша
154,Herde::N,агəарҭа,стада
155,Kuh::N,ажə,скал
156,Bulle::N,ацə,бука
157,Pferd::N,аҽы,лишме
158,Schaf::N,ауаса,реве
159,Schwein::N,аҳəа,туво
160,Hund::N,ала,пине
161,Hund::N,ала,киска
162,Katze::N,ацгəы,псака
163,Bär::N,амшə,овто
164,Eichhörnchen::N,аеш,ур
165,Elch::N,аҽаҩа,сярдо
166,Fuchs::N,абгахəыҷы,ривезь
167,Hase::N,ажьа,нумоло
168,Maus::N,аҳəынаҧ,чеерь
169,Wolf::N,абгаду,верьгиз
170,Vogel::N,аҧсаатə,нармунь
171,Huhn::N,акəты,сараз
172,Hahn::N,арбаҕь,атякш
173,Gans::N,аҟыз,гала
174,Gans::N,аҟыз,мацей
175,Adler::N,ауарба,куцькан
176,Adler::N,ауарба,тумоатякш
177,Ente::N,акəата,яксярго
178,Eule::N,аты,корж
179,Kranich::N,апҟа,карго
180,Krähe::N,аҟəараан,варака
181,Kuckuck::N,акəыкəу,куко
182,Schwan::N,агьад,локсей
183,Fisch::N,аҧсыӡ,кал
184,Barsch::N,ацəыбла,окунь
185,Hecht::N,ахиаала,щука
186,Schlange[Tier]::N,амаҭ,гуй
187,Wurm::N,ахəа,сукс
188,Wurm::N,ахəац,сукс
189,Spinne::N,абызкаҭаҳа,шанжав
190,Ameise::N,ашышкамс,коткудав
191,Laus::N,аҵа,сий
192,Mücke::N,акəыбры,сеське
193,Fliege::N,амҵ,карво
194,Schmetterling::N,аҧарҧалыкь,нимиляв
195,Beere::N,аргуц,умарь
196,Apfel::N,аҵəа,умарь
197,Pilz::N,акəкəбаа,панго
198,Zwiebel::N,аџьымшьы,чурька
199,Zwiebel::N,аџьымшьхы,чурька
200,Saat::N,ажəла,видьметь
201,Korn::N,арыц,сюро
202,Heu::N,аҭəа,тикше
203,Schale::N,ацəа,кедь
204,Schale::N,ацəа,ваткавкс
205,Grube::N,ажра,латко
206,Grube::N,атыша,латко
207,Falle::N,арыҧҟьа,тувор
208,Falle::N,арыҧҟьа,кундамка
209,Schlinge::N,аҟəараҟəантə,килькш
210,Spur::N,ашьҭа,челькс
211,Spur::N,ашьҭа,пильгеки
212,Asche::N,ахəа,кулов
213,Dreck::N,аҳəынҵəа,рудаз
214,Dreck::N,аҟьамсар,рудаз
215,Eisen::N,аиха,кшни
216,Gold::N,ахьы,сырне
217,Silber::N,аразны,сия
218,Kohle::N,арацəа,сэдь
219,Kohle::N,арацəа,уголия
220,Glas::N,асаркьа,сулика
221,Lehm::N,анышəаҧшь,сёвонь
222,Sand::N,аҧслымӡ,човар
223,Mensch::N,ауаҩы,ломань
224,Mann::N,ахаҵа,аля
225,Mann::N,ахаҵа,цёраломань
226,Frau::N,аҧҳəыс,ава
227,Kind::N,ахəыҷы,эйкакш
228,Junge::N,аҷкəын,цёрыне
229,Junge::N,ахаҵарҧыс,цёрыне
230,Mädchen::N,аӡӷаб,тейтерне
231,Familie::N,аҭаацəа,семия
232,Großvater::N,абду,покштя
233,Großmutter::N,анду,баба
234,Eltern::N,ани аби,тетят-ават
235,Vater::N,аб,тетя
236,Mutter::N,ан,ава
237,Sohn::N,аҧа,цёра
238,Tochter::N,аҧҳа,тейтерь
239,Bruder::N,аиашьа,леля
240,Bruder::N,аиашьа,ялакс
241,Schwester::N,Аҳəшьа,сазор
242,Onkel::N,абиашьа,леля
243,Onkel::N,аншьа,леля
244,Tante::N,абиаҳəшьа,патя
245,Ehemann::N,ахаҵа,мирде
246,Ehemann::N,аҧшəма,мирде
247,Ehefrau::N,аҧҳəыс,ни
248,Freude::N,агəырӷьара,кеняркс
249,Gelächter::N,ачча,ракамо
250,Gelächter::N,ачча,пейдема
251,Gelächter::N,аччара,ракамо
252,Gelächter::N,аччара,пейдема
253,Glück::N,аразҟы,уцяска
254,Kummer::N,агəырҩа,рискс
255,Kummer::N,агəырҩа,мелявкс
256,Wunsch::N,агəхəтəы,мель
257,Wunsch::N,агəхəтəы,бажамо
258,Wunsch::N,аҭахра,мель
259,Wunsch::N,аҭахра,бажамо
260,Lust::N,агəазыҳəара,бажамо
261,Geist::N,аҧсы,ойме
262,Gedanke::N,ахəыцырҭа,мель
263,Gedächtnis::N,агəынкылара,мель
264,Verstand::N,ахшыҩ,прев
265,Sinn::N,аҵакы,толк
266,Sinn::N,аҵакы,смысла
267,Grund::N,амзыз,тувтал
268,Wahrheit::N,аиаша,видечи
269,Gespräch::N,аиҿцәажәара,кортнема
270,Märchen::N,алакə,ёвкс
271,Erzählung::N,ажәабжь,ёвтнема
272,Nachricht::N,адырраҭара,куля
273,Neuigkeit::N,ажәабжь ҿыц,куля
274,Name::N,ахьӡ,лем
275,Rätsel::N,ацуфара,содамоёвкс
276,Rede::N,ажәа,кортамо
277,Sprache::N,абызшəа,кель
278,Stimme::N,абжьы,ваигель
279,Wort::N,ажәа,вал
280,Zeichen::N,адырга,теште
281,Ruf::N,аҿҭы,тердема
282,Lärm::N,ашьҭыбжь,шалнома
283,Laut::N,ашьҭыбжь,вайгель
284,Ton::N,атон,гайнема
285,Lied::N,ашəа,моро
286,Ruhe::N,аҭынчра,оймамо
287,Leute::N,ауаа,ломанть
288,Volk::N,ажəлар,народ
289,Arbeit::N,аусура,тев
290,Gast::N,асас,инже
291,Geschenk::N,аҳамҭа,казне
292,Geschenk::N,аҿанҵа,казне
293,Spiel::N,ахəмарра,налксема
294,Gesellschaft::N,агəыҧ,община
295,Hilfe::N,ацхыраара,лездамо
296,Freund::N,аҩыза,оя
297,Freund::N,аҩыза,ялга
298,Kamerad::N,Аҧхнагьла,оя
299,Kamerad::N,Аҧхнагьла,ялга
300,Angelegenheit::N,аус,тев
301,Anzahl::N,ахыҧхьаӡара,ламоксчи
302,Art::N,ахкы,вид
303,Stück::N,аҽыҭ,пакш
304,Stück::N,аҽыҭ,пелькс
305,Teil::N,ахəҭа,часть
306,Teil::N,ахəҭа,пелькс
307,Hälfte::N,абжа,пель
308,Hälfte::N,абжа,пелькс
309,Kreis::N,агьагьа,кирькс
310,Kreuz::N,аџьар,крёст
311,Linie::N,аицтәар,кикс
312,Strich::N,ацəаҳəа,межа
313,Abstand::N,абжьара,ютко
314,Entfernung::N,абжьара,ютко
315,Gegend::N,аҭыҧ,тарка
316,Gegend::N,аҭыҧ,пертьпелькс
317,Platz::N,аҭыҧ,васолкс
318,Ort::N,аҭыҧ,тарка
319,Seite::N,аган,ён
320,Seite::N,аган,чире
321,Mitte::N,агəҭа,куншка
322,Gegenstand::N,амаҭəар,предмет
323,Rand::N,аҵкар,пе
324,Rand::N,аҵкар,чире
325,Kante::N,авардым,ирдез
326,Ecke::N,акəакь,ужо
327,Spitze::N,аҧынҵа,пряне
328,Spitze::N,аҧынҵа,пе
329,Ende::N,анаӡара,пе
330,Loch::N,акылҵəара,варя
331,Winkel::N,агҿаҩра,ужо
332,Winkel::N,акəындхə,ужо
333,Winkel::N,акəакь,ужо
334,Muster::N,аҟҟа,сёрма
335,Größe::N,изаҟароу,сэрь
336,Größe::N,изаҟароу,покшолма
337,Länge::N,аура,кувалмо
338,Höhe::N,агылара,сэрь
339,Höhe::N,агылара,пандо
340,Gewicht::N,акапан,сталмо
341,Haufen::N,ачаҟəа,мар
342,Haufen::N,ачаҟəа,валявкс
343,Reihe::N,ацəаҳəа,ряд
344,Boot::N,анышь,венч
345,Ruder::N,ажəҩа,милё
346,Schlitten::N,ашəаҩауардын,нурдт
347,Ski::N,ашəаҩа,сокс
348,Ski::N,ашьахаха,сокс
349,Lagerfeuer::N,еиқуу амца,толбандя
350,Last::N,ахьанҭара,сталмо
351,Last::N,ахьанҭара,кандома
352,Gang::N,аныҟəара,молема
353,Gang::N,аныҟəара,якамо
354,Schritt::N,ашьаҿа,эскелькс
355,Norden::N,аҩада,якшамо ёнкс
356,Süden::N,алада,лембе ёнкс
357,Westen::N,амраҭашəара,чивалгома
358,Osten::N,амрагылара,чилисема
359,Holz::N,амҿымаҭəахə,чувто
360,Brett::N,аӷəы,лаз
361,Platte::N,ахаҳәцәы,плита
362,Stütze::N,аҵаргəа,неже
363,Stütze::N,агəышьаҟа,неже
364,Stange::N,акьат,олга
365,Stock::N,алаба,мандо
366,Stab::N,акьат,олога
367,Rohr::N,абыкь,турба
368,Haus::N,аҩны,кудо
369,Heim::N,аҭаацəа,кудо
370,Ofen::N,аҳақə,каштомо
371,Ofen::N,ауаџьаҟ,каштомо
372,Ofen::N,афрына,каштомо
373,Fußboden::N,адашьма,киякс
374,Tisch::N,аишәа,столь
375,Stuhl::N,аҟəардə,стул
376,Wiege::N,агара,лавсь
377,Wiege::N,агара,нурямот
378,Bett::N,акаруаҭ,ацамо
379,Regal::N,акыӷəра,лався
380,Regal::N,акыӷəра,лавсяланго
381,Kiste::N,аидчаҧала,горобия
382,Kiste::N,аидчаҧала,сундук
383,Fenster::N,аҧенџьыр,вальма
384,Tür::N,ашə,кенкш
385,Tor::N,агəашə,ортат
386,Zaun::N,аанда,пирявт
387,Zaun::N,аанда,пирвякс
388,Dach::N,ахыб,кудопря
389,Leiter::N,амардуан,кузтема
390,Besen::N,аҧссага,тенсть
391,Spaten::N,ажыга,койме
392,Schaufel::N,аҭəарӷəы,кече
393,Schaufel::N,аҭəарӷəы,келей койме
394,Gabel::N,ачқьыҧ,сянгине
395,Löffel::N,амҳаҵə,пенч
396,Messer::N,аҳəызба,пеель
397,Nagel::N,аҵəымӷ,эске
398,Netz::N,акаҭа,алтыма
399,Haken::N,аҵəаҳə,кечказ
400,Griff::N,амаа,кедне
401,Schloss::N,асаҧаҭ,замок
402,Schloss::N,асаҧаҭ,панжома
403,Bild::N,асахьа,картина
404,Figur::N,афигура,рунго
405,Puppe::N,акьанџьа,няка
406,Beutel::N,асакь,кескав
407,Bündel::N,аҿаҳəара,керькс
408,Tasche::N,арҭмаҟ,юдма
409,Eimer::N,аведра,ведра
410,Deckel::N,ахҩа,велькс
411,Geschirr::N,ачысмаҭəа,кедьге
412,Sack::N,асакь,кескав
413,Tasse::N,аҵəца,чакш
414,Topf::N,акаструлиа,кастрюля
415,Kessel::N,ачуан,котёл
416,Nahrung::N,афатə,ярсамопель
417,Speise::N,афатə,ярсамопель
418,Fleisch::N,акəац,сывель
419,Getreide::N,ачакуа,сюро
420,Brei::N,ақашь,каша
421,Brot::N,ача,кши
422,Scheibe::N,аҽыҭ,кочом
423,Scheibe::N,аҽыҭ,сускомо
424,Scheibe::N,аҿаҵа,кочом
425,Scheibe::N,аҿаҵа,сускомо
426,Fett::N,ашша,куя
427,Butter::N,ахəша,ой
428,Öl::N,азеҭ,ой
429,Salz::N,аџьыка,сал
430,Suppe::N,асуҧ,ям
431,Honig::N,ацха,медь
432,Milch::N,ахш,ловсо
433,Tee::N,ачаи,чай
434,Leder::N,ацəа,киське
435,Wolle::N,аласа,пона
436,Stoff::N,Аба,коцт
437,Nadel::N,агəыр,салмукс
438,Faden::N,арахəыц,суре
439,Knopf::N,аҳəынҵəра,пов
440,Knoten::N,аиқəҳəала,сюлмо
441,Farbe::N,ашəыга,артомапель
442,Kleidung::N,амаҭəа,оршамот
443,Hemd::N,акьаҿ,панар
444,Kragen::N,ахəда,сиве
445,Ärmel::N,амаӷра,ожа
446,Hose::N,аиқəа,понкст
447,Gürtel::N,амаҟа,каркс
448,Mütze::N,ахылҧа,чапка
449,Schuh::N,аимаа,туфля
450,Stiefel::N,амагə,кем
451,Ring::N,амацəаз,суркс
452,Band::N,алента,лента
453,Kamm::N,ахҳəа,сурсеме
454,Spiegel::N,асаркьа,чавачамо
