,Concept_ID,da,he
0,Auge::N,øje,עין
1,Ohr::N,øre,אזן
2,Nase::N,næse,אף
3,Nase::N,næse,חטם
4,Mund::N,mund,פה
5,Zahn::N,tand,שן
6,Zunge::N,tunge,לשון
7,Lippe::N,læbe,שפה
8,Wange::N,kind,לחי
9,Gesicht::N,ansigt,פנים
10,Stirn::N,pande,מצח
11,Haar::N,hår,שערה
12,Schnurrbart::N,overskæg,שפם
13,Bart::N,skæg,זקן
14,Kinn::N,hage,סנטר
15,Kiefer[Anatomie]::N,kæbe,לסת
16,Kehle::N,strube,גרון
17,Hals::N,hals,צואר
18,Genick::N,nakke,ערף
19,Kopf::N,hoved,ראש
20,Rücken::N,ryg,גב
21,Bauch::N,mave,בטן
22,Nabel::N,navle,טבור
23,Busen::N,barm,שד
24,Brust::N,bryst,חזה
25,Schulter::N,skulder,כתף
26,Arm::N,arm,זרוע
27,Ellenbogen::N,albue,מרפק
28,Hand::N,hånd,יד
29,Handfläche::N,håndflade,כף יד
30,Finger::N,finger,אצבע
31,Fingernagel::N,fingernegl,צפרן
32,Nagel[Anatomie]::N,negl,צפרן
33,Zeh::N,tå,אצבע
34,Fuß::N,fod,רגל
35,Ferse::N,hæl,עקב
36,Knie::N,knæ,ברך
37,Oberschenkel::N,lår,ירך
38,Bein::N,ben,רגל
39,Körper::N,krop,גוף
40,Körper::N,legeme,גוף
41,Haut::N,hud,עור
42,Blut::N,blod,דם
43,Ader::N,åre,וריד
44,Sehne::N,sene,גיד
45,Knochen::N,ben,עצם
46,Gehirn::N,hjerne,מוח
47,Herz::N,hjerte,לב
48,Magen::N,mave,קבה
49,Leber::N,lever,כבד
50,Atem::N,ånde,נשימה
51,Hunger::N,sult,רעב
52,Träne::N,tåre,דמעה
53,Geschmack::N,smag,טעם
54,Geruch::N,lugt,ריח
55,Schlaf::N,søvn,שנה
56,Traum::N,drøm,חלום
57,Himmel::N,himmel,שמים
58,Sonne::N,sol,שמש
59,Mond::N,måne,ירח
60,Stern::N,stjerne,כוכב
61,Luft::N,luft,אויר
62,Wind::N,vind,רוח
63,Welle::N,bølge,גל
64,Wasser::N,vand,מים
65,Stein::N,sten,אבן
66,Boden::N,jord,קרקע
67,Erde::N,jord,אדמה
68,Staub::N,støv,אבק
69,Rauch::N,røg,עשן
70,Funke::N,gnist,ניצוץ
71,Feuer::N,ild,אש
72,Licht::N,lys,אור
73,Schatten::N,skygge,צל
74,Wetter::N,vejr,מזג אויר
75,Nebel::N,tåge,ערפל
76,Wolke::N,sky,ענן
77,Regen::N,regn,גשם
78,Schnee::N,sne,שלג
79,Eis::N,is,קרח
80,Frost::N,frost,צנה
81,Kälte::N,kulde,קר
82,Hitze::N,hede,חם
83,Raureif::N,rimfrost,כפור
84,Regenbogen::N,regnbue,קשת
85,Donner::N,torden,רעם
86,Strömung::N,strømning,זרימה
87,Tropfen::N,dråbe,טפה
88,Schaum::N,skum,קצף
89,Schmutz::N,snavs,לכלוך
90,See::N,sø,אגם
91,Sumpf::N,sump,בצה
92,Moor::N,mose,בצה
93,Wiese::N,eng,מרעה
94,Wald::N,skov,יער
95,Hügel::N,høj,תל
96,Hügel::N,bakke,תל
97,Anhöhe::N,høj,מעלה
98,Anhöhe::N,bakke,מעלה
99,Berg::N,bjerg,הר
100,Gipfel::N,top,פסגה
101,Höhle::N,hule,מערה
102,Abhang::N,skrænt,מדרון
103,Abhang::N,skrænt,שפוע
104,Abhang::N,skråning,מדרון
105,Abhang::N,skråning,שפוע
106,Quelle::N,kilde,מעין
107,Bach::N,bæk,נחל
108,Fluss::N,flod,נהר
109,Ufer::N,bred,גדה
110,Küste::N,kyst,חוף
111,Festland::N,fastland,יבשה
112,Meer::N,hav,ים
113,Bucht::N,bugt,מפרץ
114,Insel::N,ø,אי
115,Blume::N,blomst,פרח
116,Gras::N,græs,דשא
117,Wurzel::N,rod,שרש
118,Baum::N,træ,עץ
119,Stamm::N,stamme,גזע
120,Rinde::N,bark,קלפת עץ
121,Ast::N,gren,ענף
122,Zweig::N,kvist,ענף
123,Blatt::N,blad,עלה
124,Birke::N,birk,שדר
125,Kiefer[Baum]::N,fyrretræ,ארן
126,Weide[Baum]::N,piletræ,ערבה
127,Tanne::N,gran,אשוח
128,Horn::N,horn,קרן
129,Feder::N,fjer,נוצה
130,Fell::N,skind,פרוה
131,Flügel::N,vinge,כנף
132,Klaue::N,klov,טלף
133,Kralle::N,klo,טפר
134,Schwanz::N,hale,זנב
135,Ei::N,æg,ביצה
136,Nest::N,rede,קן
137,Bau::N,bo,מחלה
138,Tier::N,dyr,חיה
139,Herde::N,flok,עדר
140,Kuh::N,ko,פרה
141,Bulle::N,tyr,פר
142,Pferd::N,hest,סוס
143,Schaf::N,får,כבשה
144,Schwein::N,gris,חזיר
145,Hund::N,hund,כלב
146,Katze::N,kat,חתול
147,Bär::N,bjørn,דב
148,Eichhörnchen::N,egern,סנאי
149,Elch::N,elg,דישון
150,Fuchs::N,ræv,שועל
151,Hase::N,hare,ארנב
152,Maus::N,mus,עכבר
153,Wolf::N,ulv,זאב
154,Vogel::N,fugl,צפור
155,Schwarm::N,sværm,נחיל
156,Schwarm::N,sværm,להקה
157,Huhn::N,høne,תרנגלת
158,Hahn::N,hane,תרנגול
159,Gans::N,gås,אוז
160,Adler::N,ørn,עיט
161,Ente::N,and,ברוז
