,Concept_ID,ta,mrj
0,Auge::N,கண்,сӹнзӓ
1,Ohr::N,காது,пӹлӹш
2,Nase::N,மூக்கு,нер
3,Mund::N,வாய்,ышма
4,Zahn::N,பல்,пӱ
5,Zunge::N,நாக்கு,йӹлмӹ
6,Lippe::N,உதடு,тӹрвӹ
7,Wange::N,கன்னம்,шӹргӹ
8,Gesicht::N,முகம்,лицӓ
9,Stirn::N,முன்னெற்றி,лепкӓ
10,Haar::N,முடி,ӱп
11,Schnurrbart::N,மீசை,öрш
12,Bart::N,தாடி,пандаш
13,Kinn::N,கீழதாடை,онгылаш
14,Kiefer[Anatomie]::N,தாடை,пӱ арата
15,Kehle::N,தொண்டை,логер
16,Hals::N,கழுத்து,шӱ
17,Genick::N,கழுத்து,ланга
18,Kopf::N,தலை,вуй
19,Rücken::N,முதுகு,туп
20,Bauch::N,வயிறு,мӹшкӹр
21,Nabel::N,தொப்புள்,кӹлӹмдӹ
22,Busen::N,மார்பகம்,цӹзӹ
23,Brust::N, மார்பு,мел
24,Schulter::N,தோள்பட்டை,ӹнгӹжӓ
25,Arm::N,கரம்,кид
26,Ellenbogen::N,முழங்கை,кӹнервуй
27,Hand::N,கை,лапа
28,Handfläche::N,உள்ளங்கை,кид лапа
29,Finger::N,விரல்,парня
30,Fingernagel::N,விரல் நகம்,кӹч
31,Nagel[Anatomie]::N,நகம்,кӹч
32,Zeh::N,கால்விரல்,парня
33,Fuß::N,கால்,ял лапа
34,Ferse::N,குதிகால்,ялгавал
35,Ferse::N,குதிகால்,ял кавал
36,Knie::N,முழங்கால்,пылвуй
37,Oberschenkel::N,தொடை,ӓрдӹ
38,Bein::N,கால்,ял
39,Körper::N,உடல்,монгыр
40,Haut::N,சருமம்,кавашты
41,Blut::N,இரத்தம்,вӹр
42,Ader::N,நாளம்,вӹршӓр
43,Sehne::N,தசைநார்,кукшышӱн
44,Knochen::N,எலுமபு,лу
45,Gehirn::N,மூனை,вим
46,Herz::N,இதயம,шӱм
47,Magen::N,வயிறு,шӱм
48,Leber::N,கல்லீரல்,мокш
49,Atem::N,மூச்சு,шӱлӹш
50,Hunger::N,பசி,шужымаш
51,Träne::N,கண்ணீர்,сӹнзӓвӹд
52,Geschmack::N,நறுமணம்,тот
53,Geruch::N,துர்நாற்றம்,пыш
54,Schlaf::N,தூக்கம்,ом
55,Traum::N,கனவு,ом
56,Himmel::N,வானம்,пӹлгом
57,Sonne::N,சூரியன்,кечӹ
58,Mond::N,சந்திரன்,тӹлзӹ
59,Stern::N,நட்சத்திரம்,шӹдӹр
60,Luft::N,காறறு,юж
61,Luft::N,காறறு,воздух
62,Wind::N,காற்று,мардеж
63,Welle::N,அலை,ко
64,Welle::N,அலை,коэ
65,Wasser::N,நீர்,вӹд
66,Stein::N,கல்,кӱ
67,Boden::N,தரை,рок
68,Erde::N,மண்,свет
69,Staub::N,தூசி,пырак
70,Rauch::N,புகை,шӹкш
71,Funke::N,தீப்பொறி,ип
72,Funke::N,தீப்பொறி,тылип
73,Feuer::N,தீ,тыл
74,Licht::N,வெளிச்சம்,соты
75,Licht::N,வெளிச்சம்,валгыды
76,Schatten::N,நிழல்,ӹмӹл
77,Wetter::N,வானிலை,игечӹ
78,Nebel::N,பனிமூட்டம்,тӹтӹрӓ
