,Concept_ID,xal,ady
0,Auge::N,нүдн,нэ
1,Ohr::N,чикн,тхьакӏу́м
2,Nase::N,хамр,пэ
3,Mund::N,амн,жэ
4,Zahn::N,шүдн,цэ
5,Zunge::N,келн,бзэгу
6,Lippe::N,урл,ӏупшӏэ́
7,Wange::N,халх,нэкӏу́шъу
8,Gesicht::N,нүр,нэ́гу
9,Stirn::N,маңна,натӏэ́
10,Haar::N,үсн,шъхьацы́
11,Schnurrbart::N,сахл,
12,Bart::N,сахл,жакӏэ́
13,Bart::N,өргнә сахл,жакӏэ́
14,Kinn::N,өргн,жэкӏэпэпкъ
15,Kiefer[Anatomie]::N,өргн,жэпкъы́
16,Kehle::N,хол,чый
17,Hals::N,күзүн,пшъэ
18,Genick::N,гиҗг,шъхьэпхэтыку
19,Kopf::N,толһа,шъхьэ́
20,Rücken::N,нурһн,кӏыбы́
21,Bauch::N,гесн,ныбэ́
22,Nabel::N,киисн,
23,Busen::N,көкн,бгъэ́
24,Brust::N,чееҗ,бгъэ́
25,Schulter::N,ээм,блыпкъ
26,Arm::N,һар,ӏэ
27,Ellenbogen::N,тоха,ӏэнтэ́гъу
28,Hand::N,баһлцг,ӏэтхьэцу
29,Handfläche::N,альхн,ӏэ́гу
30,Finger::N,хурһн,ӏэхъуа́мб
31,Finger::N,һарин хурһн,ӏэхъуа́мб
32,Fingernagel::N,хумсн,ӏэбжъа́н
33,Nagel[Anatomie]::N,хумсн,ӏэбжъа́н
34,Zeh::N,хурһн,ӏэхъуа́мб
35,Zeh::N,көлин хурһн,ӏэхъуа́мб
36,Fuß::N,тавг,лъэгу
37,Ferse::N,өскә,лъэдакъэ
38,Knie::N,өвдг,лъагуа́ндж
39,Oberschenkel::N,һуй,ко
40,Bein::N,көл,лъакъо́
41,Körper::N,махмуд,пкъышъол
42,Haut::N,арсн,кӏы́шъу
43,Blut::N,цусн,лъы
44,Ader::N,судцн,льытф
45,Sehne::N,шүрүсн,фэ
46,Knochen::N,ясн,къупшъхьэ́
47,Gehirn::N,экн,куцӏы
48,Herz::N,зүркн,гу
49,Magen::N,гесн,мышкӏу
50,Leber::N,элкн,шӏу
51,Atem::N,әмсхл,къэщэныр
52,Hunger::N,харһнлһн,гъаблэ́
53,Träne::N,нульмсн,нэпсы
54,Geschmack::N,амтн,ӏэшӏугъа́кӏ
55,Geruch::N,үнр,мэ
56,Schlaf::N,нөр,пчыхьы́пӏ
57,Traum::N,зүүдн,пчыхьы́пӏ
58,Himmel::N,теңгр,уашъо́
59,Sonne::N,нарн,тыгъэ
60,Mond::N,сар,мазэ
61,Stern::N,одн,жъуагъо́
62,Luft::N,аһар,жьы
63,Wind::N,салькн,жьыбгъэ́
64,Welle::N,дольган,ор
65,Welle::N,дольган,оры
66,Wasser::N,усн,псы
67,Stein::N,чолун,мыжъо́
68,Boden::N,Һазр,чӏ́ыгу
69,Erde::N,Һазр,чӏ́ыгу
70,Staub::N,тоосн,сап
71,Rauch::N,утан,ӏугъо́
72,Funke::N,очн,мэшӏуа́ч
73,Feuer::N,һал,машӏо́
74,Licht::N,герл,нэфы
75,Licht::N,герл,нэфын
76,Schatten::N,сүүдр,жьау́
77,Schatten::N,сүүдр,ныбжьыкъу
78,Wetter::N,теңгр,
79,Nebel::N,будн,пща́гъу
80,Wolke::N,үүлн,ошъуапщэ
81,Regen::N,хур,ощхы
82,Schnee::N,цасн,осы́
83,Eis::N,мөсн,мылы
84,Frost::N,киитн,
85,Kälte::N,киитн,чъыӏэ́
86,Hitze::N,халун,фэба́е
87,Raureif::N,цаң,
88,Raureif::N,кирү,
89,Regenbogen::N,солңһ, лэгъупэкъо́пс
90,Donner::N,оһтрһун дун,шыблэ́
91,Strömung::N,урсхл,ток
92,Tropfen::N,дусал,ткӏопс
93,Tropfen::N,дусал,гъуаткӏу
94,Schaum::N,көөсн,тхъурбэ
95,Schmutz::N,кир,псынжъы
96,See::N,нур,хыку́м
97,See::N,нур,псыхъура́й
98,Sumpf::N,унул,орыжъ
99,Moor::N,улм,орыжъ
100,Wiese::N,хадлһн,хъупӏэ́
101,Wiese::N,хадлһн,мэкъупӏ
102,Wald::N,ө-модн,мэзы́
103,Hügel::N,толһа,ӏуашъхь
104,Anhöhe::N,хамр,чӏыӏэтыгъ
105,Berg::N,уул,къушъхьэ́
106,Gipfel::N,ора,шыгу
107,Höhle::N,хадин көндә,гъочӏэгъ
108,Abhang::N,ташу,чапэ
109,Quelle::N,булг,псынэчэ́чъ
110,Bach::N,һооҗур,псышкуашку
111,Fluss::N,һол,псыхъо́
112,Ufer::N,көвә,нэпкъы
113,Küste::N,көвә,ӏушъо
114,Küste::N,теңгсин көвә,ӏушъо
115,Festland::N,хүүрә һазр,чӏл́ыгу
116,Meer::N,теңгс,хы
117,Bucht::N,цекә,хыблыгу
118,Bucht::N,теңгсин цекә,хыблыгу
119,Insel::N,арл,хыгъэхъу́н
120,Blume::N,цецг,къэгъа́гь
121,Gras::N,ноһан,уцы́
122,Wurzel::N,уңг,лъапсэ́
123,Baum::N,модн,чъыгы́
124,Stamm::N,шилв,пкъы
125,Stamm::N,һол модн,пкъы
126,Rinde::N,көрсн,пхъашъо́
127,Ast::N,ац,куамэ
128,Zweig::N,ац,къутамэ́
129,Blatt::N,хамтхасн,тхьап
130,Birke::N,хусм модн,пчэн
131,Kiefer[Baum]::N,шар харһа,сэснэй
132,Weide[Baum]::N,удн,пце́л
133,Tanne::N,җөөлн цаһан модн,ель
134,Horn::N,өвр,бжъэ
135,Feder::N,өрвлг,къамӏы́й
136,Fell::N,арсн,шъо
137,Flügel::N,җивр,тамэ́
138,Klaue::N,хумсн,лъэбжъа́н
139,Kralle::N,тавг,лъакъо
140,Schwanz::N,сүл,кӏэ
141,Ei::N,өндгн,кӏэнкӏэ́
142,Nest::N,үр,набгъо́
143,Bau::N,нүкн,гъу
144,Bau::N,нүкн,бы
145,Tier::N,мал,псэу́шъхь
146,Herde::N,сүрг мал,ӏэхъогъу
147,Kuh::N,үкр,чэмы́
148,Bulle::N,бух,цу
149,Pferd::N,мөрн,шы
150,Schaf::N,хөн,мэлы́
151,Schwein::N,һаха,къо
152,Hund::N,ноха,бьэ
153,Katze::N,мис,чэты́у
154,Bär::N,аю,мышъэ́
155,Eichhörnchen::N,кермн,цызэ́
156,Elch::N,хандһа,лось
157,Fuchs::N,арат,баджэ́
158,Hase::N,туула,тхьакӏумкӏы́хь
159,Maus::N,хулһн,цыгъо́
160,Wolf::N,чон,тыгъу́жъ
161,Vogel::N,шовун,бзы́у
162,Schwarm::N,зел,отэр
163,Huhn::N,така,чэты́
164,Hahn::N,эр така,атакъэ́
165,Gans::N,һалун,къа́з
166,Adler::N,һәрд,
167,Ente::N,нуһсн,псычэ́т
168,Eule::N,һурвлһ,тыгъурыгъу
169,Kranich::N,тоһрун,къэрэ́у
