,Concept_ID,nl,ps
0,Auge::N,oog,سترګه
1,Ohr::N,oor,غوږ
2,Nase::N,neus,پوزه
3,Mund::N,mond,خوله
4,Zahn::N,tand,غاښ
5,Zunge::N,tong,جبه
6,Lippe::N,lip,شونډه
7,Wange::N,wang,باړخو
8,Gesicht::N,gelaat,مخ
9,Gesicht::N,gezicht,مخ
10,Stirn::N,voorhoofd,تندی
11,Stirn::N,voorhoofd,وچولی
12,Haar::N,haar,وېښته
13,Schnurrbart::N,snor,برېت
14,Bart::N,baard,ږیره
15,Kinn::N,kin,زنه
16,Kiefer[Anatomie]::N,kaak,جامه
17,Kehle::N,keel,غاړه
18,Kehle::N,strot,غاړه
19,Hals::N,hals,غاړه
20,Genick::N,nek,ورمېږ
21,Kopf::N,hoofd,سر
22,Rücken::N,rug,شا
23,Bauch::N,buik,نس
24,Bauch::N,buik,ګېډه
25,Nabel::N,navel,نوم
26,Busen::N,boezem,تی
27,Brust::N,borst,سینه
28,Schulter::N,schouder,اوږه
29,Arm::N,arm,لاس
30,Ellenbogen::N,elleboog,څنګل
31,Hand::N,hand,لاس
32,Handfläche::N,handpalm,ورغوی
33,Finger::N,vinger,ګوته
34,Fingernagel::N,nagel,نوک
35,Nagel[Anatomie]::N,nagel,نوک
36,Zeh::N,teen,ګوته
37,Fuß::N,voet,پښه
38,Ferse::N,hak,پونده
39,Ferse::N,hiel,پونده
40,Knie::N,knie,زنګون
41,Oberschenkel::N,dij,پتون
42,Bein::N,been,پښه
43,Körper::N,lichaam,ځان
44,Haut::N,huid,پوټکی
45,Blut::N,bloed,وینه
46,Ader::N,ader,رګ
47,Sehne::N,pees,پله
48,Knochen::N,bot,هډوکی
49,Knochen::N,been,هډوکی
50,Knochen::N,knook,هډوکی
51,Gehirn::N,hersenen,ماغزه
52,Herz::N,hart,زړه
53,Magen::N,maag,معده
54,Leber::N,lever,ينه
55,Leber::N,lever,ځیګر
56,Atem::N,adem,نفس
57,Hunger::N,honger,ولږه
58,Träne::N,traan,اوښکه
59,Geschmack::N,smaak,مزه
60,Geschmack::N,smaak,خوند
61,Geruch::N,geur,بوی
62,Schlaf::N,slaap,خوب
63,Traum::N,droom,خوب
64,Himmel::N,hemel,اسمان
65,Sonne::N,zon,لمر
66,Mond::N,maan,سپوږمۍ
67,Stern::N,ster,ستوری
68,Luft::N,lucht,هوا
69,Wind::N,wind,ورښ
70,Welle::N,golf,موج
71,Wasser::N,water,اوبه
72,Stein::N,steen,ډبره
73,Boden::N,grond,مځکه
74,Erde::N,aarde,خاوره
75,Staub::N,stof,ګرد
76,Staub::N,stof,خاوره
77,Rauch::N,rook,دود
78,Rauch::N,rook,لوګی
79,Funke::N,vonk,سپرغۍ
80,Feuer::N,vuur,اور
81,Licht::N,licht,رڼا
82,Schatten::N,schaduw,سیوری
83,Wetter::N,weer,هوا
84,Nebel::N,mist,لړه
85,Nebel::N,nevel,لړه
86,Wolke::N,wolk,ورېځ
87,Regen::N,regen,وریا
88,Regen::N,regen,باران
89,Schnee::N,sneeuw,واوره
90,Eis::N,ijs,یخ
91,Eis::N,ijs,کنګل
92,Frost::N,vorst,یخ
93,Kälte::N,kou,ساړه
94,Kälte::N,koude,ساړه
95,Hitze::N,hitte,تودوخي
96,Raureif::N,rijp,سپینه پرخه
97,Regenbogen::N,regenboog,بوډۍ ټال
98,Regenbogen::N,regenboog,سره زرغونه
99,Donner::N,donder,تالنده
100,Strömung::N,stroming,بهېدنه
101,Tropfen::N,druppel,قطره
102,Tropfen::N,druppel,څاڅکی
103,Schaum::N,schuim,ځګ
104,Schmutz::N,vuil,ناپاکي
105,See::N,meer,جهیل
106,Sumpf::N,moeras,جبه
107,Moor::N,veen,جبه
108,Wiese::N,wei,چمن
109,Wiese::N,wei,شنېلی
110,Wiese::N,weide,چمن
111,Wiese::N,weide,شنېلی
112,Wald::N,bos,ځنګل
113,Hügel::N,heuvel,تپه
114,Anhöhe::N,hoogte,غونډۍ
115,Berg::N,berg,غ‍‍‍‍‍ر
116,Gipfel::N,top,څوکه
117,Höhle::N,hol,کاز
118,Abhang::N,helling,لمن
119,Quelle::N,bron,چینه
120,Bach::N,beek,واله
121,Fluss::N,stroom,سیند
122,Ufer::N,wal,غاړه
123,Ufer::N,oever,غاړه
124,Küste::N,kust,ساحل
125,Festland::N,vasteland,وچه
126,Meer::N,zee,بحر
127,Meer::N,zee,سمندر
128,Bucht::N,baai,کارۍ
129,Bucht::N,inham,کارۍ
130,Insel::N,eiland,ټاپو
131,Insel::N,eiland,جزيره
132,Blume::N,bloem,ګل
133,Gras::N,gras,واښه
134,Wurzel::N,wortel,ریښه
135,Baum::N,boom,ونه
136,Stamm::N,stam,ډډ
137,Rinde::N,schors,پوستکی
138,Ast::N,tak,ښاخ
139,Zweig::N,twijg,څانګه
140,Blatt::N,blad,پاڼه
141,Birke::N,berk,توس
142,Kiefer[Baum]::N,den,نښتر
143,Weide[Baum]::N,wilg,وله
144,Tanne::N,spar,ناجو
145,Horn::N,hoorn,ښکر
146,Feder::N,veer,بڼکه
147,Feder::N,pluim,بڼکه
148,Fell::N,vel,پوستکی
149,Flügel::N,vleugel,وزر
150,Klaue::N,klauw,پنجه
151,Klaue::N,klauw,منګول
152,Kralle::N,klauw,پنجه
153,Kralle::N,klauw,منګول
154,Schwanz::N,staart,لکۍ
155,Ei::N,ei,وۍ
156,Ei::N,ei,هګۍ
157,Nest::N,nest,جاله
158,Bau::N,hol,کاز
159,Tier::N,dier,ژوی
160,Tier::N,dier,حیوان
161,Herde::N,kudde,رمه
162,Herde::N,kudde,غېله
163,Kuh::N,koe,غوا
164,Bulle::N,stier,غوئی
165,Pferd::N,paard,آس
166,Schaf::N,schaap,پسه
167,Schwein::N,varken,سرکوزی
168,Hund::N,hond,سپی
169,Katze::N,kat,پشه
170,Bär::N,beer,خرس
171,Eichhörnchen::N,eekhoorntje,خړ لمی
172,Elch::N,eland,ګوزن
173,Fuchs::N,vos,سپلم
174,Hase::N,haas,سوی
175,Maus::N,muis,مږک
176,Wolf::N,wolf,لېوه
177,Vogel::N,vogel,مرغه
178,Schwarm::N,zwerm,سېل
179,Huhn::N,kip,چرګه
180,Huhn::N,hoen,چرګه
181,Hahn::N,haan,چرګ
182,Gans::N,gans,بته
183,Adler::N,arend,عقاب
184,Ente::N,eend,ایلۍ
185,Eule::N,uil,ګونګی
186,Kranich::N,kraanvogel,کلنګ
187,Krähe::N,kraai,کارغه
188,Kuckuck::N,koekoek,فاخته
189,Schwan::N,zwaan,قو
190,Fisch::N,vis,کب
191,Fisch::N,vis,ماهی
192,Barsch::N,baars,
193,Hecht::N,snoek,
194,Schlange[Tier]::N,slang,مار
195,Wurm::N,worm,چینجی
196,Spinne::N,spin,غڼه
197,Spinne::N,spin,تارکښ
198,Ameise::N,mier,مېږی
199,Laus::N,luis,سپږه
200,Mücke::N,mug,ماشی
201,Fliege::N,vlieg,مچ
202,Schmetterling::N,vlinder,پتنګ
203,Beere::N,bes,مېوۍ
204,Apfel::N,appel,مڼه
205,Pilz::N,paddestoel,خرېړی
206,Zwiebel::N,ui,پیاز
207,Saat::N,zaad,تخم
208,Korn::N,graan,تخم
209,Korn::N,graan,دانه
210,Korn::N,korrel,تخم
211,Korn::N,korrel,دانه
212,Heu::N,hooi,بوس
213,Heu::N,hooi,پروړه
214,Schale::N,schil,پوستکی
215,Grube::N,kuil,کنده
216,Falle::N,val,دام
217,Falle::N,val,لومه
218,Schlinge::N,strop,کړۍ
219,Spur::N,spoor,نښه
220,Asche::N,as,آس
221,Asche::N,as,ایره
222,Dreck::N,drek,ناپاکي
223,Eisen::N,ijzer,اوسپنه
224,Gold::N,goud,سره زر
225,Silber::N,zilver,نقره
226,Silber::N,zilver,سپین زر
227,Kohle::N,kool,سکور
228,Kohle::N,kool,سکاره
229,Glas::N,glas,ښيښه
230,Lehm::N,klei,خټه
231,Sand::N,zand,شګه
232,Mensch::N,mens,انسان
233,Mann::N,man,سړی
234,Mann::N,man,نارینه
235,Frau::N,vrouw,ښځه
236,Kind::N,kind,بچی
237,Kind::N,kind,ماشوم
238,Junge::N,jongen,هلک
239,Mädchen::N,meisje,نجلۍ
240,Familie::N,gezin,کورنۍ
241,Familie::N,familie,کورنۍ
242,Großvater::N,grootvader,بابا
243,Großmutter::N,grootmoeder,انا
244,Eltern::N,ouders,مور او پلار
245,Vater::N,vader,پلار
246,Mutter::N,moeder,مور
247,Sohn::N,zoon,زوی
248,Tochter::N,dochter,لور
249,Bruder::N,broer,ورور
250,Bruder::N,broeder,ورور
251,Schwester::N,zus,خور
252,Schwester::N,zuster,خور
253,Onkel::N,oom,تره
254,Onkel::N,oom,ماما
255,Tante::N,tante,خاله
256,Ehemann::N,echtgenoot,مېړه
257,Ehefrau::N,echtgenote,مېرمن
258,Freude::N,vreugde,خوشحالي
259,Gelächter::N,gelach,خندا
260,Glück::N,geluk,بخت
261,Kummer::N,verdriet,غم
262,Wunsch::N,wens,هيله
263,Wunsch::N,wens,غوښتنه
264,Wunsch::N,verlangen,هيله
265,Wunsch::N,verlangen,غوښتنه
266,Lust::N,zin,شوق
267,Lust::N,zin,مینه
268,Lust::N,lust,شوق
269,Lust::N,lust,مینه
270,Geist::N,geest,روح
271,Gedanke::N,gedachte,فکر
272,Gedächtnis::N,geheugen,یاد
273,Gedächtnis::N,geheugen,حافظه
274,Verstand::N,verstand,عقل
275,Verstand::N,verstand,شعور
276,Sinn::N,betekenis,معنی
277,Grund::N,reden,علت
278,Grund::N,reden,اساس
279,Wahrheit::N,waarheid,حقیقت
280,Gespräch::N,gesprek,مرکه
281,Gespräch::N,gesprek,خبرې اترې
282,Märchen::N,sprookje,افسانه
283,Erzählung::N,verhaal,قصه
284,Erzählung::N,verhaal,کیسه
285,Nachricht::N,tijding,خبر
286,Neuigkeit::N,nieuws,نوی خبر
287,Neuigkeit::N,nieuwtje,نوی خبر
288,Name::N,naam,نوم
289,Rätsel::N,raadsel,کیسۍ
290,Rätsel::N,raadsel,چیستان
291,Rede::N,rede,وینا
292,Sprache::N,taal,ژبه
293,Stimme::N,stem,غږ
294,Stimme::N,stem,اواز
295,Wort::N,woord,لغت
296,Wort::N,woord,کلمه
297,Zeichen::N,teken,نښه
298,Zeichen::N,teken,اشاره
299,Ruf::N,roep,ږغ
300,Ruf::N,roep,بلنه
301,Lärm::N,lawaai,غالمغال
302,Laut::N,klank,ږغ
303,Laut::N,geluid,ږغ
304,Ton::N,toon,اواز
305,Ton::N,klank,اواز
306,Lied::N,lied,غزله
307,Lied::N,lied,سندره
308,Ruhe::N,rust,ارامي
309,Ruhe::N,stilte,ارامي
310,Leute::N,lui,خلک
311,Leute::N,mensen,خلک
312,Volk::N,volk,ولس
313,Arbeit::N,werk,کار
314,Arbeit::N,arbeid,کار
315,Gast::N,gast,مېلمه
316,Geschenk::N,cadeau,تحفه
317,Geschenk::N,cadeau,سوغات
318,Geschenk::N,geschenk,تحفه
319,Geschenk::N,geschenk,سوغات
320,Spiel::N,spel,لوبه
321,Gesellschaft::N,gezelschap,ډله
322,Hilfe::N,hulp,کومک
323,Hilfe::N,hulp,مرسته
324,Freund::N,vriend,ملګری
325,Kamerad::N,maat,انډيوال
326,Kamerad::N,metgezel,انډيوال
327,Angelegenheit::N,zaak,موضوع
328,Angelegenheit::N,aangelegenheid,موضوع
329,Anzahl::N,tal,شمېر
330,Anzahl::N,tal,تعداد
331,Anzahl::N,aantal,شمېر
332,Anzahl::N,aantal,تعداد
333,Art::N,slag,ډول
334,Art::N,soort,ډول
335,Stück::N,stuk,ټوټه
336,Teil::N,deel,برخه
337,Hälfte::N,helft,نیم
338,Kreis::N,kring,دایره
339,Kreis::N,cirkel,دایره
340,Kreuz::N,kruis,صلیب
341,Linie::N,lijn,خط
342,Linie::N,lijn,لیکه
343,Strich::N,haal,کرښه
344,Strich::N,streep,کرښه
345,Abstand::N,afstand,فاصله
346,Entfernung::N,afstand,واټن
347,Gegend::N,streek,سیمه
348,Gegend::N,streek,منطقه
349,Platz::N,ruimte,ځای
350,Ort::N,oord,ځای
351,Ort::N,plaats,ځای
352,Seite::N,zij,مخ
353,Seite::N,zij,اړخ
354,Seite::N,kant,مخ
355,Seite::N,kant,اړخ
356,Seite::N,zijde,مخ
357,Seite::N,zijde,اړخ
358,Mitte::N,midden,وسط
359,Mitte::N,midden,مینځ
360,Gegenstand::N,voorwerp,شی
361,Sache::N,zaak,شی
362,Sache::N,zaak,څيز
363,Rand::N,rand,څنډه
364,Rand::N,rand,کناره
365,Rand::N,boord,څنډه
366,Rand::N,boord,کناره
367,Kante::N,kant,اړخ
368,Ecke::N,hoek,ګوټ
369,Spitze::N,punt,څوکه
370,Spitze::N,spits,څوکه
371,Ende::N,einde,څوکه
372,Ende::N,uiteinde,څوکه
373,Loch::N,gat,سوری
374,Winkel::N,hoek,کنج
375,Winkel::N,hoek,کوتی
376,Muster::N,dessin,نمونه
377,Muster::N,patroon,نمونه
378,Größe::N,grootte,قد
379,Größe::N,grootte,لويوالی
380,Länge::N,lengte,طول
381,Länge::N,lengte,اوږد والی
382,Höhe::N,hoogte,جګوالی
383,Gewicht::N,gewicht,وزن
384,Menge::N,hoeveelheid,اندازه
385,Haufen::N,hoop,کوټه
386,Reihe::N,rij,صف
387,Reihe::N,rij,کتار
388,Reihe::N,reeks,صف
389,Reihe::N,reeks,کتار
