,Concept_ID,kl,lv
0,Auge::N,isi,син
1,Auge::N,isi,acs
2,Ohr::N,siut,пель
3,Ohr::N,siut,auss
4,Mund::N,paaq,вом
5,Mund::N,paaq,mute
6,Mund::N,qaneq,вом
7,Mund::N,qaneq,mute
8,Zahn::N,kigut,пинь
9,Zahn::N,kigut,zobs
10,Zunge::N,oqaq,кыв
11,Zunge::N,oqaq,mēle
12,Lippe::N,qarloq,вом дор
13,Lippe::N,qarloq,lūpa
14,Wange::N,ersaq,бан
15,Wange::N,ersaq,vaigs
16,Gesicht::N,kiinaq,чужӧм
17,Gesicht::N,kiinaq,seja
18,Gesicht::N,kiinaq,ģīmis
19,Stirn::N,qaaq,плеш
20,Stirn::N,qaaq,кымӧс
21,Stirn::N,qaaq,piere
22,Haar::N,meqqoq,си
23,Haar::N,meqqoq,юрси
24,Haar::N,meqqoq,mats
25,Bart::N,umik,тош
26,Bart::N,umik,bārda
27,Kinn::N,talloq,тшӧка
28,Kinn::N,talloq,zods
29,Kinn::N,talloq,smakrs
30,Kiefer[Anatomie]::N,alleroq,черлы
31,Kiefer[Anatomie]::N,alleroq,алака лы
32,Kiefer[Anatomie]::N,alleroq,вомкӧтш лы
33,Kiefer[Anatomie]::N,alleroq,žoklis
34,Kehle::N,malaq,голя
35,Kehle::N,malaq,rīkle
36,Hals::N,qungaseq,сьылі
37,Hals::N,qungaseq,kakls
38,Genick::N,pukusuk,юрбӧр
39,Genick::N,pukusuk,балябӧж
40,Genick::N,pukusuk,sprands
41,Kopf::N,niaqoq,юр
42,Kopf::N,niaqoq,galva
43,Rücken::N,qimerlut,мыш
44,Rücken::N,qimerlut,mugura
45,Bauch::N,naaq,рушку
46,Bauch::N,naaq,vēders
47,Nabel::N,qalaseq,гӧг
48,Nabel::N,qalaseq,naba
49,Busen::N,iviangeq,морӧс
50,Busen::N,iviangeq,krūts
51,Brust::N,iviangeq,морӧс
52,Brust::N,iviangeq,krūts
53,Schulter::N,ersik,пельпом
54,Schulter::N,ersik,plecs
55,Schulter::N,assaqqoq,пельпом
56,Schulter::N,assaqqoq,plecs
57,Arm::N,taleq,ки
58,Arm::N,taleq,roka
59,Arm::N,taleq,delms
60,Ellenbogen::N,ikusik,гырддза
61,Ellenbogen::N,ikusik,elkonis
62,Hand::N,assak,ки
63,Hand::N,assak,roka
64,Hand::N,assak,plauksta
65,Handfläche::N,itumak,ки пыдӧс
66,Handfläche::N,itumak,delna
67,Handfläche::N,itumak,plauksta
68,Finger::N,inuak,чунь
69,Finger::N,inuak,pirksts
70,Fingernagel::N,kikiak,гыж
71,Fingernagel::N,kikiak,nags
72,Nagel[Anatomie]::N,kukik,гыж
73,Nagel[Anatomie]::N,kukik,nags
74,Zeh::N,isigak,кок чунь
75,Zeh::N,isigak,pirksts
76,Ferse::N,kimmik,кокбӧр
77,Ferse::N,kimmik,papēdis
78,Knie::N,seeqqoq,пидзӧс
79,Knie::N,seeqqoq,celis
80,Oberschenkel::N,uppat,лядьвей
81,Oberschenkel::N,uppat,бек
82,Oberschenkel::N,uppat,ciska
83,Oberschenkel::N,uppat,augšstilbs
84,Oberschenkel::N,quttoraq,лядьвей
85,Oberschenkel::N,quttoraq,бек
86,Oberschenkel::N,quttoraq,ciska
87,Oberschenkel::N,quttoraq,augšstilbs
88,Bein::N,isigak,кок
89,Bein::N,isigak,kāja
90,Körper::N,timi,туша
91,Körper::N,timi,вывтыр
92,Körper::N,timi,miesa
93,Körper::N,timi,ķermenis
94,Haut::N,mattak,ку
95,Haut::N,mattak,āda
96,Blut::N,aak,вир
97,Blut::N,aak,asins
98,Ader::N,taqaq,сӧн
99,Ader::N,taqaq,asinsvads
100,Sehne::N,ujalu,вез
101,Sehne::N,ujalu,dzīsla
102,Sehne::N,ujaloq,вез
103,Sehne::N,ujaloq,dzīsla
104,Knochen::N,saanikut,лы
105,Knochen::N,saanikut,kauls
106,Gehirn::N,qarasaq,вем
107,Gehirn::N,qarasaq,smadzenes
108,Herz::N,uummat,сьӧлӧм
109,Herz::N,uummat,sirds
110,Magen::N,aqajaroq,кынӧм
111,Magen::N,aqajaroq,kuņģis
112,Leber::N,tinguk,мус
113,Leber::N,tinguk,aknas
114,Atem::N,anerneq,лов
115,Atem::N,anerneq,elpa
116,Hunger::N,kaanneq,тшыг
117,Hunger::N,kaanneq,bads
118,Hunger::N,kaanneq,izsalkums
119,Träne::N,qia,синва
120,Träne::N,qia,asara
121,Träne::N,qiak,синва
122,Träne::N,qiak,asara
123,Geschmack::N,qilanaartuut,кӧр
124,Geschmack::N,qilanaartuut,чӧсмӧс
125,Geschmack::N,qilanaartuut,garša
126,Geruch::N,tipi,зын
127,Geruch::N,tipi,дук
128,Geruch::N,tipi,smaka
129,Geruch::N,tipik,зын
130,Geruch::N,tipik,дук
131,Geruch::N,tipik,smaka
132,Traum::N,sinnattoq,вӧт
133,Traum::N,sinnattoq,вӧтасьӧм
134,Traum::N,sinnattoq,sapnis
135,Traum::N,sinnattugaq,вӧт
136,Traum::N,sinnattugaq,вӧтасьӧм
137,Traum::N,sinnattugaq,sapnis
138,Himmel::N,qilak,енэж
139,Himmel::N,qilak,debess
140,Sonne::N,seqineq,шонді
141,Sonne::N,seqineq,saule
142,Mond::N,qaammat,тӧлысь
143,Mond::N,qaammat,mēness
144,Stern::N,ulloriaq,кодзув
145,Stern::N,ulloriaq,zvaigzne
146,Luft::N,silaannaq,сынӧд
147,Luft::N,silaannaq,gaiss
148,Wind::N,anori,тӧв
149,Wind::N,anori,vējš
150,Wind::N,anorsarik,тӧв
151,Wind::N,anorsarik,vējš
152,Welle::N,aalappaa,гы
153,Welle::N,aalappaa,vilnis
154,Wasser::N,imeq,ва
155,Wasser::N,imeq,ūdens
156,Stein::N,ujarak,из
157,Stein::N,ujarak,akmens
158,Boden::N,nateq,му
159,Boden::N,nateq,augsne
160,Erde::N,issoq,му
161,Erde::N,issoq,му-ва
162,Erde::N,issoq,zeme
163,Staub::N,pujualanerit,бус
164,Staub::N,pujualanerit,putekļi
165,Staub::N,pujoralanerit,бус
166,Staub::N,pujoralanerit,putekļi
167,Rauch::N,iseq,тшын
168,Rauch::N,iseq,dūmi
169,Rauch::N,pujoq,тшын
170,Rauch::N,pujoq,dūmi
171,Funke::N,illoorneq,кинь
172,Funke::N,illoorneq,би кинь
173,Funke::N,illoorneq,dzirkstele
174,Feuer::N,inneq,би
175,Feuer::N,inneq,uguns
176,Licht::N,qaamaneq,югӧр
177,Licht::N,qaamaneq,gaisma
178,Schatten::N,tarraq,вуджӧр
179,Schatten::N,tarraq,ēna
180,Wetter::N,sila,поводдя
181,Wetter::N,sila,laiks
182,Nebel::N,pujoq,ру
183,Nebel::N,pujoq,онь
184,Nebel::N,pujoq,migla
185,Wolke::N,nuia,кымӧр
186,Wolke::N,nuia,mākonis
187,Regen::N,sialuk,зэр
188,Regen::N,sialuk,lietus
189,Schnee::N,aput,лым
190,Schnee::N,aput,sniegs
191,Eis::N,siku,йи
192,Eis::N,siku,ledus
193,Frost::N,issi,кӧдзыд
194,Frost::N,issi,sals
195,Frost::N,issik,кӧдзыд
196,Frost::N,issik,sals
197,Kälte::N,issi,кӧдзыд
198,Kälte::N,issi,saltums
199,Kälte::N,issi,aukstums
200,Hitze::N,kianneq,пӧсь
201,Hitze::N,kianneq,гожӧд
202,Hitze::N,kianneq,karstums
203,Hitze::N,kiassuseq,пӧсь
204,Hitze::N,kiassuseq,гожӧд
205,Hitze::N,kiassuseq,karstums
206,Raureif::N,kaneq,пуж
207,Raureif::N,kaneq,гыӧр
208,Raureif::N,kaneq,sarma
209,Regenbogen::N,neriusaaq,ӧшкамӧшка
210,Regenbogen::N,neriusaaq,varavīksne
211,Donner::N,kalleq,гым
212,Donner::N,kalleq,pērkons
213,Tropfen::N,kuseriarneq,войт
214,Tropfen::N,kuseriarneq,lāse
215,Schaum::N,qapuk,быг
216,Schaum::N,qapuk,быгзьӧм
217,Schaum::N,qapuk,putas
218,Schmutz::N,minguk,няйт
219,Schmutz::N,minguk,dubļi
220,See::N,taseq,ты
221,See::N,taseq,ezers
222,Sumpf::N,maqulluk,гыбад
223,Sumpf::N,maqulluk,кад
224,Sumpf::N,maqulluk,dumbrājs
225,Sumpf::N,maqulluk,staignājs
226,Wiese::N,masarsuk,видз
227,Wiese::N,masarsuk,pļava
228,Hügel::N,qattuneq,дзиб
229,Hügel::N,qattuneq,мыльк
230,Hügel::N,qattuneq,нӧрыс
231,Hügel::N,qattuneq,paugurs
232,Hügel::N,majuariaq,дзиб
233,Hügel::N,majuariaq,мыльк
234,Hügel::N,majuariaq,нӧрыс
235,Hügel::N,majuariaq,paugurs
236,Hügel::N,majorajaaq,дзиб
237,Hügel::N,majorajaaq,мыльк
238,Hügel::N,majorajaaq,нӧрыс
239,Hügel::N,majorajaaq,paugurs
240,Hügel::N,qaqqannguaq,дзиб
241,Hügel::N,qaqqannguaq,мыльк
242,Hügel::N,qaqqannguaq,нӧрыс
243,Hügel::N,qaqqannguaq,paugurs
244,Berg::N,qaqqaq,чой
245,Berg::N,qaqqaq,керӧс
246,Berg::N,qaqqaq,kalns
247,Höhle::N,qaarusuk,рудӧг
248,Höhle::N,qaarusuk,ala
249,Abhang::N,ippik,ньывк
250,Abhang::N,ippik,бокша
251,Abhang::N,ippik,nogāze
252,Abhang::N,sivinganeq,ньывк
253,Abhang::N,sivinganeq,бокша
254,Abhang::N,sivinganeq,nogāze
255,Abhang::N,sivingajaaq,ньывк
256,Abhang::N,sivingajaaq,бокша
257,Abhang::N,sivingajaaq,nogāze
258,Abhang::N,kussangajaaq,ньывк
259,Abhang::N,kussangajaaq,бокша
260,Abhang::N,kussangajaaq,nogāze
261,Bach::N,kuunnguaq,шор
262,Bach::N,kuunnguaq,urga
263,Bach::N,kuunnguaq,strauts
264,Fluss::N,kuuk,ю
265,Fluss::N,kuuk,upe
266,Ufer::N,sissap sinaa,вадор
267,Ufer::N,sissap sinaa,krasts
268,Küste::N,sineriak,вадор
269,Küste::N,sineriak,piekraste
270,Meer::N,imaq,саридз
271,Meer::N,imaq,jūra
272,Bucht::N,ikeq,куръя
273,Bucht::N,ikeq,līcis
274,Bucht::N,kangerluk,куръя
275,Bucht::N,kangerluk,līcis
276,Bucht::N,kangerliumaneq,куръя
277,Bucht::N,kangerliumaneq,līcis
278,Insel::N,qeqertaq,ді
279,Insel::N,qeqertaq,sala
280,Blume::N,naasoq,дзоридз
281,Blume::N,naasoq,puķe
