,Concept_ID,sv,fa
0,Auge::N,öga,چشم
1,Ohr::N,öra,گوش
2,Nase::N,näsa,بینی
3,Mund::N,mun,دهان
4,Zahn::N,tand,دندان
5,Zunge::N,tunga,زبان
6,Lippe::N,läpp,لب
7,Wange::N,kind,لپ
8,Gesicht::N,syn,رو
9,Gesicht::N,syn,چهره
10,Gesicht::N,ansikte,رو
11,Gesicht::N,ansikte,چهره
12,Stirn::N,panna,پیشانی
13,Haar::N,hår,مو
14,Schnurrbart::N,mustasch,سبیل
15,Bart::N,skägg,ریش
16,Kinn::N,haka,چانه
17,Kiefer[Anatomie]::N,käke,فک
18,Kiefer[Anatomie]::N,käke,آرواره
19,Kehle::N,strupe,حلق
20,Hals::N,hals,گردن
21,Genick::N,nacke,پشت گردن
22,Kopf::N,huvud,سر
23,Kopf::N,huvud,کله
24,Rücken::N,rygg,پشت
25,Bauch::N,buk,شکم
26,Bauch::N,mage,شکم
27,Nabel::N,navel,ناف
28,Busen::N,barm,پستان
29,Brust::N,bröst,سینه
30,Schulter::N,skuldra,دوش
31,Schulter::N,skuldra,شانه
32,Arm::N,arm,بازو
33,Ellenbogen::N,armbåge,آرنج
34,Hand::N,hand,دست
35,Handfläche::N,handflata,کف دست
36,Finger::N,finger,انگشت
37,Fingernagel::N,fingernagel,ناخن دست
38,Nagel[Anatomie]::N,nagel,ناخن
39,Zeh::N,tå,انگشت پا
40,Fuß::N,fot,پا
41,Ferse::N,häl,پاشنه
42,Knie::N,knä,زانو
43,Oberschenkel::N,lår,ران
44,Bein::N,ben,پا
45,Bein::N,ben,لنگ
46,Körper::N,kropp,تن
47,Körper::N,kropp,بدن
48,Haut::N,hud,پوست
49,Haut::N,skinn,پوست
50,Blut::N,blod,خون
51,Ader::N,åder,رگ
52,Sehne::N,sena,زردپی
53,Knochen::N,ben,استخوان
54,Gehirn::N,hjärna,مخ
55,Gehirn::N,hjärna,مغز
56,Herz::N,hjärta,دل
57,Herz::N,hjärta,قلب
58,Magen::N,mage,معده
59,Leber::N,lever,کبد
60,Atem::N,anda,نفس
61,Atem::N,andedräkt,نفس
62,Hunger::N,svält,گرسنگی
63,Hunger::N,hunger,گرسنگی
64,Träne::N,tår,اشک
65,Geschmack::N,smak,مزه
66,Geruch::N,lukt,بو
67,Schlaf::N,sömn,خواب
68,Traum::N,dröm,رؤیا
69,Himmel::N,himmel,فلک
70,Himmel::N,himmel,آسمان
71,Sonne::N,sol,آفتاب
