,Concept_ID,ru,sq
0,Auge::N,глаз,sy
1,Ohr::N,ухо,vesh
2,Nase::N,нос,hundë
3,Mund::N,рот,gojë
4,Zahn::N,зуб,dhëmb
5,Zunge::N,язык,gjuhë
6,Lippe::N,губа,buzë
7,Wange::N,щека,faqe
8,Wange::N,щека,mollëz
9,Gesicht::N,лицо,fytyrë
10,Stirn::N,лоб,ballë
11,Haar::N,волос,flokë
12,Haar::N,волосы,flokë
13,Schnurrbart::N,ус,mustaqe
14,Schnurrbart::N,усы,mustaqe
15,Bart::N,борода,mjekër
16,Kinn::N,подбородок,mjekër
17,Kiefer[Anatomie]::N,челюсть,nofull
18,Kehle::N,горло,fyt
19,Kehle::N,горло,grykë
20,Hals::N,шея,qafë
21,Genick::N,затылок,arrëz
22,Kopf::N,голова,kokë
23,Rücken::N,спина,kurriz
24,Bauch::N,живот,bark
25,Nabel::N,пупок,kërthizë
26,Busen::N,женская грудь,gji
27,Brust::N,грудь,gjoks
28,Brust::N,грудь,kraharor
29,Schulter::N,плечо,sup
30,Schulter::N,плечо,krah
31,Arm::N,рука,krah
32,Ellenbogen::N,локоть,bërryl
33,Hand::N,кисть,dorë
34,Handfläche::N,ладонь,pëllëmbë
35,Finger::N,палец,gisht
36,Fingernagel::N,ноготь,thua
37,Nagel[Anatomie]::N,ноготь,thua
38,Zeh::N,палец,gisht i këmbës
39,Fuß::N,ступня,këmbë
40,Ferse::N,пята,thembër
41,Ferse::N,пятка,thembër
42,Knie::N,колено,gju
43,Oberschenkel::N,бедро,kofshë
44,Bein::N,нога,këmbë
45,Körper::N,тело,trup
46,Haut::N,кожа,lëkurë
47,Blut::N,кровь,gjak
48,Ader::N,вена,venë
49,Ader::N,сосуд,venë
50,Sehne::N,жила,dell
51,Sehne::N,тетива,dell
52,Sehne::N,сухожилие,dell
53,Knochen::N,кость,asht
54,Knochen::N,кость,kockë
55,Gehirn::N,мозг,tru
56,Herz::N,сердце,zemër
57,Magen::N,желудок,stomak
58,Leber::N,печень,mëlçi
59,Atem::N,дух,frymë
60,Atem::N,дыхание,frymë
61,Hunger::N,голод,uri
62,Träne::N,слеза,lot
63,Geschmack::N,вкус,shije
64,Geruch::N,запах,erë
65,Schlaf::N,сон,gjumë
66,Traum::N,сновидение,ëndërr
67,Himmel::N,небо,qiell
68,Sonne::N,солнце,diell
69,Mond::N,луна,hënë
70,Stern::N,звезда,yll
71,Luft::N,воздух,ajër
72,Wind::N,ветер,erë
73,Welle::N,волна,valë
74,Welle::N,волна,dallgë
75,Wasser::N,вода,ujë
76,Stein::N,камень,gur
77,Boden::N,почва,tokë
78,Boden::N,почва,truall
79,Erde::N,земля,dhe
80,Erde::N,земля,baltë
81,Staub::N,пыль,pluhur
82,Rauch::N,дым,tym
83,Funke::N,искра,xixë
84,Funke::N,искра,shkëndijë
85,Feuer::N,огонь,zjarr
86,Licht::N,свет,dritë
87,Schatten::N,тень,hije
88,Wetter::N,погода,mot
89,Nebel::N,туман,mjegull
90,Wolke::N,облако,re
91,Regen::N,дождь,shi
92,Schnee::N,снег,borë
93,Eis::N,лед,akull
94,Frost::N,мороз,ngricë
95,Kälte::N,холод,të ftohtë
96,Hitze::N,жара,vapë
97,Hitze::N,жара,nxehtësi
98,Raureif::N,иней,cikmë
99,Regenbogen::N,радуга,ylber
100,Donner::N,гром,gjëmim
101,Donner::N,гром,bubullimë
102,Strömung::N,течение,rrymë
103,Tropfen::N,капля,pikë
104,Schaum::N,пена,shkumë
105,Schmutz::N,грязь,baltë
106,See::N,озеро,liqen
107,Sumpf::N,топь,batak
108,Moor::N,болото,kënetë
109,Wiese::N,луг,livadh
110,Wald::N,лес,pyll
111,Hügel::N,холм,kodër
112,Anhöhe::N,возвышенность,bregore
113,Berg::N,гора,mal
114,Gipfel::N,вершина,kulm
115,Höhle::N,пещера,shpellë
116,Höhle::N,пещера,zgafelle
117,Abhang::N,склон,shpat
118,Abhang::N,склон,tatëpjetë
119,Quelle::N,источник,krua
120,Quelle::N,источник,burim
121,Bach::N,ручей,virua
122,Fluss::N,река,lumë
123,Ufer::N,берег,breg
124,Küste::N,побережье,anëdet
