,Concept_ID,et,az
0,Auge::N,silm,göz
1,Ohr::N,kõrv,qulaq
2,Nase::N,nina,burun
3,Mund::N,suu,ağız
4,Zahn::N,hammas,diş
5,Zunge::N,keel,dil
6,Lippe::N,huul,dodaq
7,Wange::N,põsk,yanaq
8,Gesicht::N,nägu,üz
9,Stirn::N,otsmik,alın
10,Haar::N,juus,saç
11,Schnurrbart::N,vurrud,bığ
12,Schnurrbart::N,vuntsid,bığ
13,Bart::N,habe,saqqal
14,Kinn::N,lõug,çənə
15,Kiefer[Anatomie]::N,lõualuu,çənə
16,Kehle::N,kõri,boğaz
17,Hals::N,kael,boyun
18,Genick::N,kukal,ənsə
19,Kopf::N,pea,baş
20,Rücken::N,selg,bel
21,Bauch::N,kõht,qarın
22,Nabel::N,naba,göbək
23,Busen::N,rind,məmə
24,Brust::N,rind,döş
25,Schulter::N,õlg,çiyin
26,Arm::N,käsivars,qol
27,Ellenbogen::N,küünarnukk,dirsək
28,Hand::N,käsi,əl
29,Handfläche::N,pihk,ovuc
30,Finger::N,sõrm,barmaq
31,Fingernagel::N,küüs,barmaq dırnağı
32,Nagel[Anatomie]::N,küüs,dırnak
33,Zeh::N,varvas,ayaq barmağı
34,Fuß::N,jalg,ayaq
35,Ferse::N,kand,daban
36,Knie::N,põlv,diz
37,Oberschenkel::N,reis,bud
38,Bein::N,jalg,qıç
39,Körper::N,ihu,əndam
40,Körper::N,keha,əndam
41,Haut::N,nahk,dəri
42,Blut::N,veri,qan
43,Ader::N,veen,damar
44,Sehne::N,kõõlus,vətər
45,Knochen::N,luu,sümük
46,Gehirn::N,aju,beyin
47,Herz::N,süda,ürək
48,Magen::N,magu,mədə
49,Leber::N,maks,qara ciyər
50,Atem::N,hingeõhk,nəfəs
51,Atem::N,hingamine,nəfəs
52,Hunger::N,nälg,aclıq
53,Träne::N,pisar,göz yaşı
54,Geschmack::N,maitse,tam
55,Geschmack::N,maitse,ləzzət
56,Geruch::N,lõhn,qoxu
57,Schlaf::N,uni,yuxu
58,Traum::N,unenägu,röya
59,Himmel::N,taevas,göy
60,Himmel::N,taevas,səma
61,Sonne::N,päike,günəş
62,Mond::N,kuu,ay
63,Stern::N,täht,ulduz
64,Luft::N,õhk,hava
65,Wind::N,tuul,yel
66,Wind::N,tuul,külək
67,Welle::N,laine,dalğa
68,Wasser::N,vesi,su
69,Stein::N,kivi,daş
70,Boden::N,maa,yer
71,Boden::N,maa,zəmin
72,Boden::N,pinnas,yer
73,Boden::N,pinnas,zəmin
74,Erde::N,maa,yer torpaq
75,Staub::N,põrm,toz
76,Rauch::N,suits,tüstü
77,Funke::N,säde,qığılcım
78,Feuer::N,tuli,od
79,Licht::N,valgus,işıq
80,Schatten::N,vari,kölgə
81,Wetter::N,ilm,hava
82,Nebel::N,udu,duman
83,Wolke::N,pilv,bulud
84,Regen::N,sadu,yağış
85,Regen::N,sadu,yağmur
86,Schnee::N,lumi,qar
