,Concept_ID,ml,lbe
139,Flügel::N,ചിറക്,ххурупӏайрал тӏиму
140,Klaue::N,നഖം,михь
141,Kralle::N,നഖം,ххяппа
142,Schwanz::N,വാൽ,магъ
143,Ei::N,മുട്ട,ккунук
144,Nest::N,കൂട്,кюру
145,Bau::N,മാളം,цукъуккутӏ
146,Tier::N,മൃഗം,хӏайван
147,Herde::N,കൂട്ടം,газу
148,Kuh::N,പശു,оьл
149,Bulle::N,കാള,ниц
150,Pferd::N,കുതിര,чу
151,Schaf::N,ആട്,тта
152,Schwein::N,പന്നി,дунгъуз
153,Hund::N,നായ്,ккаччи
154,Katze::N,പൂച്ച,ччиту
155,Bär::N,കരടി,цуша
156,Eichhörnchen::N,അണ്ണാൻ,бюрхттукку
157,Elch::N,കടമാന്,ниц-бюрин
158,Fuchs::N,കുറുക്കൻ,цулчӏа
159,Fuchs::N,കുറുക്കൻ,куча цулчӏа
160,Hase::N,മുയൽ,бюрх
161,Maus::N,ചുണ്ടലി,кӏулу
162,Wolf::N,ചെന്നായ,барцӏ
163,Vogel::N,പക്ഷി,лелуххи
164,Schwarm::N,കൂട്ടം,гьухъала
165,Huhn::N,കോഴി,аьнакӏи
166,Hahn::N,പൂവൻകോഴി,ажари
167,Gans::N,അരയന്നം,къаз
168,Adler::N,കഴുകൻ,барзу
169,Ente::N,താറാവ്,урдак
170,Eule::N,മൂങ്ങ,ису
171,Eule::N,മൂങ്ങ,ччиккумяв
172,Kranich::N,കൊക്ക്,кьурукь
173,Krähe::N,കാക്ക,хъатӏу
174,Kuckuck::N,കുയിൽ,ччикку
175,Schwan::N,അരയന്നം,урттил къаз
176,Fisch::N,മത്സ്യം,чавахъ
177,Barsch::N,ഒരിനം മത്സ്യം,
178,Hecht::N,ഒരു മത്സ്യം,
179,Schlange[Tier]::N,പാമ്പ്,шатта
180,Wurm::N,വിര,кьюнукьай шатта
181,Spinne::N,ചിലന്തി,ххялцу
182,Ameise::N,ഉറുമ്പ്,митӏикьукьу
183,Laus::N,പേന്,
184,Mücke::N,മശകം,мичӏак
185,Fliege::N,ഈച്ച,зимиз
186,Schmetterling::N,ചിത്രശലഭം,чӏимучӏали
187,Beere::N,ബെറി,хӏаллил ахъулсса
188,Apfel::N,ആപ്പിൾ,гьивч
189,Pilz::N,കൂൺ,ттуккул иис
190,Zwiebel::N,സവാള,лаччул чсмусул бакӏ
191,Saat::N,വിത്ത്,гьанна
192,Korn::N,ധാന്യം,къама
193,Heu::N,വയ്ക്കോൽ,ххулув
194,Schale::N,തൊലി,ккиртту
195,Grube::N,കുഴി,кӏаланг
196,Falle::N,കെണി,къатӏа
197,Schlinge::N,കുടുക്ക്,хӏатӏ
198,Spur::N,ചുവട്,ша
199,Asche::N,ചാരം,лах
200,Dreck::N,അഴുക്ക്,кьяркьи
201,Dreck::N,അഴുക്ക്,венп
202,Eisen::N,ഇരുമ്പ്,мах
