,Concept_ID,sl,fr
0,Auge::N,okó,œil
1,Ohr::N,uhó,oreille
2,Nase::N,nós,nez
3,Mund::N,ústa,bouche
4,Zahn::N,zób,dent
5,Zunge::N,jêzik,langue
6,Lippe::N,ústnica,lèvre
7,Wange::N,líce,joue
8,Gesicht::N,oblíčje,face
9,Gesicht::N,oblíčje,visage
10,Stirn::N,čêlo,front
11,Haar::N,lás,cheveu
12,Schnurrbart::N,bŕki,moustache
13,Bart::N,bráda,barbe
14,Kinn::N,bráda,menton
15,Kiefer[Anatomie]::N,čeljúst,mâchoire
16,Kehle::N,gŕlo,gorge
17,Hals::N,vrát,cou
18,Genick::N,zatílnik,nuque
19,Kopf::N,gláva,tête
20,Rücken::N,hrbèt,dos
21,Bauch::N,trébuh,ventre
22,Nabel::N,pópek,nombril
23,Busen::N,nédrja,sein
24,Brust::N,pŕsi,poitrine
25,Schulter::N,ráma,épaule
26,Schulter::N,plêče,épaule
27,Arm::N,rôka,bras
28,Ellenbogen::N,komólec,coude
29,Hand::N,rôka,main
30,Handfläche::N,dlán,paume
31,Finger::N,pŕst,doigt
32,Fingernagel::N,nóht na rôki,ongle
33,Nagel[Anatomie]::N,nóht,ongle
34,Zeh::N,pŕst na nôgi,orteil
35,Zeh::N,pŕst na nôgi,doigt de pied
36,Fuß::N,nôga,pied
37,Ferse::N,pêta,talon
38,Knie::N,koléno,genou
39,Oberschenkel::N,stêgno,cuisse
40,Bein::N,nôga,jambe
41,Körper::N,teló,corps
42,Haut::N,kóža,peau
43,Blut::N,krí,sang
44,Ader::N,žíla,veine
45,Sehne::N,kíta,tendon
46,Knochen::N,kóst,os
47,Gehirn::N,možgáni,cerveau
48,Herz::N,srcé,cœur
49,Magen::N,želódec,estomac
50,Leber::N,jétra,foie
51,Atem::N,díh,haleine
52,Hunger::N,glád,faim
53,Träne::N,sólza,larme
54,Geschmack::N,okús,goût
55,Geschmack::N,okús,saveur
56,Geruch::N,vónj,odeur
57,Schlaf::N,sèn,sommeil
58,Schlaf::N,spánec,sommeil
59,Traum::N,sánje,songe
60,Himmel::N,nebó,ciel
61,Sonne::N,sónce,soleil
62,Mond::N,lúna,lune
63,Mond::N,mésec,lune
64,Stern::N,zvézda,étoile
65,Luft::N,zràk,air
66,Wind::N,véter,vent
67,Welle::N,vál,vague
68,Wasser::N,vôda,eau
69,Stein::N,kámen,pierre
70,Boden::N,tlà,sol
71,Boden::N,tlà,terrain
72,Erde::N,pŕst,terre
73,Erde::N,zêmlja,terre
74,Staub::N,práh,poussière
75,Rauch::N,dìm,fumée
76,Funke::N,ískra,étincelle
77,Feuer::N,ôgenj,feu
78,Licht::N,lúč,lumière
79,Schatten::N,sénca,ombre
80,Wetter::N,vrême,temps
81,Nebel::N,meglà,brume
82,Nebel::N,meglà,brouillard
83,Wolke::N,oblák,nuage
84,Regen::N,dèž,pluie
85,Schnee::N,snég,neige
86,Eis::N,léd,glace
87,Frost::N,zmrzál,gel
88,Frost::N,zmrzál,gelée
89,Kälte::N,mràz,froid
90,Hitze::N,pripéka,chaleur
91,Raureif::N,ívje,givre
92,Raureif::N,slána,givre
93,Regenbogen::N,mávrica,arc-en-ciel
94,Donner::N,gròm,tonnerre
95,Strömung::N,strúja,courant
96,Tropfen::N,káplja,goutte
97,Schaum::N,péna,écume
98,Schaum::N,péna,mousse
99,Schmutz::N,nesnága,boue
100,Schmutz::N,nesnága,saleté
101,See::N,jézero,lac
102,Sumpf::N,močvírje,marais
103,Sumpf::N,močvírje,marécage
104,Moor::N,bárje,tourbière
105,Wiese::N,trávnik,pré
106,Wald::N,lés,bois
107,Wald::N,lés,forêt
108,Wald::N,gòzd,bois
109,Wald::N,gòzd,forêt
110,Hügel::N,brég,coteau
111,Hügel::N,brég,colline
112,Hügel::N,goríca,coteau
113,Hügel::N,goríca,colline
114,Anhöhe::N,gríč,éminence
115,Anhöhe::N,gríč,élévation
116,Anhöhe::N,višína,éminence
117,Anhöhe::N,višína,élévation
118,Berg::N,gôra,mont
119,Berg::N,gôra,montagne
120,Berg::N,planína,mont
121,Berg::N,planína,montagne
122,Gipfel::N,vŕh,cime
123,Gipfel::N,vŕh,sommet
124,Höhle::N,jáma,caverne
125,Höhle::N,votlína,caverne
126,Abhang::N,pobóčje,pente
127,Abhang::N,pobóčje,versant
128,Quelle::N,izvír,source
129,Quelle::N,izvír,fontaine
130,Bach::N,pôtok,ruisseau
131,Fluss::N,réka,fleuve
132,Fluss::N,réka,rivière
133,Ufer::N,brég,bord
134,Ufer::N,brég,rivage
135,Küste::N,obála,côte
136,Küste::N,obréžje,côte
137,Festland::N,celína,terre ferme
138,Festland::N,kopnína,terre ferme
139,Meer::N,mórje,mer
140,Bucht::N,zalív,baie
141,Insel::N,ôtok,île
142,Blume::N,cvetlíca,fleur
143,Gras::N,tráva,herbe
144,Wurzel::N,korenína,racine
145,Baum::N,drevó,arbre
146,Stamm::N,dêblo,tronc
147,Rinde::N,lúbje,écorce
148,Rinde::N,skórja,écorce
149,Ast::N,véja,branche
150,Zweig::N,véja,rameau
151,Blatt::N,líst,feuille
152,Birke::N,bréza,bouleau
153,Kiefer[Baum]::N,bòr,pin
154,Weide[Baum]::N,vŕba,saule
155,Tanne::N,hója,sapin
156,Horn::N,róg,corne
157,Feder::N,peró,plume
158,Fell::N,kŕzno,peau
159,Flügel::N,krílo,aile
160,Klaue::N,párkelj,serre
161,Kralle::N,krémpelj,ongle
162,Kralle::N,krémpelj,griffe
163,Schwanz::N,rèp,queue
164,Ei::N,jájce,œuf
165,Nest::N,gnézdo,nid
166,Bau::N,brlòg,terrier
167,Tier::N,živál,animal
168,Herde::N,čréda,troupeau
169,Kuh::N,kráva,vache
170,Bulle::N,bìk,taureau
171,Pferd::N,kònj,cheval
172,Schaf::N,ôvca,mouton
173,Schwein::N,svínja,porc
174,Schwein::N,svínja,cochon
175,Hund::N,pès,chien
176,Katze::N,máčka,chat
177,Bär::N,mêdved,ours
178,Eichhörnchen::N,véverica,écureuil
179,Elch::N,lós,élan
180,Fuchs::N,lisíca,renard
181,Hase::N,zájec,lièvre
182,Maus::N,mìš,souris
183,Wolf::N,vólk,loup
184,Vogel::N,ptìč,oiseau
185,Vogel::N,ptíca,oiseau
186,Schwarm::N,játa,nuée
187,Schwarm::N,játa,volée
188,Huhn::N,kokóš,poule
189,Hahn::N,petêlin,coq
190,Gans::N,gós,oie
191,Adler::N,ôrel,aigle
192,Ente::N,ráca,canard
193,Eule::N,sôva,hibou
194,Kranich::N,žerjàv,grue
195,Krähe::N,vrána,corneille
196,Kuckuck::N,kúkavica,coucou
197,Schwan::N,labód,cygne
198,Fisch::N,ríba,poisson
199,Barsch::N,ostríž,perche
200,Hecht::N,ščúka,brochet
201,Schlange[Tier]::N,káča,serpent
202,Wurm::N,čr̀v,ver
203,Wurm::N,glísta,ver
204,Spinne::N,pájek,araignée
205,Ameise::N,mrávlja,fourmi
206,Laus::N,úš,pou
207,Mücke::N,komár,moucheron
208,Fliege::N,múha,mouche
209,Schmetterling::N,metúlj,papillon
210,Beere::N,jágoda,baie
211,Apfel::N,jábolko,pomme
212,Pilz::N,góba,champignon
213,Zwiebel::N,čebúla,oignon
214,Saat::N,séme,semence
215,Korn::N,zŕno,grain
216,Heu::N,senó,foin
217,Schale::N,lupína,pelure
218,Grube::N,jáma,fosse
219,Falle::N,pást,piège
220,Schlinge::N,zánka,lacs
