,Concept_ID,mn,myv
0,Auge::N,нүд,сельме
1,Ohr::N,чих,пиле
2,Nase::N,хамар,судо
3,Mund::N,ам,курго
4,Zahn::N,шүд,пей
5,Zunge::N,хэл,кель
6,Lippe::N,уруул,турва
7,Wange::N,хацар,чамабока
8,Wange::N,хацар,чамаумарь
9,Gesicht::N,царай,чама
10,Gesicht::N,нүүр,чама
11,Stirn::N,дух,коня
12,Haar::N,үс,черь
13,Schnurrbart::N,дээд сахал,ус
14,Schnurrbart::N,дээд сахал,муюк
15,Schnurrbart::N,живэр сахал,ус
16,Schnurrbart::N,живэр сахал,муюк
17,Bart::N,сахал,сакал
18,Kinn::N,эрүү,уло
19,Kiefer[Anatomie]::N,эрүү,пейпакар
20,Kiefer[Anatomie]::N,эрүү,пейловажа
21,Kehle::N,хоолой,кирьгапарь
22,Hals::N,хүзүү,кирьга
23,Genick::N,шил,човонь
24,Genick::N,хүзүү,човонь
25,Kopf::N,толгой,пря
26,Rücken::N,ар,копорь
27,Rücken::N,нуруу,копорь
28,Bauch::N,хэвлий,пеке
29,Bauch::N,гэдэс,пеке
30,Nabel::N,хүйс,почо
31,Busen::N,хөх,поте
32,Brust::N,цээж,меште
33,Schulter::N,мөр,лавтов
34,Schulter::N,бугалга,лавтов
35,Arm::N,гар,кедь
36,Ellenbogen::N,тохой,кенерепакарь
37,Hand::N,гар,кедь
38,Hand::N,алга,кедь
39,Handfläche::N,алга,кедькуншка
40,Handfläche::N,алга,кедьлапушка
41,Finger::N,хуруу,сур
42,Fingernagel::N,хурууны хумс,кенже
43,Nagel[Anatomie]::N,хумс,кенже
44,Zeh::N,хуруу,пильге сур
45,Fuß::N,хөл,пильге
46,Ferse::N,өсгий,кочкаря
47,Knie::N,өвдөг,эле
48,Knie::N,өвдөг,эзне
49,Knie::N,өвдөг,кумажа
50,Oberschenkel::N,гуя,качо
51,Bein::N,хөл,пильге
52,Körper::N,бие,рунго
53,Haut::N,арьс,киське
54,Blut::N,цус,верь
55,Ader::N,судас,сан
56,Sehne::N,бүлх,коське сан
57,Sehne::N,шандас,коське сан
58,Knochen::N,яс,пакарь
59,Gehirn::N,тархи,удем
60,Herz::N,зүрх,седей
61,Magen::N,ходоод,пеке
62,Leber::N,элэг,максо
63,Atem::N,амьсгаа,лексема
64,Atem::N,амьсгаа,оймень таргсема
65,Hunger::N,өлсгөлөн,вачочи
66,Träne::N,нулимс,селведь
67,Geschmack::N,амт,тансть
68,Geruch::N,үнэр,чине
69,Schlaf::N,нойр,удома
70,Traum::N,зүүд,он
71,Himmel::N,тэнгэр,менель
72,Himmel::N,огторгуй,менель
73,Sonne::N,нар,чи
74,Mond::N,сар,ков
75,Stern::N,од,теште
76,Luft::N,агаар,кошт
77,Wind::N,салхи,варма
78,Welle::N,долгио,толкун
79,Welle::N,давалгаа,толкун
80,Wasser::N,ус,ведь
81,Stein::N,чулуу,кев
82,Boden::N,хөрс,мода
83,Erde::N,газар,мастор
84,Erde::N,шороо,мастор
85,Staub::N,тоос,пуль
86,Rauch::N,утаа,качамо
87,Funke::N,оч,сятко
88,Feuer::N,гал,тол
89,Licht::N,гэрэл,валдо
90,Licht::N,гэгээ,валдо
91,Schatten::N,сүүдэр,сулей
92,Schatten::N,сүүдэр,сулейкс
