,Concept_ID,bn,sl
0,Auge::N,চক্ষু,okó
1,Ohr::N,কর্ণ,uhó
2,Nase::N,নাক,nós
3,Mund::N,মুখ,ústa
4,Zahn::N,দাঁত,zób
5,Zunge::N,জিহবা,jêzik
6,Lippe::N,অধর,ústnica
7,Wange::N,গণ্ড,líce
8,Gesicht::N,মুখমণ্ডল,oblíčje
9,Stirn::N,কপাল,čêlo
10,Haar::N,চুল,lás
11,Schnurrbart::N,গোঁফ,bŕki
12,Bart::N,শ্মশ্রু,bráda
13,Kinn::N,চিবুক,bráda
14,Kiefer[Anatomie]::N,চোয়াল,čeljúst
15,Kehle::N,কণ্ঠ,gŕlo
16,Hals::N,গল,vrát
17,Genick::N,ঘাড়,zatílnik
18,Kopf::N,মাথা,gláva
19,Rücken::N,পৃষ্ঠ,hrbèt
20,Bauch::N,উদর,trébuh
21,Nabel::N,নাভি,pópek
22,Busen::N,স্তন,nédrja
23,Brust::N,বুক,pŕsi
24,Schulter::N,স্কন্ধ,ráma
25,Schulter::N,স্কন্ধ,plêče
26,Arm::N,বাহু,rôka
27,Ellenbogen::N,কনুই,komólec
28,Hand::N,হাত,rôka
29,Handfläche::N,করতল,dlán
30,Finger::N,আঙ্গুল,pŕst
31,Fingernagel::N,হাতের নখ,nóht na rôki
32,Nagel[Anatomie]::N,নখ,nóht
33,Zeh::N,আঙ্গুল,pŕst na nôgi
34,Fuß::N,পা,nôga
35,Ferse::N,গোড়ালি,pêta
36,Knie::N,হাঁটু,koléno
37,Oberschenkel::N,ঊরু,stêgno
38,Bein::N,পা,nôga
39,Körper::N,দেহ,teló
40,Haut::N,ত্বক,kóža
41,Blut::N,রক্ত,krí
42,Ader::N,শিরা,žíla
43,Sehne::N,কণ্ডরা,kíta
44,Knochen::N,অস্থি,kóst
45,Gehirn::N,মস্তিষ্ক,možgáni
46,Herz::N,হৃৎপিণ্ড,srcé
47,Magen::N,পাকস্থলী,želódec
48,Leber::N,যকৃৎ,jétra
49,Atem::N,শ্বাস,díh
50,Hunger::N,ক্ষুধা,glád
51,Träne::N,অশ্রু,sólza
52,Geschmack::N,স্বাদ,okús
53,Geruch::N,গন্ধ,vónj
54,Schlaf::N,ঘুম,sèn
55,Schlaf::N,ঘুম,spánec
56,Traum::N,স্বপ্ন,sánje
57,Himmel::N,আকাশ,nebó
58,Sonne::N,সূর্য,sónce
59,Mond::N,চন্দ্র,lúna
60,Mond::N,চন্দ্র,mésec
61,Stern::N,নক্ষত্র,zvézda
62,Luft::N,বায়ু,zràk
63,Wind::N,বাতাস,véter
64,Welle::N,ঢেউ,vál
65,Welle::N,তরঙ্গ,vál
66,Wasser::N,জল,vôda
67,Stein::N,ঢিল,kámen
68,Stein::N,প্রস্তর,kámen
69,Boden::N,ভূতল,tlà
70,Erde::N,ভূমি,pŕst
71,Erde::N,ভূমি,zêmlja
72,Staub::N,ধুলা,práh
73,Rauch::N,ধোঁয়া,dìm
74,Funke::N,স্ফুলিঙ্গ,ískra
75,Feuer::N,অগ্নি,ôgenj
76,Licht::N,আলো,lúč
77,Schatten::N,ছায়া,sénca
78,Wetter::N,আবহাওয়া,vrême
79,Nebel::N,কুহেলিকা,meglà
80,Wolke::N,মেঘ,oblák
81,Regen::N,বৃষ্টি,dèž
82,Schnee::N,তুষার,snég
83,Eis::N,বরফ,léd
84,Frost::N,তুষার,zmrzál
