,Concept_ID,ru,fi
0,Auge::N,глаз,silmä
1,Ohr::N,ухо,korva
2,Nase::N,нос,nenä
3,Mund::N,рот,suu
4,Zahn::N,зуб,hammas
5,Zunge::N,язык,kieli
6,Lippe::N,губа,huuli
7,Wange::N,щека,poski
8,Gesicht::N,лицо,naama
9,Gesicht::N,лицо,kasvot
10,Stirn::N,лоб,otsa
11,Haar::N,волос,hius
12,Haar::N,волос,tukka
13,Haar::N,волосы,hius
14,Haar::N,волосы,tukka
15,Schnurrbart::N,ус,viikset
16,Schnurrbart::N,усы,viikset
17,Bart::N,борода,parta
18,Kinn::N,подбородок,leuka
19,Kiefer[Anatomie]::N,челюсть,leukaluu
20,Kehle::N,горло,kurkku
21,Hals::N,шея,kaula
22,Genick::N,затылок,niska
23,Kopf::N,голова,pää
24,Rücken::N,спина,selkä
25,Bauch::N,живот,maha
26,Bauch::N,живот,vatsa
27,Nabel::N,пупок,napa
28,Busen::N,женская грудь,rinta
29,Brust::N,грудь,rinta
30,Schulter::N,плечо,olka
31,Schulter::N,плечо,hartia
32,Schulter::N,плечо,olkapää
33,Arm::N,рука,käsivarsi
34,Ellenbogen::N,локоть,kyynärpää
35,Hand::N,кисть,käsi
36,Handfläche::N,ладонь,kämmen
37,Finger::N,палец,sormi
38,Fingernagel::N,ноготь,kynsi
39,Nagel[Anatomie]::N,ноготь,kynsi
40,Zeh::N,палец,varvas
41,Fuß::N,ступня,jalka
42,Ferse::N,пята,kantapää
43,Ferse::N,пятка,kantapää
44,Knie::N,колено,polvi
45,Oberschenkel::N,бедро,reisi
46,Bein::N,нога,jalka
47,Körper::N,тело,keho
48,Körper::N,тело,ruumis
49,Haut::N,кожа,iho
50,Blut::N,кровь,veri
51,Ader::N,вена,suoni
52,Ader::N,сосуд,suoni
53,Sehne::N,жила,jänne
54,Sehne::N,тетива,jänne
55,Sehne::N,сухожилие,jänne
56,Knochen::N,кость,luu
57,Gehirn::N,мозг,aivot
58,Herz::N,сердце,sydän
59,Magen::N,желудок,maha
60,Magen::N,желудок,vatsa
61,Leber::N,печень,maksa
62,Atem::N,дух,henki
63,Atem::N,дух,hengitys
64,Atem::N,дыхание,henki
65,Atem::N,дыхание,hengitys
66,Hunger::N,голод,nälkä
67,Träne::N,слеза,kyynel
68,Geschmack::N,вкус,maku
69,Geruch::N,запах,haju
70,Schlaf::N,сон,uni
71,Traum::N,сновидение,uni
72,Himmel::N,небо,taivas
73,Sonne::N,солнце,aurinko
74,Mond::N,луна,kuu
75,Stern::N,звезда,tähti
76,Luft::N,воздух,ilma
77,Wind::N,ветер,tuuli
78,Welle::N,волна,aalto
79,Wasser::N,вода,vesi
80,Stein::N,камень,kivi
81,Boden::N,почва,maa
82,Boden::N,почва,maaperä
83,Erde::N,земля,maa
84,Staub::N,пыль,pöly
85,Rauch::N,дым,savu
86,Funke::N,искра,kipinä
87,Feuer::N,огонь,tuli
88,Licht::N,свет,valo
89,Schatten::N,тень,varjo
90,Wetter::N,погода,sää
91,Nebel::N,туман,sumu
92,Wolke::N,облако,pilvi
93,Regen::N,дождь,sade
94,Schnee::N,снег,lumi
95,Eis::N,лед,jää
96,Frost::N,мороз,halla
97,Frost::N,мороз,pakkanen
98,Kälte::N,холод,vilu
99,Kälte::N,холод,kylmyys
100,Hitze::N,жара,helle
101,Hitze::N,жара,kuumuus
102,Raureif::N,иней,huurre
103,Regenbogen::N,радуга,sateenkaari
104,Donner::N,гром,jyrinä
105,Strömung::N,течение,virtaus
106,Tropfen::N,капля,tippa
107,Tropfen::N,капля,pisara
108,Schaum::N,пена,vaahto
109,Schmutz::N,грязь,loka
110,See::N,озеро,järvi
111,Sumpf::N,топь,suo
112,Moor::N,болото,räme
113,Wiese::N,луг,niitty
114,Wald::N,лес,metsä
115,Hügel::N,холм,mäki
116,Hügel::N,холм,kumpu
117,Hügel::N,холм,kukkula
118,Anhöhe::N,возвышенность,mäki
119,Anhöhe::N,возвышенность,kumpare
120,Berg::N,гора,mäki
121,Berg::N,гора,vuori
122,Gipfel::N,вершина,laki
123,Gipfel::N,вершина,huippu
124,Höhle::N,пещера,luola
125,Abhang::N,склон,rinne
126,Quelle::N,источник,lähde
127,Bach::N,ручей,puro
128,Fluss::N,река,joki
129,Ufer::N,берег,ranta
130,Küste::N,побережье,rannikko
131,Festland::N,суша,manner
132,Meer::N,море,meri
133,Bucht::N,бухта,lahti
134,Insel::N,остров,saari
135,Blume::N,цветок,kukka
136,Gras::N,трава,ruoho
137,Wurzel::N,корень,juuri
138,Baum::N,дерево,puu
139,Stamm::N,ствол,runko
140,Rinde::N,кора,kuori
141,Rinde::N,кора,parkki
142,Ast::N,сук,oksa
143,Zweig::N,ветвь,haara
144,Blatt::N,лист,lehti
145,Birke::N,береза,koivu
146,Kiefer[Baum]::N,сосна,mänty
147,Kiefer[Baum]::N,сосна,petäjä
148,Weide[Baum]::N,ива,paju
149,Tanne::N,ель,kuusi
150,Horn::N,рог,sarvi
151,Feder::N,перо,sulka
152,Feder::N,перо,höyhen
153,Fell::N,шкура,talja
154,Flügel::N,крыло,siipi
155,Klaue::N,коготь,kynsi
156,Kralle::N,лапа,kynsi
157,Schwanz::N,хвост,häntä
158,Schwanz::N,хвост,pyrstö
159,Ei::N,яйцо,muna
160,Nest::N,гнездо,pesä
161,Bau::N,нора,pesä
162,Tier::N,животное,eläin
163,Herde::N,стадо,lauma
164,Kuh::N,корова,lehmä
165,Bulle::N,бык,sonni
166,Pferd::N,лошадь,hevonen
167,Schaf::N,овца,lammas
168,Schwein::N,свинья,sika
169,Hund::N,собака,koira
170,Katze::N,кошка,kissa
171,Bär::N,медведь,karhu
172,Eichhörnchen::N,белка,orava
173,Elch::N,лось,hirvi
174,Fuchs::N,лиса,kettu
