,Concept_ID,is,kk
0,Auge::N,auga,көз
1,Ohr::N,eyra,құлақ
2,Nase::N,nef,мұрын
3,Mund::N,munnur,ауыз
4,Zahn::N,tönn,тіс
5,Zunge::N,tunga,тіл
6,Lippe::N,vör,ерін
7,Wange::N,kinn,ұрт
8,Wange::N,vangi,ұрт
9,Gesicht::N,andlit,бет-аузы
10,Stirn::N,enni,маңдай
11,Haar::N,hár,қыл
12,Schnurrbart::N,yfirskegg,мұрт
13,Bart::N,skegg,сақал
14,Kinn::N,haka,иек
15,Kiefer[Anatomie]::N,kjálki,жақ
16,Kiefer[Anatomie]::N,skoltur,жақ
17,Kehle::N,kverk,алқым
18,Hals::N,háls,мойын
19,Genick::N,hnakki,желке
20,Kopf::N,höfuð,кәллә
21,Rücken::N,hryggur,арқа
22,Bauch::N,kviður,қарын
23,Nabel::N,nafli,кіндік
24,Busen::N,barmur,омырау
25,Brust::N,brjóst,кеуде
26,Schulter::N,öxl,иық
27,Arm::N,armur,қол
28,Ellenbogen::N,olnbogi,шынтақ
29,Hand::N,hönd,қол
30,Handfläche::N,lófi,алақан
31,Finger::N,fingur,саусақ
32,Fingernagel::N,fingurnögl,тырнақ
33,Nagel[Anatomie]::N,nögl,тырнақ
34,Zeh::N,tá,тырнақ
35,Zeh::N,tá,тұяқ
36,Fuß::N,fótur,аяқ-басы
37,Ferse::N,hæll,өкше
38,Ferse::N,hæll,өкшелік
39,Knie::N,kné,тізе
40,Oberschenkel::N,læri,жамбас
41,Bein::N,fótleggur,аяқ
42,Körper::N,búkur,дене
43,Körper::N,líkami,дене
44,Haut::N,húð,тері
45,Haut::N,skinn,тері
46,Blut::N,blóð,қан
47,Ader::N,æð,көктамыр
48,Ader::N,æð,күретамыр
49,Sehne::N,sin,сіңір
50,Knochen::N,bein,жілік
51,Gehirn::N,heili,ми
52,Herz::N,hjarta,жүрек
53,Magen::N,magi,асқазан
54,Leber::N,lifur,бауыр
55,Atem::N,andi,леп
56,Atem::N,andardráttur,леп
57,Hunger::N,hungur,ашаршылық
58,Träne::N,tár,жас
59,Geschmack::N,smekkur,дәм
60,Geschmack::N,smekkur,татым
61,Geschmack::N,smekkur,талғам
62,Geruch::N,lykt,иіс
63,Schlaf::N,svefn,ұйқы
64,Schlaf::N,svefn,ұйықтау
65,Traum::N,draumur,түс
66,Himmel::N,himinn,аспан
67,Himmel::N,himinn,көқ
68,Himmel::N,himinn,таңдай
69,Sonne::N,sól,күн
70,Mond::N,tungl,ай
71,Stern::N,stjarna,жұлдыз
72,Luft::N,loft,әуе
73,Wind::N,vindur,жел
74,Welle::N,alda,толқын
75,Welle::N,bylgja,толқын
76,Wasser::N,vatn,су
77,Stein::N,steinn,тас
78,Boden::N,botn,қыртыс
79,Erde::N,jörð,топырақ
80,Staub::N,ryk,шаң
81,Staub::N,duft,шаң
82,Rauch::N,reykur,түтін
83,Funke::N,neisti,ұшқын
84,Feuer::N,eldur,алау
85,Licht::N,ljós,шұғыла
86,Schatten::N,skuggi,көлеңке
87,Wetter::N,veður,ауа райы
88,Nebel::N,þoka,тұман
89,Wolke::N,ský,бұлт
90,Regen::N,regn,жаңбыр
91,Schnee::N,snjór,қар
