,Concept_ID,pl,ca
0,Auge::N,oko,ull
1,Ohr::N,ucho,orella
2,Nase::N,nos,nas
3,Mund::N,usta,boca
4,Zahn::N,ząb,dent
5,Zunge::N,język,llēngua
6,Lippe::N,warga,llavi
7,Wange::N,policzek,galta
8,Gesicht::N,twarz,cara
9,Stirn::N,czoło,front
10,Haar::N,włos,cabēll
11,Haar::N,włosy,cabēll
12,Schnurrbart::N,wąsy,bigoti
13,Bart::N,broda,barba
14,Kinn::N,podbródek,mentó
15,Kinn::N,podbródek,barbeta
16,Kiefer[Anatomie]::N,czeluść,queix
17,Kiefer[Anatomie]::N,czeluść,mandíbula
18,Kehle::N,gardło,gola
19,Kehle::N,gardło,gorja
20,Hals::N,szyja,coll
21,Genick::N,kark,nuca
22,Kopf::N,głowa,cap
23,Rücken::N,plecy,esquena
24,Rücken::N,grzbiet,esquena
25,Bauch::N,brzuch,panxa
26,Nabel::N,pępek,llombrígol
27,Busen::N,biust,pit
28,Busen::N,biust,mama
29,Brust::N,pierś,pit
30,Schulter::N,bark,espatlla
31,Schulter::N,ramię,espatlla
32,Arm::N,ręka,braç
33,Arm::N,ramię,braç
34,Ellenbogen::N,łokieć,colze
35,Hand::N,dłoń,mà
36,Handfläche::N,dłoń,palma
37,Finger::N,palec,dit
38,Fingernagel::N,paznokieć,ungla
39,Nagel[Anatomie]::N,paznokieć,ungla
40,Zeh::N,palec,dit del peu
41,Fuß::N,stopa,peu
42,Ferse::N,pięta,taló
43,Knie::N,kolano,genoll
44,Oberschenkel::N,udo,cuixa
45,Bein::N,noga,cama
46,Körper::N,ciało,cos
47,Haut::N,skóra,pell
48,Blut::N,krew,sang
49,Ader::N,żyła,vena
50,Sehne::N,ścięgno,tendó
51,Knochen::N,kość,os
52,Gehirn::N,mózg,cervell
53,Herz::N,serce,cor
54,Magen::N,żołądek,estómac
55,Leber::N,wątroba,fetge
56,Atem::N,dech,alè
57,Atem::N,dech,hàlit
58,Atem::N,oddech,alè
59,Atem::N,oddech,hàlit
60,Hunger::N,głód,fam
61,Hunger::N,głód,gana
62,Träne::N,łza,llàgrima
63,Geschmack::N,smak,gust
64,Geschmack::N,smak,sabor
65,Geruch::N,woń,olor
66,Geruch::N,zapach,olor
67,Schlaf::N,sen,son
68,Traum::N,sen,somni
69,Himmel::N,niebo,celm
70,Sonne::N,słońce,sol
71,Mond::N,księżyc,lluna
72,Stern::N,gwiazda,estel
73,Stern::N,gwiazda,estrella
74,Luft::N,powietrze,aire
75,Wind::N,wiatr,vent
76,Welle::N,fala,ona
77,Wasser::N,woda,āigua
78,Stein::N,kamień,pedra
79,Boden::N,grunt,sòl
80,Erde::N,ziemia,terra
81,Staub::N,pył,pols
82,Staub::N,kurz,pols
83,Rauch::N,dym,fum
84,Funke::N,iskra,guspira
85,Funke::N,iskra,centella
86,Feuer::N,ogień,foc
87,Licht::N,światło,llum
88,Schatten::N,cień,ombra
89,Wetter::N,pogoda,temps
90,Nebel::N,mgła,boira
91,Wolke::N,obłok,núvol
92,Wolke::N,chmura,núvol
93,Regen::N,deszcz,pluja
94,Schnee::N,śnieg,neu
95,Eis::N,lód,gel
96,Eis::N,lód,glaç
97,Frost::N,mróz,glaçada
98,Kälte::N,chłód,fred
99,Hitze::N,gorąco,calor
100,Raureif::N,szron,gebre
101,Regenbogen::N,tęcza,arc iris
102,Donner::N,grzmot,tro
103,Strömung::N,nurt,corrent
104,Tropfen::N,kropla,gota
105,Schaum::N,piana,escuma
106,Schmutz::N,brud,brutícia
107,See::N,jezioro,llac
108,Sumpf::N,bagno,pantà
109,Moor::N,bagno,pantà
110,Wiese::N,łąka,prat
111,Wiese::N,łąka,prada
112,Wald::N,las,bosc
113,Hügel::N,pagórek,puig
114,Hügel::N,pagórek,pujol
115,Anhöhe::N,wzgórze,turó
116,Berg::N,góra,muntanya
117,Gipfel::N,szczyt,cim
118,Gipfel::N,wierzchołek,cim
119,Höhle::N,pieczara,cova
120,Abhang::N,stok,coster
121,Abhang::N,zbocze,coster
122,Quelle::N,zdrój,font
123,Quelle::N,źródło,font
124,Bach::N,potok,riera
125,Bach::N,strumień,riera
126,Fluss::N,rzeka,riu
127,Ufer::N,brzeg,riba
128,Küste::N,wybrzeże,costa
129,Festland::N,ląd,terra ferma
130,Meer::N,morze,mar
131,Bucht::N,zatoka,cala
132,Bucht::N,zatoka,badia
133,Insel::N,wyspa,illa
134,Blume::N,kwiat,flor
135,Gras::N,trawa,herba
136,Wurzel::N,korzeń,rel
137,Wurzel::N,korzeń,arrel
138,Baum::N,drzewo,arbre
139,Stamm::N,pień,tronc
140,Rinde::N,kora,escorça
141,Ast::N,gałąź,branca
142,Zweig::N,gałąź,ram
143,Blatt::N,liść,fulla
144,Birke::N,brzoza,bedoll
145,Kiefer[Baum]::N,sosna,pi
146,Weide[Baum]::N,wierzba,salze
147,Tanne::N,jodła,avet
148,Horn::N,róg,corn
149,Horn::N,róg,banya
150,Feder::N,pióro,ploma
151,Fell::N,futro,pell
152,Flügel::N,skrzydło,ala
153,Klaue::N,szpon,urpa
154,Kralle::N,pazur,grapa
155,Schwanz::N,ogon,cua
156,Ei::N,jajko,ou
157,Nest::N,gniazdo,niu
158,Bau::N,nora,cau
159,Tier::N,zwierzę,animāl
160,Herde::N,stado,ramat
161,Herde::N,trzoda,ramat
162,Kuh::N,krowa,vaca
163,Bulle::N,byk,toro
164,Pferd::N,koń,cavāll
165,Schaf::N,owca,be
166,Schaf::N,owca,ovella
167,Schwein::N,świnia,bacó
168,Hund::N,pies,ca
169,Hund::N,pies,gos
170,Katze::N,kot,gat
171,Katze::N,kotka,gat
172,Bär::N,niedźwiedż,ós
173,Eichhörnchen::N,wiewiórka,esquirol
174,Elch::N,łóś,ant
175,Fuchs::N,lis,guilla
176,Hase::N,zając,llebre
177,Maus::N,mysz,ratolí
178,Wolf::N,wilk,llop
179,Vogel::N,ptak,au
180,Vogel::N,ptak,ocēll
181,Schwarm::N,stado,bandada
182,Huhn::N,kura,gallina
183,Hahn::N,kogut,gall
184,Gans::N,gęś,oca
185,Adler::N,orzeł,àguila
186,Ente::N,kaczka,ànec
187,Eule::N,sowa,òliba
188,Eule::N,sowa,mussol
189,Kranich::N,żuraw,grua
190,Krähe::N,wrona,cornella
191,Kuckuck::N,kukułka,cucut
192,Schwan::N,łabędż,cigne
193,Fisch::N,ryba,peix
194,Barsch::N,okoń,perca
195,Hecht::N,szczupak,lluç
196,Schlange[Tier]::N,wąż,serp
197,Schlange[Tier]::N,żmija,serp
198,Wurm::N,robak,cuc
199,Spinne::N,pająk,aranya
200,Ameise::N,mrówka,formiga
201,Laus::N,wesz,poll
202,Mücke::N,komar,mosquit
203,Fliege::N,mucha,mosca
204,Schmetterling::N,motyl,papallona
205,Beere::N,jagoda,baia
206,Apfel::N,jabłko,poma
207,Pilz::N,grzyb,bolet
208,Zwiebel::N,cebula,ceba
209,Saat::N,siew,sembra
210,Korn::N,ziarno,gra
211,Heu::N,siano,fenc
212,Schale::N,łupina,closca
213,Grube::N,dół,sot
214,Grube::N,dół,clot
215,Grube::N,jama,sot
216,Grube::N,jama,clot
217,Falle::N,pułapka,trampa
218,Schlinge::N,sidła,baga
219,Spur::N,ślad,traça
220,Asche::N,popiół,cendra
221,Dreck::N,brud,llot
222,Eisen::N,żelazo,ferro
223,Gold::N,złoto,or
224,Silber::N,srebro,plata
225,Kohle::N,węgiel,carbó
226,Glas::N,szkło,vidre
227,Lehm::N,glina,fang
228,Lehm::N,glina,argila
229,Sand::N,piasek,arena
230,Mensch::N,człowiek,humà
231,Mensch::N,człowiek,persona
232,Mann::N,mężczyzna,home
233,Frau::N,kobieta,dona
234,Kind::N,dziecko,nen
235,Junge::N,chłopak,noi
236,Junge::N,chłopiec,noi
237,Mädchen::N,dziewczynka,noia
238,Familie::N,rodzina,família
239,Großvater::N,dziadek,avi
