,Concept_ID,hi,ca
0,Auge::N,आँख,ull
1,Auge::N,चक्षु,ull
2,Ohr::N,कान,orella
3,Ohr::N,कर्ण,orella
4,Nase::N,नाक,nas
5,Nase::N,नासा,nas
6,Mund::N,मुख,boca
7,Mund::N,मुँह,boca
8,Zahn::N,दंत,dent
9,Zahn::N,दाँत,dent
10,Zunge::N,जीभ,llēngua
11,Zunge::N,ज़बान,llēngua
12,Zunge::N,जिह्वा,llēngua
13,Lippe::N,ओंठ,llavi
14,Lippe::N,होंठ,llavi
15,Wange::N,गाल,galta
16,Wange::N,कपोल,galta
17,Gesicht::N,मुँह,cara
18,Gesicht::N,चेहरा,cara
19,Stirn::N,माथा,front
20,Stirn::N,मस्तक,front
21,Haar::N,बाल,cabēll
22,Schnurrbart::N,मूँछें,bigoti
23,Bart::N,दाढ़ी,barba
24,Kinn::N,चिबुक,mentó
25,Kinn::N,चिबुक,barbeta
26,Kiefer[Anatomie]::N,जबड़ा,queix
27,Kiefer[Anatomie]::N,जबड़ा,mandíbula
28,Kehle::N,गला,gola
29,Kehle::N,गला,gorja
30,Hals::N,गला,coll
31,Hals::N,गरदन,coll
32,Genick::N,गरदन,nuca
33,Genick::N,ग्रीवा,nuca
34,Kopf::N,सिर,cap
35,Kopf::N,शीर्ष,cap
36,Rücken::N,पीठ,esquena
37,Bauch::N,उदर,panxa
38,Nabel::N,नाभि,llombrígol
39,Nabel::N,ढोंढी,llombrígol
40,Busen::N,कुच,pit
41,Busen::N,कुच,mama
42,Busen::N,स्तन,pit
43,Busen::N,स्तन,mama
44,Brust::N,वक्ष,pit
45,Schulter::N,कंधा,espatlla
46,Schulter::N,स्कंध,espatlla
47,Arm::N,बाँह,braç
48,Arm::N,बाज़ू,braç
49,Ellenbogen::N,कुहनी,colze
50,Hand::N,हाथ,mà
51,Hand::N,हस्त,mà
52,Handfläche::N,हथेली,palma
53,Finger::N,उँगली,dit
54,Finger::N,अँगुली,dit
55,Fingernagel::N,नख,ungla
56,Fingernagel::N,नाख़ून,ungla
57,Nagel[Anatomie]::N,नख,ungla
58,Nagel[Anatomie]::N,नाख़ून,ungla
59,Zeh::N,उँगली,dit del peu
60,Zeh::N,पाँव की उँगली,dit del peu
61,Fuß::N,चरण,peu
62,Fuß::N,पाँव,peu
63,Ferse::N,एड़ी,taló
64,Knie::N,जानु,genoll
65,Knie::N,घुटना,genoll
66,Oberschenkel::N,उरु,cuixa
67,Bein::N,टाँग,cama
68,Körper::N,तन,cos
69,Körper::N,देह,cos
70,Körper::N,शरीर,cos
71,Haut::N,चर्म,pell
72,Haut::N,त्वचा,pell
73,Blut::N,लहू,sang
74,Blut::N,ख़ून,sang
75,Ader::N,रग,vena
76,Ader::N,शिरा,vena
77,Sehne::N,कंडरा,tendó
78,Sehne::N,स्नायु,tendó
79,Knochen::N,अस्थि,os
80,Gehirn::N,दिमाग़,cervell
81,Gehirn::N,मस्तिष्क,cervell
82,Herz::N,दिल,cor
83,Herz::N,हृदय,cor
84,Magen::N,मेदा,estómac
85,Magen::N,अमाशय,estómac
86,Leber::N,जिगर,fetge
87,Leber::N,यकृत्,fetge
88,Atem::N,दम,alè
89,Atem::N,दम,hàlit
90,Atem::N,साँस,alè
91,Atem::N,साँस,hàlit
92,Atem::N,श्वास,alè
93,Atem::N,श्वास,hàlit
94,Hunger::N,भूख,fam
95,Hunger::N,भूख,gana
96,Hunger::N,क्षुधा,fam
97,Hunger::N,क्षुधा,gana
98,Träne::N,आँसू,llàgrima
99,Träne::N,अश्रु,llàgrima
100,Geschmack::N,स्वाद,gust
101,Geschmack::N,स्वाद,sabor
102,Geschmack::N,ज़ायक़ा,gust
103,Geschmack::N,ज़ायक़ा,sabor
104,Geruch::N,बू,olor
105,Geruch::N,गंध,olor
106,Schlaf::N,नींद,son
107,Schlaf::N,निद्रा,son
108,Traum::N,सपना,somni
109,Traum::N,स्वप्न,somni
110,Himmel::N,आकाश,celm
111,Himmel::N,आसमान,celm
112,Sonne::N,रवि,sol
113,Sonne::N,सूरज,sol
114,Sonne::N,सूर्य,sol
115,Mond::N,चाँद,lluna
116,Mond::N,चंद्र,lluna
117,Stern::N,तारा,estel
118,Stern::N,तारा,estrella
119,Stern::N,सितारा,estel
120,Stern::N,सितारा,estrella
121,Luft::N,हवा,aire
122,Luft::N,वायु,aire
123,Wind::N,पाद,vent
124,Welle::N,लहर,ona
125,Welle::N,तरंग,ona
126,Wasser::N,जल,āigua
127,Wasser::N,पानी,āigua
128,Stein::N,पत्थर,pedra
129,Boden::N,मिट्टी,sòl
130,Erde::N,भूमि,terra
131,Erde::N,ज़मीन,terra
132,Staub::N,धूल,pols
133,Rauch::N,धूआँ,fum
134,Rauch::N,धुम्र,fum
135,Funke::N,चिनगारी,guspira
136,Funke::N,चिनगारी,centella
137,Funke::N,स्फुलिंग,guspira
138,Funke::N,स्फुलिंग,centella
139,Feuer::N,आग,foc
140,Feuer::N,आतिश,foc
141,Feuer::N,अग्नि,foc
142,Licht::N,रोशनी,llum
143,Licht::N,प्रकाश,llum
144,Schatten::N,छाया,ombra
145,Schatten::N,परछाई,ombra
146,Wetter::N,ऋतु,temps
147,Wetter::N,मौसम,temps
148,Nebel::N,धुँध,boira
149,Nebel::N,कुहरा,boira
150,Wolke::N,मेघ,núvol
151,Wolke::N,अभ्र,núvol
152,Regen::N,मेंह,pluja
153,Regen::N,बारिश,pluja
154,Schnee::N,हिम,neu
155,Schnee::N,बर्फ़,neu
156,Eis::N,हिम,gel
157,Eis::N,हिम,glaç
158,Eis::N,बर्फ़,gel
159,Eis::N,बर्फ़,glaç
160,Frost::N,ठंड,glaçada
161,Kälte::N,सर्दी,fred
162,Kälte::N,शीतलता,fred
163,Hitze::N,ताप,calor
164,Hitze::N,गरमी,calor
165,Raureif::N,पाला,gebre
166,Regenbogen::N,इंद्र-धनुष,arc iris
167,Donner::N,गरज,tro
168,Donner::N,मेघ-गर्जन,tro
169,Strömung::N,बहाव,corrent
170,Strömung::N,प्रवाह,corrent
171,Tropfen::N,बूँद,gota
172,Schaum::N,झाग,escuma
173,Schmutz::N,गंद,brutícia
174,Schmutz::N,कीचड़,brutícia
175,See::N,झील,llac
176,See::N,सरोवर,llac
177,Sumpf::N,दलदल,pantà
178,Sumpf::N,धँसान,pantà
179,Moor::N,झाबर,pantà
180,Moor::N,धँसान,pantà
181,Wiese::N,घास-स्थल,prat
182,Wiese::N,घास-स्थल,prada
183,Wald::N,जंगल,bosc
184,Hügel::N,टीला,puig
185,Hügel::N,टीला,pujol
186,Hügel::N,पहाड़,puig
