,Concept_ID,kl,udm
0,Auge::N,isi,син
1,Ohr::N,siut,пель
2,Mund::N,paaq,ым
3,Mund::N,qaneq,ым
4,Zahn::N,kigut,пинь
5,Zunge::N,oqaq,кыл
6,Lippe::N,qarloq,ымдур
7,Wange::N,ersaq,бам
8,Gesicht::N,kiinaq,ымныр
9,Stirn::N,qaaq,кымес
10,Haar::N,meqqoq,йырси
11,Bart::N,umik,туш
12,Kinn::N,talloq,ангес
13,Kiefer[Anatomie]::N,alleroq,ан
14,Kiefer[Anatomie]::N,alleroq,анлы
15,Kehle::N,malaq,гульым
16,Hals::N,qungaseq,чырты
17,Genick::N,pukusuk,йырбер
18,Kopf::N,niaqoq,йыр
19,Rücken::N,qimerlut,мыш
20,Bauch::N,naaq,кӧт
21,Nabel::N,qalaseq,гогы
22,Busen::N,iviangeq,ноны
23,Brust::N,iviangeq,мӧля
24,Schulter::N,ersik,пельпум
25,Schulter::N,assaqqoq,пельпум
26,Arm::N,taleq,суй
27,Ellenbogen::N,ikusik,гырпум
28,Hand::N,assak,ки
29,Handfläche::N,itumak,ки пыдэс
30,Handfläche::N,itumak,кырым пыдэс
31,Finger::N,inuak,чиньы
32,Fingernagel::N,kikiak,гижы
33,Fingernagel::N,kikiak,гиждӥнь
34,Nagel[Anatomie]::N,kukik,гижы
35,Zeh::N,isigak,пыдчиньы
36,Ferse::N,kimmik,пыдбер
37,Knie::N,seeqqoq,пыдес
38,Oberschenkel::N,uppat,макес
39,Oberschenkel::N,quttoraq,макес
40,Bein::N,isigak,пыд
41,Körper::N,timi,мугор
42,Körper::N,timi,вылтыр
43,Haut::N,mattak,ку
44,Blut::N,aak,вир
45,Ader::N,taqaq,вирсэр
46,Sehne::N,ujalu,вуж
47,Sehne::N,ujaloq,вуж
48,Knochen::N,saanikut,лы
49,Gehirn::N,qarasaq,вим
50,Herz::N,uummat,сюлэм
51,Magen::N,aqajaroq,ӝуш
52,Leber::N,tinguk,мус
53,Atem::N,anerneq,лул
54,Atem::N,anerneq,шокан
55,Hunger::N,kaanneq,кӧтсюман
56,Träne::N,qia,синкыли
57,Träne::N,qiak,синкыли
58,Geschmack::N,qilanaartuut,шӧм
59,Geruch::N,tipi,зын
60,Geruch::N,tipik,зын
61,Traum::N,sinnattoq,уйвӧт
62,Traum::N,sinnattugaq,уйвӧт
63,Himmel::N,qilak,ин
64,Sonne::N,seqineq,шунды
65,Mond::N,qaammat,толэзь
66,Stern::N,ulloriaq,кизили
67,Luft::N,silaannaq,омыр
68,Wind::N,anori,тӧл
69,Wind::N,anorsarik,тӧл
70,Welle::N,aalappaa,тулкым
71,Wasser::N,imeq,ву
72,Stein::N,ujarak,из
73,Boden::N,nateq,музъем
74,Erde::N,issoq,му
75,Staub::N,pujualanerit,пыль
76,Staub::N,pujoralanerit,пыль
77,Rauch::N,iseq,ӵын
78,Rauch::N,pujoq,ӵын
79,Funke::N,illoorneq,гизьы
80,Feuer::N,inneq,тыл
81,Licht::N,qaamaneq,тыл
82,Schatten::N,tarraq,вужер
83,Wetter::N,sila,куазь
84,Nebel::N,pujoq,бус
85,Wolke::N,nuia,пилем
86,Regen::N,sialuk,зор
87,Schnee::N,aput,лымы
88,Eis::N,siku,йӧ
89,Frost::N,issi,кезьыт
90,Frost::N,issik,кезьыт
91,Kälte::N,issi,кезьыт
92,Hitze::N,kianneq,пӧсь
93,Hitze::N,kiassuseq,пӧсь
94,Raureif::N,kaneq,гӧр
95,Regenbogen::N,neriusaaq,вуюись
96,Donner::N,kalleq,гудыри
97,Tropfen::N,kuseriarneq,шапык
98,Schaum::N,qapuk,шукы
99,Schmutz::N,minguk,нӧд
100,Schmutz::N,minguk,дэри
101,See::N,taseq,ты
102,Sumpf::N,maqulluk,нюр
103,Wiese::N,masarsuk,возь
104,Wiese::N,masarsuk,возьвыл
105,Hügel::N,qattuneq,выр
106,Hügel::N,qattuneq,вырйыл
107,Hügel::N,majuariaq,выр
108,Hügel::N,majuariaq,вырйыл
109,Hügel::N,majorajaaq,выр
110,Hügel::N,majorajaaq,вырйыл
111,Hügel::N,qaqqannguaq,выр
112,Hügel::N,qaqqannguaq,вырйыл
113,Berg::N,qaqqaq,гурезь
114,Höhle::N,qaarusuk,гу
115,Abhang::N,ippik,бам
116,Abhang::N,sivinganeq,бам
117,Abhang::N,sivingajaaq,бам
118,Abhang::N,kussangajaaq,бам
119,Bach::N,kuunnguaq,пичи шур
120,Fluss::N,kuuk,шур
121,Ufer::N,sissap sinaa,ярдур
122,Küste::N,sineriak,вудур
123,Meer::N,imaq,зарезь
124,Bucht::N,ikeq,вукож
125,Bucht::N,kangerluk,вукож
126,Bucht::N,kangerliumaneq,вукож
127,Insel::N,qeqertaq,вумуӵ
128,Insel::N,qeqertaq,шормуӵ
129,Blume::N,naasoq,сяська
130,Gras::N,ivigaq,турын
131,Wurzel::N,niulutaq,выжы
132,Baum::N,orpik,пу
133,Stamm::N,kanaartaq,модос
134,Rinde::N,ameraq,сул
135,Ast::N,avalequt,ул
136,Zweig::N,avalequt,вай
137,Blatt::N,pilutaq,куар
138,Birke::N,patitsit,кызьпу
139,Weide[Baum]::N,palleq,бадьпу
140,Tanne::N,orsuerneq,кыз
141,Horn::N,nassuk,сюр
142,Feder::N,suluk,тылы
143,Fell::N,ameq,ку
144,Flügel::N,suluk,бурд
145,Flügel::N,isaroq,бурд
146,Klaue::N,kukik,гижы
147,Kralle::N,kukik,пыд
148,Schwanz::N,pamioq,быж
149,Schwanz::N,paperuusaq,быж
150,Ei::N,mannik,пуз
151,Ei::N,mannik,кукей
152,Nest::N,ullut,кар
153,Nest::N,ullut,пузкар
154,Bau::N,ini,кар
155,Bau::N,ini,гу
156,Tier::N,uumasoq,пӧйшур
157,Herde::N,unguukkat,уллё
158,Kuh::N,ussik,скал
159,Bulle::N,angukulak,ош
160,Bulle::N,angukulak,пороз
161,Bulle::N,anguteralak,ош
162,Bulle::N,anguteralak,пороз
163,Bulle::N,angutikulooq,ош
164,Bulle::N,angutikulooq,пороз
165,Schaf::N,sava,ыж
166,Schwein::N,puuluki,парсь
167,Hund::N,qimmeq,пуны
168,Katze::N,puisaaq,коӵыш
169,Bär::N,allaq,гондыр
170,Eichhörnchen::N,sissinnguaq,коньы
171,Fuchs::N,terianniaq,ӟичы
172,Hase::N,ukaleq,кеч
173,Maus::N,teriannguaq,шыр
174,Wolf::N,amaroq,кион
175,Vogel::N,timmiaq,тылобурдо
176,Huhn::N,kukkukooq,курег
177,Huhn::N,marloraaqaaq,курег
178,Hahn::N,kiasiusaq,атас
179,Gans::N,nerleq,ӟазег
180,Adler::N,nattoralik,ӧрзи
181,Eule::N,uppik,кучыран
182,Kranich::N,qorlorfik,тури
183,Krähe::N,tuluatsiaq,куака
184,Kuckuck::N,kukkooq,кикы
185,Schwan::N,qussuk,юсь
186,Fisch::N,aalisagaq,чорыг
187,Schlange[Tier]::N,pulateriarsuk,кый
188,Schlange[Tier]::N,pulateriaarsuk,кый
189,Spinne::N,aasiaq,чонари
190,Spinne::N,nissavaarsuk,чонари
191,Ameise::N,uniaaluk,кузьыли
192,Laus::N,kumak,тэй
193,Mücke::N,ippernaq,нымы
194,Mücke::N,ippernaq,чибинь
195,Fliege::N,ippernaq,кут
196,Schmetterling::N,paluaq,бубыли
197,Schmetterling::N,pakkaluaq,бубыли
198,Schmetterling::N,utsuppaluaq,бубыли
199,Schmetterling::N,taqaleqisaaq,бубыли
200,Beere::N,paarmaq,узы-боры
201,Beere::N,paarngaq,узы-боры
202,Apfel::N,iipili,яблок
203,Pilz::N,anngiusaq,губи
204,Zwiebel::N,uanitsoq,сугон
205,Saat::N,naatsiiassaq,кидыс
206,Korn::N,maannineq,тысь
207,Schale::N,niutsivik,кыд
208,Schale::N,ilulissaq qaartussaq,кыд
209,Grube::N,itersaq,гу
210,Grube::N,itersaq,гоп
211,Falle::N,pualavoq,налик
212,Schlinge::N,orseq,гиӟ
213,Schlinge::N,orseq,герд
214,Schlinge::N,norloq,гиӟ
215,Schlinge::N,norloq,герд
216,Spur::N,tumaa,пытьы
217,Spur::N,tumaa,бервыл
218,Asche::N,arsat,пень
219,Dreck::N,minguk,дэри
220,Eisen::N,savimineq,корт
221,Eisen::N,saffiugassaq,корт
222,Gold::N,kuulti,зарни
223,Silber::N,siilviuvoq,азвесь
224,Kohle::N,aamarsuit aamaruutissat,эгыр
225,Glas::N,igalaaq,стекло
226,Glas::N,igalaaq,пияла
227,Glas::N,imertarfik,стекло
228,Glas::N,imertarfik,пияла
229,Glas::N,igalaamineq,стекло
230,Glas::N,igalaamineq,пияла
231,Lehm::N,marraq,сюй
232,Sand::N,sioqqat,луо
233,Mensch::N,inuk,мурт
234,Mensch::N,inuk,адями
235,Mensch::N,silamiu,мурт
236,Mensch::N,silamiu,адями
237,Mann::N,angut,воргорон
238,Frau::N,arnaq,кышномурт
239,Kind::N,meeraq,нуны
240,Kind::N,meeraq,пинал
241,Junge::N,nukappiaraq,пи
242,Mädchen::N,arnannguaq,ныл
243,Familie::N,ilaqutakka,семья
244,Familie::N,ilaqutariit,семья
245,Großvater::N,aatak,песятай
246,Großvater::N,aatak,пересь атай
247,Großmutter::N,aanaq,песянай
248,Großmutter::N,aanaq,пересь анай
249,Eltern::N,angajoqqaat,атай-анай
250,Eltern::N,angajoqqaat,бубы-мумы
251,Vater::N,ataata,айы
252,Vater::N,ataata,атай
253,Vater::N,ataataq,айы
254,Vater::N,ataataq,атай
255,Mutter::N,anaana,мумы
256,Sohn::N,erneq,пи
257,Tochter::N,panik,ныл
258,Bruder::N,ani,агай
259,Bruder::N,aqqaluk,агай
260,Bruder::N,qatanngut,агай
261,Schwester::N,naja,апа
262,Schwester::N,naja,сузэр
263,Schwester::N,aleqa,апа
264,Schwester::N,aleqa,сузэр
265,Schwester::N,qatanngut,апа
266,Schwester::N,qatanngut,сузэр
267,Onkel::N,akkak,агай
268,Tante::N,aja,апа
269,Tante::N,aja,кенак
