,Concept_ID,tr,kk
0,Auge::N,göz,көз
1,Ohr::N,kulak,құлақ
2,Nase::N,burun,мұрын
3,Mund::N,ağız,ауыз
4,Zahn::N,diş,тіс
5,Zunge::N,dil,тіл
6,Lippe::N,dudak,ерін
7,Wange::N,yanak,ұрт
8,Gesicht::N,yüz,бет-аузы
9,Stirn::N,alın,маңдай
10,Haar::N,saç,қыл
11,Schnurrbart::N,bıyık,мұрт
12,Bart::N,sakal,сақал
13,Kinn::N,çene,иек
14,Kiefer[Anatomie]::N,çene,жақ
15,Kehle::N,boğaz,алқым
16,Hals::N,boyun,мойын
17,Hals::N,gerdan,мойын
18,Genick::N,ense,желке
19,Kopf::N,baş,кәллә
20,Kopf::N,kafa,кәллә
21,Rücken::N,arka,арқа
22,Bauch::N,karın,қарын
23,Nabel::N,göbek,кіндік
24,Busen::N,koyun,омырау
25,Brust::N,göğüs,кеуде
26,Schulter::N,omuz,иық
27,Arm::N,kol,қол
28,Ellenbogen::N,dirsek,шынтақ
29,Hand::N,el,қол
30,Handfläche::N,avuç,алақан
31,Handfläche::N,el ayası,алақан
32,Finger::N,parmak,саусақ
33,Fingernagel::N,el tırnağı,тырнақ
34,Nagel[Anatomie]::N,tırnak,тырнақ
35,Zeh::N,ayak parmağı,тырнақ
36,Zeh::N,ayak parmağı,тұяқ
37,Fuß::N,ayak,аяқ-басы
38,Ferse::N,topuk,өкше
39,Ferse::N,topuk,өкшелік
40,Knie::N,diz,тізе
41,Oberschenkel::N,uyluk,жамбас
42,Bein::N,bacak,аяқ
43,Körper::N,vücut,дене
44,Haut::N,cilt,тері
45,Blut::N,kan,қан
46,Ader::N,damar,көктамыр
47,Ader::N,damar,күретамыр
48,Sehne::N,kiriş,сіңір
49,Knochen::N,kemik,жілік
50,Gehirn::N,beyin,ми
51,Herz::N,kalp,жүрек
52,Herz::N,yürek,жүрек
53,Magen::N,mide,асқазан
54,Leber::N,karaciğer,бауыр
55,Atem::N,nefes,леп
56,Hunger::N,açlık,ашаршылық
57,Träne::N,gözyaşı,жас
58,Geschmack::N,tat,дәм
59,Geschmack::N,tat,татым
60,Geschmack::N,tat,талғам
61,Geschmack::N,lezzet,дәм
62,Geschmack::N,lezzet,татым
63,Geschmack::N,lezzet,талғам
64,Geruch::N,koku,иіс
65,Schlaf::N,uyku,ұйқы
66,Schlaf::N,uyku,ұйықтау
67,Traum::N,düş,түс
68,Traum::N,rüya,түс
69,Himmel::N,gök,аспан
70,Himmel::N,gök,көқ
71,Himmel::N,gök,таңдай
72,Sonne::N,güneş,күн
73,Mond::N,ay,ай
74,Stern::N,yıldız,жұлдыз
75,Luft::N,hava,әуе
76,Wind::N,yel,жел
77,Wind::N,rüzgâr,жел
78,Welle::N,dalga,толқын
79,Wasser::N,su,су
80,Stein::N,taş,тас
81,Boden::N,yer,қыртыс
82,Boden::N,zemin,қыртыс
83,Erde::N,toprak,топырақ
84,Staub::N,toz,шаң
85,Rauch::N,duman,түтін
86,Funke::N,kıvılcım,ұшқын
87,Feuer::N,ateş,алау
88,Licht::N,ışık,шұғыла
89,Schatten::N,gölge,көлеңке
90,Wetter::N,hava,ауа райы
91,Nebel::N,pus,тұман
92,Wolke::N,bulut,бұлт
93,Regen::N,yağmur,жаңбыр
94,Schnee::N,kar,қар
95,Eis::N,buz,мұз
96,Frost::N,don,суық
97,Kälte::N,soğukluk,ызғар
98,Kälte::N,soğukluk,суықтық
99,Hitze::N,sıcaklık,аптап
100,Raureif::N,kırç,қырау
101,Regenbogen::N,gökkuşağı,кемпірқосақ
102,Donner::N,gök gürlemesi,күн күркіреу
103,Strömung::N,akıntı,ағын
104,Strömung::N,cereyan,ағын
105,Tropfen::N,damla,тамшы
106,Schaum::N,köpük,көбік
107,Schmutz::N,çamur,кір
108,Schmutz::N,pislik,кір
109,See::N,göl,көл
110,Sumpf::N,batak,саз
111,Moor::N,cılgıt,саз
112,Wiese::N,çimen,шалғын
113,Wald::N,koru,орман
114,Wald::N,orman,орман
115,Hügel::N,tepe,төбе
116,Hügel::N,tepe,белес
117,Hügel::N,tepe,белес-белес
118,Anhöhe::N,tümsek,дөң
119,Anhöhe::N,tümsek,адыр
120,Anhöhe::N,tümsek,қырат
121,Anhöhe::N,yükseklik,дөң
122,Anhöhe::N,yükseklik,адыр
123,Anhöhe::N,yükseklik,қырат
124,Berg::N,dağ,тау
125,Gipfel::N,zirve,төбе
126,Höhle::N,in,үңгір
127,Höhle::N,mağara,үңгір
128,Abhang::N,bayır,бауыр
129,Quelle::N,pınar,қайнар
130,Quelle::N,kaynak,қайнар
131,Bach::N,çay,жылға
132,Bach::N,dere,жылға
133,Fluss::N,nehir,өзен
134,Ufer::N,kıyı,жиек
135,Ufer::N,sahil,жиек
136,Küste::N,kıyı,жиегі
137,Küste::N,kıyı,жағалау
138,Küste::N,sahil,жиегі
139,Küste::N,sahil,жағалау
140,Festland::N,kara,құрылық
141,Meer::N,deniz,теңіз
142,Bucht::N,koy,шығанақ
143,Bucht::N,körfez,шығанақ
144,Insel::N,ada,арал
145,Blume::N,çiçek,гүл
146,Gras::N,ot,от
147,Gras::N,çim,от
148,Wurzel::N,kök,түбір
149,Baum::N,ağaç,ағаш
150,Baum::N,ağaç,дарақ
151,Stamm::N,gövde,сояу
152,Stamm::N,gövde,оқпан
153,Rinde::N,kabuk,қабық
154,Ast::N,dal,бұтақ
155,Ast::N,budak,бұтақ
156,Zweig::N,dal,шыбық
157,Blatt::N,yaprak,жапырақ
158,Birke::N,huş,қайың
159,Kiefer[Baum]::N,çam,қарағай
160,Weide[Baum]::N,söğüt,тал
161,Tanne::N,çam,шырша
162,Tanne::N,köknar,шырша
163,Horn::N,boynuz,мүйіз
164,Feder::N,tüy,қаламұш
165,Fell::N,post,тері
166,Flügel::N,kanat,қанат
167,Klaue::N,pençe,тырнақ
168,Kralle::N,tırnak,аяқ
169,Schwanz::N,kuyruk,құйрық
170,Ei::N,yumurta,жұмыртқа
171,Nest::N,yuva,ұя
172,Bau::N,in,жатақ
173,Tier::N,hayvan,айуан
174,Tier::N,hayvan,жануар
175,Herde::N,sürü,пада
176,Kuh::N,inek,сиыр
177,Bulle::N,boğa,өгіз
178,Pferd::N,at,жылқы
179,Pferd::N,beygir,жылқы
180,Schaf::N,koyun,қой
181,Schwein::N,domuz,шошқа
182,Hund::N,it,ит
183,Hund::N,köpek,ит
184,Katze::N,kedi,мысық
185,Bär::N,ayı,аю
186,Eichhörnchen::N,sincap,тиін
187,Elch::N,büyük kuzey geyiği,бұғы
188,Fuchs::N,tilki,түлкі
189,Hase::N,tavşan,қоян
190,Maus::N,fare,қаптесер
191,Maus::N,sıçan,қаптесер
192,Wolf::N,kurt,бөрі
193,Wolf::N,kurt,қасқыр
194,Vogel::N,kuş,құс
195,Schwarm::N,sürü,топ
196,Schwarm::N,sürü,үйір
197,Huhn::N,tavuk,тауық
198,Huhn::N,tavuk,мекиен
199,Hahn::N,horoz,әтеш
200,Hahn::N,horoz,қораз
201,Gans::N,kaz,қаз
202,Adler::N,kartal,бүркіт
203,Adler::N,karakuş,бүркіт
204,Ente::N,ördek,үйрек
205,Eule::N,baykuş,жапалақ
206,Kranich::N,turna,тырна
207,Krähe::N,karga,қарға
208,Kuckuck::N,guguk,көкек
209,Schwan::N,kuğu,аққу
210,Fisch::N,balık,балық
211,Barsch::N,hani,алабұға
212,Barsch::N,levrek,алабұға
213,Hecht::N,turnabalığı,шортан
214,Schlange[Tier]::N,yılan,жылан
215,Wurm::N,kurt,шұбалшаң
216,Wurm::N,solucan,шұбалшаң
217,Spinne::N,örümcek,өрмекші
218,Ameise::N,karınca,қүмырска
219,Laus::N,bit,бит
220,Mücke::N,sivrisinek,маса
221,Fliege::N,sinek,шыбын
222,Schmetterling::N,kelebek,көбелек
223,Beere::N,tane,жидек
224,Apfel::N,elma,алма
225,Pilz::N,mantar,қозықұйрық
226,Pilz::N,mantar,саңыраукулақ
227,Zwiebel::N,soğan,жуа
228,Saat::N,ekin,тұқым
229,Korn::N,tane,дән
230,Heu::N,kuru ot,шөп
231,Schale::N,kabuk,қабық
232,Schale::N,kabuk,қабығы
233,Grube::N,çukur,ор
234,Falle::N,tuzak,дұзақ
235,Falle::N,tuzak,қақпан
236,Schlinge::N,ilmik,ілмек
237,Spur::N,iz,із
238,Asche::N,kül,күл
239,Dreck::N,pislik,былғаныш
240,Eisen::N,demir,темір
241,Gold::N,altın,алтын
242,Silber::N,gümüş,күміс
243,Kohle::N,kömür,көмір
244,Glas::N,cam,шыны
245,Lehm::N,balçık,балшық
246,Sand::N,kum,құм
247,Mensch::N,insan,адам
248,Mann::N,adam,еркек
249,Mann::N,adam,ер адам
250,Mann::N,erkek,еркек
251,Mann::N,erkek,ер адам
252,Frau::N,bayan,бике
253,Frau::N,bayan,қатын
254,Kind::N,çocuk,бала
255,Kind::N,çocuk,перзент
256,Junge::N,erkek çocuk,бала
257,Junge::N,erkek çocuk,ер бала
