,Concept_ID,ga,et
0,Auge::N,súil,silm
1,Ohr::N,cluas,kõrv
2,Nase::N,soc,nina
3,Mund::N,béal,suu
4,Zahn::N,fiacail,hammas
5,Zunge::N,teanga,keel
6,Lippe::N,liopa,huul
7,Wange::N,grua,põsk
8,Wange::N,leiceann,põsk
9,Gesicht::N,éadan,nägu
10,Gesicht::N,aghaidh,nägu
11,Stirn::N,baithis,otsmik
12,Stirn::N,clár éadain,otsmik
13,Haar::N,gruaig,juus
14,Schnurrbart::N,croiméal,vurrud
15,Schnurrbart::N,croiméal,vuntsid
16,Bart::N,féasóg,habe
17,Kinn::N,smig,lõug
18,Kiefer[Anatomie]::N,giall,lõualuu
19,Kehle::N,scornach,kõri
20,Hals::N,muinéal,kael
21,Genick::N,baic,kukal
22,Kopf::N,ceann,pea
23,Rücken::N,droim,selg
24,Bauch::N,bolg,kõht
25,Nabel::N,imleacán,naba
26,Busen::N,cíoch,rind
27,Brust::N,brollach,rind
28,Schulter::N,gualainn,õlg
29,Arm::N,lámh,käsivars
30,Ellenbogen::N,uillinn,küünarnukk
31,Hand::N,lámh,käsi
32,Handfläche::N,bos,pihk
33,Finger::N,méar,sõrm
34,Fingernagel::N,ionga,küüs
35,Nagel[Anatomie]::N,ionga,küüs
36,Zeh::N,ladhar,varvas
37,Fuß::N,cos,jalg
38,Fuß::N,troigh,jalg
39,Ferse::N,sáil,kand
40,Knie::N,glúin,põlv
41,Oberschenkel::N,ceathrú,reis
42,Bein::N,cos,jalg
43,Körper::N,corp,ihu
44,Körper::N,corp,keha
45,Körper::N,colainn,ihu
46,Körper::N,colainn,keha
47,Haut::N,cneas,nahk
48,Haut::N,craiceann,nahk
49,Blut::N,fuil,veri
50,Sehne::N,teannán,kõõlus
51,Sehne::N,féitheog,kõõlus
52,Knochen::N,cnámh,luu
53,Gehirn::N,inchinn,aju
54,Herz::N,croí,süda
55,Magen::N,bolg,magu
56,Magen::N,goile,magu
57,Leber::N,ae,maks
58,Atem::N,anáil,hingeõhk
59,Atem::N,anáil,hingamine
60,Hunger::N,ocras,nälg
61,Träne::N,deoir,pisar
62,Geschmack::N,blas,maitse
63,Geruch::N,boladh,lõhn
64,Schlaf::N,suan,uni
65,Schlaf::N,codladh,uni
66,Traum::N,taibhreamh,unenägu
67,Himmel::N,spéir,taevas
68,Sonne::N,grian,päike
69,Mond::N,ré,kuu
70,Mond::N,gealach,kuu
71,Stern::N,rinn,täht
72,Stern::N,réalta,täht
73,Luft::N,aer,õhk
74,Wind::N,gaoth,tuul
75,Welle::N,tonn,laine
76,Wasser::N,uisce,vesi
77,Stein::N,cloch,kivi
78,Boden::N,talamh,maa
79,Boden::N,talamh,pinnas
80,Erde::N,cré,maa
81,Erde::N,ithir,maa
82,Staub::N,dusta,põrm
83,Staub::N,deannach,põrm
84,Rauch::N,toit,suits
85,Rauch::N,deatach,suits
86,Funke::N,drithle,säde
87,Feuer::N,tine,tuli
88,Licht::N,solas,valgus
89,Schatten::N,scáth,vari
90,Wetter::N,aimsir,ilm
91,Nebel::N,ceo,udu
92,Wolke::N,néal,pilv
93,Wolke::N,scamall,pilv
94,Regen::N,báisteach,sadu
95,Regen::N,fearthainn,sadu
96,Schnee::N,sneachta,lumi
97,Eis::N,oighear,jää
98,Frost::N,sioc,pakane
99,Kälte::N,fuacht,külm
100,Kälte::N,fuacht,külmus
101,Hitze::N,teas,kuumus
102,Hitze::N,teas,palavus
103,Hitze::N,teocht,kuumus
104,Hitze::N,teocht,palavus
105,Raureif::N,sioc bán,härmatis
106,Regenbogen::N,stua ceatha,vikerkaar
107,Regenbogen::N,bogha báistí,vikerkaar
108,Donner::N,toirneach,kõu
109,Donner::N,toirneach,müristamine
110,Strömung::N,sruth,voolus
111,Strömung::N,sruth,jõevool
112,Tropfen::N,deoir,tilk
113,Schaum::N,cúr,vaht
114,Schmutz::N,salachar,pori
115,Schmutz::N,salachar,mustus
116,See::N,loch,järv
117,Sumpf::N,portach,soo
118,Moor::N,caorán,raba
119,Moor::N,móinteán,raba
120,Wiese::N,cluain,aas
121,Wiese::N,cluain,nurm
122,Wiese::N,móinéar,aas
123,Wiese::N,móinéar,nurm
124,Wald::N,coill,mets
125,Wald::N,foraois,mets
126,Hügel::N,ard,küngas
127,Anhöhe::N,ard,küngas
128,Anhöhe::N,ardán,küngas
129,Berg::N,sliabh,mägi
130,Gipfel::N,barr,mäetipp
131,Gipfel::N,mullach,mäetipp
132,Höhle::N,uaimh,koobas
133,Höhle::N,pluais,koobas
134,Abhang::N,fána,nõlvak
135,Quelle::N,foinse,allikas
136,Bach::N,sruthán,oja
137,Fluss::N,abhainn,jõgi
138,Ufer::N,bruach,kallas
139,Küste::N,cósta,rannik
140,Küste::N,cladach,rannik
141,Festland::N,míntír,mander
142,Festland::N,míntír,maismaa
143,Meer::N,muir,meri
144,Meer::N,farraige,meri
145,Bucht::N,bá,laht
146,Bucht::N,cuan,laht
147,Insel::N,inis,saar
148,Insel::N,oileán,saar
149,Blume::N,bláth,lill
150,Gras::N,féar,rohi
151,Wurzel::N,rúta,juur
152,Wurzel::N,fréamh,juur
153,Baum::N,crann,puu
154,Stamm::N,stoc,tüvi
155,Stamm::N,tamhan,tüvi
156,Rinde::N,coirt,koor
157,Rinde::N,craiceann,koor
158,Ast::N,géag,oks
159,Zweig::N,géag,oks
160,Zweig::N,craobh,oks
161,Blatt::N,duille,leht
162,Blatt::N,duilleog,leht
163,Birke::N,beith,kask
164,Birke::N,crann beithe,kask
165,Kiefer[Baum]::N,péine,mänd
166,Weide[Baum]::N,saileach,paju
167,Tanne::N,giúis,nulg
168,Horn::N,adharc,sarv
169,Feder::N,cleite,sulg
170,Fell::N,clúmh,karvkate
171,Fell::N,clúmh,karusnahk
172,Flügel::N,eite,tiib
173,Flügel::N,eite,tiivik
174,Flügel::N,sciathán,tiib
175,Flügel::N,sciathán,tiivik
176,Klaue::N,crúb,küüs
177,Klaue::N,crobh,küüs
178,Kralle::N,crobh,küünis
179,Schwanz::N,eireaball,saba
180,Ei::N,ubh,muna
181,Nest::N,nead,pesa
182,Bau::N,brocais,urg
183,Tier::N,ainmhí,loom
184,Tier::N,beithíoch,loom
185,Herde::N,tréad,kari
186,Kuh::N,bó,lehm
187,Bulle::N,tarbh,pull
188,Pferd::N,each,hobune
189,Pferd::N,capall,hobune
190,Schaf::N,caora,lammas
191,Schwein::N,muc,siga
192,Hund::N,madra,koer
193,Katze::N,cat,kass
194,Bär::N,béar,karu
195,Eichhörnchen::N,iora,orav
196,Elch::N,eilc,põder
197,Fuchs::N,sionnach,rebane
198,Fuchs::N,madra rua,rebane
199,Hase::N,giorria,jänes
200,Maus::N,luch,hiir
201,Wolf::N,mac tíre,hunt
202,Vogel::N,éan,lind
203,Schwarm::N,saithe,parv
204,Huhn::N,cearc,kana
205,Hahn::N,coileach,kukk
206,Gans::N,gé,hani
207,Adler::N,iolar,kotkas
208,Ente::N,lacha,part
209,Eule::N,ulchabhán,kakk
210,Eule::N,ulchabhán,öökull
211,Kranich::N,grús,kurg
212,Krähe::N,caróg,vares
213,Krähe::N,préachán,vares
214,Kuckuck::N,cuach,kägu
215,Schwan::N,eala,luik
216,Fisch::N,iasc,kala
217,Barsch::N,péirse,ahven
218,Hecht::N,liús,haug
219,Schlange[Tier]::N,nathair,uss
220,Wurm::N,péist,uss
221,Wurm::N,péist,vagel
222,Spinne::N,damhán alla,ämblik
223,Ameise::N,seangán,sipelgas
224,Laus::N,míol,täi
225,Mücke::N,muiscít,sääsk
226,Mücke::N,corrmhíol,sääsk
227,Fliege::N,cuil,kärbes
228,Fliege::N,cuileog,kärbes
229,Schmetterling::N,féileacán,liblikas
230,Beere::N,caor,mari
231,Apfel::N,úll,õun
232,Pilz::N,beacán,seen
233,Pilz::N,muisiriún,seen
234,Zwiebel::N,oinniún,sibul
235,Saat::N,síol,seeme
236,Korn::N,gráinne,iva
237,Korn::N,gráinne,tera
238,Heu::N,féar,hein
239,Schale::N,scaimh,koor
240,Grube::N,poll,kaevand
241,Falle::N,gaiste,lõks
242,Falle::N,gaiste,püünis
243,Schlinge::N,sealán,aas
244,Spur::N,rian,jälg
245,Asche::N,luaith,tuhk
246,Dreck::N,salachar,saast
247,Dreck::N,salachar,mustus
248,Eisen::N,iarann,raud
249,Gold::N,ór,kuld
250,Silber::N,airgead,hõbe
251,Kohle::N,gual,süsi
252,Glas::N,gloine,klaas
253,Lehm::N,cré,savi
254,Sand::N,gaineamh,liiv
255,Mensch::N,duine,inimene
256,Mann::N,fear,mees
257,Frau::N,bean,naine
258,Kind::N,gasúr,laps
259,Kind::N,páiste,laps
260,Junge::N,buachaill,poiss
261,Mädchen::N,cailín,tüdruk
262,Familie::N,teaghlach,perekond
263,Familie::N,comhluadar,perekond
264,Großvater::N,seanathair,vanaisa
265,Großmutter::N,seanmháthair,vanaema
266,Eltern::N,tuismitheoirí,vanemad
267,Vater::N,athair,isa
268,Mutter::N,máthair,ema
269,Sohn::N,mac,poeg
270,Tochter::N,iníon,tütar
271,Bruder::N,deartháir,vend
272,Schwester::N,deirfiúr,õde
273,Onkel::N,uncail,onu
274,Tante::N,aintín,tädi
275,Ehemann::N,fear céile,mees
276,Ehemann::N,fear céile,abikaasa
277,Ehefrau::N,bean chéile,naine
278,Ehefrau::N,bean chéile,abikaasa
279,Freude::N,áthas,rõõm
280,Gelächter::N,gáire,naer
281,Glück::N,séan,õnn
282,Glück::N,sonas,õnn
283,Kummer::N,brón,mure
284,Kummer::N,brón,kurbus
285,Kummer::N,buairt,mure
286,Kummer::N,buairt,kurbus
287,Wunsch::N,guí,soov
288,Wunsch::N,achainí,soov
289,Lust::N,fonn,himu
290,Geist::N,meon,vaim
291,Geist::N,spiorad,vaim
292,Gedanke::N,smaoineamh,mõte
293,Gedächtnis::N,cuimhne,mälu
294,Verstand::N,ciall,aru
295,Verstand::N,ciall,mõistus
296,Verstand::N,intinn,aru
297,Verstand::N,intinn,mõistus
298,Sinn::N,brí,tähendus
299,Sinn::N,ciall,tähendus
300,Grund::N,fáth,põhjus
301,Wahrheit::N,fírinne,tõde
302,Gespräch::N,comhrá,kõne
303,Gespräch::N,comhrá,vestlus
304,Märchen::N,scéal,muinasjutt
305,Erzählung::N,scéal,jutustus
306,Nachricht::N,teachtaireacht,teade
307,Neuigkeit::N,scéala,uudis
308,Name::N,ainm,nimi
309,Rätsel::N,tomhas,mõistatus
310,Rede::N,óráid,kõne
311,Rede::N,aitheasc,kõne
312,Sprache::N,teanga,keel
313,Stimme::N,guth,hääl
314,Wort::N,focal,sõna
315,Zeichen::N,comhartha,märk
316,Ruf::N,glaoch,hüüe
317,Lärm::N,torann,müra
318,Laut::N,fuaim,hääl
319,Ton::N,ton,toon
320,Lied::N,amhrán,laul
321,Ruhe::N,suaimhneas,rahu
322,Ruhe::N,suaimhneas,vaikus
323,Leute::N,muintir,inimesed
324,Volk::N,pobal,rahvas
325,Arbeit::N,obair,töö
326,Gast::N,aoi,külaline
327,Geschenk::N,féirín,kingitus
328,Geschenk::N,bronntanas,kingitus
329,Spiel::N,cluiche,mäng
330,Gesellschaft::N,comhluadar,selts
331,Hilfe::N,cúnamh,abi
332,Hilfe::N,cabhair,abi
333,Freund::N,cara,sõber
334,Kamerad::N,comrádaí,sõber
335,Angelegenheit::N,ábhar,asi
336,Anzahl::N,líon,arv
337,Anzahl::N,líon,hulk
338,Art::N,sórt,liik
339,Art::N,saghas,liik
340,Stück::N,píosa,tükk
341,Teil::N,cuid,osa
342,Teil::N,páirt,osa
343,Hälfte::N,leath,pool
344,Kreis::N,ciorcal,ring
345,Kreuz::N,cros,rist
346,Linie::N,líne,joon
347,Strich::N,stríoc,joon
348,Abstand::N,achar,vahe
349,Entfernung::N,fad,kaugus
350,Entfernung::N,fad,vahemaa
351,Gegend::N,ceantar,ümbrus
352,Platz::N,áit,ruum
353,Platz::N,spás,ruum
354,Ort::N,áit,paik
355,Seite::N,taobh,pool
356,Mitte::N,lár,keskpaik
357,Gegenstand::N,ball,ese
358,Gegenstand::N,ábhar,ese
359,Sache::N,ní,ese
360,Sache::N,rud,ese
361,Rand::N,imeall,äär
362,Rand::N,imeall,serv
363,Rand::N,ciumhais,äär
364,Rand::N,ciumhais,serv
365,Kante::N,corr,kant
366,Kante::N,colbha,kant
367,Ecke::N,coirnéal,nurk
368,Spitze::N,gob,teravik
369,Spitze::N,barr,teravik
370,Ende::N,ceann,ots
371,Ende::N,ceann,jupp
372,Ende::N,foirceann,ots
373,Ende::N,foirceann,jupp
374,Loch::N,poll,auk
375,Winkel::N,cúinne,nurk
376,Winkel::N,uillinn,nurk
377,Muster::N,patrún,muster
378,Größe::N,méid,suurus
379,Größe::N,toise,suurus
380,Länge::N,fad,pikkus
381,Höhe::N,airde,kõrgus
382,Gewicht::N,meáchan,kaal
383,Gewicht::N,meáchan,raskus
384,Menge::N,méid,arv
385,Menge::N,méid,hulk
386,Haufen::N,cnap,hunnik
387,Reihe::N,líne,rivi
388,Reihe::N,sraith,rivi
