,Concept_ID,se,fi
0,Auge::N,tjelmie,silmä
1,Auge::N,tjalmme,silmä
2,Auge::N,čalbmi,silmä
3,Auge::N,čalme,silmä
4,Auge::N,čâ´lmm,silmä
5,Auge::N,ча̄лльм,silmä
6,Ohr::N,bieljie,korva
7,Ohr::N,biellje,korva
8,Ohr::N,beallji,korva
9,Ohr::N,pelji,korva
10,Ohr::N,pe´llj,korva
11,Ohr::N,пе̄лльй,korva
12,Nase::N,njuenie,nenä
13,Nase::N,njunnje,nenä
14,Nase::N,njunni,nenä
15,Nase::N,njuṇe,nenä
16,Nase::N,njuu´nn,nenä
17,Nase::N,нюннҍ,nenä
18,Mund::N,njaelmie,suu
19,Mund::N,njálmme,suu
20,Mund::N,njálbmi,suu
21,Mund::N,njälmi,suu
22,Mund::N,njä´lmm,suu
23,Mund::N,ня̄лльм,suu
24,Zahn::N,baenie,hammas
25,Zahn::N,bádne,hammas
26,Zahn::N,bátni,hammas
27,Zahn::N,pääṇi,hammas
28,Zahn::N,pää´nn,hammas
29,Zahn::N,па̄ннҍ,hammas
30,Zunge::N,njoektjeme,kieli
31,Zunge::N,njuovtjav,kieli
32,Zunge::N,njuovčča,kieli
33,Zunge::N,njuovčâ,kieli
34,Zunge::N,njuhččâm,kieli
35,Zunge::N,нюхчем,kieli
36,Lippe::N,bangseme,huuli
37,Lippe::N,njálmmerabdda,huuli
38,Lippe::N,bavssa,huuli
39,Lippe::N,poovsâ,huuli
40,Lippe::N,põõus,huuli
41,Lippe::N,пэ̄кс,huuli
42,Wange::N,skiehrie,poski
43,Wange::N,nierra,poski
44,Wange::N,muohtu,poski
45,Wange::N,nieṛâ,poski
46,Wange::N,njiõrr,poski
47,Wange::N,нӣрр,poski
48,Gesicht::N,ååredæjja,naama
49,Gesicht::N,ååredæjja,kasvot
50,Gesicht::N,muohto,naama
51,Gesicht::N,muohto,kasvot
52,Gesicht::N,muođut,naama
53,Gesicht::N,muođut,kasvot
54,Gesicht::N,ámadadju,naama
55,Gesicht::N,ámadadju,kasvot
56,Gesicht::N,muáđuh,naama
57,Gesicht::N,muáđuh,kasvot
58,Gesicht::N,muâđ,naama
59,Gesicht::N,muâđ,kasvot
60,Gesicht::N,ка̄ссв,naama
61,Gesicht::N,ка̄ссв,kasvot
62,Stirn::N,gaalloe,otsa
63,Stirn::N,gállo,otsa
64,Stirn::N,gállu,otsa
65,Stirn::N,kállu,otsa
66,Stirn::N,käll,otsa
67,Stirn::N,вуэххьц,otsa
68,Haar::N,voepte,hius
69,Haar::N,voepte,tukka
70,Haar::N,vuoppta,hius
71,Haar::N,vuoppta,tukka
72,Haar::N,vuokta,hius
73,Haar::N,vuokta,tukka
74,Haar::N,vuop'tâ,hius
75,Haar::N,vuop'tâ,tukka
76,Haar::N,vuõpt,hius
77,Haar::N,vuõpt,tukka
78,Haar::N,вӯппт,hius
79,Haar::N,вӯппт,tukka
80,Schnurrbart::N,bijjie-skaavtjoe,viikset
81,Schnurrbart::N,njunjevuolskávttjá,viikset
82,Schnurrbart::N,seamu,viikset
83,Schnurrbart::N,siämu,viikset
84,Schnurrbart::N,ää´bben,viikset
85,Schnurrbart::N,о̄а̄бпан,viikset
86,Bart::N,skaavtja,parta
87,Bart::N,skaavtjoe,parta
88,Bart::N,skávttjá,parta
89,Bart::N,seamu,parta
90,Bart::N,siämu,parta
91,Bart::N,seäm,parta
92,Bart::N,ся̄м,parta
93,Kinn::N,gaejpie,leuka
94,Kinn::N,gájbbe,leuka
95,Kinn::N,gáibi,leuka
96,Kinn::N,käibi,leuka
97,Kinn::N,käi´bb,leuka
98,Kinn::N,ка̄ййп,leuka
99,Kiefer[Anatomie]::N,gaejpie,leukaluu
100,Kiefer[Anatomie]::N,oalol,leukaluu
101,Kiefer[Anatomie]::N,oaloldákte,leukaluu
102,Kiefer[Anatomie]::N,gáibi,leukaluu
103,Kiefer[Anatomie]::N,uá'lultähti,leukaluu
104,Kiefer[Anatomie]::N,vuâl'lõš,leukaluu
105,Kiefer[Anatomie]::N,вуаллнешш,leukaluu
106,Kehle::N,gealoe,kurkku
107,Kehle::N,tjåttå,kurkku
108,Kehle::N,njiello,kurkku
109,Kehle::N,čotta,kurkku
110,Kehle::N,čuudâ,kurkku
111,Kehle::N,čoodd,kurkku
112,Kehle::N,чонт,kurkku
113,Kehle::N,кэ̄ҏс,kurkku
114,Hals::N,tjeapohke,kaula
115,Hals::N,tjiebet,kaula
116,Hals::N,čeabet,kaula
117,Hals::N,čiäppát,kaula
118,Hals::N,čeäppat,kaula
119,Hals::N,ча̄пэх,kaula
120,Genick::N,tjovrese,niska
121,Genick::N,nisske,niska
122,Genick::N,niehkki,niska
123,Genick::N,niski,niska
124,Genick::N,niek'ki,niska
125,Genick::N,nji´šǩǩmaadd,niska
126,Genick::N,нышшькмоант,niska
127,Kopf::N,åejjie,pää
128,Kopf::N,oajvve,pää
129,Kopf::N,oaivi,pää
130,Kopf::N,uái'vi,pää
131,Kopf::N,vuei´vv,pää
132,Kopf::N,вуэййв,pää
133,Rücken::N,rudtje,selkä
134,Rücken::N,hárddo,selkä
135,Rücken::N,tjavelk,selkä
136,Rücken::N,sealgi,selkä
137,Rücken::N,selgi,selkä
138,Rücken::N,čielgi,selkä
139,Rücken::N,seä´lǧǧ,selkä
140,Rücken::N,се̄лльк,selkä
141,Bauch::N,tjåejjie,maha
142,Bauch::N,tjåejjie,vatsa
143,Bauch::N,tjoajvve,maha
144,Bauch::N,tjoajvve,vatsa
145,Bauch::N,čoavji,maha
146,Bauch::N,čoavji,vatsa
147,Bauch::N,čuáv'ji,maha
148,Bauch::N,čuáv'ji,vatsa
149,Bauch::N,čåu´jj,maha
150,Bauch::N,čåu´jj,vatsa
151,Bauch::N,чо̄ввьй,maha
152,Bauch::N,чо̄ввьй,vatsa
153,Nabel::N,naepie,napa
154,Nabel::N,náhpe,napa
155,Nabel::N,náhpi,napa
156,Nabel::N,nääpi,napa
157,Nabel::N,nää´pp,napa
158,Nabel::N,на̄бпь,napa
159,Busen::N,boenge,rinta
160,Busen::N,bållå,rinta
161,Busen::N,čižži,rinta
162,Busen::N,njamma,rinta
163,Busen::N,njižže,rinta
164,Busen::N,nje´ǯǯ,rinta
165,Busen::N,раннҍт,rinta
166,Brust::N,mïelke,rinta
167,Brust::N,radde,rinta
168,Brust::N,mielgga,rinta
169,Brust::N,raddi,rinta
170,Brust::N,radde,rinta
171,Brust::N,râ´dd,rinta
172,Brust::N,раннҍт,rinta
173,Schulter::N,åelkie,olka
174,Schulter::N,åelkie,hartia
175,Schulter::N,åelkie,olkapää
176,Schulter::N,oalgge,olka
177,Schulter::N,oalgge,hartia
178,Schulter::N,oalgge,olkapää
179,Schulter::N,hárdu,olka
180,Schulter::N,hárdu,hartia
181,Schulter::N,hárdu,olkapää
182,Schulter::N,ärdee,olka
183,Schulter::N,ärdee,hartia
184,Schulter::N,ärdee,olkapää
185,Schulter::N,uál'gi,olka
186,Schulter::N,uál'gi,hartia
187,Schulter::N,uál'gi,olkapää
188,Schulter::N,a´rddi,olka
189,Schulter::N,a´rddi,hartia
190,Schulter::N,a´rddi,olkapää
191,Schulter::N,vuä´lǧǧ,olka
192,Schulter::N,vuä´lǧǧ,hartia
193,Schulter::N,vuä´lǧǧ,olkapää
194,Schulter::N,вуэллык,olka
195,Schulter::N,вуэллык,hartia
196,Schulter::N,вуэллык,olkapää
197,Arm::N,gïete,käsivarsi
198,Arm::N,giehta,käsivarsi
199,Arm::N,giehta,käsivarsi
200,Arm::N,kietâ,käsivarsi
201,Arm::N,kie'tâkaaṿâ,käsivarsi
202,Arm::N,ǩiõtt,käsivarsi
203,Arm::N,кӣдт,käsivarsi
204,Ellenbogen::N,gernjere,kyynärpää
205,Ellenbogen::N,garŋŋel,kyynärpää
206,Ellenbogen::N,gargŋil,kyynärpää
207,Ellenbogen::N,käŋŋir,kyynärpää
208,Ellenbogen::N,kõõnjâr,kyynärpää
209,Ellenbogen::N,карьнэль,kyynärpää
210,Hand::N,gïete,käsi
211,Hand::N,giehta,käsi
212,Hand::N,giehta,käsi
213,Hand::N,kietâ,käsi
214,Hand::N,ǩiõtt,käsi
215,Hand::N,кӣдт,käsi
216,Handfläche::N,gïeten-låapoe,kämmen
217,Handfläche::N,giehtavuodo,kämmen
218,Handfläche::N,tjårmmåvuodo,kämmen
219,Handfläche::N,giehtaloahpu,kämmen
220,Handfläche::N,kiämád,kämmen
221,Handfläche::N,kuámmir,kämmen
222,Handfläche::N,kuä´m'mer,kämmen
223,Handfläche::N,ǩiõttǩeä´m'men,kämmen
224,Handfläche::N,ко̄а̄ллдэгк,kämmen
225,Handfläche::N,кӣдткоалдэгк,kämmen
226,Finger::N,soerme,sormi
227,Finger::N,tjuvdde,sormi
228,Finger::N,suorbma,sormi
229,Finger::N,čuvde,sormi
230,Finger::N,suor'mâ,sormi
231,Finger::N,suõrmm,sormi
232,Finger::N,це̄ххп,sormi
233,Fingernagel::N,gadtse,kynsi
234,Fingernagel::N,guehpere,kynsi
235,Fingernagel::N,gadtsa,kynsi
236,Fingernagel::N,gazza,kynsi
237,Fingernagel::N,kozzâ,kynsi
238,Fingernagel::N,kõʒʒ,kynsi
239,Fingernagel::N,кэ̄ннц,kynsi
240,Nagel[Anatomie]::N,gadtse,kynsi
241,Nagel[Anatomie]::N,guehpere,kynsi
242,Nagel[Anatomie]::N,gadtsa,kynsi
243,Nagel[Anatomie]::N,gazza,kynsi
244,Nagel[Anatomie]::N,kozzâ,kynsi
245,Nagel[Anatomie]::N,kõʒʒ,kynsi
246,Nagel[Anatomie]::N,кэ̄ннц,kynsi
247,Zeh::N,tjiehtjere,varvas
248,Zeh::N,juolggetjuvdde,varvas
249,Zeh::N,juolgesuorbma,varvas
250,Zeh::N,jyel'gisuor'mâ,varvas
251,Zeh::N,jue´lǧǧsuõrmm,varvas
252,Zeh::N,ю̄лльк-це̄һп,varvas
253,Fuß::N,juelkie,jalka
254,Fuß::N,juolgge,jalka
255,Fuß::N,juolgi,jalka
256,Fuß::N,jyel'gi,jalka
257,Fuß::N,jue´lǧǧ,jalka
258,Fuß::N,ла̄бпь,jalka
259,Ferse::N,båetskie,kantapää
260,Ferse::N,boasske,kantapää
