,Concept_ID,ady,is
0,Auge::N,нэ,auga
1,Ohr::N,тхьакӏу́м,eyra
2,Nase::N,пэ,nef
3,Mund::N,жэ,munnur
4,Zahn::N,цэ,tönn
5,Zunge::N,бзэгу,tunga
6,Lippe::N,ӏупшӏэ́,vör
7,Wange::N,нэкӏу́шъу,kinn
8,Wange::N,нэкӏу́шъу,vangi
9,Gesicht::N,нэ́гу,andlit
10,Stirn::N,натӏэ́,enni
11,Haar::N,шъхьацы́,hár
12,Bart::N,жакӏэ́,skegg
13,Kinn::N,жэкӏэпэпкъ,haka
14,Kiefer[Anatomie]::N,жэпкъы́,kjálki
15,Kiefer[Anatomie]::N,жэпкъы́,skoltur
16,Kehle::N,чый,kverk
17,Hals::N,пшъэ,háls
18,Genick::N,шъхьэпхэтыку,hnakki
19,Kopf::N,шъхьэ́,höfuð
20,Rücken::N,кӏыбы́,hryggur
21,Bauch::N,ныбэ́,kviður
22,Busen::N,бгъэ́,barmur
23,Brust::N,бгъэ́,brjóst
24,Schulter::N,блыпкъ,öxl
25,Arm::N,ӏэ,armur
26,Ellenbogen::N,ӏэнтэ́гъу,olnbogi
27,Hand::N,ӏэтхьэцу,hönd
28,Handfläche::N,ӏэ́гу,lófi
29,Finger::N,ӏэхъуа́мб,fingur
30,Fingernagel::N,ӏэбжъа́н,fingurnögl
31,Nagel[Anatomie]::N,ӏэбжъа́н,nögl
32,Zeh::N,ӏэхъуа́мб,tá
33,Fuß::N,лъэгу,fótur
34,Ferse::N,лъэдакъэ,hæll
35,Knie::N,лъагуа́ндж,kné
36,Oberschenkel::N,ко,læri
37,Bein::N,лъакъо́,fótleggur
38,Körper::N,пкъышъол,búkur
39,Körper::N,пкъышъол,líkami
40,Haut::N,кӏы́шъу,húð
41,Haut::N,кӏы́шъу,skinn
42,Blut::N,лъы,blóð
43,Ader::N,льытф,æð
44,Sehne::N,фэ,sin
45,Knochen::N,къупшъхьэ́,bein
46,Gehirn::N,куцӏы,heili
47,Herz::N,гу,hjarta
48,Magen::N,мышкӏу,magi
49,Leber::N,шӏу,lifur
50,Atem::N,къэщэныр,andi
51,Atem::N,къэщэныр,andardráttur
52,Hunger::N,гъаблэ́,hungur
53,Träne::N,нэпсы,tár
54,Geschmack::N,ӏэшӏугъа́кӏ,smekkur
55,Geruch::N,мэ,lykt
56,Schlaf::N,пчыхьы́пӏ,svefn
57,Traum::N,пчыхьы́пӏ,draumur
58,Himmel::N,уашъо́,himinn
59,Sonne::N,тыгъэ,sól
60,Mond::N,мазэ,tungl
61,Stern::N,жъуагъо́,stjarna
62,Luft::N,жьы,loft
63,Wind::N,жьыбгъэ́,vindur
64,Welle::N,ор,alda
65,Welle::N,ор,bylgja
66,Welle::N,оры,alda
67,Welle::N,оры,bylgja
68,Wasser::N,псы,vatn
69,Stein::N,мыжъо́,steinn
70,Boden::N,чӏ́ыгу,botn
71,Erde::N,чӏ́ыгу,jörð
72,Staub::N,сап,ryk
73,Staub::N,сап,duft
74,Rauch::N,ӏугъо́,reykur
75,Funke::N,мэшӏуа́ч,neisti
76,Feuer::N,машӏо́,eldur
77,Licht::N,нэфы,ljós
78,Licht::N,нэфын,ljós
79,Schatten::N,жьау́,skuggi
80,Schatten::N,ныбжьыкъу,skuggi
81,Nebel::N,пща́гъу,þoka
82,Wolke::N,ошъуапщэ,ský
83,Regen::N,ощхы,regn
84,Schnee::N,осы́,snjór
85,Eis::N,мылы,ís
86,Kälte::N,чъыӏэ́,kuldi
87,Hitze::N,фэба́е,hiti
88,Regenbogen::N, лэгъупэкъо́пс,regnbogi
89,Donner::N,шыблэ́,þruma
90,Strömung::N,ток,straumur
91,Tropfen::N,ткӏопс,dropi
92,Tropfen::N,гъуаткӏу,dropi
93,Schaum::N,тхъурбэ,froða
94,Schmutz::N,псынжъы,óhreinindi
95,See::N,хыку́м,stöðuvatn
96,See::N,псыхъура́й,stöðuvatn
97,Sumpf::N,орыжъ,fen
98,Moor::N,орыжъ,mýri
99,Wiese::N,хъупӏэ́,engi
100,Wiese::N,мэкъупӏ,engi
101,Wald::N,мэзы́,skógur
102,Hügel::N,ӏуашъхь,hæð
103,Hügel::N,ӏуашъхь,hóll
104,Anhöhe::N,чӏыӏэтыгъ,hæð
105,Anhöhe::N,чӏыӏэтыгъ,hóll
106,Berg::N,къушъхьэ́,fell
107,Berg::N,къушъхьэ́,fjall
108,Gipfel::N,шыгу,tindur
109,Höhle::N,гъочӏэгъ,hellir
110,Abhang::N,чапэ,hlíð
111,Abhang::N,чапэ,brekka
112,Quelle::N,псынэчэ́чъ,lind
113,Quelle::N,псынэчэ́чъ,uppspretta
114,Bach::N,псышкуашку,lækur
115,Fluss::N,псыхъо́,á
116,Fluss::N,псыхъо́,fljót
117,Ufer::N,нэпкъы,árbakki
118,Ufer::N,нэпкъы,sjávarbakki
119,Küste::N,ӏушъо,strönd
120,Festland::N,чӏл́ыгу,meginland
121,Meer::N,хы,haf
122,Meer::N,хы,sjór
123,Bucht::N,хыблыгу,vík
124,Insel::N,хыгъэхъу́н,eyja
125,Blume::N,къэгъа́гь,blóm
126,Gras::N,уцы́,gras
127,Wurzel::N,лъапсэ́,rót
128,Baum::N,чъыгы́,tré
129,Stamm::N,пкъы,stofn
130,Rinde::N,пхъашъо́,börkur
131,Ast::N,куамэ,grein
132,Zweig::N,къутамэ́,angi
133,Zweig::N,къутамэ́,kvistur
