,Concept_ID,tr,hr
0,Auge::N,göz,oko
1,Ohr::N,kulak,uho
2,Nase::N,burun,nos
3,Mund::N,ağız,usta
4,Zahn::N,diş,zub
5,Zunge::N,dil,jezik
6,Lippe::N,dudak,usna
7,Wange::N,yanak,obraz
8,Gesicht::N,yüz,lice
9,Stirn::N,alın,čelo
10,Haar::N,saç,kosa
11,Schnurrbart::N,bıyık,brkovi
12,Bart::N,sakal,brada
13,Kinn::N,çene,brada
14,Kinn::N,çene,podbradak
15,Kiefer[Anatomie]::N,çene,čeljust
16,Kehle::N,boğaz,grlo
17,Hals::N,boyun,vrat
18,Hals::N,gerdan,vrat
19,Genick::N,ense,zatiljak
20,Kopf::N,baş,glava
21,Kopf::N,kafa,glava
22,Rücken::N,arka,leđa
23,Rücken::N,arka,hrbat
24,Bauch::N,karın,trbuh
25,Nabel::N,göbek,pupak
26,Busen::N,koyun,sisa
27,Busen::N,koyun,njedra
28,Brust::N,göğüs,prsa
29,Schulter::N,omuz,rame
30,Schulter::N,omuz,pleći
31,Arm::N,kol,ruka
32,Ellenbogen::N,dirsek,lakat
33,Hand::N,el,ruka
34,Handfläche::N,avuç,dlan
35,Handfläche::N,el ayası,dlan
36,Finger::N,parmak,prst
37,Fingernagel::N,el tırnağı,nokat
38,Nagel[Anatomie]::N,tırnak,nokat
39,Zeh::N,ayak parmağı,nozni prst
40,Fuß::N,ayak,noga
41,Fuß::N,ayak,stopalo
42,Ferse::N,topuk,peta
43,Knie::N,diz,koljeno
44,Oberschenkel::N,uyluk,bedro
45,Bein::N,bacak,noga
46,Körper::N,vücut,tijelo
47,Haut::N,cilt,put
48,Haut::N,cilt,koža
49,Blut::N,kan,krv
50,Ader::N,damar,žila
51,Sehne::N,kiriş,tetiva
52,Knochen::N,kemik,kost
53,Gehirn::N,beyin,
54,Herz::N,kalp,srce
55,Herz::N,yürek,srce
56,Magen::N,mide,stomak
57,Magen::N,mide,želudac
58,Leber::N,karaciğer,jetra
59,Atem::N,nefes,dah
60,Hunger::N,açlık,glad
61,Träne::N,gözyaşı,suza
62,Geschmack::N,tat,ukus
63,Geschmack::N,lezzet,ukus
64,Geruch::N,koku,njuh
65,Geruch::N,koku,miris
66,Schlaf::N,uyku,san
67,Traum::N,düş,san
68,Traum::N,rüya,san
69,Himmel::N,gök,nebo
70,Sonne::N,güneş,sunce
71,Mond::N,ay,mjesec
72,Stern::N,yıldız,zvijezda
73,Luft::N,hava,zrak
74,Wind::N,yel,vjetar
75,Wind::N,rüzgâr,vjetar
76,Welle::N,dalga,val
77,Welle::N,dalga,talas
78,Wasser::N,su,voda
79,Stein::N,taş,kamen
80,Boden::N,yer,tlo
81,Boden::N,yer,zemlja
82,Boden::N,zemin,tlo
83,Boden::N,zemin,zemlja
84,Erde::N,toprak,zemlja
85,Staub::N,toz,prah
