,Concept_ID,tt,mrj
173,Kranich::N,торна,тырня
174,Kranich::N,торна,тыртня
175,Krähe::N,карга,лудыгарак
176,Kuckuck::N,күке,куку
177,Kuckuck::N,кәккүк,куку
178,Schwan::N,аккош,йӱксӹ
179,Fisch::N,балык,кол
180,Barsch::N,алабуга,алангы
181,Hecht::N,чуртан,нуж
182,Hecht::N,чуртан,нужгол
183,Schlange[Tier]::N,елан,кӹшкы
184,Wurm::N,корт,шукш
185,Spinne::N,үрмәкүч,ӓнгӹремшӹ
186,Ameise::N,кырмыска,кыткы
187,Laus::N,бет,ти
188,Mücke::N,черки,кужнер
189,Mücke::N,черки,кужынер
190,Mücke::N,озынборын,кужнер
191,Mücke::N,озынборын,кужынер
192,Fliege::N,чебен,шӹнгӓ
193,Schmetterling::N,күбәләк,лӹпӹ
194,Beere::N,җиләк,мöр
195,Apfel::N,алма,олма
196,Pilz::N,гөмбә,понгы
197,Zwiebel::N,суган,охыра
198,Zwiebel::N,суганбаш,охыра
199,Saat::N,орлык,нӱшмӹ
200,Saat::N,орлык,нӱшмӱ
201,Korn::N,иген,пӹрцӹ
202,Korn::N,орлык,пӹрцӹ
203,Heu::N,печән,шуды
204,Schale::N,кабык,аваха
205,Schale::N,кабык,карлангы
206,Grube::N,баз,йӓм
207,Grube::N,чокыр,йӓм
208,Falle::N,тозак,лӱдӹ
209,Falle::N,тозак,лӱдӹш
210,Falle::N,капкын,лӱдӹ
211,Falle::N,капкын,лӱдӹш
212,Schlinge::N,элмәк,онгы
213,Spur::N,эз,кишӓ
214,Asche::N,көл,ломых
215,Asche::N,көл,ломпыж
216,Dreck::N,пычрак,лявӹрӓ
217,Eisen::N,тимер,кӹртни
218,Gold::N,алтын,шöртни
219,Gold::N,алтын,шöртньӹ
220,Silber::N,көмеш,ши
221,Kohle::N,күмер,шӱ
222,Glas::N,пыяла,охоница
223,Lehm::N,балчык,шун
224,Sand::N,ком,ошма
225,Mensch::N,адәм,эдем
226,Mensch::N,инсан,эдем
227,Mann::N,ир,пӱэргӹ
228,Frau::N,хатын,ӹдӹрӓмӓш
229,Kind::N,бала,ӓзӓ
230,Kind::N,бала,шачшы
231,Junge::N,малай,рвезӹ
232,Junge::N,малай,ӹрвезӹ
233,Mädchen::N,кыз,ӹдӹрӓш
234,Familie::N,гаилә,йиш
235,Familie::N,гаилә,семня
236,Großvater::N,бабай,тьоти
237,Großmutter::N,әби,папа
238,Eltern::N,ата-ана,ӓтя-ӓвӓ
239,Vater::N,ата,ӓтя
240,Mutter::N,ана,ӓвӓ
241,Sohn::N,ул,эргӹ
