,Concept_ID,ab,kv
77,Wolke::N,аҧсҭҳəа,кымӧр
78,Regen::N,ақəа,зэр
79,Schnee::N,асы,лым
80,Eis::N,аҵаа,йы
81,Frost::N,аҵаа,мороз
82,Kälte::N,ахьҭа,кӧдзыт
83,Hitze::N,ашоура,ӧд
84,Raureif::N,аҵааҧшқа,кижа
85,Regenbogen::N,ацəаҟəа,енӧшка
86,Donner::N,адыд,гым
87,Strömung::N,аиасра,визывтӧм
88,Strömung::N,амҩасра,визывтӧм
89,Tropfen::N,ацəыкəбар,тёп
90,Schaum::N,ашəах,быг
91,Schmutz::N,алымт,нять
92,See::N,аӡиа,ты
93,Sumpf::N,аӡмах,арай
94,Wiese::N,адəы,видз
95,Wald::N,абна,вӧр
96,Hügel::N,ахəы,мыльк
97,Anhöhe::N,аҳаракыра,вывтас
98,Anhöhe::N,аҳаракыра,вылынін
99,Berg::N,ашьха,керӧс
100,Gipfel::N,ацəқəа,йыв
101,Höhle::N,аҳаҧы,нора
102,Abhang::N,анаара,покат
103,Quelle::N,аҵҵырҭа,больган
104,Bach::N,акəараҷҷа,шор
105,Fluss::N,аӡиас,ю
106,Ufer::N,ахықə,берег
107,Küste::N,ахықə,берег
108,Festland::N,абарра,му
109,Meer::N,амшын,море
110,Bucht::N,аӡбжьахала,курья
111,Insel::N,адгьылбжьаха,
112,Blume::N,ашəҭ,цветок
113,Gras::N,аҳасакьын,турун
114,Wurzel::N,адац,вуж
115,Baum::N,аҵла,пу
116,Stamm::N,ашьапы,мыр
117,Stamm::N,ашьапы,кер
118,Rinde::N,ацəа,кач
119,Ast::N,амахə,ув
120,Ast::N,амахəҭа,ув
121,Zweig::N,амахə,ув
122,Zweig::N,амахəҭа,ув
123,Blatt::N,абҕьы,лист
124,Birke::N,аҵааҵла,кыдз
125,Kiefer[Baum]::N,амза,пожум
126,Weide[Baum]::N,аҧслыш,бадь
127,Tanne::N,аҧсаӡ,кӧз
128,Horn::N,атəыҩа,сюр
129,Feder::N,ахӡы,гӧн
130,Fell::N,ацəа,кучик
131,Flügel::N,амҵəыжəа,борд
132,Klaue::N,ашьапхыц,гыж
133,Schwanz::N,аҵыхəа,бӧж
134,Ei::N,акəтаӷь,кольть
135,Nest::N,аҭра,поз
136,Nest::N,аҵысҭра,поз
137,Bau::N,аҭыҩра,осьта
138,Bau::N,аҭыҩра,нора
139,Tier::N,аҧстəы,зверь
140,Tier::N,агыгшəыг,зверь
141,Herde::N,агəарҭа,гурт
142,Kuh::N,ажə,мӧс
143,Bulle::N,ацə,ӧшка
144,Pferd::N,аҽы,вӧв
145,Schaf::N,ауаса,баля
146,Schwein::N,аҳəа,порсь
147,Hund::N,ала,пон
148,Katze::N,ацгəы,кань
149,Bär::N,амшə,ош
150,Eichhörnchen::N,аеш,ур
151,Elch::N,аҽаҩа,вӧр мӧс
152,Fuchs::N,абгахəыҷы,руч
153,Hase::N,ажьа,кӧч
154,Maus::N,аҳəынаҧ,шыр
155,Wolf::N,абгаду,кӧин
156,Vogel::N,аҧсаатə,кай
157,Huhn::N,акəты,курӧг
158,Hahn::N,арбаҕь,петух
159,Hahn::N,арбаҕь,ай курӧг
160,Gans::N,аҟыз,дзодзог
161,Adler::N,ауарба,куч
162,Adler::N,ауарба,кутш
163,Ente::N,акəата,утка
164,Eule::N,аты,тупка
165,Kranich::N,апҟа,тури
166,Krähe::N,аҟəараан,рака
167,Kuckuck::N,акəыкəу,кӧк
168,Schwan::N,агьад,юсь
169,Fisch::N,аҧсыӡ,чери
170,Barsch::N,ацəыбла,ёкыш
171,Hecht::N,ахиаала,сирпинь
172,Schlange[Tier]::N,амаҭ,змей
173,Wurm::N,ахəа,номыр
174,Wurm::N,ахəац,номыр
175,Spinne::N,абызкаҭаҳа,черань
176,Ameise::N,ашышкамс,кӧдзывкар
177,Laus::N,аҵа,ляпа той
178,Mücke::N,акəыбры,ном
179,Fliege::N,амҵ,гут
180,Schmetterling::N,аҧарҧалыкь,бабыв
181,Beere::N,аргуц,ягӧд
182,Apfel::N,аҵəа,яблоко
183,Pilz::N,акəкəбаа,тшак
184,Zwiebel::N,аџьымшьы,грез
185,Zwiebel::N,аџьымшьхы,грез
186,Saat::N,ажəла,кӧдзыс
187,Korn::N,арыц,сю
188,Heu::N,аҭəа,турун
189,Schale::N,ацəа,кыш
190,Schale::N,ацəа,киль
191,Grube::N,ажра,яма
192,Grube::N,атыша,яма
193,Falle::N,арыҧҟьа,нальк
194,Falle::N,арыҧҟьа,кляпча
195,Schlinge::N,аҟəараҟəантə,лӧч
196,Spur::N,ашьҭа,туй
197,Asche::N,ахəа,пӧим
198,Dreck::N,аҳəынҵəа,нять
199,Dreck::N,аҟьамсар,нять
200,Eisen::N,аиха,кӧрт
201,Gold::N,ахьы,зарни
202,Silber::N,аразны,язісь
203,Kohle::N,арацəа,шом
204,Kohle::N,арацəа,уголь
205,Glas::N,асаркьа,стекло
206,Lehm::N,анышəаҧшь,сёй
207,Sand::N,аҧслымӡ,лыа
208,Mensch::N,ауаҩы,морт
209,Mann::N,ахаҵа,мужик
210,Frau::N,аҧҳəыс,инька
211,Kind::N,ахəыҷы,кага
212,Junge::N,аҷкəын,зонка
213,Junge::N,ахаҵарҧыс,зонка
214,Mädchen::N,аӡӷаб,нывкаок
215,Familie::N,аҭаацəа,семья
216,Großvater::N,абду,дед
217,Großmutter::N,анду,баб
218,Eltern::N,ани аби,ай-мам
219,Vater::N,аб,ай
220,Mutter::N,ан,мам
221,Sohn::N,аҧа,зон
222,Tochter::N,аҧҳа,ныв
223,Bruder::N,аиашьа,вон
224,Schwester::N,Аҳəшьа,сой
225,Onkel::N,абиашьа,дядь
226,Onkel::N,аншьа,дядь
227,Tante::N,абиаҳəшьа,айӧлӧн сой
228,Tante::N,абиаҳəшьа,ичинь
229,Ehemann::N,ахаҵа,жӧник
230,Ehemann::N,аҧшəма,жӧник
231,Ehefrau::N,аҧҳəыс,инь
232,Freude::N,агəырӷьара,гаж
233,Freude::N,агəырӷьара,радъялӧм
234,Gelächter::N,ачча,сералӧм
235,Gelächter::N,аччара,сералӧм
236,Glück::N,аразҟы,мичлун
237,Kummer::N,агəырҩа,шог
238,Wunsch::N,агəхəтəы,мӧдӧм
239,Wunsch::N,агəхəтəы,охотитӧм
240,Wunsch::N,аҭахра,мӧдӧм
241,Wunsch::N,аҭахра,охотитӧм
242,Lust::N,агəазыҳəара,охота
243,Geist::N,аҧсы,лов
244,Gedanke::N,ахəыцырҭа,дума
245,Gedächtnis::N,агəынкылара,тӧдвыв
246,Verstand::N,ахшыҩ,вежӧр
247,Sinn::N,аҵакы,ылӧс
248,Grund::N,амзыз,мог
249,Wahrheit::N,аиаша,правда
250,Gespräch::N,аиҿцәажәара,сёрни
251,Märchen::N,алакə,сказка
252,Erzählung::N,ажәабжь,висьт
253,Nachricht::N,адырраҭара,юӧр
254,Nachricht::N,адырраҭара,висьталӧм
255,Neuigkeit::N,ажәабжь ҿыц,новость
256,Name::N,ахьӡ,ним
257,Rätsel::N,ацуфара,загадка
258,Rede::N,ажәа,сёрни
259,Sprache::N,абызшəа,кыв
260,Stimme::N,абжьы,голос
261,Wort::N,ажәа,кыв
262,Zeichen::N,адырга,пас
263,Ruf::N,аҿҭы,чуксӧм
264,Ruf::N,аҿҭы,чукӧстӧм
265,Lärm::N,ашьҭыбжь,шум
266,Laut::N,ашьҭыбжь,шы
267,Ton::N,атон,гор
268,Lied::N,ашəа,сьыланкыв
269,Ruhe::N,аҭынчра,спокой
270,Leute::N,ауаа,йӧз
271,Volk::N,ажəлар,йӧз
272,Volk::N,ажəлар,народ
273,Arbeit::N,аусура,удж
274,Gast::N,асас,гӧсь
275,Geschenk::N,аҳамҭа,гӧснеч
276,Geschenk::N,аҳамҭа,подарок
277,Geschenk::N,аҿанҵа,гӧснеч
278,Geschenk::N,аҿанҵа,подарок
279,Spiel::N,ахəмарра,орсӧм
280,Gesellschaft::N,агəыҧ,компания
281,Hilfe::N,ацхыраара,отсӧт
282,Freund::N,аҩыза,модз
283,Freund::N,аҩыза,дружок
284,Kamerad::N,Аҧхнагьла,тӧдса
285,Angelegenheit::N,аус,дело
286,Anzahl::N,ахыҧхьаӡара,лыд
287,Art::N,ахкы,пӧлӧс
288,Stück::N,аҽыҭ,тор
289,Teil::N,ахəҭа,юкӧм
290,Hälfte::N,абжа,джын
291,Kreis::N,агьагьа,круг
292,Kreuz::N,аџьар,перна
293,Linie::N,аицтәар,визь
294,Strich::N,ацəаҳəа,кырӧв
295,Abstand::N,абжьара,колас
296,Entfernung::N,абжьара,ылына
297,Gegend::N,аҭыҧ,места
298,Platz::N,аҭыҧ,места
299,Ort::N,аҭыҧ,места
300,Seite::N,аган,ладор
301,Mitte::N,агəҭа,шӧр
302,Gegenstand::N,амаҭəар,тор
303,Rand::N,аҵкар,дор
304,Kante::N,авардым,ордлы
305,Ecke::N,акəакь,пельӧс
306,Spitze::N,аҧынҵа,йыв
307,Ende::N,анаӡара,йыв
308,Loch::N,акылҵəара,осьта
309,Winkel::N,агҿаҩра,пельӧс
310,Winkel::N,акəындхə,пельӧс
311,Winkel::N,акəакь,пельӧс
312,Muster::N,аҟҟа,сер
313,Größe::N,изаҟароу,ыжда
314,Länge::N,аура,кузя
315,Höhe::N,агылара,сувда
316,Höhe::N,агылара,вылына
317,Gewicht::N,акапан,сьӧкта
318,Haufen::N,ачаҟəа,куча
319,Reihe::N,ацəаҳəа,лёдз
320,Boot::N,анышь,пыж
321,Ruder::N,ажəҩа,пелыс
322,Schlitten::N,ашəаҩауардын,додь
323,Ski::N,ашəаҩа,лямпа
324,Ski::N,ашьахаха,лямпа
325,Lagerfeuer::N,еиқуу амца,бипур
326,Last::N,ахьанҭара,тягота
327,Gang::N,аныҟəара,мунӧм
328,Schritt::N,ашьаҿа,вожмӧв
329,Norden::N,аҩада,ой
330,Süden::N,алада,лун
331,Westen::N,амраҭашəара,рытвыв
332,Osten::N,амрагылара,асыв
333,Holz::N,амҿымаҭəахə,пу
334,Brett::N,аӷəы,пӧв
335,Platte::N,ахаҳәцәы,плита
336,Stütze::N,аҵаргəа,пика
337,Stütze::N,агəышьаҟа,пика
338,Stange::N,акьат,зор
339,Stange::N,акьат,потш
340,Stock::N,алаба,бедь
341,Stab::N,акьат,шест
342,Rohr::N,абыкь,труба
343,Haus::N,аҩны,керку
344,Heim::N,аҭаацəа,керку
345,Ofen::N,аҳақə,пӧжавны
346,Ofen::N,ауаџьаҟ,пӧжавны
347,Ofen::N,афрына,пӧжавны
348,Fußboden::N,адашьма,джодж
349,Tisch::N,аишәа,пызан
350,Stuhl::N,аҟəардə,стул
351,Wiege::N,агара,зыбка
352,Bett::N,акаруаҭ,кровать
353,Regal::N,акыӷəра,джадж
354,Kiste::N,аидчаҧала,ящик
355,Fenster::N,аҧенџьыр,ӧшын
356,Tür::N,ашə,ыбӧс
357,Tor::N,агəашə,ворота
358,Zaun::N,аанда,забор
359,Dach::N,ахыб,крыша
360,Leiter::N,амардуан,лиснич
361,Besen::N,аҧссага,рос
362,Spaten::N,ажыга,зыр
363,Schaufel::N,аҭəарӷəы,зыр
364,Gabel::N,ачқьыҧ,вила
365,Löffel::N,амҳаҵə,пань
366,Messer::N,аҳəызба,пурт
367,Nagel::N,аҵəымӷ,кӧрттув
368,Netz::N,акаҭа,кыйӧт
369,Haken::N,аҵəаҳə,ем
370,Griff::N,амаа,пу
371,Schloss::N,асаҧаҭ,замок
372,Bild::N,асахьа,картина
373,Figur::N,афигура,мыгӧр
374,Puppe::N,акьанџьа,акань
375,Beutel::N,асакь,мешӧк
376,Bündel::N,аҿаҳəара,нин
377,Tasche::N,арҭмаҟ,сумка
378,Eimer::N,аведра,ведра
379,Deckel::N,ахҩа,вевт
380,Geschirr::N,ачысмаҭəа,доз
381,Geschirr::N,ачысмаҭəа,бекӧрпань
382,Sack::N,асакь,мешӧк
383,Tasse::N,аҵəца,бекӧр
384,Topf::N,акаструлиа,кастрюля
385,Kessel::N,ачуан,пӧрт
386,Nahrung::N,афатə,вердан
387,Speise::N,афатə,сёян
388,Fleisch::N,акəац,яй
389,Getreide::N,ачакуа,сю
390,Brei::N,ақашь,каша
391,Brot::N,ача,нянь
392,Scheibe::N,аҽыҭ,шӧрӧм
393,Scheibe::N,аҿаҵа,шӧрӧм
394,Fett::N,ашша,гос
395,Butter::N,ахəша,ви
396,Öl::N,азеҭ,ви
397,Salz::N,аџьыка,сов
398,Suppe::N,асуҧ,шыд
399,Honig::N,ацха,ма
400,Milch::N,ахш,йӧв
401,Tee::N,ачаи,чай
402,Leder::N,ацəа,кучик
403,Wolle::N,аласа,гӧн
404,Stoff::N,Аба,дӧра
405,Nadel::N,агəыр,ем
406,Faden::N,арахəыц,сунис
407,Knopf::N,аҳəынҵəра,кизь
408,Knoten::N,аиқəҳəала,узӧв
409,Knoten::N,аиқəҳəала,гӧрӧд
410,Farbe::N,ашəыга,краска
411,Kleidung::N,амаҭəа,паськӧм
412,Hemd::N,акьаҿ,йӧрнӧс
413,Kragen::N,ахəда,воротник
414,Ärmel::N,амаӷра,сос
415,Hose::N,аиқəа,вешьян
416,Gürtel::N,амаҟа,йи
417,Mütze::N,ахылҧа,шапка
418,Schuh::N,аимаа,ботинки
419,Stiefel::N,амагə,сапог
420,Ring::N,амацəаз,чунькытш
421,Band::N,алента,ленточка
422,Kamm::N,ахҳəа,сынан
423,Spiegel::N,асаркьа,зеркало
424,Riemen::N,аа,ремень
425,Schnur::N,ашаха,гез
426,Leine::N,аҕура,повод
427,Decke::N,ахыза,одеяло
428,Kissen::N,ахчы,подушка
429,Tuch::N,акасы,чышьян
430,Handtuch::N,ампахьшьы,чышкӧт
431,Kraft::N,амч,прак
432,Stärke::N,амч,вын
433,Gesundheit::N,агəабзиара,здоровье
434,Krankheit::N,ачымазара,шог
435,Schmerz::N,ахьаа,зубыт
436,Wunde::N,ахəра,рана
437,Fieber::N,ашоура,лёк тресся
438,Fieber::N,ашоура,кынтан шогӧт
439,Arznei::N,ахəшə,лекарство
440,Brücke::N,ацҳа,пос
441,Brunnen::N,аҵыџь,колодец 
442,Weide::N,аҳəырҭа,пода йирсян
443,Pfad::N,амхəасҭа,туй
444,Weg::N,амҩа,туй
445,Straße::N,амҩа,туй
446,Dorf::N,ақыҭа,деревня
447,Stadt::N,ақалақь,город
448,Brief::N,ашəҟəы,гижӧт
449,Buch::N,ашəҟəы,книга
450,Buchstabe::N,анбан,буква
451,Zeitung::N,агазеҭ,газета
452,Leben::N,аҧсҭазаара,олан
453,Tod::N,аҧсра,кулӧм
454,Grab::N,анышəынҭра,гу
455,Kirche::N,ауахəама,вичку
456,Sünde::N,агəнаҳа,грек
457,Gott::N,анцəа,ен
458,Arbeiter::N,аусуҩ,уджалiсь
459,Chef::N,Аиҳабы,начальник
460,Meister::N,аҟаза,мастер
461,Arzt::N,аҳақьым,врач
462,Lehrer::N,арҵаҩы,велӧтісь
463,Geld::N,аҧара,деньга
464,Laden::N,амагазин,магазин
465,Preis::N,ахə,дон
466,Ware::N,атауар,товар
467,Nutzen::N,ақьар,путь
468,Reichtum::N,абеиара,богатство
469,Welt::N,адунеи,му
470,Land::N,атəыла,страна
471,Staat::N,аҳəынҭқарра,государство
472,König::N,акрал,кан
473,Macht::N,амчра,власть
474,Grenze::N,аҳəаа,граница
475,Krieg::N,аибашьра,война
476,Feind::N,Аҕа,враг
477,Gewalt::N,ақəымчра,
478,Kampf::N,ақəҧара,нярасьӧм
479,Kampf::N,ақəҧара,вермасьӧм
480,Bogen[Waffe]::N,ахыц,лук
481,Pfeil::N,ахəымпал,ньӧв
482,Gewehr::N,ашəақь,ружьё
483,Fehler::N,агха,ошибка
484,Lüge::N,амц,ылӧтӧм
485,Lüge::N,амц,пӧрьялӧм
486,Schaden::N,аҧырхага,лёк
487,Unglück::N,арыцҳара,пик
488,Unglück::N,арыцҳара,оказзё
489,Schuld::N,ахара,вина
490,Alter::N,ақəра,
491,Schluss::N,анҵəамҭа,ком
492,Zeit::N,аамта,кад
493,Tag::N,амш,лун
494,Morgen::N,ашара,асыв
495,Morgen::N,ашьыбжь,асыв
496,Mittag::N,шьыбжьон,луншӧр кад
497,Abend::N,ахəылҧаз,рыт
498,Abend::N,ахəлбыҽха,рыт
499,Nacht::N,аҵх,ой
500,Woche::N,амчыбжь,неделя
501,Frühling::N,ааҕын,тулыс
502,Sommer::N,аҧхын,гожум
503,Herbst::N,ҭагалан,ар
504,Herbst::N,хкаарачан,ар
505,Winter::N,аӡын,тӧв
506,Januar::N,ианвар,январ
507,Februar::N,февраль,февраль
508,März::N,март,март
509,April::N,апрель,апрель
510,Mai::N,маи,май
511,Juni::N,иуун,юнь
512,Juli::N,иууль,юль
513,August::N,август,август
514,September::N,сентиабр,сентяб
515,Oktober::N,октиабр,октяб
516,November::N,ноиабр,нояб
517,Dezember::N,декабр,декаб
518,Montag::N,ашəахьа,вильлун
519,Dienstag::N,аҩаша,мӧдӧдзлун
520,Mittwoch::N,ахаша,шӧрлун
521,Donnerstag::N,аҧшьаша,нёльӧдзлун
522,Freitag::N,ахəаша,витӧдзлун
523,Samstag::N,асабша,пывсянлун
524,Sonntag::N,амҽыша,кресення
525,groß::A,аду,ыджыт
526,klein::A,амаҷ,учӧтик
527,lang::A,ахəхəа,кузь
528,kurz::A,акьаҿ,дженыт
529,breit::A,аиужь,ота
530,breit::A,аиҵых,ота
531,schmal::A,аҭшəа,векнит
532,dicht::A,аилач,тшӧк
533,dick[Gegenstand]::A,ажəпа,кыз
534,fein::A,апа,вӧснит
535,fein::A,аҵаӷа,вӧснит
536,fein::A,аӡа,вӧснит
537,fest::A,аҟаца,крепыт
538,fest::A,аӷəӷəаҟаца,крепыт
539,flach::A,ақəаҟьа,лапкӧса
540,flach::A,аҧаҟьа,лапкӧса
541,glatt::A,аимаҩзы,волькыт
542,hart::A,акьакьа,чӧрыт
543,weich::A,атата,небыт
544,rund::A,акəмпыл,гӧгрӧса
545,spitz::A,аҵар,ёся
546,scharf::A,аҵар,лэчыт
547,stumpf::A,ацагə,ныж
548,schwer::A,ахьанҭа,сьӧкыт
549,schön::A,аҧшӡа,басӧк
550,heiß::A,ашы,жар
551,warm::A,аҧха,шоныт
552,kalt::A,ахьшəашəа,кӧдзыт
553,kühl::A,ахьшəашəа,сайкыт
554,kühl::A,ицәыхьшәашәоу,сайкыт
555,frisch::A,цқьа,виль
556,feucht::A,ацəаак,вакодь
557,nass::A,абааӡа,ва
558,trocken::A,Аба,кӧс
559,trocken::A,аҩа,кӧс
560,voll::A,азна,тыра
561,leer::A,аҭацəы,тыртӧм
562,offen::A,аарта,оссьӧм
563,geschlossen::A,ихҩоу,игана
564,geschlossen::A,ихҩоу,пӧдана
565,geschlossen::A,иаркыу,игана
566,geschlossen::A,иаркыу,пӧдана
567,sauber::A,ацқьа,сӧдз
568,sauber::A,ацқьа,сӧстӧм
569,schmutzig::A,аҟьашь,нятьӧсь
570,reif::A,Арҭ,кисьмалӧм
571,reif::A,аҟала,кисьмалӧм
572,reif::A,иҟалахьоу,кисьмалӧм
573,lecker::A,ахаа,кӧра 
574,süß::A,азла,чӧскыт
575,bitter::A,аша,курыт
576,sauer::A,аҵəҵəы,шӧма 
577,hell::A,алаша,югыт
578,dunkel::A,алашьца,пемыт
579,schwarz::A,аиқуаҵәа,сьӧд
580,weiß::A,ашкəакəа,чочком
581,rot::A,аҟаҧшь,гӧрд
582,gelb::A,аҩеижь,веж
583,blau::A,аҽҵәа,лӧз
584,grün::A,ашьацҧшҭəала,веж
585,grün::A,аеҵəа,веж
586,grau::A,ацəыш,руд
587,grau::A,ацəыш,бусӧй
588,bunt::A,Аилыҕраа,быдрӧма
589,bunt::A,аҕраҷкəын,быдрӧма
590,billig::A,амариа,донтӧм
591,teuer::A,амҩан,дона
592,wertvoll::A,кыр иаҕсоу,дона
593,wertvoll::A,акыр иаҕсоу,дона
594,blind::A,алашə,синтӧм
595,taub::A,адагəа,пельтӧм
596,kräftig::A,аӷəӷəа,вына
597,stark::A,абаҟа,вына
598,schwach::A,акəада,некодя
599,fett::A,аҧсыла,госа
600,schlank::A,акала,статя
601,schlank::A,акьалантар,статя
602,schlank::A,аиҿартə,статя
603,hübsch::A,аҧшӡа,басӧк
604,böse::A,абааҧсы,лёк
605,dumm::A,агаӡа,бӧбӧв
606,dumm::A,агаӡа,вежӧртӧм
607,faul::A,аашьа,дыш
608,fleißig::A,иҟубҷоу,уджалicь
609,geizig::A,акы,жикмӧра
610,geizig::A,акы,горшаліcь
611,geizig::A,акаҷбеи,жикмӧра
612,geizig::A,акаҷбеи,горшаліcь
613,geizig::A,аҟəџьыр,жикмӧра
614,geizig::A,аҟəџьыр,горшаліcь
615,klug::A,аҟəыш,авья
616,klug::A,аҟəыш,вежӧра
617,klug::A,аҟəыӷа,авья
618,klug::A,аҟəыӷа,вежӧра
619,geschickt::A,напҟазала,кипода
620,lieb::A,алашара,муса
621,lieb::A,алашара,дзулиньӧй
622,lustig::A,алах-ҿых,гажа
623,lustig::A,игурҕьаччо,гажа
624,lustig::A,агурҕьа,гажа
625,lustig::A,агурҿыхага,гажа
626,sanft::A,атата,лебезнӧй
627,sanft::A,аҟəымшəышə,лебезнӧй
628,sanft::A,ақьыҧш,лебезнӧй
629,hungrig::A,амлашь,тшыг
630,krank::A,ачымазаҩ,шогалiсь
631,nackt::A,аҟьантаз,куш
632,traurig::A,алахьеиқəҵага,жугыль
633,lebendig::A,абза,ловья
634,gut::A,абзиа,бур
635,schlecht::A,-хəарҭам,умӧль
636,richtig::A,иашоу,
637,schlimm::A,абааҧсы,нештӧм
638,wahr::A,агəҭылса,
639,wahr::A,абзиаҵəҟьа,
640,alt::A,Ажə,важ
641,neu::A,аҿыц,виль
642,ehemalig::A,анкьатәи,вӧвлӧм
643,alt[Lebewesen]::A,абырг,года
644,alt[Lebewesen]::A,абырг,годдэза
645,alt[Lebewesen]::A,ақабада,года
646,alt[Lebewesen]::A,ақабада,годдэза
647,alt[Lebewesen]::A,Ажə,года
648,alt[Lebewesen]::A,Ажə,годдэза
649,jung::A,аҟата,том
650,arm::A,ананамга,гов
651,arm::A,ананамга,беднӧй
652,reich::A,абеиа,эма
653,bekannt::A,адыр,тӧдса
654,berühmt::A,адыр,
655,fremd::A,атəым,чужӧй
656,verschieden::A,Еиуа-еиҧшым,быдкодь
657,nah::A,ааигəа,матiсь
658,fern::A,ахара,ылicь
659,linker::A,арма,шульга
660,rechter::A,арҕьа,веськытланись
661,anderer::A,даҽа,мукӧд
662,anderer::A,даҽакы,мукӧд
663,erster::A,актәи,медодзза
664,zweiter::A,аҩбатəи,кыкӧт
665,dritter::A,ахҕатәи,куимӧт
666,dritter::A,ахҕатәи,куимӧдз
667,letzter::A,аҵыхəтəантəи,бӧрья
668,letzter::A,аҵыхəтəантəи,мёдбӧрья
669,allein::ADV,мацара,
670,auf einmal::ADV,зныкала,тшӧтш
671,auf einmal::ADV,зныкҟьара,тшӧтш
672,zusammen::ADV,аиц...,ӧтлаын
673,lange::ADV,акыраамҭа,дыр
674,plötzlich::ADV,иаалырҟьаны,друг
675,sofort::ADV,иаразнакҵәҟьа,тшӧтш
676,später::ADV,уажəшьҭаншəа,медбӧрын
677,jetzt::ADV,уажәы,ӧні
678,heute::ADV,иахьа,талун
679,morgen::ADV,уаҵәы,ашын
680,bald::ADV,иласны,чожа
681,dann::ADV,нас,сыбӧрын
682,gestern::ADV,иацы,тӧн
683,einst::ADV,зны,ӧтпыр
684,damals::ADV,усҟан,сэк
685,damals::ADV,усҟан,сэки
686,danach::ADV,нас,сэсся
687,vorher::ADV,уаанӡа,одзжык
688,zuerst::ADV,азнаказы,наперво
689,zuerst::ADV,аҧхьа,наперво
690,einmal::ADV,зны,ӧтпыр
691,manchmal::ADV,зны-зынла,мукӧдпыр
692,oft::ADV,лассы-лассы,-лы-
693,immer::ADV,енагь,быдпыр
694,immer::ADV,енагь,быдпырся
695,immer::ADV,еснагь,быдпыр
696,immer::ADV,еснагь,быдпырся
697,niemals::ADV,ианакəызаалак,некӧр
698,hier::ADV,ара,татӧн
699,hier::ADV,абра,татӧн
700,hier::ADV,араҟа,татӧн
701,hierhin::ADV,ара,татчӧ
702,hierhin::ADV,араҟа,татчӧ
703,von hier::ADV,арантә,тасянь
704,dort::ADV,уа,сэтӧн
705,dorthin::ADV,уахь,сэтчин
706,dorthin::ADV,анахь,сэтчин
707,geradeaus::ADV,ишиашоу,веськыта
708,vorwärts::ADV,ҕхьаҟа,одзӧ
709,rückwärts::ADV,шьҭахьла,бӧр
710,zurück::ADV,шьҭахьҟа,бӧр
711,unten::ADV,лбаа,увтын
712,hinab::ADV,алада,увтас
