,Concept_ID,ab,kv
0,Auge::N,ала,син
1,Ohr::N,алымҳа,пель
2,Nase::N,аҧынҵа,ныр
3,Mund::N,аҧышə,ӧм
4,Zahn::N,ахаҧыц,пинь
5,Zunge::N,абз,кыв
6,Lippe::N,ақьышə,тырп
7,Wange::N,аӡамҩа,рожабан
8,Gesicht::N,аҿы,бан
9,Stirn::N,алахь,кымӧс
10,Haar::N,ахəыц,юрси
11,Schnurrbart::N,аҧаҵа,уссэз
12,Bart::N,ажакьа,тош
13,Kinn::N,ацламкəыгə,тшӧка
14,Kiefer[Anatomie]::N,ацламҳəа,ан
15,Kehle::N,ахəда,юан
16,Hals::N,ахəда,юан
17,Genick::N,ахəдаџьал,юр бӧр
18,Kopf::N,ахы,юр
19,Rücken::N,азқəа,мышк
20,Bauch::N,амгəа,кынӧм
21,Nabel::N,аҷапан,гӧг
22,Busen::N,агəыҧҳəы,морос
23,Brust::N,агəышҧы,морос
24,Schulter::N,ажəҩахыр,пельпон
25,Arm::N,амахəар,ки
26,Ellenbogen::N,амашьхəылҵ,гырдзза
27,Hand::N,анапы,кикар
28,Handfläche::N,анапсаргəыҵа,ки пыдӧс
29,Finger::N,анацəа,чунь
30,Fingernagel::N,анапхыц,гыж
31,Nagel[Anatomie]::N,ашьапхыц,гыж
32,Zeh::N,ашьацəа,чунь
33,Fuß::N,ашьапсыргəыҵа,кокпыдӧс
34,Ferse::N,ашьхəа,кокдзир
35,Knie::N,ашьамхы,пидзӧс
36,Oberschenkel::N,ауаҭəа,лядьбей
37,Bein::N,ашьапы,кок
38,Körper::N,ацəеижь,вывтыр
39,Haut::N,ацəа,кучик
40,Blut::N,ашьа,вир
41,Ader::N,ада,сӧн
42,Sehne::N,адаш,жила
43,Knochen::N,абаҩ,коска
44,Gehirn::N,ахшлыбаҩ,вем
45,Gehirn::N,ахшыбаҩ,вем
46,Herz::N,агəы,сьӧлӧм
47,Magen::N,аца,жӧвдӧк
48,Magen::N,ацар,жӧвдӧк
49,Leber::N,агəаҵəа,мус
50,Atem::N,аҧсыҧлагаҩгара,лолалӧм
51,Hunger::N,амла,тшыг
52,Träne::N,алабжыш,синва
53,Geschmack::N,агьама,кӧр
54,Geruch::N,афҩы,дук
55,Schlaf::N,ацəа,он
56,Traum::N,аҧхыӡ,вӧт
57,Himmel::N,ажəҩан,небо
58,Sonne::N,амра,шондi
59,Mond::N,амза,тӧлiсь
60,Stern::N,аеҵəа,кӧдзыв
61,Luft::N,аҳаир,ру
62,Wind::N,аҧша,тӧв
63,Welle::N,ацəқəырҧа,гы
64,Wasser::N,аӡы,ва
65,Stein::N,ахаҳə,из
66,Boden::N,адгьыл,му
67,Erde::N,адгьыл,му
68,Staub::N,асаба,бус
69,Rauch::N,алҩа,тшын
70,Funke::N,акəиц,бичир
71,Funke::N,ацҧхь,бичир
72,Feuer::N,амца,би
73,Licht::N,алашара,би
74,Schatten::N,ашəшьыра,вуджӧр
75,Wetter::N,амш,погоддя
76,Nebel::N,анаҟəа,туман
