,Concept_ID,no,ga
0,Auge::N,øye,súil
1,Ohr::N,øre,cluas
2,Nase::N,nese,soc
3,Mund::N,munn,béal
4,Zahn::N,tann,fiacail
5,Zunge::N,tunge,teanga
6,Lippe::N,leppe,liopa
7,Wange::N,kinn,grua
8,Wange::N,kinn,leiceann
9,Gesicht::N,fjes,éadan
10,Gesicht::N,fjes,aghaidh
11,Gesicht::N,ansikt,éadan
12,Gesicht::N,ansikt,aghaidh
13,Stirn::N,panne,baithis
14,Stirn::N,panne,clár éadain
15,Haar::N,hår,gruaig
16,Schnurrbart::N,bart,croiméal
17,Bart::N,skjegg,féasóg
18,Kinn::N,hake,smig
19,Kiefer[Anatomie]::N,kjeve,giall
20,Kehle::N,strupe,scornach
21,Hals::N,hals,muinéal
22,Genick::N,nakke,baic
23,Kopf::N,hode,ceann
24,Rücken::N,rygg,droim
25,Bauch::N,buk,bolg
26,Bauch::N,mage,bolg
27,Nabel::N,navle,imleacán
28,Busen::N,barm,cíoch
29,Brust::N,bryst,brollach
30,Schulter::N,skulder,gualainn
31,Arm::N,arm,lámh
32,Ellenbogen::N,albue,uillinn
33,Hand::N,hånd,lámh
34,Handfläche::N,håndflate,bos
35,Finger::N,finger,méar
36,Fingernagel::N,fingernegl,ionga
37,Nagel[Anatomie]::N,negl,ionga
38,Zeh::N,tå,ladhar
39,Fuß::N,fot,cos
40,Fuß::N,fot,troigh
41,Ferse::N,hæl,sáil
42,Knie::N,kne,glúin
43,Oberschenkel::N,lår,ceathrú
44,Bein::N,bein,cos
45,Körper::N,kropp,corp
46,Körper::N,kropp,colainn
47,Körper::N,legeme,corp
48,Körper::N,legeme,colainn
49,Haut::N,hud,cneas
50,Haut::N,hud,craiceann
51,Haut::N,skinn,cneas
52,Haut::N,skinn,craiceann
53,Blut::N,blod,fuil
54,Ader::N,åre,
55,Sehne::N,sene,teannán
56,Sehne::N,sene,féitheog
57,Knochen::N,bein,cnámh
58,Knochen::N,knokkel,cnámh
59,Gehirn::N,hjerne,inchinn
60,Herz::N,hjerte,croí
61,Magen::N,mage,bolg
62,Magen::N,mage,goile
63,Leber::N,lever,ae
64,Atem::N,pust,anáil
65,Hunger::N,sult,ocras
66,Träne::N,tåre,deoir
67,Geschmack::N,smak,blas
68,Geruch::N,lukt,boladh
69,Schlaf::N,søvn,suan
70,Schlaf::N,søvn,codladh
71,Traum::N,drøm,taibhreamh
72,Himmel::N,himmel,spéir
73,Sonne::N,sol,grian
74,Mond::N,måne,ré
75,Mond::N,måne,gealach
76,Stern::N,stjerne,rinn
77,Stern::N,stjerne,réalta
78,Luft::N,luft,aer
79,Wind::N,vind,gaoth
80,Welle::N,bølge,tonn
81,Wasser::N,vann,uisce
82,Stein::N,stein,cloch
83,Boden::N,bakke,talamh
84,Erde::N,jord,cré
85,Erde::N,jord,ithir
86,Staub::N,støv,dusta
87,Staub::N,støv,deannach
88,Rauch::N,røyk,toit
89,Rauch::N,røyk,deatach
90,Funke::N,gnist,drithle
91,Feuer::N,ild,tine
92,Licht::N,lys,solas
93,Schatten::N,skygge,scáth
94,Wetter::N,vær,aimsir
95,Nebel::N,tåke,ceo
96,Wolke::N,sky,néal
97,Wolke::N,sky,scamall
98,Regen::N,regn,báisteach
99,Regen::N,regn,fearthainn
100,Schnee::N,snø,sneachta
101,Eis::N,is,oighear
