,Concept_ID,eu,mn
0,Auge::N,begi,нүд
1,Ohr::N,belarri,чих
2,Nase::N,sudur,хамар
3,Mund::N,aho,ам
4,Zahn::N,hortz,шүд
5,Zunge::N,mihi,хэл
6,Lippe::N,ezpain,уруул
7,Wange::N,masail,хацар
8,Gesicht::N,aurpegi,царай
9,Gesicht::N,aurpegi,нүүр
10,Stirn::N,bekoki,дух
11,Haar::N,ile,үс
12,Haar::N,bilo,үс
13,Schnurrbart::N,bibote,дээд сахал
14,Schnurrbart::N,bibote,живэр сахал
15,Schnurrbart::N,sudurpeko,дээд сахал
16,Schnurrbart::N,sudurpeko,живэр сахал
17,Bart::N,bizar,сахал
18,Kinn::N,kokots,эрүү
19,Kiefer[Anatomie]::N,masailezur,эрүү
20,Kehle::N,eztarri,хоолой
21,Hals::N,sama,хүзүү
22,Genick::N,garondo,шил
23,Genick::N,garondo,хүзүү
24,Kopf::N,buru,толгой
25,Rücken::N,bizkar,ар
26,Rücken::N,bizkar,нуруу
27,Bauch::N,sabel,хэвлий
28,Bauch::N,sabel,гэдэс
29,Nabel::N,zilbor,хүйс
30,Busen::N,titi,хөх
31,Busen::N,ugatz,хөх
32,Brust::N,bular,цээж
33,Schulter::N,besaburu,мөр
34,Schulter::N,besaburu,бугалга
35,Arm::N,beso,гар
36,Ellenbogen::N,ukondo,тохой
37,Hand::N,esku,гар
38,Hand::N,esku,алга
39,Handfläche::N,ahur,алга
40,Finger::N,hatz,хуруу
41,Fingernagel::N,azazkal,хурууны хумс
42,Nagel[Anatomie]::N,azazkal,хумс
43,Zeh::N,behatz,хуруу
44,Fuß::N,oin,хөл
45,Ferse::N,orpo,өсгий
46,Ferse::N,oinburu,өсгий
47,Knie::N,belaun,өвдөг
48,Oberschenkel::N,izter,гуя
49,Bein::N,zango,хөл
50,Körper::N,soin,бие
51,Haut::N,azal,арьс
52,Blut::N,odol,цус
53,Ader::N,zain,судас
54,Sehne::N,gihar-zain,бүлх
55,Sehne::N,gihar-zain,шандас
56,Knochen::N,hezur,яс
57,Gehirn::N,garun,тархи
58,Gehirn::N,burmuin,тархи
59,Herz::N,bihotz,зүрх
60,Magen::N,urdail,ходоод
61,Leber::N,gibel,элэг
62,Atem::N,hats,амьсгаа
63,Atem::N,arnasa,амьсгаа
64,Hunger::N,gose,өлсгөлөн
65,Träne::N,malko,нулимс
66,Geschmack::N,dasta,амт
67,Geruch::N,usain,үнэр
68,Schlaf::N,lo,нойр
69,Traum::N,amets,зүүд
70,Himmel::N,zeru,тэнгэр
71,Himmel::N,zeru,огторгуй
72,Sonne::N,eguzki,нар
73,Mond::N,ilargi,сар
74,Stern::N,izar,од
75,Luft::N,aire,агаар
76,Wind::N,haize,салхи
77,Welle::N,uhin,долгио
78,Welle::N,uhin,давалгаа
79,Welle::N,olatu,долгио
80,Welle::N,olatu,давалгаа
81,Wasser::N,ur,ус
82,Stein::N,harri,чулуу
83,Boden::N,lur,хөрс
84,Boden::N,zoru,хөрс
85,Erde::N,lur,газар
86,Erde::N,lur,шороо
87,Staub::N,hauts,тоос
88,Rauch::N,ke,утаа
89,Funke::N,zirta,оч
90,Funke::N,txinparta,оч
91,Feuer::N,su,гал
92,Licht::N,argi,гэрэл
93,Licht::N,argi,гэгээ
94,Schatten::N,itzal,сүүдэр
95,Schatten::N,geriza,сүүдэр
96,Wetter::N,eguraldi,тэнгэр
97,Wetter::N,eguraldi,цаг уур
98,Nebel::N,laino,будан
99,Wolke::N,hodei,үүл
100,Regen::N,euri,бороо
101,Schnee::N,elur,цас
102,Eis::N,horma,мөс
103,Frost::N,izotzaldi,хүйт
104,Kälte::N,hotz,хүйт
105,Hitze::N,bero,халуун
106,Raureif::N,antzigar,цан
107,Raureif::N,antzigar,хяруу
108,Regenbogen::N,ostadar,солонго
109,Regenbogen::N,ortzadar,солонго
110,Donner::N,ostots,тэнгэрийн дуу
111,Donner::N,ihurtzuri,тэнгэрийн дуу
112,Strömung::N,laster,урсгал
113,Tropfen::N,xorta,дусал
114,Schaum::N,bits,хөөс
115,Schmutz::N,lohi,хир
116,Schmutz::N,lohi,шавхай
117,Schmutz::N,zikin,хир
118,Schmutz::N,zikin,шавхай
119,See::N,laku,нуур
120,See::N,aintzira,нуур
121,Sumpf::N,zingira,намаг
122,Sumpf::N,zingira,балчиг
123,Moor::N,zohikaztegi,хүлрийн намаг
124,Wiese::N,larre,нуга
125,Wiese::N,belardi,нуга
126,Wald::N,baso,ой
127,Wald::N,oihan,ой
128,Hügel::N,muino,болдог
129,Hügel::N,pentoka,болдог
130,Anhöhe::N,garai,гүвээ
131,Anhöhe::N,goragune,гүвээ
132,Berg::N,mendi,уул
133,Gipfel::N,gain,орой
134,Gipfel::N,gain,оргил
135,Gipfel::N,tontor,орой
136,Gipfel::N,tontor,оргил
137,Höhle::N,kobazulo,агуй
138,Abhang::N,aldapa,хүр
139,Quelle::N,iturri,булаг
140,Quelle::N,iturbegi,булаг
141,Bach::N,lats,горхи
142,Bach::N,erreka,горхи
143,Fluss::N,ibai,гол
144,Fluss::N,ibai,мөрөн
145,Fluss::N,uhaitz,гол
146,Fluss::N,uhaitz,мөрөн
147,Ufer::N,bazter,эрэг
148,Küste::N,itsasalde,эрэг
149,Festland::N,lehor,хуурай газар
150,Meer::N,itsaso,далай
151,Meer::N,itsaso,тэнгис
152,Bucht::N,golko,булан
153,Bucht::N,golko,далайн тохой
154,Insel::N,irla,арал
155,Insel::N,uharte,арал
156,Blume::N,lili,цэцэг
157,Gras::N,belar,өвс
158,Gras::N,belar,ногоо
159,Wurzel::N,zuztar,үндэс
160,Wurzel::N,sustrai,үндэс
161,Baum::N,zuhaitz,мод
162,Stamm::N,enbor,иш
163,Stamm::N,enbor,гуалин
164,Rinde::N,azal,холтос
165,Ast::N,adar,гишүү
166,Zweig::N,abar,салаа
167,Blatt::N,hosto,навч
168,Birke::N,urki,хус
169,Kiefer[Baum]::N,ler,нарс
170,Weide[Baum]::N,zume,уд
171,Weide[Baum]::N,zume,бургас
172,Weide[Baum]::N,sahats,уд
173,Weide[Baum]::N,sahats,бургас
174,Tanne::N,izei,гачуур
175,Horn::N,adar,эвэр
176,Feder::N,luma,өд
177,Feder::N,hegaki,өд
178,Fell::N,ile,арьс
179,Fell::N,larru,арьс
180,Flügel::N,hego,жигүүр
181,Flügel::N,hego,далавч
182,Klaue::N,atzapar,савар
183,Klaue::N,atzapar,хумс
184,Kralle::N,erpe,савар
185,Kralle::N,atzapar,савар
186,Schwanz::N,isats,сүүл
187,Schwanz::N,buztan,сүүл
188,Ei::N,arrautza,өндөг
189,Nest::N,habia,үүр
190,Bau::N,ohantze,нүх
191,Bau::N,ohantze,элүү
192,Tier::N,abere,амьтан
193,Tier::N,abere,адгуус
194,Tier::N,piztia,амьтан
195,Tier::N,piztia,адгуус
196,Herde::N,saldo,сүрэг
197,Herde::N,abere talde,сүрэг
198,Kuh::N,behi,үнээ
199,Bulle::N,zezen,бух
200,Pferd::N,zaldi,морь
201,Pferd::N,zaldi,адуу
202,Schaf::N,ardi,хонь
203,Schwein::N,urde,гахай
204,Schwein::N,txerri,гахай
205,Hund::N,txakur,нохой
206,Katze::N,katu,муур
207,Katze::N,katu,мигуй
208,Bär::N,hartz,баавгай
209,Eichhörnchen::N,urtxintxa,хэрэм
210,Elch::N,altze,хандгай
211,Fuchs::N,azeri,үнэг
212,Hase::N,erbi,туулай
213,Maus::N,sagu,хулгана
214,Wolf::N,otso,чоно
215,Vogel::N,txori,шувуу
216,Vogel::N,hegazti,шувуу
217,Schwarm::N,aldra,сүрэг
218,Huhn::N,oilo,тахиа
219,Hahn::N,oilar,эр тахиа
220,Gans::N,antzara,галуу
221,Adler::N,arrano,бүргэд
222,Ente::N,ahate,нугас
223,Eule::N,hontza,ууль
224,Kranich::N,kurrilo,тогоруу
225,Krähe::N,bele,хэрээ
226,Kuckuck::N,kuku,хөхөө
227,Schwan::N,beltxarga,хун
228,Fisch::N,arrain,загас
229,Barsch::N,perka,алгана
230,Hecht::N,lutxo,цурхай
231,Schlange[Tier]::N,suge,могой
232,Wurm::N,har,өт
233,Wurm::N,har,хорхой
234,Spinne::N,armiarma,аалз
235,Ameise::N,inurri,шоргоолж
236,Laus::N,zorri,бөөс
237,Mücke::N,eltxo,шумуул
238,Fliege::N,euli,ялаа
239,Schmetterling::N,pinpirin,эрвээхэй
240,Schmetterling::N,tximeleta,эрвээхэй
241,Beere::N,baia,жимсгэнэ
242,Apfel::N,sagar,алим
243,Pilz::N,onddo,мөөг
244,Pilz::N,perretxiko,мөөг
245,Zwiebel::N,tipula,сонгино
246,Saat::N,haziak,тариа
247,Korn::N,ale,үр
248,Korn::N,ale,мөхлөг
249,Korn::N,pikor,үр
250,Korn::N,pikor,мөхлөг
251,Heu::N,belar ondu,өвс
252,Schale::N,azal,хальс
253,Grube::N,hobi,алам
254,Grube::N,hobi,нүх
255,Falle::N,harrapagailu,хавх
256,Falle::N,harrapagailu,занга
257,Schlinge::N,bilur,урхи
258,Schlinge::N,xedera,урхи
259,Spur::N,lorratz,мөр
260,Asche::N,errauts,үнс
261,Dreck::N,satsukeria,хир
262,Eisen::N,burdina,төмөр
263,Gold::N,urre,алт
264,Gold::N,urregorri,алт
265,Silber::N,zilar,мөнгө
266,Silber::N,urrezuri,мөнгө
267,Kohle::N,ikatz,нүүрс
268,Glas::N,beira,шил
269,Lehm::N,buztin,шавар
270,Sand::N,harea,элс
271,Sand::N,hondar,элс
272,Mensch::N,gizaki,хүн
273,Mann::N,gizon,эр
274,Mann::N,gizon,эрэгтэй
275,Frau::N,andere,эмэгтэй
276,Frau::N,andere,хатагтай
277,Frau::N,emakume,эмэгтэй
278,Frau::N,emakume,хатагтай
279,Kind::N,haur,хүүхэд
280,Junge::N,mutil,хүү
281,Mädchen::N,neska,охин
282,Mädchen::N,neska,бүсгүй
283,Familie::N,sendi,айл
284,Familie::N,familia,айл
285,Großvater::N,aitona,өвгөн аав
286,Großvater::N,aitatxi,өвгөн аав
287,Großmutter::N,amona,эмэг эх
288,Großmutter::N,amona,эмгээ
289,Großmutter::N,amatxi,эмэг эх
290,Großmutter::N,amatxi,эмгээ
291,Eltern::N,gurasoak,эцэг эх
292,Vater::N,aita,аав
293,Vater::N,aita,эцэг
294,Mutter::N,ama,эх
295,Mutter::N,ama,ээж
296,Sohn::N,seme,хүү
297,Tochter::N,alaba,охин
298,Bruder::N,neba,ах
299,Bruder::N,neba,дүү
300,Bruder::N,anaia,ах
301,Bruder::N,anaia,дүү
302,Schwester::N,ahizpa,эгч
303,Schwester::N,ahizpa,охин дүү
304,Onkel::N,osaba,авга ах
305,Onkel::N,osaba,нагац ах
306,Tante::N,izeba,авга эгч
307,Tante::N,izeba,нагац эгч
308,Ehemann::N,senar,нөхөр
309,Ehefrau::N,emazte,эхнэр
310,Ehefrau::N,emazte,гэргий
311,Freude::N,poz,баяр
312,Freude::N,poz,баясгалан
313,Freude::N,pozkari,баяр
314,Freude::N,pozkari,баясгалан
315,Gelächter::N,barre,инээдэм
316,Gelächter::N,karkara,инээдэм
317,Glück::N,zori,жаргалан
318,Kummer::N,xangrin,гаслан
319,Kummer::N,atsekabe,гаслан
320,Wunsch::N,nahi,ерөөл
321,Wunsch::N,nahikunde,ерөөл
322,Lust::N,gogo,дур
323,Lust::N,gogo,хүсэл
324,Geist::N,gogo,оюун
325,Gedanke::N,gogoeta,сэтгэл
326,Gedächtnis::N,oroimen,ой
327,Gedächtnis::N,oroimen,цээж
328,Gedächtnis::N,gogoramen,ой
329,Gedächtnis::N,gogoramen,цээж
330,Verstand::N,adimen,ухаан
331,Verstand::N,ulermen,ухаан
332,Sinn::N,zentzu,утга
333,Grund::N,zergati,учир
334,Wahrheit::N,egia,үнэн
335,Gespräch::N,hizketa,яриа
336,Gespräch::N,elkarrizketa,яриа
337,Märchen::N,ipuin,явган үлгэр
338,Erzählung::N,edesti,тууж
339,Erzählung::N,kontakizun,тууж
340,Nachricht::N,albiste,мэдээ
341,Neuigkeit::N,berri,сонин
342,Name::N,izen,нэр
343,Rätsel::N,asmakizun,оньсого
344,Rede::N,hitzaldi,хэлсэн үг
345,Rede::N,mintzaldi,хэлсэн үг
346,Sprache::N,hizkuntza,хэл
347,Stimme::N,ahots,дуу
348,Wort::N,hitz,үг
349,Zeichen::N,agerbide,тамга
350,Zeichen::N,agerbide,тэмдэг
351,Zeichen::N,agergarri,тамга
352,Zeichen::N,agergarri,тэмдэг
353,Ruf::N,dei,дуудлага
354,Lärm::N,zarata,шуугиан
355,Lärm::N,zarata,чимээ
356,Lärm::N,harrabots,шуугиан
357,Lärm::N,harrabots,чимээ
358,Laut::N,hots,анир
359,Laut::N,hots,дуу
360,Ton::N,tonu,авиа
361,Ton::N,tonu,аялгуу
362,Ton::N,soinu,авиа
363,Ton::N,soinu,аялгуу
364,Lied::N,abesti,дуу
365,Ruhe::N,nasaitasun,энх
366,Ruhe::N,nasaitasun,тайван
367,Leute::N,jende,хүмүүс
368,Volk::N,herri,улс
369,Volk::N,populu,улс
370,Arbeit::N,lan,ажил
371,Arbeit::N,lan,хөдөлмөр
372,Gast::N,arrotz,зочин
373,Gast::N,arrotz,айлчин
374,Gast::N,apopilo,зочин
375,Gast::N,apopilo,айлчин
376,Geschenk::N,opari,бэлэг
377,Spiel::N,jolas,наадам
378,Spiel::N,jolas,тоглоом
379,Gesellschaft::N,gizarte,хамт байх
380,Hilfe::N,helpide,тусламж
381,Hilfe::N,laguntza,тусламж
382,Freund::N,lagun,найз
383,Freund::N,lagun,нөхөр
384,Kamerad::N,adiskide,хань
385,Kamerad::N,adiskide,нөхөр
386,Kamerad::N,lagunkide,хань
387,Kamerad::N,lagunkide,нөхөр
388,Angelegenheit::N,afera,хэрэг
389,Anzahl::N,kopuru,тоо
390,Art::N,mota,төрөл
391,Art::N,mota,янз
392,Stück::N,puska,хэсэг
393,Teil::N,atal,хувь
394,Teil::N,atal,хэсэг
395,Hälfte::N,erdi,хагас
396,Kreis::N,biribilki,тойрог
397,Kreis::N,biribilki,хүрээ
398,Kreuz::N,gurutze,загалмай
399,Linie::N,linea,шугам
400,Strich::N,marra,зураас
401,Abstand::N,tarte,зай
402,Entfernung::N,urrunera,зай
403,Entfernung::N,urrunera,хол ойр
404,Gegend::N,alderdi,хавь
405,Gegend::N,alderdi,газар
406,Gegend::N,eskualde,хавь
407,Gegend::N,eskualde,газар
408,Platz::N,leku,зай
409,Platz::N,leku,завсар
410,Ort::N,toki,газар
411,Ort::N,toki,байр
412,Seite::N,albo,тал
413,Seite::N,albo,этгээд
414,Mitte::N,erdi,төв
415,Mitte::N,erdi,дунд
416,Gegenstand::N,gauzaki,юм
417,Sache::N,gauza,үйл
418,Sache::N,gauza,хэрэг
419,Rand::N,ertz,зах
420,Rand::N,ertz,хөвөө
421,Kante::N,ertz,ирмэг
422,Ecke::N,kantoi,өнцөг
423,Spitze::N,punta,үзүүр
424,Ende::N,buru,зах
