,Concept_ID,ce,kk
0,Auge::N,бӏаьрг,көз
1,Ohr::N,лерг,құлақ
2,Nase::N,мара,мұрын
3,Mund::N,бага,ауыз
4,Zahn::N,церг,тіс
5,Zunge::N,мотт,тіл
6,Lippe::N,балда,ерін
7,Wange::N,бесни,ұрт
8,Gesicht::N,юьхь,бет-аузы
9,Stirn::N,хьаж,маңдай
10,Haar::N,мас,қыл
11,Schnurrbart::N,мекх,мұрт
12,Bart::N,маж,сақал
13,Kinn::N,чӏениг,иек
14,Kiefer[Anatomie]::N,мочхал,жақ
15,Kehle::N,къамкъарг,алқым
16,Hals::N,ворта,мойын
17,Genick::N,кӏесаркӏаг,желке
18,Kopf::N,корта,кәллә
19,Rücken::N,букъ,арқа
20,Bauch::N,кийра,қарын
21,Nabel::N,цӏонга,кіндік
22,Busen::N,зударийн накха,омырау
23,Brust::N,накха,кеуде
24,Schulter::N,белш,иық
25,Arm::N,пхьарс,қол
26,Ellenbogen::N,пхьаьрсан гола,шынтақ
27,Hand::N,куьг,қол
28,Handfläche::N,кераюкъ,алақан
29,Finger::N,пӏелг,саусақ
30,Fingernagel::N,мӏара,тырнақ
31,Nagel[Anatomie]::N,мӏара,тырнақ
32,Zeh::N,кога пӏелг,тырнақ
33,Zeh::N,кога пӏелг,тұяқ
34,Fuß::N,ког,аяқ-басы
35,Ferse::N,кӏажа,өкше
36,Ferse::N,кӏажа,өкшелік
37,Knie::N,гола,тізе
38,Oberschenkel::N,варе,жамбас
39,Bein::N,ког,аяқ
40,Körper::N,хӏума,дене
41,Haut::N,чкъор,тері
42,Blut::N,цӏий,қан
43,Ader::N,пха,көктамыр
44,Ader::N,пха,күретамыр
45,Sehne::N,хьорзам,сіңір
46,Knochen::N,даьӏахк,жілік
47,Gehirn::N,хье,ми
48,Herz::N,дог,жүрек
49,Magen::N,зорх,асқазан
50,Leber::N,доӏах,бауыр
51,Atem::N,садеӏар,леп
52,Hunger::N,мацалла,ашаршылық
53,Träne::N,бӏаьрхи,жас
54,Geschmack::N,чам,дәм
55,Geschmack::N,чам,татым
