,Concept_ID,ce,ro
0,Auge::N,бӏаьрг,ochi
1,Ohr::N,лерг,ureche
2,Nase::N,мара,nas
3,Mund::N,бага,gură
4,Zahn::N,церг,dinte
5,Zunge::N,мотт,limbă
6,Lippe::N,балда,buză
7,Wange::N,бесни,bucă
8,Wange::N,бесни,obraz
9,Gesicht::N,юьхь,față
10,Gesicht::N,юьхь,figură
11,Stirn::N,хьаж,frunte
12,Haar::N,мас,păr
13,Schnurrbart::N,мекх,mustață
14,Bart::N,маж,barbă
15,Kinn::N,чӏениг,bărbie
16,Kiefer[Anatomie]::N,мочхал,falcă
17,Kehle::N,къамкъарг,beregată
18,Hals::N,ворта,gât
19,Genick::N,кӏесаркӏаг,ceafă
20,Kopf::N,корта,cap
21,Rücken::N,букъ,dos
22,Rücken::N,букъ,spate
23,Rücken::N,букъ,spinare
24,Bauch::N,кийра,burtă
25,Bauch::N,кийра,pântece
26,Nabel::N,цӏонга,buric
27,Busen::N,зударийн накха,sân
28,Brust::N,накха,piept
29,Schulter::N,белш,umăr
30,Schulter::N,белш,spate
31,Arm::N,пхьарс,braț
32,Ellenbogen::N,пхьаьрсан гола,cot
33,Hand::N,куьг,mână
34,Handfläche::N,кераюкъ,palmă
35,Finger::N,пӏелг,deget
36,Fingernagel::N,мӏара,unghie
37,Nagel[Anatomie]::N,мӏара,unghie
38,Zeh::N,кога пӏелг,deget de la picior
39,Fuß::N,ког,picior
40,Ferse::N,кӏажа,călcâi
41,Knie::N,гола,genunchi
42,Oberschenkel::N,варе,coapsă
43,Bein::N,ког,picior
44,Körper::N,хӏума,corp
45,Haut::N,чкъор,piele
46,Blut::N,цӏий,sânge
47,Ader::N,пха,vână
48,Ader::N,пха,arteră
49,Sehne::N,хьорзам,tendon
50,Knochen::N,даьӏахк,os
51,Gehirn::N,хье,creier
52,Herz::N,дог,inimă
53,Magen::N,зорх,stomac
54,Leber::N,доӏах,ficat
55,Atem::N,садеӏар,răsuflare
56,Atem::N,садеӏар,respirație
57,Hunger::N,мацалла,foame
58,Träne::N,бӏаьрхи,lacrimă
59,Geschmack::N,чам,gust
60,Geruch::N,хьожа,miros
61,Schlaf::N,наб,somn
62,Traum::N,гӏан,vis
63,Himmel::N,стигал,cer
64,Sonne::N,малх,soare
65,Mond::N,бутт,lună
66,Stern::N,седа,stea
67,Luft::N,xӏаваъ,aer
68,Wind::N,мох,vânt
69,Welle::N,тулгӏе,val
70,Welle::N,тулгӏе,undă
71,Wasser::N,хи,apă
72,Stein::N,тӏулг,piatră
73,Boden::N,цӏенкъа,sol
74,Boden::N,цӏенкъа,pământ
75,Erde::N,латта,pământ
76,Staub::N,чан,praf
77,Rauch::N,кӏур,fum
78,Funke::N,суй,scânteie
79,Feuer::N,цӏе,foc
80,Licht::N,серло,lumină
81,Schatten::N,ӏиндагӏ,umbră
82,Wetter::N,хенан хӏоттам,timp
83,Wetter::N,хенан хӏоттам,vreme
84,Nebel::N,дохк,ceață
85,Nebel::N,дохк,negură
86,Wolke::N,марха,nor
87,Regen::N,догӏа,ploaie
88,Schnee::N,ло,zăpadă
89,Eis::N,ша,gheață
90,Frost::N,шело,ger
91,Kälte::N,шело,frig
92,Hitze::N,йовхо,arșiță
93,Hitze::N,йовхо,căldură
94,Raureif::N,йис,chiciură
95,Regenbogen::N,стелаӏад,curcubeu
