,Concept_ID,udm,ar
0,Auge::N,син,عين
1,Ohr::N,пель,أذن
2,Nase::N,ныр,أنف
3,Mund::N,ым,فم
4,Zahn::N,пинь,سن
5,Zunge::N,кыл,لسان
6,Lippe::N,ымдур,شفة
7,Wange::N,бам,خد
8,Wange::N,бам,وجنة
9,Gesicht::N,ымныр,وجه
10,Stirn::N,кымес,جبين
11,Haar::N,йырси,شعر
12,Schnurrbart::N,мыйык,شارب
13,Bart::N,туш,لحية
14,Kinn::N,ангес,ذقن
15,Kiefer[Anatomie]::N,ан,فك
16,Kiefer[Anatomie]::N,анлы,فك
17,Kehle::N,гульым,حلق
18,Hals::N,чырты,عنق
19,Hals::N,чырты,رقبة
20,Genick::N,йырбер,قفا
21,Kopf::N,йыр,رأس
22,Rücken::N,мыш,ظهر
23,Bauch::N,кӧт,بطن
24,Nabel::N,гогы,سرة
25,Busen::N,ноны,ثدي
26,Brust::N,мӧля,صدر
27,Schulter::N,пельпум,كتف
28,Arm::N,суй,ذراع
29,Ellenbogen::N,гырпум,كوع
30,Hand::N,ки,يد
31,Handfläche::N,ки пыдэс,كف
32,Handfläche::N,кырым пыдэс,كف
33,Finger::N,чиньы,إصبع
34,Fingernagel::N,гижы,ظفر
35,Fingernagel::N,гиждӥнь,ظفر
36,Nagel[Anatomie]::N,гижы,ظفر
37,Zeh::N,пыдчиньы,إصبع القدم
38,Fuß::N,пыд,قدم
39,Ferse::N,пыдбер,كعب
40,Knie::N,пыдес,ركبة
41,Oberschenkel::N,макес,فخذ
42,Bein::N,пыд,ساق
43,Körper::N,мугор,جسم
44,Körper::N,вылтыр,جسم
45,Haut::N,ку,بشرة
46,Blut::N,вир,دم
47,Ader::N,вирсэр,عرق
48,Sehne::N,вуж,طنب
49,Knochen::N,лы,عظم
50,Gehirn::N,вим,دماغ
51,Herz::N,сюлэм,قلب
52,Magen::N,ӝуш,معدة
53,Leber::N,мус,كبد
54,Atem::N,лул,نفس
55,Atem::N,шокан,نفس
56,Hunger::N,кӧтсюман,جوع
57,Träne::N,синкыли,دمعة
58,Geschmack::N,шӧм,طعم
59,Geschmack::N,шӧм,مذاق
60,Geruch::N,зын,رائحة
61,Schlaf::N,вӧт,نوم
62,Schlaf::N,вӧт,منام
63,Traum::N,уйвӧт,حلم
64,Himmel::N,ин,سماء
65,Sonne::N,шунды,شمس
66,Mond::N,толэзь,قمر
67,Stern::N,кизили,نجم
68,Stern::N,кизили,كوكب
69,Luft::N,омыр,هواء
70,Wind::N,тӧл,ريح
71,Welle::N,тулкым,موجة
72,Wasser::N,ву,ماء
73,Stein::N,из,حجر
74,Boden::N,музъем,تراب
75,Erde::N,му,أرض
76,Staub::N,пыль,غبار
77,Rauch::N,ӵын,دخان
78,Funke::N,гизьы,شرارة
79,Feuer::N,тыл,نار
80,Licht::N,тыл,نور
81,Licht::N,тыл,ضوء
82,Schatten::N,вужер,ظل
83,Schatten::N,вужер,فيء
84,Wetter::N,куазь,جو
85,Wetter::N,куазь,طقس
86,Nebel::N,бус,ضباب
87,Wolke::N,пилем,غيمة
88,Wolke::N,пилем,سحابة
89,Regen::N,зор,مطر
90,Schnee::N,лымы,ثلج
91,Eis::N,йӧ,جليد
92,Frost::N,кезьыт,صقيع
93,Kälte::N,кезьыт,برد
94,Hitze::N,пӧсь,حر
95,Hitze::N,пӧсь,حرارة
96,Raureif::N,гӧр,صقيع
97,Regenbogen::N,вуюись,قوس قزح
98,Donner::N,гудыри,رعد
99,Strömung::N,бызён,تيار
100,Tropfen::N,шапык,قطرة
101,Schaum::N,шукы,زبد
102,Schaum::N,шукы,رغوة
103,Schmutz::N,нӧд,وسخ
104,Schmutz::N,дэри,وسخ
105,See::N,ты,بحيرة
106,Sumpf::N,нюр,مستنقع
107,Moor::N,нюр,مستنقع
108,Wiese::N,возь,مرج
109,Wiese::N,возьвыл,مرج
110,Wald::N,сик,غابة
111,Wald::N,нюлэс,غابة
112,Hügel::N,выр,تل
113,Hügel::N,вырйыл,تل
114,Anhöhe::N,выр,تل
115,Anhöhe::N,вырйыл,تل
116,Berg::N,гурезь,جبل
117,Gipfel::N,йыл,قمة
118,Höhle::N,гу,كهف
119,Abhang::N,бам,منحدر
120,Quelle::N,ошмес,منبع
121,Bach::N,пичи шур,مجرى
122,Fluss::N,шур,نهر
123,Ufer::N,ярдур,ضفة
124,Küste::N,вудур,ساحل
125,Festland::N,мувыр,بر
126,Meer::N,зарезь,بحر
127,Bucht::N,вукож,خليج
128,Insel::N,вумуӵ,جزيرة
129,Insel::N,шормуӵ,جزيرة
130,Blume::N,сяська,زهرة
131,Gras::N,турын,حشيش
132,Wurzel::N,выжы,أصل
133,Baum::N,пу,شجرة
134,Stamm::N,модос,جذع
135,Rinde::N,сул,قشرة
136,Ast::N,ул,فرع
137,Zweig::N,вай,غصن
138,Blatt::N,куар,ورقة
139,Birke::N,кызьпу,قضبان
140,Kiefer[Baum]::N,пужым,صنوبرة
141,Weide[Baum]::N,бадьпу,صفصاف
142,Tanne::N,кыз,شوح
143,Tanne::N,кыз,تبوب
144,Horn::N,сюр,قرن
145,Feder::N,тылы,ريشة
146,Fell::N,ку,فرو
147,Flügel::N,бурд,جناح
148,Klaue::N,гижы,مخلب
149,Kralle::N,пыд,مخلب
150,Schwanz::N,быж,ذيل
151,Ei::N,пуз,بيض
152,Ei::N,кукей,بيض
153,Nest::N,кар,عش
154,Nest::N,пузкар,عش
155,Bau::N,кар,جحر
156,Bau::N,гу,جحر
157,Tier::N,пӧйшур,حيوان
158,Herde::N,уллё,قطيع
159,Kuh::N,скал,بقرة
160,Bulle::N,ош,ثور
161,Bulle::N,пороз,ثور
162,Pferd::N,вал,خيل
163,Schaf::N,ыж,شاة
164,Schwein::N,парсь,خنزير
165,Hund::N,пуны,كلب
166,Katze::N,коӵыш,قطة
167,Bär::N,гондыр,دب
168,Eichhörnchen::N,коньы,سنجاب
169,Elch::N,койык,موظ
170,Fuchs::N,ӟичы,ثعلب
171,Hase::N,кеч,أرنب
172,Maus::N,шыр,فأرة
173,Wolf::N,кион,ذئب
174,Vogel::N,тылобурдо,طير
175,Schwarm::N,уллё,سرب
176,Huhn::N,курег,دجاجة
177,Hahn::N,атас,ديك
178,Gans::N,ӟазег,وزة
179,Adler::N,ӧрзи,نسر
180,Ente::N,ӵӧж,بطة
181,Eule::N,кучыран,بوم
182,Kranich::N,тури,كركي
183,Krähe::N,куака,غراب
184,Kuckuck::N,кикы,وقواق
185,Schwan::N,юсь,إوز عراقي
186,Fisch::N,чорыг,سمك
187,Barsch::N,юш,فرخ أوربي
188,Hecht::N,чипей,سمك الكراكي
189,Schlange[Tier]::N,кый,حية
190,Schlange[Tier]::N,кый,ثعبان
191,Wurm::N,нумыр,دودة
192,Spinne::N,чонари,عنكبوت
193,Ameise::N,кузьыли,نملة
194,Laus::N,тэй,قملة
195,Mücke::N,нымы,ناموسة
196,Mücke::N,чибинь,ناموسة
197,Fliege::N,кут,ذبابة
198,Schmetterling::N,бубыли,فراشة
199,Beere::N,узы-боры,حبة
200,Apfel::N,яблок,تفاح
201,Pilz::N,губи,فطر
202,Zwiebel::N,сугон,بصل
203,Saat::N,кидыс,زرع
204,Korn::N,тысь,حبة
205,Heu::N,турын,دريس
206,Schale::N,кыд,قشرة
207,Grube::N,гу,نقرة
208,Grube::N,гоп,نقرة
209,Falle::N,налик,فخ
210,Falle::N,налик,مصيدة
211,Schlinge::N,гиӟ,عروة
212,Schlinge::N,герд,عروة
213,Spur::N,пытьы,أثر
214,Spur::N,бервыл,أثر
215,Asche::N,пень,رماد
216,Dreck::N,дэри,قذر
217,Eisen::N,корт,حديد
218,Gold::N,зарни,ذهب
219,Silber::N,азвесь,فضة
220,Kohle::N,эгыр,فحم
221,Glas::N,стекло,زجاج
222,Glas::N,пияла,زجاج
223,Lehm::N,сюй,طين
224,Sand::N,луо,رمل
225,Mensch::N,мурт,إنسان
226,Mensch::N,адями,إنسان
227,Mann::N,воргорон,رجل
228,Frau::N,кышномурт,امرأة
229,Kind::N,нуны,طفل
230,Kind::N,пинал,طفل
231,Junge::N,пи,ولد
232,Mädchen::N,ныл,بنت
233,Familie::N,семья,عائلة
234,Großvater::N,песятай,جد
235,Großvater::N,пересь атай,جد
236,Großmutter::N,песянай,جدة
237,Großmutter::N,пересь анай,جدة
238,Eltern::N,атай-анай,أبوان
239,Eltern::N,атай-анай,والدان
240,Eltern::N,бубы-мумы,أبوان
241,Eltern::N,бубы-мумы,والدان
242,Vater::N,айы,أب
243,Vater::N,атай,أب
244,Mutter::N,мумы,أم
245,Sohn::N,пи,إبن
246,Tochter::N,ныл,بنت
247,Tochter::N,ныл,إبنة
248,Bruder::N,агай,أخ
249,Bruder::N,агай,شقيق
250,Schwester::N,апа,أخت
251,Schwester::N,сузэр,أخت
252,Onkel::N,агай,عم
253,Tante::N,апа,عمة
254,Tante::N,кенак,عمة
255,Ehemann::N,карт,زوج
256,Ehefrau::N,кышно,زوجة
257,Freude::N,шумпотон,فرح
258,Freude::N,шумпотон,سرور
259,Gelächter::N,горем,قهقهة
260,Glück::N,шуд,سعادة
261,Kummer::N,кайгу,غم
262,Kummer::N,куректон,غم
263,Wunsch::N,мылпотон,منية
264,Lust::N,потон,شهوة
265,Geist::N,лул,روح
266,Gedanke::N,малпан,فكرة
267,Gedächtnis::N,йырсазь,ذاكرة
268,Gedächtnis::N,тодэваён,ذاكرة
269,Verstand::N,йырвизь,عقل
270,Sinn::N,смысл,معنى
271,Grund::N,муг,سبب
272,Grund::N,ньӧм,سبب
273,Wahrheit::N,зэм,حقيقة
274,Wahrheit::N,шонер,حقيقة
275,Gespräch::N,вераськон,محادثة
276,Märchen::N,выжыкыл,خرافة
277,Erzählung::N,верос,قصة
278,Erzählung::N,верос,حكاية
279,Nachricht::N,ивор,خبر
280,Neuigkeit::N,выльивор,خبر جديد
281,Name::N,ним,اسم
282,Rätsel::N,мадькыл,لغز
