,Concept_ID,av,la
0,Ohr::N,гӏин,auris
1,Nase::N,мегӏер,nasus
2,Mund::N,кӏал,os
3,Zahn::N,гӏус,dens
4,Zunge::N,мацӏ,lingua
5,Lippe::N,кӏветӏ,labrum
6,Wange::N,гӏоно,gena
7,Gesicht::N,гьумер,vultus
8,Stirn::N,нодо,frons
9,Haar::N,рас,capillus
10,Schnurrbart::N,михъ,barba labri superioris
11,Bart::N,мегеж,barba
12,Kinn::N,нилъу,mentum
13,Kiefer[Anatomie]::N,чанагъ,mala
14,Kehle::N,щекъер,iugulums
15,Hals::N,габур,collum
16,Genick::N,гъванща,cervices
17,Kopf::N,бетӏер,caput
18,Rücken::N,мугъ,tergum
19,Bauch::N,чехь,venter
20,Nabel::N,цӏину,umbilicus
21,Busen::N,керен,sinus
22,Brust::N,керен,pectus
23,Schulter::N,гъажазубетӏер,umerus
24,Arm::N,гъеж,bracchium
25,Ellenbogen::N,гӏункӏрукь,cubitum
26,Hand::N,квер,manus
27,Handfläche::N,огъохъат,palma
28,Handfläche::N,жанисахъат,palma
29,Finger::N,килищ,digitus
30,Fingernagel::N,малъ,unguiculus
31,Nagel[Anatomie]::N,малъ,unguis
32,Zeh::N,килищ,digitus
33,Fuß::N,хӏетӏ,pes
34,Fuß::N,хӏетӏе,pes
35,Ferse::N,эгъе,calx
36,Knie::N,наку,genu
37,Oberschenkel::N,мачӏ,femur
38,Bein::N,бох,crus
39,Körper::N,къаркъала,corpus
40,Haut::N,тӏом,cutis
41,Haut::N,тӏом,pellis
42,Blut::N,би,sanguis
43,Ader::N,бидурихь,vena
44,Knochen::N,ракьа,os
45,Gehirn::N,гӏадалнах,cerebrum
46,Herz::N,ракӏ,cor
47,Herz::N,ракӏ,animus
48,Magen::N,кванирукъ,stomachus
49,Leber::N,тӏул,iecur
50,Atem::N,хӏухь,spiritus
51,Hunger::N,ракъи,fames
52,Träne::N,магӏу,lacrima
53,Geschmack::N,тату,sapor
54,Geschmack::N,тату,gustus
55,Geruch::N,махӏ,odor
56,Schlaf::N,макьу,somnus
57,Traum::N,макьу,somnium
58,Himmel::N,зоб,caelum
59,Sonne::N,бакъ,sol
60,Mond::N,моцӏ,luna
61,Stern::N,цӏва,sidus
62,Stern::N,цӏва,stella
63,Luft::N,гьава,aer
64,Wind::N,гьури,ventus
65,Welle::N,карачел,unda
66,Wasser::N,лъим,aqua
67,Stein::N,гьецӏо,lapis
68,Boden::N,ракь,solum
69,Erde::N,ракь,terra
70,Erde::N,дуниял,terra
71,Staub::N,хӏур,pulvis
72,Rauch::N,кӏкӏуй,fumus
73,Feuer::N,цӏа,ignis
74,Licht::N,канлъи,lux
75,Licht::N,канлъи,lumen
76,Schatten::N,рагӏад,umbra
77,Wetter::N,гьава-бакъ,caelum
78,Wetter::N,гьава-бакъ,tempestas
79,Nebel::N,гӏодобнакӏкӏ,nebula
80,Wolke::N,накӏкӏ,nubes
81,Regen::N,цӏад,imber
82,Regen::N,цӏад,pluvia
83,Schnee::N,гӏазу,nix
84,Eis::N,цӏер,glacies
85,Frost::N,замгьари,gelu
86,Kälte::N,квач,frigus
87,Hitze::N,багӏари,calor
88,Hitze::N,багӏари,aestus
89,Raureif::N,мартӏ,pruina
