,Concept_ID,kk,ps
0,Auge::N,көз,سترګه
1,Ohr::N,құлақ,غوږ
2,Nase::N,мұрын,پوزه
3,Mund::N,ауыз,خوله
4,Zahn::N,тіс,غاښ
5,Zunge::N,тіл,جبه
6,Lippe::N,ерін,شونډه
7,Wange::N,ұрт,باړخو
8,Gesicht::N,бет-аузы,مخ
9,Stirn::N,маңдай,تندی
10,Stirn::N,маңдай,وچولی
11,Haar::N,қыл,وېښته
12,Schnurrbart::N,мұрт,برېت
13,Bart::N,сақал,ږیره
14,Kinn::N,иек,زنه
15,Kiefer[Anatomie]::N,жақ,جامه
16,Kehle::N,алқым,غاړه
17,Hals::N,мойын,غاړه
18,Genick::N,желке,ورمېږ
19,Kopf::N,кәллә,سر
20,Rücken::N,арқа,شا
21,Bauch::N,қарын,نس
22,Bauch::N,қарын,ګېډه
23,Nabel::N,кіндік,نوم
24,Busen::N,омырау,تی
25,Brust::N,кеуде,سینه
26,Schulter::N,иық,اوږه
27,Arm::N,қол,لاس
28,Ellenbogen::N,шынтақ,څنګل
29,Hand::N,қол,لاس
30,Handfläche::N,алақан,ورغوی
31,Finger::N,саусақ,ګوته
32,Fingernagel::N,тырнақ,نوک
33,Nagel[Anatomie]::N,тырнақ,نوک
34,Zeh::N,тырнақ,ګوته
35,Zeh::N,тұяқ,ګوته
36,Fuß::N,аяқ-басы,پښه
37,Ferse::N,өкше,پونده
38,Ferse::N,өкшелік,پونده
39,Knie::N,тізе,زنګون
40,Oberschenkel::N,жамбас,پتون
41,Bein::N,аяқ,پښه
42,Körper::N,дене,ځان
43,Haut::N,тері,پوټکی
44,Blut::N,қан,وینه
45,Ader::N,көктамыр,رګ
46,Ader::N,күретамыр,رګ
47,Sehne::N,сіңір,پله
48,Knochen::N,жілік,هډوکی
49,Gehirn::N,ми,ماغزه
50,Herz::N,жүрек,زړه
51,Magen::N,асқазан,معده
52,Leber::N,бауыр,ينه
53,Leber::N,бауыр,ځیګر
54,Atem::N,леп,نفس
55,Hunger::N,ашаршылық,ولږه
56,Träne::N,жас,اوښکه
57,Geschmack::N,дәм,مزه
58,Geschmack::N,дәм,خوند
59,Geschmack::N,татым,مزه
60,Geschmack::N,татым,خوند
61,Geschmack::N,талғам,مزه
62,Geschmack::N,талғам,خوند
63,Geruch::N,иіс,بوی
64,Schlaf::N,ұйқы,خوب
65,Schlaf::N,ұйықтау,خوب
66,Traum::N,түс,خوب
67,Himmel::N,аспан,اسمان
68,Himmel::N,көқ,اسمان
69,Himmel::N,таңдай,اسمان
70,Sonne::N,күн,لمر
71,Mond::N,ай,سپوږمۍ
