,Concept_ID,hu,pt
156,Flügel::N,szárny,asa
157,Klaue::N,köröm,pata
158,Kralle::N,karom,unha
159,Kralle::N,karom,garra
160,Schwanz::N,farok,rabo
161,Schwanz::N,farok,cauda
162,Ei::N,tojás,ovo
163,Nest::N,fészek,ninho
164,Bau::N,odú,toca
165,Bau::N,odú,covil
166,Tier::N,állat,animal
167,Herde::N,nyáj,rebanho
168,Herde::N,csorda,rebanho
169,Kuh::N,tehén,vaca
170,Bulle::N,bika,touro
171,Pferd::N,ló,cavalo
172,Schaf::N,juh,ovelha
173,Schaf::N,birka,ovelha
174,Schwein::N,sertés,porco
175,Hund::N,eb,cão
176,Hund::N,kutya,cão
177,Katze::N,macska,gata
178,Bär::N,medve,urso
179,Eichhörnchen::N,mókus,esquilo
180,Elch::N,jávorszarvas,alce
181,Fuchs::N,róka,raposa
182,Hase::N,nyúl,lebre
183,Maus::N,egér,rato
184,Wolf::N,farkas,lobo
185,Vogel::N,madár,ave
186,Vogel::N,madár,pássaro
187,Schwarm::N,raj,bando
188,Schwarm::N,raj,enxame
189,Huhn::N,tyúk,galinha
190,Hahn::N,kakas,galo
191,Gans::N,lúd,ganso
192,Gans::N,liba,ganso
193,Adler::N,sas,águia
194,Ente::N,kacsa,pata
195,Eule::N,bagoly,mocho
196,Eule::N,bagoly,coruja
197,Kranich::N,daru,grou
198,Krähe::N,varjú,gralha
199,Kuckuck::N,kakukk,cuco
200,Schwan::N,hattyú,cisne
201,Fisch::N,hal,peixe
202,Barsch::N,sügér,perca
203,Hecht::N,csuka,lúcio
204,Schlange[Tier]::N,kígyó,serpente
205,Wurm::N,kukac,verme
206,Spinne::N,pók,aranha
207,Ameise::N,hangya,formiga
208,Laus::N,tetű,piolho
209,Mücke::N,szúnyog,mosquito
210,Fliege::N,légy,mosca
211,Schmetterling::N,lepke,borboleta
212,Schmetterling::N,pillangó,borboleta
213,Beere::N,bogyó,bago
214,Apfel::N,alma,maçã
215,Pilz::N,gomba,fungo
216,Pilz::N,gomba,cogumelo
217,Zwiebel::N,hagyma,cebola
218,Saat::N,vetőmag,sementeira
219,Korn::N,mag,grão
220,Korn::N,szem,grão
221,Heu::N,széna,feno
222,Schale::N,héj,casca
223,Grube::N,verem,cova
224,Grube::N,verem,fossa
225,Falle::N,csapda,armadilha
226,Schlinge::N,tőr,laço
227,Spur::N,nyom,pista
228,Spur::N,nyom,vestígio
229,Asche::N,hamu,cinza
230,Dreck::N,sár,sujidade
231,Dreck::N,piszok,sujidade
232,Eisen::N,vas,ferro
233,Gold::N,arany,ouro
234,Silber::N,ezüst,prata
235,Kohle::N,szén,carvão
236,Glas::N,üveg,vidro
237,Lehm::N,agyag,barro
238,Lehm::N,agyag,argila
239,Lehm::N,vályog,barro
240,Lehm::N,vályog,argila
241,Sand::N,homok,areia
242,Mensch::N,ember,homem
243,Mensch::N,ember,pessoa
244,Mann::N,úr,homem
245,Mann::N,férfi,homem
246,Frau::N,nő,mulher
247,Frau::N,asszony,mulher
248,Kind::N,gyerek,filho
249,Kind::N,gyerek,criança
250,Kind::N,gyermek,filho
251,Kind::N,gyermek,criança
252,Junge::N,fiú,rapaz
253,Junge::N,fiú,menino
254,Mädchen::N,lány,menina
255,Mädchen::N,lány,rapariga
256,Familie::N,család,família
257,Großvater::N,nagyapa,avô
258,Großmutter::N,nagyanya,avó
259,Eltern::N,szülők,pais
260,Vater::N,apa,pai
261,Vater::N,atya,pai
262,Mutter::N,anya,mãe
263,Sohn::N,fiú,filho
264,Tochter::N,lány,filha
265,Bruder::N,fivér,irmão
266,Bruder::N,testvér,irmão
267,Schwester::N,nővér,irmã
268,Schwester::N,lánytestvér,irmã
269,Onkel::N,nagybácsi,tio
270,Tante::N,nagynéni,tia
271,Ehemann::N,férj,esposo
272,Ehefrau::N,feleség,esposa
273,Freude::N,öröm,prazer
274,Freude::N,öröm,alegria
275,Gelächter::N,nevetés,risada
276,Gelächter::N,nevetés,gargalhada
277,Gelächter::N,hahotázás,risada
278,Gelächter::N,hahotázás,gargalhada
279,Glück::N,boldogság,felicidade
280,Kummer::N,bánat,aflição
281,Kummer::N,bánat,desgosto
282,Wunsch::N,óhaj,desejo
283,Lust::N,kedv,vontade
284,Geist::N,elme,mente
285,Geist::N,elme,espírito
286,Geist::N,szellem,mente
287,Geist::N,szellem,espírito
288,Gedanke::N,gondolat,ideia
289,Gedanke::N,gondolat,pensamento
290,Gedächtnis::N,emlékezet,memória
291,Verstand::N,ész,razão
292,Verstand::N,ész,inteligência
293,Verstand::N,értelem,razão
294,Verstand::N,értelem,inteligência
295,Sinn::N,értelem,sentido
296,Sinn::N,értelem,significado
297,Grund::N,ok,causa
298,Grund::N,ok,motivo
299,Grund::N,alap,causa
300,Grund::N,alap,motivo
301,Wahrheit::N,igaz,verdade
302,Wahrheit::N,igazság,verdade
303,Gespräch::N,beszélgetés,conversa
304,Gespräch::N,beszélgetés,conversação
305,Märchen::N,mese,conto
306,Erzählung::N,elbeszélés,conto
307,Erzählung::N,elbeszélés,narrativa
308,Nachricht::N,hír,mensagem
309,Nachricht::N,híradás,mensagem
310,Neuigkeit::N,újság,notícia
311,Neuigkeit::N,újság,novidade
312,Name::N,név,nome
313,Rätsel::N,rejtvény,adivinha
314,Rede::N,beszéd,oração
315,Rede::N,beszéd,discurso
316,Rede::N,szónoklat,oração
317,Rede::N,szónoklat,discurso
318,Sprache::N,nyelv,língua
319,Stimme::N,hang,voz
320,Wort::N,szó,palavra
321,Zeichen::N,jel,marca
322,Ruf::N,kiáltás,grito
323,Ruf::N,kiáltás,chamada
324,Lärm::N,zaj,ruído
325,Lärm::N,zaj,barulho
326,Laut::N,hang,som
327,Ton::N,hang,tom
328,Lied::N,dal,canção
329,Lied::N,ének,canção
330,Ruhe::N,csend,calma
331,Ruhe::N,csend,silêncio
332,Ruhe::N,nyugalom,calma
333,Ruhe::N,nyugalom,silêncio
334,Leute::N,emberek,gente
335,Leute::N,emberek,pessoas
336,Volk::N,nép,povo
337,Volk::N,nép,nação
338,Arbeit::N,dolog,trabalho
339,Gast::N,vendég,hóspede
340,Gast::N,vendég,convidado
341,Geschenk::N,ajándék,prenda
342,Geschenk::N,ajándék,presente
343,Spiel::N,játék,jogo
344,Gesellschaft::N,társaság,companhia
345,Hilfe::N,segítség,ajuda
346,Hilfe::N,segítség,socorro
347,Freund::N,barát,amigo
348,Kamerad::N,társ,camarada
349,Angelegenheit::N,ügy,assunto
350,Anzahl::N,szám,número
351,Anzahl::N,szám,quantidade
352,Art::N,faj,tipo
353,Art::N,faj,espécie
354,Art::N,fajta,tipo
355,Art::N,fajta,espécie
356,Stück::N,darab,pedaço
357,Teil::N,rész,peça
358,Teil::N,rész,parte
359,Hälfte::N,fél,metade
360,Kreis::N,kör,círculo
361,Kreuz::N,kereszt,cruz
362,Linie::N,vonal,linha
363,Strich::N,vonás,traço
364,Abstand::N,köz,distância
365,Entfernung::N,távolság,distância
366,Gegend::N,táj,área
367,Gegend::N,táj,região
368,Gegend::N,vidék,área
369,Gegend::N,vidék,região
370,Platz::N,hely,lugar
371,Ort::N,hely,sítio
372,Seite::N,fél,lado
373,Seite::N,oldal,lado
374,Mitte::N,közép,meio
375,Gegenstand::N,tárgy,objecto
376,Sache::N,dolog,coisa
377,Rand::N,szél,bordo
378,Rand::N,szél,margem
379,Rand::N,perem,bordo
380,Rand::N,perem,margem
381,Rand::N,szegély,bordo
382,Rand::N,szegély,margem
383,Kante::N,él,borda
384,Kante::N,él,aresta
385,Ecke::N,sarok,esquina
386,Ecke::N,szöglet,esquina
387,Spitze::N,csúcs,ponta
388,Ende::N,vég,cabo
389,Ende::N,vég,extremo
390,Loch::N,lyuk,furo
391,Loch::N,lyuk,buraco
392,Winkel::N,szög,canto
393,Winkel::N,szög,ângulo
394,Muster::N,minta,padrão
395,Muster::N,minta,desenho
396,Größe::N,nagyság,tamanho
397,Länge::N,hossz,comprimento
398,Länge::N,hosszúság,comprimento
399,Höhe::N,magasság,altura
400,Höhe::N,magasság,altitude
401,Gewicht::N,súly,peso
402,Menge::N,sokaság,quantidade
403,Menge::N,mennyiség,quantidade
404,Haufen::N,halom,pilha
405,Reihe::N,sor,fila
406,Boot::N,csónak,barco
407,Ruder::N,evező,remo
408,Schlitten::N,szánkó,trenó
409,Ski::N,sí,esqui
410,Lagerfeuer::N,tábortűz,fogueira
411,Last::N,teher,carga
412,Gang::N,járás,curso
413,Gang::N,járás,caminhada
414,Schritt::N,lépés,passo
415,Norden::N,észak,norte
416,Süden::N,dél,sul
417,Westen::N,nyugat,oeste
