,Concept_ID,tt,te
0,Auge::N,күз,కన్ను
1,Ohr::N,колак,చెవి
2,Nase::N,борын,ముక్కు
3,Mund::N,авыз,నోరు
4,Mund::N,тамак,నోరు
5,Zahn::N,теш,పల్లు
6,Zunge::N,тел,నాలుక
7,Lippe::N,ирен,పెదవి
8,Wange::N,яңак,చెంప
9,Gesicht::N,йөз,ముఖము
10,Stirn::N,маңгай,నుదురు
11,Haar::N,чәч,వెండ్రుక
12,Schnurrbart::N,мыек,మీసము
13,Bart::N,сакал,గడ్డము
14,Kinn::N,ияк,గడ్డము
15,Kiefer[Anatomie]::N,казналык,దౌడ
16,Kehle::N,тамак,గొంతు
17,Hals::N,бугаз,మెడ
18,Genick::N,җилкә,మూపు
19,Kopf::N,баш,తల
20,Rücken::N,сырт,వెన్ను
21,Bauch::N,корсак,కడుపు
22,Nabel::N,кендек,బొడ్డు
23,Busen::N,түш,స్తనము
24,Brust::N,имчәк,ఱొమ్ము
25,Brust::N,күкрәк,ఱొమ్ము
26,Schulter::N,иңбаш,భుజము
27,Schulter::N,кулбаш,భుజము
28,Arm::N,кул,చేయి
29,Ellenbogen::N,терсәк,మోచేయి
30,Hand::N,кул,చేయి
31,Handfläche::N,уч,అరచేయు
32,Finger::N,бармак,చేతిప్రేలు
33,Fingernagel::N,тырнак,గోరు
34,Nagel[Anatomie]::N,тырнак,గోరు
35,Zeh::N,бармак,కాలిప్రేలు
36,Fuß::N,табан,అడుగు
37,Ferse::N,үкчә,మడమ
38,Knie::N,тез,మోకాలు
39,Oberschenkel::N,бот,తొడ
40,Bein::N,аяк,కాలు
41,Körper::N,тән,కాయము
42,Körper::N,җисем,కాయము
43,Haut::N,тире,చర్మము
44,Blut::N,кан,రక్తము
45,Ader::N,тамыр,సిర
46,Sehne::N,сеңер,స్నాయువు
47,Knochen::N,сөяк,ఎముక
48,Gehirn::N,ми,మెదడు
49,Herz::N,йөрәк,హృదయము
50,Magen::N,ашказаны,కడుపు
51,Leber::N,бавыр,కాలేయము
52,Atem::N,сулыш,ఉపిరి
53,Hunger::N,ачлык,ఆకలి
54,Träne::N,яшь,కన్నీటిచుక్క
55,Geschmack::N,тәм,రుచి
56,Geschmack::N,зәвык,రుచి
57,Geruch::N,ис,వాసన
58,Schlaf::N,йокы,నిద్ర
59,Traum::N,төш,కల
60,Himmel::N,күк,ఆకాశము
61,Sonne::N,кояш,సూర్యుడు
62,Mond::N,ай,చంద్రుడు
63,Stern::N,йолдыз,నక్షత్రము
64,Luft::N,һава,గాలి
65,Wind::N,җил,వీచుచున్నగాలి
66,Welle::N,дулкын,అల
67,Wasser::N,су,నీరు
68,Stein::N,таш,ఱాయి
69,Boden::N,туфрак,నేల
70,Erde::N,җир,మన్ను
71,Staub::N,тузан,దుమ్ము
72,Rauch::N,төтен,పొగ
73,Funke::N,очкын,అగ్నికణము
74,Feuer::N,ут,అగ్ని
75,Licht::N,якты,కాంతి
76,Schatten::N,күләгә,నీడ
77,Wetter::N,һава,వాతావరణ స్థితి
78,Nebel::N,томан,పొగమంచు
79,Wolke::N,болыт,మేఘము
80,Regen::N,яңгыр,వాన
81,Schnee::N,кар,హిమము
82,Eis::N,боз,మంచుగడ్డ
83,Frost::N,суык,పేరిన మంచు
84,Frost::N,салкын,పేరిన మంచు
85,Kälte::N,суык,చలి
86,Kälte::N,салкын,చలి
87,Hitze::N,эсселек,వేడిమి
88,Raureif::N,бәс,మంచు
89,Raureif::N,сыкы,మంచు
90,Regenbogen::N,салават күпере,ఇంద్రధనుస్సు
91,Donner::N,күкрәү,ఉరుము
92,Strömung::N,агыш'агым,ప్రవాహము
93,Tropfen::N,тамчы,చుక్క
94,Schaum::N,күбек,నురుగు
95,Schmutz::N,пычрак,మైల
96,See::N,күл,సరస్సు
97,Sumpf::N,саз,చిత్తడినేల
98,Moor::N,торфлык,చిత్తడినేల
99,Wiese::N,болын,పచ్చిక బయలు
100,Wald::N,урман,అడవి
101,Hügel::N,калку,చివ్నకొండ
102,Anhöhe::N,үр,కొండ
103,Berg::N,тау,పర్వతము
104,Gipfel::N,оч,శిఖరము
105,Höhle::N,мәгарә,గుహ
106,Abhang::N,кабырга,ఏటవాలు
107,Quelle::N,чишмә,మూలము
108,Bach::N,елга,కాలువ
109,Fluss::N,дәрья,నది
110,Ufer::N,су кырые,తీరము
111,Küste::N,яр буе,తీరము
112,Festland::N,коры җир,భూమి
113,Meer::N,диңгез,సముద్రము
114,Bucht::N,бухта,మరుగు
115,Bucht::N,култык,మరుగు
116,Insel::N,атау,దీవి
117,Insel::N,утрау,దీవి
118,Blume::N,чәчкә,పుష్పము
119,Gras::N,үлән,పచ్చగడ్డి
120,Wurzel::N,тамыр,వేరు
121,Baum::N,агач,చెట్టు
122,Stamm::N,кәүсә,చెట్టుబోదె
123,Rinde::N,кабык,చెట్టుపట్ట
124,Ast::N,ботак,కొమ్మ
125,Zweig::N,ботак,చివుకు
126,Zweig::N,тармак,చివుకు
127,Blatt::N,яфрак,ఆకు
128,Birke::N,каен,తరహా చెట్టు
129,Kiefer[Baum]::N,нарат,దేవదారు చెట్టు
130,Weide[Baum]::N,тал,జాతిచెట్టు
131,Tanne::N,чыршы,దేవదారుచెట్టు
132,Horn::N,мөгез,కొమ్ము
133,Feder::N,йон,ఈక
134,Fell::N,тире,తోలు
135,Flügel::N,канат,ఱెక్క
136,Klaue::N,тырнак,వంకరగోరు
137,Kralle::N,тырнак,వంకరగోరు
138,Schwanz::N,койрык,తోక
139,Ei::N,күкәй,గ్రుడ్డు
140,Ei::N,йомырка,గ్రుడ్డు
141,Nest::N,оя,పక్షిగూడు
142,Bau::N,өн,గుహ
143,Tier::N,хайван,జంతువు
144,Herde::N,көтү,మంద
145,Kuh::N,сыер,ఆవు
146,Bulle::N,үгез,గిత్త
147,Pferd::N,ат,గుఱ్ఱము
148,Schaf::N,сарык,గొఱ్ఱె
149,Schwein::N,дуңгыз,పంది
150,Hund::N,эт,కుక్క
151,Katze::N,песи,పిల్లి
152,Bär::N,аю,ఎలుగుబంటి
153,Eichhörnchen::N,тиен,ఉడుత
154,Elch::N,поши,కణంజు
155,Fuchs::N,төлке,గుంటనక్క
156,Hase::N,куян,కుందేలు
157,Maus::N,тычкан,చిట్టెలుక
158,Wolf::N,бүре,తోడేలు
159,Vogel::N,кош,పక్షి
160,Schwarm::N,көтү,గుంపు
161,Huhn::N,тавык,కోడిపిల్ల
162,Hahn::N,әтәч,కోడివుంజు
163,Gans::N,каз,ఆడుబాతు
164,Adler::N,каракош,గ్రద్ద
165,Ente::N,үрдәк,పాట్టిబాతు
166,Eule::N,ябалак,గ్రుడ్లగూబ
167,Kranich::N,торна,కొంగ
168,Krähe::N,карга,కాకి
169,Kuckuck::N,күке,కోయల
170,Kuckuck::N,кәккүк,కోయల
171,Schwan::N,аккош,హంస
172,Fisch::N,балык,చేప
173,Barsch::N,алабуга,ఒకచేఁప
174,Hecht::N,чуртан,గండుమీను
175,Schlange[Tier]::N,елан,పాము
176,Wurm::N,корт,పురుగు
177,Spinne::N,үрмәкүч,సాలె పురుగు
178,Ameise::N,кырмыска,చీమ
179,Laus::N,бет,పేను
180,Mücke::N,черки,చీకటీగ
181,Mücke::N,озынборын,చీకటీగ
182,Fliege::N,чебен,ఈగ
183,Schmetterling::N,күбәләк,సీతాకోకచిలుక
184,Beere::N,җиләк,కాయ
185,Apfel::N,алма,ఆపిల్ పండు
186,Pilz::N,гөмбә,కుక్కగొడుగు
187,Zwiebel::N,суган,నీరుల్లి
188,Zwiebel::N,суганбаш,నీరుల్లి
189,Saat::N,орлык,విత్తనము
190,Korn::N,иген,గింజ
191,Korn::N,орлык,గింజ
192,Heu::N,печән,ఎండుగడ్డి
193,Schale::N,кабык,పొట్టు
194,Grube::N,баз,గొయ్యి
195,Grube::N,чокыр,గొయ్యి
196,Falle::N,тозак,బోను
197,Falle::N,капкын,బోను
198,Schlinge::N,элмәк,ఉరి
199,Spur::N,эз,జాడ
200,Asche::N,көл,బూడిద
201,Dreck::N,пычрак,ముఱికి
202,Eisen::N,тимер,ఇనుము
203,Gold::N,алтын,బంగారము
204,Silber::N,көмеш,వెండి
205,Kohle::N,күмер,నేలబొగ్గు
206,Glas::N,пыяла,గాజు
207,Lehm::N,балчык,బంకమన్ను
208,Sand::N,ком,ఇసుక
209,Mensch::N,адәм,నరుడు
210,Mensch::N,инсан,నరుడు
211,Mann::N,ир,పురుమడు
212,Frau::N,хатын,ఆడుది
213,Kind::N,бала,బిడ్డ
214,Junge::N,малай,బాలుడు
215,Mädchen::N,кыз,బాలిక
216,Familie::N,гаилә,కుటుంబము
217,Großvater::N,бабай,తాత
218,Großmutter::N,әби,అయ్యమ్మ
219,Eltern::N,ата-ана,తల్లితండ్రులు
220,Vater::N,ата,తండ్రి
221,Mutter::N,ана,తల్లి
222,Sohn::N,ул,కొడుకు
223,Tochter::N,кыз,కూతురు
224,Bruder::N,кардәш,పోదరుడు
225,Schwester::N,апа,సోదరి
226,Schwester::N,сеңел,సోదరి
227,Onkel::N,дәдә,మేనమామ
228,Onkel::N,дәдәй,మేనమామ
229,Tante::N,түти,మేనత్త
230,Tante::N,түти,పినతల్లి
231,Tante::N,тәтәй,మేనత్త
232,Tante::N,тәтәй,పినతల్లి
233,Ehemann::N,ир,భర్త
234,Ehefrau::N,хатын,భార్య
235,Freude::N,сөенеч,సంతోషము
236,Gelächter::N,көлү,నవ్వు
237,Gelächter::N,көлеш,నవ్వు
238,Glück::N,бәхет,సంతోషము
239,Kummer::N,хәсрәт,దుఃఖము
240,Wunsch::N,теләк,కోరిక
241,Lust::N,теләк,కోరిక
242,Lust::N,теләү,కోరిక
243,Geist::N,рух,ఆత్మ
244,Gedanke::N,уй,ఆలోచన
245,Gedanke::N,фикер,ఆలోచన
246,Gedächtnis::N,хәтер,జ్ఞాపకము
247,Verstand::N,акыл,మనస్సు
248,Sinn::N,мәгънә,అర్థము
249,Grund::N,сәбәп,కారణము
250,Wahrheit::N,хак,సత్యము
251,Gespräch::N,әңгәмә,పంభాషణ
252,Märchen::N,әкият,అద్భుతకథ
253,Erzählung::N,хикәя,కథ
254,Nachricht::N,хәбәр,వార్త
255,Neuigkeit::N,яңалык,వార్త
256,Name::N,исем,పేరు
257,Rätsel::N,табышмак,చిక్కు
258,Rede::N,нотык,ఉపన్యాసము
259,Sprache::N,тел,భాష
260,Stimme::N,тавыш,కంరథ్సని
261,Wort::N,сүз,మాట
262,Zeichen::N,ишарә,గుర్తు
263,Ruf::N,дәшү,పిలువు
264,Lärm::N,шау,సందడి
265,Laut::N,аваз,ధ్వని
266,Ton::N,шалтырату,స్వరము
267,Lied::N,җыр,పాట
268,Ruhe::N,тынлык,గాలిలేమి
269,Leute::N,халык,జనులు
270,Volk::N,халык,జాతి
271,Arbeit::N,эш,పని
272,Arbeit::N,хезмәт,పని
273,Gast::N,кунак,అతిధి
274,Geschenk::N,бүләк,దానము
275,Spiel::N,уен,ఆట
276,Gesellschaft::N,җәмгыять,జట్టు
277,Hilfe::N,ярдәм,సాహాయ్యము
278,Hilfe::N,булышлык,సాహాయ్యము
279,Freund::N,дус,స్నేహితుడు
280,Kamerad::N,иптәш,చెలికాడు
281,Angelegenheit::N,эш,విషయము
282,Anzahl::N,микъдар,లెక్క
283,Art::N,төр,జాతి
284,Stück::N,кисәк,తునుక
285,Teil::N,өлеш,భాగము
286,Hälfte::N,ярым,సగము
287,Kreis::N,түгәрәк,వృత్తము
288,Kreuz::N,хач,సిలువ
289,Kreuz::N,тәре,సిలువ
290,Linie::N,сызык,గీత
291,Strich::N,сызык,గీత
292,Abstand::N,ара,సందు
293,Entfernung::N,ераклык,దూరము
294,Gegend::N,урын,విస్తీర్ణము
295,Platz::N,бушлык,ఎడము
296,Ort::N,урын,స్థలము
297,Seite::N,як,ప్రక్క
298,Mitte::N,урта,నడిమి
299,Gegenstand::N,нәрсә,పద్దు
300,Sache::N,нәрсә,వస్తువు
301,Rand::N,чит,అంచు
302,Kante::N,кырый,అంచు
303,Ecke::N,почмак,మూల
304,Spitze::N,оч,మొన
305,Ende::N,азак,కొన
306,Loch::N,тишек,రంధ్రము
307,Winkel::N,почмак,కోణము
308,Muster::N,парча,మాదిరి
309,Größe::N,зурлык,పరిమాణము
310,Länge::N,озынлык,పొడుగు
311,Höhe::N,биеклек,పొడుగు
312,Gewicht::N,авырлык,భారము
313,Menge::N,микъдар,మొత్తము
314,Haufen::N,өем,రాశి
315,Reihe::N,рәт,వరుస
316,Boot::N,каек,పడవ
317,Boot::N,көймә,పడవ
318,Ruder::N,ишкәк,అడక
319,Schlitten::N,чана,సరవండ్లు
320,Ski::N,чаңгы,స్కీ
