,Concept_ID,mn,de
0,Auge::N,нүд,Auge
1,Ohr::N,чих,Ohr
2,Nase::N,хамар,Nase
3,Mund::N,ам,Mund
4,Zahn::N,шүд,Zahn
5,Zunge::N,хэл,Zunge
6,Lippe::N,уруул,Lippe
7,Wange::N,хацар,Wange
8,Gesicht::N,царай,Gesicht
9,Gesicht::N,нүүр,Gesicht
10,Stirn::N,дух,Stirn
11,Haar::N,үс,Haar
12,Schnurrbart::N,дээд сахал,Schnurrbart
13,Schnurrbart::N,живэр сахал,Schnurrbart
14,Bart::N,сахал,Bart
15,Kinn::N,эрүү,Kinn
16,Kiefer[Anatomie]::N,эрүү,Kiefer
17,Kehle::N,хоолой,Kehle
18,Hals::N,хүзүү,Hals
19,Genick::N,шил,Genick
20,Genick::N,хүзүү,Genick
21,Kopf::N,толгой,Kopf
22,Rücken::N,ар,Rücken
23,Rücken::N,нуруу,Rücken
24,Bauch::N,хэвлий,Bauch
25,Bauch::N,гэдэс,Bauch
26,Nabel::N,хүйс,Nabel
27,Busen::N,хөх,Busen
28,Brust::N,цээж,Brust
29,Schulter::N,мөр,Schulter
30,Schulter::N,бугалга,Schulter
31,Arm::N,гар,Arm
32,Ellenbogen::N,тохой,Ellenbogen
33,Hand::N,гар,Hand
34,Hand::N,алга,Hand
35,Handfläche::N,алга,Handfläche
36,Finger::N,хуруу,Finger
37,Fingernagel::N,хурууны хумс,Fingernagel
38,Nagel[Anatomie]::N,хумс,Nagel
39,Zeh::N,хуруу,Zeh
40,Fuß::N,хөл,Fuß
41,Ferse::N,өсгий,Ferse
42,Knie::N,өвдөг,Knie
43,Oberschenkel::N,гуя,Oberschenkel
44,Bein::N,хөл,Bein
45,Körper::N,бие,Körper
46,Haut::N,арьс,Haut
47,Blut::N,цус,Blut
48,Ader::N,судас,Ader
49,Sehne::N,бүлх,Sehne
50,Sehne::N,шандас,Sehne
51,Knochen::N,яс,Knochen
52,Gehirn::N,тархи,Gehirn
53,Herz::N,зүрх,Herz
54,Magen::N,ходоод,Magen
55,Leber::N,элэг,Leber
56,Atem::N,амьсгаа,Atem
57,Hunger::N,өлсгөлөн,Hunger
58,Träne::N,нулимс,Träne
59,Geschmack::N,амт,Geschmack
60,Geruch::N,үнэр,Geruch
61,Schlaf::N,нойр,Schlaf
62,Traum::N,зүүд,Traum
63,Himmel::N,тэнгэр,Himmel
64,Himmel::N,огторгуй,Himmel
65,Sonne::N,нар,Sonne
66,Mond::N,сар,Mond
67,Stern::N,од,Stern
68,Luft::N,агаар,Luft
69,Wind::N,салхи,Wind
70,Welle::N,долгио,Welle
71,Welle::N,давалгаа,Welle
72,Wasser::N,ус,Wasser
73,Stein::N,чулуу,Stein
74,Boden::N,хөрс,Boden
75,Erde::N,газар,Erde
76,Erde::N,шороо,Erde
77,Staub::N,тоос,Staub
78,Rauch::N,утаа,Rauch
79,Funke::N,оч,Funke
80,Feuer::N,гал,Feuer
81,Licht::N,гэрэл,Licht
82,Licht::N,гэгээ,Licht
83,Schatten::N,сүүдэр,Schatten
84,Wetter::N,тэнгэр,Wetter
85,Wetter::N,цаг уур,Wetter
86,Nebel::N,будан,Nebel
87,Wolke::N,үүл,Wolke
88,Regen::N,бороо,Regen
89,Schnee::N,цас,Schnee
90,Eis::N,мөс,Eis
91,Frost::N,хүйт,Frost
92,Kälte::N,хүйт,Kälte
93,Hitze::N,халуун,Hitze
94,Raureif::N,цан,Raureif
95,Raureif::N,хяруу,Raureif
96,Regenbogen::N,солонго,Regenbogen
97,Donner::N,тэнгэрийн дуу,Donner
98,Strömung::N,урсгал,Strömung
99,Tropfen::N,дусал,Tropfen
100,Schaum::N,хөөс,Schaum
101,Schmutz::N,хир,Schmutz
102,Schmutz::N,шавхай,Schmutz
103,See::N,нуур,See
104,Sumpf::N,намаг,Sumpf
105,Sumpf::N,балчиг,Sumpf
106,Moor::N,хүлрийн намаг,Moor
107,Wiese::N,нуга,Wiese
108,Wald::N,ой,Wald
109,Hügel::N,болдог,Hügel
110,Anhöhe::N,гүвээ,Anhöhe
111,Berg::N,уул,Berg
112,Gipfel::N,орой,Gipfel
113,Gipfel::N,оргил,Gipfel
114,Höhle::N,агуй,Höhle
115,Abhang::N,хүр,Abhang
116,Quelle::N,булаг,Quelle
117,Bach::N,горхи,Bach
118,Fluss::N,гол,Fluss
119,Fluss::N,мөрөн,Fluss
120,Ufer::N,эрэг,Ufer
121,Küste::N,эрэг,Küste
122,Festland::N,хуурай газар,Festland
123,Meer::N,далай,Meer
124,Meer::N,тэнгис,Meer
125,Bucht::N,булан,Bucht
126,Bucht::N,далайн тохой,Bucht
127,Insel::N,арал,Insel
128,Blume::N,цэцэг,Blume
129,Gras::N,өвс,Gras
130,Gras::N,ногоо,Gras
131,Wurzel::N,үндэс,Wurzel
132,Baum::N,мод,Baum
133,Stamm::N,иш,Stamm
134,Stamm::N,гуалин,Stamm
135,Rinde::N,холтос,Rinde
136,Ast::N,гишүү,Ast
137,Zweig::N,салаа,Zweig
138,Blatt::N,навч,Blatt
139,Birke::N,хус,Birke
140,Kiefer[Baum]::N,нарс,Kiefer
141,Weide[Baum]::N,уд,Weide
142,Weide[Baum]::N,бургас,Weide
143,Tanne::N,гачуур,Tanne
144,Horn::N,эвэр,Horn
145,Feder::N,өд,Feder
146,Fell::N,арьс,Fell
147,Flügel::N,жигүүр,Flügel
148,Flügel::N,далавч,Flügel
149,Klaue::N,савар,Klaue
150,Klaue::N,хумс,Klaue
151,Kralle::N,савар,Kralle
152,Schwanz::N,сүүл,Schwanz
153,Ei::N,өндөг,Ei
154,Nest::N,үүр,Nest
155,Bau::N,нүх,Bau
156,Bau::N,элүү,Bau
157,Tier::N,амьтан,Tier
158,Tier::N,адгуус,Tier
159,Herde::N,сүрэг,Herde
160,Kuh::N,үнээ,Kuh
161,Bulle::N,бух,Bulle
162,Pferd::N,морь,Pferd
163,Pferd::N,адуу,Pferd
164,Schaf::N,хонь,Schaf
