,Concept_ID,la,la
0,Auge::N,oculus,oculus
1,Ohr::N,auris,auris
2,Nase::N,nasus,nasus
3,Mund::N,os,os
4,Zahn::N,dens,dens
5,Zunge::N,lingua,lingua
6,Lippe::N,labrum,labrum
7,Wange::N,gena,gena
8,Gesicht::N,vultus,vultus
9,Stirn::N,frons,frons
10,Haar::N,capillus,capillus
11,Schnurrbart::N,barba labri superioris,barba labri superioris
12,Bart::N,barba,barba
13,Kinn::N,mentum,mentum
14,Kiefer[Anatomie]::N,mala,mala
15,Kehle::N,iugulums,iugulums
16,Hals::N,collum,collum
17,Genick::N,cervices,cervices
18,Kopf::N,caput,caput
19,Rücken::N,tergum,tergum
20,Bauch::N,venter,venter
21,Nabel::N,umbilicus,umbilicus
22,Busen::N,sinus,sinus
23,Brust::N,pectus,pectus
24,Schulter::N,umerus,umerus
25,Arm::N,bracchium,bracchium
26,Ellenbogen::N,cubitum,cubitum
27,Hand::N,manus,manus
28,Handfläche::N,palma,palma
29,Finger::N,digitus,digitus
30,Fingernagel::N,unguiculus,unguiculus
31,Nagel[Anatomie]::N,unguis,unguis
32,Zeh::N,digitus,digitus
33,Fuß::N,pes,pes
34,Ferse::N,calx,calx
35,Knie::N,genu,genu
36,Oberschenkel::N,femur,femur
37,Bein::N,crus,crus
38,Körper::N,corpus,corpus
39,Haut::N,cutis,cutis
40,Haut::N,cutis,pellis
41,Haut::N,pellis,cutis
42,Haut::N,pellis,pellis
43,Blut::N,sanguis,sanguis
44,Ader::N,vena,vena
45,Sehne::N,nervus,nervus
46,Knochen::N,os,os
47,Gehirn::N,cerebrum,cerebrum
48,Herz::N,cor,cor
49,Herz::N,cor,animus
50,Herz::N,animus,cor
51,Herz::N,animus,animus
52,Magen::N,stomachus,stomachus
53,Leber::N,iecur,iecur
54,Atem::N,spiritus,spiritus
55,Hunger::N,fames,fames
56,Träne::N,lacrima,lacrima
57,Geschmack::N,sapor,sapor
58,Geschmack::N,sapor,gustus
59,Geschmack::N,gustus,sapor
60,Geschmack::N,gustus,gustus
61,Geruch::N,odor,odor
62,Schlaf::N,somnus,somnus
63,Traum::N,somnium,somnium
64,Himmel::N,caelum,caelum
65,Sonne::N,sol,sol
66,Mond::N,luna,luna
67,Stern::N,sidus,sidus
68,Stern::N,sidus,stella
69,Stern::N,stella,sidus
70,Stern::N,stella,stella
71,Luft::N,aer,aer
72,Wind::N,ventus,ventus
73,Welle::N,unda,unda
74,Wasser::N,aqua,aqua
75,Stein::N,lapis,lapis
76,Boden::N,solum,solum
77,Erde::N,terra,terra
78,Staub::N,pulvis,pulvis
79,Rauch::N,fumus,fumus
80,Funke::N,scintilla,scintilla
81,Feuer::N,ignis,ignis
82,Licht::N,lux,lux
83,Licht::N,lux,lumen
84,Licht::N,lumen,lux
85,Licht::N,lumen,lumen
86,Schatten::N,umbra,umbra
87,Wetter::N,caelum,caelum
88,Wetter::N,caelum,tempestas
