,Concept_ID,ca,tr
193,Schwarm::N,bandada,sürü
194,Huhn::N,gallina,tavuk
195,Hahn::N,gall,horoz
196,Gans::N,oca,kaz
197,Adler::N,àguila,kartal
198,Adler::N,àguila,karakuş
199,Ente::N,ànec,ördek
200,Eule::N,òliba,baykuş
201,Eule::N,mussol,baykuş
202,Kranich::N,grua,turna
203,Krähe::N,cornella,karga
204,Kuckuck::N,cucut,guguk
205,Schwan::N,cigne,kuğu
206,Fisch::N,peix,balık
207,Barsch::N,perca,hani
208,Barsch::N,perca,levrek
209,Hecht::N,lluç,turnabalığı
210,Schlange[Tier]::N,serp,yılan
211,Wurm::N,cuc,kurt
212,Wurm::N,cuc,solucan
213,Spinne::N,aranya,örümcek
214,Ameise::N,formiga,karınca
215,Laus::N,poll,bit
216,Mücke::N,mosquit,sivrisinek
217,Fliege::N,mosca,sinek
218,Schmetterling::N,papallona,kelebek
219,Beere::N,baia,tane
220,Apfel::N,poma,elma
221,Pilz::N,bolet,mantar
222,Zwiebel::N,ceba,soğan
223,Saat::N,sembra,ekin
224,Korn::N,gra,tane
225,Heu::N,fenc,kuru ot
226,Schale::N,closca,kabuk
227,Grube::N,sot,çukur
228,Grube::N,clot,çukur
229,Falle::N,trampa,tuzak
230,Schlinge::N,baga,ilmik
231,Spur::N,traça,iz
232,Asche::N,cendra,kül
233,Dreck::N,llot,pislik
234,Eisen::N,ferro,demir
235,Gold::N,or,altın
236,Silber::N,plata,gümüş
237,Kohle::N,carbó,kömür
238,Glas::N,vidre,cam
239,Lehm::N,fang,balçık
240,Lehm::N,argila,balçık
241,Sand::N,arena,kum
242,Mensch::N,humà,insan
243,Mensch::N,persona,insan
244,Mann::N,home,adam
245,Mann::N,home,erkek
246,Frau::N,dona,bayan
247,Kind::N,nen,çocuk
248,Junge::N,noi,erkek çocuk
249,Mädchen::N,noia,kız
250,Familie::N,família,aile
251,Großvater::N,avi,dede
252,Großvater::N,avi,büyükbaba
253,Großmutter::N,àvia,nine
254,Großmutter::N,àvia,büyükanne
255,Eltern::N,pares,ebeveyn
256,Eltern::N,pares,ana baba
257,Vater::N,pare,ata
258,Vater::N,pare,baba
259,Mutter::N,mare,ana
260,Mutter::N,mare,anne
261,Sohn::N,fill,oğul
262,Tochter::N,filla,kız
263,Tochter::N,filla,kız evlât
264,Bruder::N,germà,abi
265,Bruder::N,germà,erkek kardeş
266,Schwester::N,germana,abla
267,Schwester::N,germana,kız kardeş
268,Onkel::N,oncle,dayı
269,Tante::N,tia,hala
270,Tante::N,tia,teyze
271,Ehemann::N,espòs,koca
272,Ehefrau::N,muller,karı
273,Freude::N,goig,neşe
274,Freude::N,goig,sevinç
275,Freude::N,alegria,neşe
276,Freude::N,alegria,sevinç
277,Gelächter::N,riallada,gülme
278,Gelächter::N,riallada,kahkaha
279,Glück::N,felicitat,mutluluk
280,Kummer::N,pena,dert
281,Kummer::N,pena,keder
282,Wunsch::N,desig,arzu
283,Wunsch::N,desig,istek
284,Lust::N,ganes,arzu
285,Lust::N,ganes,heves
286,Geist::N,ment,tin
287,Geist::N,esperit,tin
288,Gedanke::N,pensament,fikir
289,Gedanke::N,pensament,düşünce
290,Gedächtnis::N,memòria,bellek
291,Verstand::N,raó,zekâ
292,Verstand::N,seny,zekâ
293,Sinn::N,solta,anlam
294,Sinn::N,sentit,anlam
295,Grund::N,raó,sebep
296,Grund::N,causa,sebep
297,Wahrheit::N,veritāt,doğruluk
298,Wahrheit::N,veritāt,gerçeklik
299,Gespräch::N,conversa,görüşme
300,Märchen::N,conte,masal
301,Erzählung::N,narració,öykü
302,Erzählung::N,narració,hikâye
303,Nachricht::N,missatge,haber
304,Neuigkeit::N,novetat,haber
305,Name::N,nom,ad
306,Name::N,nom,isim
