,Concept_ID,ro,et
0,Auge::N,ochi,silm
1,Ohr::N,ureche,kõrv
2,Nase::N,nas,nina
3,Mund::N,gură,suu
4,Zahn::N,dinte,hammas
5,Zunge::N,limbă,keel
6,Lippe::N,buză,huul
7,Wange::N,bucă,põsk
8,Wange::N,obraz,põsk
9,Gesicht::N,față,nägu
10,Gesicht::N,figură,nägu
11,Stirn::N,frunte,otsmik
12,Haar::N,păr,juus
13,Schnurrbart::N,mustață,vurrud
14,Schnurrbart::N,mustață,vuntsid
15,Bart::N,barbă,habe
16,Kinn::N,bărbie,lõug
17,Kiefer[Anatomie]::N,falcă,lõualuu
18,Kehle::N,beregată,kõri
19,Hals::N,gât,kael
20,Genick::N,ceafă,kukal
21,Kopf::N,cap,pea
22,Rücken::N,dos,selg
23,Rücken::N,spate,selg
24,Rücken::N,spinare,selg
25,Bauch::N,burtă,kõht
26,Bauch::N,pântece,kõht
27,Nabel::N,buric,naba
28,Busen::N,sân,rind
29,Brust::N,piept,rind
30,Schulter::N,umăr,õlg
31,Schulter::N,spate,õlg
32,Arm::N,braț,käsivars
33,Ellenbogen::N,cot,küünarnukk
34,Hand::N,mână,käsi
35,Handfläche::N,palmă,pihk
36,Finger::N,deget,sõrm
37,Fingernagel::N,unghie,küüs
38,Nagel[Anatomie]::N,unghie,küüs
39,Zeh::N,deget de la picior,varvas
40,Fuß::N,picior,jalg
41,Ferse::N,călcâi,kand
42,Knie::N,genunchi,põlv
43,Oberschenkel::N,coapsă,reis
44,Bein::N,picior,jalg
45,Körper::N,corp,ihu
46,Körper::N,corp,keha
47,Haut::N,piele,nahk
48,Blut::N,sânge,veri
49,Ader::N,vână,veen
50,Ader::N,arteră,veen
51,Sehne::N,tendon,kõõlus
52,Knochen::N,os,luu
53,Gehirn::N,creier,aju
54,Herz::N,inimă,süda
55,Magen::N,stomac,magu
56,Leber::N,ficat,maks
57,Atem::N,răsuflare,hingeõhk
58,Atem::N,răsuflare,hingamine
59,Atem::N,respirație,hingeõhk
60,Atem::N,respirație,hingamine
61,Hunger::N,foame,nälg
62,Träne::N,lacrimă,pisar
63,Geschmack::N,gust,maitse
64,Geruch::N,miros,lõhn
65,Schlaf::N,somn,uni
66,Traum::N,vis,unenägu
67,Himmel::N,cer,taevas
68,Sonne::N,soare,päike
69,Mond::N,lună,kuu
70,Stern::N,stea,täht
71,Luft::N,aer,õhk
