,Concept_ID,la,fr
0,Auge::N,oculus,œil
1,Ohr::N,auris,oreille
2,Nase::N,nasus,nez
3,Mund::N,os,bouche
4,Zahn::N,dens,dent
5,Zunge::N,lingua,langue
6,Lippe::N,labrum,lèvre
7,Wange::N,gena,joue
8,Gesicht::N,vultus,face
9,Gesicht::N,vultus,visage
10,Stirn::N,frons,front
11,Haar::N,capillus,cheveu
12,Schnurrbart::N,barba labri superioris,moustache
13,Bart::N,barba,barbe
14,Kinn::N,mentum,menton
15,Kiefer[Anatomie]::N,mala,mâchoire
16,Kehle::N,iugulums,gorge
17,Hals::N,collum,cou
18,Genick::N,cervices,nuque
19,Kopf::N,caput,tête
20,Rücken::N,tergum,dos
21,Bauch::N,venter,ventre
22,Nabel::N,umbilicus,nombril
23,Busen::N,sinus,sein
24,Brust::N,pectus,poitrine
25,Schulter::N,umerus,épaule
26,Arm::N,bracchium,bras
27,Ellenbogen::N,cubitum,coude
28,Hand::N,manus,main
29,Handfläche::N,palma,paume
30,Finger::N,digitus,doigt
31,Fingernagel::N,unguiculus,ongle
32,Nagel[Anatomie]::N,unguis,ongle
33,Zeh::N,digitus,orteil
34,Zeh::N,digitus,doigt de pied
35,Fuß::N,pes,pied
36,Ferse::N,calx,talon
37,Knie::N,genu,genou
38,Oberschenkel::N,femur,cuisse
39,Bein::N,crus,jambe
40,Körper::N,corpus,corps
41,Haut::N,cutis,peau
42,Haut::N,pellis,peau
43,Blut::N,sanguis,sang
44,Ader::N,vena,veine
45,Sehne::N,nervus,tendon
46,Knochen::N,os,os
47,Gehirn::N,cerebrum,cerveau
48,Herz::N,cor,cœur
49,Herz::N,animus,cœur
50,Magen::N,stomachus,estomac
51,Leber::N,iecur,foie
52,Atem::N,spiritus,haleine
53,Hunger::N,fames,faim
54,Träne::N,lacrima,larme
55,Geschmack::N,sapor,goût
56,Geschmack::N,sapor,saveur
57,Geschmack::N,gustus,goût
58,Geschmack::N,gustus,saveur
59,Geruch::N,odor,odeur
60,Schlaf::N,somnus,sommeil
61,Traum::N,somnium,songe
62,Himmel::N,caelum,ciel
63,Sonne::N,sol,soleil
64,Mond::N,luna,lune
65,Stern::N,sidus,étoile
66,Stern::N,stella,étoile
67,Luft::N,aer,air
68,Wind::N,ventus,vent
69,Welle::N,unda,vague
70,Wasser::N,aqua,eau
71,Stein::N,lapis,pierre
72,Boden::N,solum,sol
73,Boden::N,solum,terrain
74,Erde::N,terra,terre
75,Staub::N,pulvis,poussière
76,Rauch::N,fumus,fumée
77,Funke::N,scintilla,étincelle
78,Feuer::N,ignis,feu
79,Licht::N,lux,lumière
80,Licht::N,lumen,lumière
81,Schatten::N,umbra,ombre
82,Wetter::N,caelum,temps
83,Wetter::N,tempestas,temps
84,Nebel::N,nebula,brume
85,Nebel::N,nebula,brouillard
86,Wolke::N,nubes,nuage
87,Regen::N,imber,pluie
88,Regen::N,pluvia,pluie
89,Schnee::N,nix,neige
90,Eis::N,glacies,glace
91,Frost::N,gelu,gel
92,Frost::N,gelu,gelée
93,Kälte::N,frigus,froid
94,Hitze::N,calor,chaleur
95,Hitze::N,aestus,chaleur
96,Raureif::N,pruina,givre
97,Regenbogen::N,arcus,arc-en-ciel
98,Donner::N,tonitrus,tonnerre
99,Strömung::N,fluctus,courant
100,Tropfen::N,gutta,goutte
101,Schaum::N,spuma,écume
102,Schaum::N,spuma,mousse
103,Schmutz::N,sordes,boue
104,Schmutz::N,sordes,saleté
105,Schmutz::N,squalor,boue
106,Schmutz::N,squalor,saleté
107,See::N,lacus,lac
108,Sumpf::N,palus,marais
109,Sumpf::N,palus,marécage
110,Moor::N,palus,tourbière
111,Wiese::N,pratum,pré
112,Wald::N,silva,bois
113,Wald::N,silva,forêt
114,Hügel::N,collis,coteau
115,Hügel::N,collis,colline
116,Anhöhe::N,specula,éminence
117,Anhöhe::N,specula,élévation
118,Berg::N,mons,mont
119,Berg::N,mons,montagne
120,Gipfel::N,vertex,cime
121,Gipfel::N,vertex,sommet
122,Höhle::N,caverna,caverne
123,Höhle::N,spelunca,caverne
124,Abhang::N,declivum,pente
125,Abhang::N,declivum,versant
126,Quelle::N,fons,source
127,Quelle::N,fons,fontaine
128,Bach::N,rivus,ruisseau
129,Fluss::N,flumen,fleuve
130,Fluss::N,flumen,rivière
131,Ufer::N,ripa,bord
132,Ufer::N,ripa,rivage
133,Küste::N,litus,côte
134,Festland::N,continens,terre ferme
135,Meer::N,mare,mer
136,Bucht::N,sinus,baie
137,Insel::N,insula,île
138,Blume::N,flos,fleur
139,Gras::N,herba,herbe
140,Gras::N,gramen,herbe
141,Wurzel::N,radix,racine
142,Baum::N,arbor,arbre
143,Stamm::N,truncus,tronc
144,Rinde::N,cortex,écorce
145,Ast::N,ramus,branche
146,Zweig::N,ramus,rameau
147,Blatt::N,folium,feuille
148,Birke::N,betulla,bouleau
149,Kiefer[Baum]::N,pinus,pin
150,Weide[Baum]::N,salix,saule
151,Tanne::N,abies,sapin
152,Horn::N,cornu,corne
153,Feder::N,penna,plume
154,Fell::N,pellis,peau
155,Flügel::N,ala,aile
156,Klaue::N,unguis,serre
157,Kralle::N,unguis,ongle
158,Kralle::N,unguis,griffe
159,Schwanz::N,cauda,queue
160,Ei::N,ovum,œuf
161,Nest::N,nidus,nid
162,Bau::N,cavum,terrier
163,Bau::N,latibulum,terrier
164,Tier::N,bestia,animal
165,Herde::N,grex,troupeau
166,Kuh::N,vacca,vache
167,Bulle::N,taurus,taureau
168,Pferd::N,equus,cheval
169,Schaf::N,ovis,mouton
170,Schwein::N,sus,porc
171,Schwein::N,sus,cochon
172,Schwein::N,porcus,porc
173,Schwein::N,porcus,cochon
174,Hund::N,canis,chien
175,Katze::N,felis,chat
176,Bär::N,ursus,ours
177,Eichhörnchen::N,sciurus,écureuil
178,Elch::N,alces,élan
179,Fuchs::N,vulpes,renard
180,Hase::N,lepus,lièvre
181,Maus::N,mus,souris
182,Wolf::N,lupus,loup
183,Vogel::N,avis,oiseau
184,Schwarm::N,examen,nuée
185,Schwarm::N,examen,volée
186,Huhn::N,gallina,poule
187,Hahn::N,gallus,coq
188,Gans::N,anser,oie
189,Adler::N,aquila,aigle
190,Ente::N,anas,canard
191,Eule::N,ulula,hibou
192,Eule::N,noctua,hibou
193,Kranich::N,grus,grue
194,Krähe::N,cornix,corneille
195,Kuckuck::N,cuculus,coucou
196,Schwan::N,olor,cygne
197,Schwan::N,cycnus,cygne
198,Fisch::N,piscis,poisson
199,Barsch::N,perca,perche
200,Hecht::N,esox,brochet
201,Schlange[Tier]::N,serpens,serpent
202,Wurm::N,vermis,ver
203,Spinne::N,aranea,araignée
204,Ameise::N,formica,fourmi
205,Laus::N,pediculus,pou
206,Mücke::N,culex,moucheron
207,Fliege::N,musca,mouche
208,Schmetterling::N,papilio,papillon
209,Beere::N,baca,baie
210,Apfel::N,malum,pomme
211,Pilz::N,fungus,champignon
212,Zwiebel::N,cepa,oignon
213,Saat::N,seges,semence
214,Korn::N,granum,grain
215,Heu::N,faenum,foin
216,Schale::N,putamen,pelure
217,Grube::N,fovea,fosse
218,Falle::N,pedica,piège
219,Schlinge::N,laqueus,lacs
220,Spur::N,vestigium,trace
221,Asche::N,cinis,cendre
222,Dreck::N,lutum,crotte
223,Eisen::N,ferrum,fer
224,Gold::N,aurum,or
225,Silber::N,argentum,argent
226,Kohle::N,carbo,charbon
227,Glas::N,vitrum,verre
228,Lehm::N,lutum,glaise
229,Sand::N,arena,sable
230,Mensch::N,homo,homme
231,Mann::N,vir,homme
232,Frau::N,mulier,femme
233,Kind::N,puer,enfant
234,Kind::N,infans,enfant
235,Junge::N,puer,garçon
236,Mädchen::N,puella,fille
237,Mädchen::N,puella,jeune fille
238,Familie::N,familia,famille
239,Großvater::N,avus,grand-père
240,Großmutter::N,avia,grand-mère
241,Eltern::N,parentes,parents
242,Vater::N,pater,père
243,Mutter::N,mater,mère
244,Sohn::N,filius,fils
245,Tochter::N,filia,fille
246,Bruder::N,frater,frère
247,Schwester::N,soror,sœur
248,Onkel::N,patruus,oncle
249,Onkel::N,avunculus,oncle
250,Tante::N,amita,tante
251,Ehemann::N,maritus,mari
252,Ehemann::N,maritus,époux
253,Ehefrau::N,uxor,femme
254,Ehefrau::N,uxor,épouse
255,Freude::N,gaudium,joie
256,Freude::N,gaudium,plaisir
