,Concept_ID,sl,bg
0,Auge::N,okó,око
1,Ohr::N,uhó,ухо
2,Nase::N,nós,нос
3,Mund::N,ústa,уста
4,Zahn::N,zób,зъб
5,Zunge::N,jêzik,език
6,Lippe::N,ústnica,устна
7,Wange::N,líce,буза
8,Gesicht::N,oblíčje,лице
9,Gesicht::N,oblíčje,образ
10,Stirn::N,čêlo,чело
11,Haar::N,lás,коса
12,Haar::N,lás,косъм
13,Schnurrbart::N,bŕki,мустаци
14,Bart::N,bráda,брада
15,Kinn::N,bráda,брада
16,Kinn::N,bráda,брадичка
17,Kiefer[Anatomie]::N,čeljúst,челюст
18,Kehle::N,gŕlo,гърло
19,Hals::N,vrát,врат
20,Genick::N,zatílnik,тил
21,Kopf::N,gláva,глава
22,Rücken::N,hrbèt,гръб
23,Bauch::N,trébuh,корем
24,Nabel::N,pópek,пъп
25,Busen::N,nédrja,бозка
26,Brust::N,pŕsi,гръд
27,Schulter::N,ráma,рамо
28,Schulter::N,ráma,плещи
29,Schulter::N,plêče,рамо
30,Schulter::N,plêče,плещи
31,Arm::N,rôka,ръка
32,Ellenbogen::N,komólec,лакът
33,Hand::N,rôka,ръка
34,Hand::N,rôka,китка
35,Handfläche::N,dlán,длан
36,Finger::N,pŕst,пръст
37,Fingernagel::N,nóht na rôki,нокът
38,Nagel[Anatomie]::N,nóht,нокът
39,Zeh::N,pŕst na nôgi,пръст на крак
40,Fuß::N,nôga,крак
41,Fuß::N,nôga,нога
42,Ferse::N,pêta,пета
43,Knie::N,koléno,коляно
44,Oberschenkel::N,stêgno,бедро
45,Bein::N,nôga,крак
46,Bein::N,nôga,нога
47,Körper::N,teló,тяло
48,Haut::N,kóža,кожа
49,Blut::N,krí,кръв
50,Ader::N,žíla,вена
51,Ader::N,žíla,артерия
52,Sehne::N,kíta,жила
53,Sehne::N,kíta,сухожилие
54,Knochen::N,kóst,кост
55,Gehirn::N,možgáni,мозък
56,Herz::N,srcé,сърце
57,Magen::N,želódec,стомах
58,Leber::N,jétra,черен дроб
59,Atem::N,díh,дишане
60,Hunger::N,glád,глад
61,Träne::N,sólza,сълза
62,Geschmack::N,okús,вкус
63,Geruch::N,vónj,миризма
64,Schlaf::N,sèn,сън
65,Schlaf::N,spánec,сън
66,Traum::N,sánje,сън
67,Himmel::N,nebó,небе
68,Sonne::N,sónce,слънце
69,Mond::N,lúna,луна
70,Mond::N,lúna,месец
71,Mond::N,mésec,луна
72,Mond::N,mésec,месец
73,Stern::N,zvézda,звезда
74,Luft::N,zràk,въздух
75,Wind::N,véter,вятър
76,Welle::N,vál,вълна
77,Wasser::N,vôda,вода
78,Stein::N,kámen,камък
79,Boden::N,tlà,земя
80,Boden::N,tlà,почва
81,Erde::N,pŕst,земя
82,Erde::N,pŕst,почва
83,Erde::N,zêmlja,земя
84,Erde::N,zêmlja,почва
85,Staub::N,práh,прах
86,Rauch::N,dìm,дим
87,Rauch::N,dìm,пушек
