,Concept_ID,os,te
0,Auge::N,цӕст,కన్ను
1,Ohr::N,хъус,చెవి
2,Nase::N,фындз,ముక్కు
3,Mund::N,дзых,నోరు
4,Zahn::N,дӕндаг,పల్లు
5,Zunge::N,ӕвзаг,నాలుక
6,Lippe::N,был,పెదవి
7,Wange::N,рус,చెంప
8,Wange::N,уадул,చెంప
9,Wange::N,ӕхсӕрфарс,చెంప
10,Gesicht::N,цӕсгом,ముఖము
11,Stirn::N,ных,నుదురు
12,Haar::N,хил,వెండ్రుక
13,Schnurrbart::N,рихи,మీసము
14,Bart::N,зачъе,గడ్డము
15,Kinn::N,роцъо,గడ్డము
16,Kiefer[Anatomie]::N,ӕфсӕр,దౌడ
17,Kehle::N,хъуыр,గొంతు
18,Hals::N,къубал,మెడ
19,Genick::N,къӕбут,మూపు
20,Kopf::N,сӕр,తల
21,Rücken::N,фӕсонтӕ,వెన్ను
22,Bauch::N,гуыбын,కడుపు
23,Nabel::N,бикъ,బొడ్డు
24,Busen::N,дзидзи,స్తనము
25,Brust::N,риу,ఱొమ్ము
26,Schulter::N,уӕхск,భుజము
27,Arm::N,цонг,చేయి
28,Ellenbogen::N,рæмбын,మోచేయి
29,Hand::N,къух,చేయి
30,Handfläche::N,армытъӕпӕн,అరచేయు
31,Finger::N,ӕнруылдз,చేతిప్రేలు
32,Fingernagel::N,ных,గోరు
33,Nagel[Anatomie]::N,ных,గోరు
34,Zeh::N,къух,కాలిప్రేలు
35,Fuß::N,фад,అడుగు
36,Ferse::N,зӕвӕт,మడమ
37,Knie::N,уӕраг,మోకాలు
38,Oberschenkel::N,агъд,తొడ
39,Bein::N,зӕнг,కాలు
40,Körper::N,буар,కాయము
41,Haut::N,царм,చర్మము
42,Blut::N,туг,రక్తము
43,Ader::N,дадзин,సిర
44,Ader::N,тугдадзин,సిర
45,Sehne::N,хъиутæ,స్నాయువు
46,Sehne::N,нуар,స్నాయువు
47,Knochen::N,стӕг,ఎముక
48,Gehirn::N,магъз,మెదడు
49,Herz::N,зӕрдӕ,హృదయము
50,Magen::N,ахсӕн,కడుపు
51,Leber::N,игæр,కాలేయము
52,Atem::N,улӕфт,ఉపిరి
53,Hunger::N,стонг,ఆకలి
54,Träne::N,цæссыг,కన్నీటిచుక్క
55,Geschmack::N,ад,రుచి
56,Geruch::N,смаг,వాసన
57,Schlaf::N,хуыссӕг,నిద్ర
58,Traum::N,фын,కల
59,Himmel::N,арв,ఆకాశము
60,Himmel::N,уӕларв,ఆకాశము
61,Sonne::N,хур,సూర్యుడు
62,Mond::N,мӕй,చంద్రుడు
63,Stern::N,стъалы,నక్షత్రము
64,Luft::N,уӕлдӕф,గాలి
65,Wind::N,дымгӕ,వీచుచున్నగాలి
