,Concept_ID,ps,ka
0,Auge::N,سترګه,თვალი
1,Ohr::N,غوږ,ყური
2,Nase::N,پوزه,ცხვირი
3,Mund::N,خوله,პირი
4,Zahn::N,غاښ,კბილი
5,Zunge::N,جبه,ენა
6,Lippe::N,شونډه,ბაგე
7,Wange::N,باړخو,ლოყა
8,Gesicht::N,مخ,სახე
9,Stirn::N,تندی,შუბლი
10,Stirn::N,وچولی,შუბლი
11,Haar::N,وېښته,თმა
12,Schnurrbart::N,برېت,ულვაში
13,Bart::N,ږیره,წვერი
14,Kinn::N,زنه,ნიკაპი
15,Kiefer[Anatomie]::N,جامه,ყბა
16,Kehle::N,غاړه,ყელი
17,Hals::N,غاړه,ყელი
18,Hals::N,غاړه,კისერი
19,Genick::N,ورمېږ,კეფა
20,Kopf::N,سر,თავი
21,Rücken::N,شا,ზურგი
22,Bauch::N,نس,მუცელი
23,Bauch::N,ګېډه,მუცელი
24,Nabel::N,نوم,ჭიპი
25,Busen::N,تی,ძუძუ
26,Brust::N,سینه,მკერდი
27,Schulter::N,اوږه,მხარი
28,Schulter::N,اوږه,მკლავი
29,Arm::N,لاس,ხელი
30,Ellenbogen::N,څنګل,იდაყვი
31,Hand::N,لاس,ხელი
32,Handfläche::N,ورغوی,ნები
33,Handfläche::N,ورغوی,ხელისგული
34,Finger::N,ګوته,თითი
35,Fingernagel::N,نوک,ფრჩხილი
36,Nagel[Anatomie]::N,نوک,ფრჩხილი
37,Zeh::N,ګوته,ფეხის თითი
38,Fuß::N,پښه,ტერფი
39,Fuß::N,پښه,ფეხისგული
40,Ferse::N,پونده,ქუსლი
41,Knie::N,زنګون,მუხლი
42,Oberschenkel::N,پتون,ბარძაყი
43,Bein::N,پښه,ფეხი
44,Körper::N,ځان,ტანი
45,Körper::N,ځان,სხეული
46,Haut::N,پوټکی,კანი
47,Blut::N,وینه,სისხლი
48,Ader::N,رګ,ძარღვი
49,Sehne::N,پله,მყესი
50,Knochen::N,هډوکی,ძვალი
51,Gehirn::N,ماغزه,ტვინი
52,Herz::N,زړه,გული
53,Magen::N,معده,კუჭი
54,Leber::N,ينه,ღვიძლი
55,Leber::N,ځیګر,ღვიძლი
56,Atem::N,نفس,სუნთქვა
57,Hunger::N,ولږه,შიმშილი
58,Träne::N,اوښکه,ცრემლი
59,Geschmack::N,مزه,გემო
60,Geschmack::N,خوند,გემო
61,Geruch::N,بوی,სუნი
62,Schlaf::N,خوب,ძილი
63,Traum::N,خوب,სიზმარი
64,Himmel::N,اسمان,ცა
65,Sonne::N,لمر,მზე
66,Mond::N,سپوږمۍ,მთვარე
67,Stern::N,ستوری,ვარსკვლავი
68,Luft::N,هوا,ჰაერი
69,Wind::N,ورښ,ქარი
70,Welle::N,موج,ტალღა
71,Wasser::N,اوبه,წყალი
72,Stein::N,ډبره,ქვა
73,Boden::N,مځکه,მიწა
74,Erde::N,خاوره,ნიადაგი
75,Staub::N,ګرد,მტვერი
76,Staub::N,خاوره,მტვერი
77,Rauch::N,دود,ბოლი
78,Rauch::N,دود,კვამლი
79,Rauch::N,لوګی,ბოლი
80,Rauch::N,لوګی,კვამლი
81,Funke::N,سپرغۍ,ნაკვესი
82,Feuer::N,اور,ცეცხლი
83,Licht::N,رڼا,შუქი
84,Licht::N,رڼا,სინათლე
85,Schatten::N,سیوری,ლანდი
86,Schatten::N,سیوری,ჩრდილი
87,Wetter::N,هوا,ამინდი
88,Nebel::N,لړه,ნისლი
89,Wolke::N,ورېځ,ღრუბელი
90,Regen::N,وریا,წვიმა
91,Regen::N,باران,წვიმა
92,Schnee::N,واوره,თოვლი
93,Eis::N,یخ,თოში
94,Eis::N,یخ,ყინული
95,Eis::N,کنګل,თოში
96,Eis::N,کنګل,ყინული
97,Frost::N,یخ,ყინვა
98,Kälte::N,ساړه,სიცივე
99,Hitze::N,تودوخي,სიცხე
100,Raureif::N,سپینه پرخه,ჭირხლი
101,Raureif::N,سپینه پرخه,თრთვილი
102,Regenbogen::N,بوډۍ ټال,ცისარტყელა
103,Regenbogen::N,سره زرغونه,ცისარტყელა
104,Donner::N,تالنده,ქუხილი
105,Strömung::N,بهېدنه,დინება
106,Tropfen::N,قطره,წვეთი
107,Tropfen::N,څاڅکی,წვეთი
108,Schaum::N,ځګ,ქაფი
109,Schaum::N,ځګ,დორბლი
110,Schmutz::N,ناپاکي,ჭუჭყი
111,Schmutz::N,ناپاکي,ტალახი
112,See::N,جهیل,ტბა
113,Sumpf::N,جبه,ჭაობი
114,Moor::N,جبه,ტორფნარი
115,Wiese::N,چمن,ველი
116,Wiese::N,چمن,მდელო
117,Wiese::N,شنېلی,ველი
118,Wiese::N,شنېلی,მდელო
119,Wald::N,ځنګل,ტყე
120,Hügel::N,تپه,ბორცვი
121,Anhöhe::N,غونډۍ,მაღლობი
122,Berg::N,غ‍‍‍‍‍ر,მთა
123,Gipfel::N,څوکه,მწვერვალი
124,Höhle::N,کاز,მღვიმე
125,Höhle::N,کاز,გამოქვებული
126,Abhang::N,لمن,ფერდობი
127,Quelle::N,چینه,წყარო
128,Quelle::N,چینه,სათავე
129,Bach::N,واله,რუ
130,Bach::N,واله,ნაკადული
131,Fluss::N,سیند,მდინარე
132,Ufer::N,غاړه,კიდე
133,Ufer::N,غاړه,ნაპირი
134,Küste::N,ساحل,ნაპირი
135,Festland::N,وچه,ხმელეთი
136,Meer::N,بحر,ზღვა
137,Meer::N,سمندر,ზღვა
138,Bucht::N,کارۍ,ყურე
139,Insel::N,ټاپو,კუნძული
140,Insel::N,جزيره,კუნძული
141,Blume::N,ګل,ყვავილი
142,Gras::N,واښه,ბალახი
143,Wurzel::N,ریښه,ძირი
144,Wurzel::N,ریښه,ფესვი
145,Baum::N,ونه,ხე
146,Stamm::N,ډډ,ტანი
147,Rinde::N,پوستکی,ქერქი
148,Ast::N,ښاخ,ტოტი
149,Zweig::N,څانګه,შტო
150,Blatt::N,پاڼه,ფოთოლი
151,Birke::N,توس,არყი
152,Kiefer[Baum]::N,نښتر,ფიჭვი
153,Weide[Baum]::N,وله,ტირიფი
154,Tanne::N,ناجو,ნაძვი
155,Horn::N,ښکر,რქა
156,Feder::N,بڼکه,ფრთა
157,Fell::N,پوستکی,ტყავი
158,Flügel::N,وزر,ფრთა
159,Klaue::N,پنجه,კლანჭი
160,Klaue::N,منګول,კლანჭი
161,Kralle::N,پنجه,ტორი
162,Kralle::N,منګول,ტორი
163,Schwanz::N,لکۍ,კუდი
164,Ei::N,وۍ,კვერცხი
165,Ei::N,هګۍ,კვერცხი
166,Nest::N,جاله,ბუდე
167,Bau::N,کاز,სორო
168,Tier::N,ژوی,ნადირი
169,Tier::N,ژوی,ცხოველი
170,Tier::N,حیوان,ნადირი
171,Tier::N,حیوان,ცხოველი
172,Herde::N,رمه,ფარა
173,Herde::N,غېله,ფარა
174,Kuh::N,غوا,ფური
175,Kuh::N,غوا,ძროხა
176,Bulle::N,غوئی,ხარი
177,Pferd::N,آس,რაში
178,Pferd::N,آس,ცხენი
179,Schaf::N,پسه,ცხვარი
180,Schwein::N,سرکوزی,ღორი
181,Hund::N,سپی,ძაღლი
182,Katze::N,پشه,კატა
183,Bär::N,خرس,დათვი
184,Eichhörnchen::N,خړ لمی,ციყვი
185,Elch::N,ګوزن,ცხენ-ირემი
186,Fuchs::N,سپلم,მელა
187,Hase::N,سوی,კურდღელი
188,Maus::N,مږک,თაგვი
189,Wolf::N,لېوه,მგელი
190,Vogel::N,مرغه,ჩიტი
191,Vogel::N,مرغه,ფრინველი
192,Schwarm::N,سېل,გუნდი
193,Huhn::N,چرګه,დედალი
194,Hahn::N,چرګ,მამალი
195,Gans::N,بته,ბატი
196,Adler::N,عقاب,არწივი
197,Ente::N,ایلۍ,იხვი
198,Eule::N,ګونګی,ბუ
199,Kranich::N,کلنګ,წერო
200,Krähe::N,کارغه,ყვავი
201,Kuckuck::N,فاخته,გუგული
202,Schwan::N,قو,გედი
203,Fisch::N,کب,თევზი
204,Fisch::N,ماهی,თევზი
205,Schlange[Tier]::N,مار,გველი
206,Wurm::N,چینجی,ჭია
207,Spinne::N,غڼه,ობობა
208,Spinne::N,تارکښ,ობობა
209,Ameise::N,مېږی,ჭიანჭველა
210,Laus::N,سپږه,ტილი
211,Laus::N,سپږه,მკბენარი
212,Mücke::N,ماشی,კოღო
213,Fliege::N,مچ,ბუზი
214,Schmetterling::N,پتنګ,პეპელა
215,Beere::N,مېوۍ,კენკრა
216,Apfel::N,مڼه,ვაშლი
217,Pilz::N,خرېړی,სოკო
218,Zwiebel::N,پیاز,ხახვი
219,Saat::N,تخم,თესლი
220,Korn::N,تخم,მარცვალი
221,Korn::N,دانه,მარცვალი
222,Heu::N,بوس,თივა
223,Heu::N,پروړه,თივა
224,Schale::N,پوستکی,ჩენჩო
225,Grube::N,کنده,ორმო
226,Falle::N,دام,ხაფანგი
227,Falle::N,لومه,ხაფანგი
228,Schlinge::N,کړۍ,მახე
229,Spur::N,نښه,კვალი
230,Asche::N,آس,ფერფლი
231,Asche::N,ایره,ფერფლი
232,Dreck::N,ناپاکي,ტალახი
233,Dreck::N,ناپاکي,სიბინძურე
234,Eisen::N,اوسپنه,რკინა
235,Gold::N,سره زر,ოქრო
236,Silber::N,نقره,ვერცხლი
237,Silber::N,سپین زر,ვერცხლი
238,Kohle::N,سکور,ნახშირი
239,Kohle::N,سکاره,ნახშირი
240,Glas::N,ښيښه,მინა
241,Lehm::N,خټه,თიხა
242,Sand::N,شګه,ქვიშა
243,Mensch::N,انسان,ადამიანი
244,Mann::N,سړی,კაცი
245,Mann::N,نارینه,კაცი
246,Frau::N,ښځه,ქალი
247,Kind::N,بچی,ბავშვი
248,Kind::N,ماشوم,ბავშვი
249,Junge::N,هلک,ვაჟი
250,Mädchen::N,نجلۍ,გოგო
251,Familie::N,کورنۍ,ოჯახი
252,Großvater::N,بابا,პაპა
253,Großvater::N,بابا,ბაბუა
254,Großmutter::N,انا,ბებია
255,Großmutter::N,انا,დიდედა
256,Eltern::N,مور او پلار,მშობლები
257,Vater::N,پلار,მამა
258,Mutter::N,مور,დედა
259,Sohn::N,زوی,ვაჟიშვილი
260,Tochter::N,لور,ქალიშვილი
261,Bruder::N,ورور,ძმა
262,Schwester::N,خور,და
263,Onkel::N,تره,ბიძა
264,Onkel::N,ماما,ბიძა
265,Tante::N,خاله,დეიდა
