,Concept_ID,ady,os
0,Auge::N,нэ,цӕст
1,Ohr::N,тхьакӏу́м,хъус
2,Nase::N,пэ,фындз
3,Mund::N,жэ,дзых
4,Zahn::N,цэ,дӕндаг
5,Zunge::N,бзэгу,ӕвзаг
6,Lippe::N,ӏупшӏэ́,был
7,Wange::N,нэкӏу́шъу,рус
8,Wange::N,нэкӏу́шъу,уадул
9,Wange::N,нэкӏу́шъу,ӕхсӕрфарс
10,Gesicht::N,нэ́гу,цӕсгом
11,Stirn::N,натӏэ́,ных
12,Haar::N,шъхьацы́,хил
13,Bart::N,жакӏэ́,зачъе
14,Kinn::N,жэкӏэпэпкъ,роцъо
15,Kiefer[Anatomie]::N,жэпкъы́,ӕфсӕр
16,Kehle::N,чый,хъуыр
17,Hals::N,пшъэ,къубал
18,Genick::N,шъхьэпхэтыку,къӕбут
19,Kopf::N,шъхьэ́,сӕр
20,Rücken::N,кӏыбы́,фӕсонтӕ
21,Bauch::N,ныбэ́,гуыбын
22,Busen::N,бгъэ́,дзидзи
23,Brust::N,бгъэ́,риу
24,Schulter::N,блыпкъ,уӕхск
25,Arm::N,ӏэ,цонг
26,Ellenbogen::N,ӏэнтэ́гъу,рæмбын
27,Hand::N,ӏэтхьэцу,къух
28,Handfläche::N,ӏэ́гу,армытъӕпӕн
29,Finger::N,ӏэхъуа́мб,ӕнруылдз
30,Fingernagel::N,ӏэбжъа́н,ных
31,Nagel[Anatomie]::N,ӏэбжъа́н,ных
32,Zeh::N,ӏэхъуа́мб,къух
33,Fuß::N,лъэгу,фад
34,Ferse::N,лъэдакъэ,зӕвӕт
35,Knie::N,лъагуа́ндж,уӕраг
36,Oberschenkel::N,ко,агъд
37,Bein::N,лъакъо́,зӕнг
38,Körper::N,пкъышъол,буар
39,Haut::N,кӏы́шъу,царм
40,Blut::N,лъы,туг
41,Ader::N,льытф,дадзин
42,Ader::N,льытф,тугдадзин
43,Sehne::N,фэ,хъиутæ
44,Sehne::N,фэ,нуар
45,Knochen::N,къупшъхьэ́,стӕг
46,Gehirn::N,куцӏы,магъз
47,Herz::N,гу,зӕрдӕ
48,Magen::N,мышкӏу,ахсӕн
49,Leber::N,шӏу,игæр
50,Atem::N,къэщэныр,улӕфт
51,Hunger::N,гъаблэ́,стонг
52,Träne::N,нэпсы,цæссыг
53,Geschmack::N,ӏэшӏугъа́кӏ,ад
54,Geruch::N,мэ,смаг
55,Schlaf::N,пчыхьы́пӏ,хуыссӕг
56,Traum::N,пчыхьы́пӏ,фын
57,Himmel::N,уашъо́,арв
58,Himmel::N,уашъо́,уӕларв
59,Sonne::N,тыгъэ,хур
60,Mond::N,мазэ,мӕй
61,Stern::N,жъуагъо́,стъалы
62,Luft::N,жьы,уӕлдӕф
63,Wind::N,жьыбгъэ́,дымгӕ
64,Welle::N,ор,уылӕн
65,Welle::N,оры,уылӕн
66,Wasser::N,псы,дон
67,Stein::N,мыжъо́,дур
68,Boden::N,чӏ́ыгу,зӕхх
69,Erde::N,чӏ́ыгу,сыджыт
70,Staub::N,сап,рыг
71,Rauch::N,ӏугъо́,фӕздӕг
72,Funke::N,мэшӏуа́ч,цӕхӕр
73,Feuer::N,машӏо́,зынг
74,Licht::N,нэфы,рухс
75,Licht::N,нэфын,рухс
76,Schatten::N,жьау́,аууон
77,Schatten::N,ныбжьыкъу,аууон
78,Nebel::N,пща́гъу,мигъ
79,Wolke::N,ошъуапщэ,ӕврагъ
80,Regen::N,ощхы,уарын
81,Schnee::N,осы́,мит
82,Eis::N,мылы,их
83,Kälte::N,чъыӏэ́,уазал
84,Hitze::N,фэба́е,ӕнтӕф
85,Regenbogen::N, лэгъупэкъо́пс,арвырон
86,Regenbogen::N, лэгъупэкъо́пс,арвырдын
87,Donner::N,шыблэ́,æрвнæрын
88,Strömung::N,ток,цыд
89,Tropfen::N,ткӏопс,æртах
90,Tropfen::N,гъуаткӏу,æртах
91,Schaum::N,тхъурбэ,фынк
92,Schmutz::N,псынжъы,цъыф
93,See::N,хыку́м,цад
94,See::N,псыхъура́й,цад
95,Sumpf::N,орыжъ,цъыфдзаст
96,Moor::N,орыжъ,цъыфдзаст
97,Wiese::N,хъупӏэ́,уыгӕрдӕн
98,Wiese::N,мэкъупӏ,уыгӕрдӕн
99,Wald::N,мэзы́,хъӕд
100,Hügel::N,ӏуашъхь,обау
101,Hügel::N,ӏуашъхь,къуыбыр
102,Anhöhe::N,чӏыӏэтыгъ,уæлвæз
103,Anhöhe::N,чӏыӏэтыгъ,уæлхох
104,Berg::N,къушъхьэ́,хох
105,Gipfel::N,шыгу,цъупп
106,Höhle::N,гъочӏэгъ,лӕгӕт
107,Abhang::N,чапэ,къул
108,Quelle::N,псынэчэ́чъ,суадон
109,Bach::N,псышкуашку,мӕсчъыдон
110,Fluss::N,псыхъо́,дон
111,Fluss::N,псыхъо́,цӕугӕдон
112,Ufer::N,нэпкъы,был
113,Küste::N,ӏушъо,донбыл
114,Festland::N,чӏл́ыгу,сурзæхх
115,Meer::N,хы,денджыз
116,Bucht::N,хыблыгу,донбакæлæн
117,Insel::N,хыгъэхъу́н,сакъадах
118,Blume::N,къэгъа́гь,дидинӕг
119,Gras::N,уцы́,кӕрдӕг
120,Wurzel::N,лъапсэ́,уидаг
121,Baum::N,чъыгы́,бӕлас
122,Stamm::N,пкъы,хӕтӕл
123,Rinde::N,пхъашъо́,цъар
124,Ast::N,куамэ,арх
125,Zweig::N,къутамэ́,къалиу
126,Blatt::N,тхьап,сыф
127,Birke::N,пчэн,бæрз
128,Kiefer[Baum]::N,сэснэй,нӕзы
129,Weide[Baum]::N,пце́л,хӕрис
130,Tanne::N,ель,наз
131,Horn::N,бжъэ,сыкъа
132,Feder::N,къамӏы́й,сис
133,Fell::N,шъо,царм
134,Flügel::N,тамэ́,базыр
135,Klaue::N,лъэбжъа́н,ных
136,Kralle::N,лъакъо,дзӕмбы
137,Schwanz::N,кӏэ,къӕдзил
138,Ei::N,кӏэнкӏэ́,айк
139,Nest::N,набгъо́,ахстон
140,Bau::N,гъу,хуынкъ
141,Bau::N,бы,хуынкъ
142,Tier::N,псэу́шъхь,сырд
143,Tier::N,псэу́шъхь,цӕрӕгой
144,Herde::N,ӏэхъогъу,дзуг
145,Herde::N,ӏэхъогъу,рӕгъау
146,Kuh::N,чэмы́,хъуг
147,Bulle::N,цу,гал
148,Pferd::N,шы,бӕх
149,Schaf::N,мэлы́,фыс
150,Schwein::N,къо,хуы
151,Hund::N,бьэ,куыдз
152,Katze::N,чэты́у,гӕды
153,Bär::N,мышъэ́,арс
154,Eichhörnchen::N,цызэ́,æхсæрæг
155,Elch::N,лось,цæгатаг саг
156,Fuchs::N,баджэ́,рувас
157,Hase::N,тхьакӏумкӏы́хь,тæрхъус
158,Maus::N,цыгъо́,мыст
159,Wolf::N,тыгъу́жъ,бирӕгъ
160,Vogel::N,бзы́у,цъиу
161,Vogel::N,бзы́у,маргъ
162,Schwarm::N,отэр,бал
163,Huhn::N,чэты́,карк
164,Hahn::N,атакъэ́,уасӕг
165,Gans::N,къа́з,хъаз
166,Ente::N,псычэ́т,ацц
167,Eule::N,тыгъурыгъу, уыг
168,Eule::N,тыгъурыгъу,сидахъ
169,Kranich::N,къэрэ́у,зырнæг
170,Kranich::N,къэрэ́у,хърихъупп
171,Krähe::N,къолэ́жъ,халон
172,Kuckuck::N,куку́у,гаккук
173,Fisch::N,пцэжъы́й,кӕсаг
174,Barsch::N,тхыкъэц,окунь
175,Hecht::N,лэнд,хихор кӕсаг
176,Schlange[Tier]::N,блэ́,калм
177,Wurm::N,хьамлыу,зулкъ
178,Wurm::N,хьамлыу,къуыдыргалм
179,Spinne::N,бэдж,хӕлуарӕг
180,Ameise::N,къамзэ́гу,мæлдзыг
181,Laus::N,цӏэ,сыст
182,Mücke::N,аргъо́й,къогъо
183,Fliege::N,бадзэ́,бындз
184,Schmetterling::N,хьампӏыра́шъу,гæлæбу
185,Beere::N,маткӏо,гагадыргъ
186,Apfel::N,мыӏэры́с,фӕткъуы
187,Pilz::N,хьаӏу,зокъо
