,Concept_ID,ku,cs
0,Auge::N,çav,oko
1,Ohr::N,guh,ucho
2,Nase::N,bêvil,nos
3,Mund::N,dev,pusa
4,Zahn::N,didan,zub
5,Zunge::N,ziman,jazyk
6,Lippe::N,lêv,ret
7,Wange::N,dêm,tvář
8,Wange::N,hinarik,tvář
9,Gesicht::N,rû,obličej
10,Stirn::N,enî,čelo
11,Haar::N,por,vlas
12,Haar::N,por,vlasy
13,Schnurrbart::N,simbêl,kníry
14,Bart::N,rih,vousy
15,Kinn::N,zenî,brada
16,Kiefer[Anatomie]::N,arguşk,čelist
17,Kehle::N,qirik,hrdlo
18,Hals::N,stû,krk
19,Hals::N,qirik,krk
20,Genick::N,stû,týl
21,Kopf::N,serî,hlava
22,Rücken::N,pişt,záda
23,Rücken::N,pişt,hřbet
24,Bauch::N,ûr,břicho
25,Bauch::N,zik,břicho
26,Nabel::N,navik,pupek
27,Busen::N,sîng,ňadra
28,Brust::N,sîng,prsa
29,Schulter::N,mil,plece
30,Schulter::N,mil,rameno
31,Arm::N,çepil,ruka
32,Ellenbogen::N,enîşk,loket
33,Hand::N,dest,ruka
34,Handfläche::N,kefadest,dlaň
35,Finger::N,tilî,prst
36,Fingernagel::N,neynuk,nehet
37,Nagel[Anatomie]::N,bizmar,nehet
38,Zeh::N,tilî linga,prst u nohy
39,Fuß::N,ling,noha
40,Ferse::N,pahnî,pata
41,Knie::N,kabok,koleno
42,Oberschenkel::N,rahn,stehno
43,Bein::N,çip,noha
44,Körper::N,laş,tělo
45,Körper::N,gowde,tělo
46,Haut::N,çerm,kůže
47,Blut::N,xwîn,krev
48,Ader::N,reh,céva
49,Sehne::N,reh,šlacha
50,Knochen::N,hestî,kost
51,Gehirn::N,mêjî,mozek
52,Herz::N,dil,srdce
53,Magen::N,navêş,žaludek
54,Leber::N,kezeb,játra
55,Atem::N,hilm,dech
56,Hunger::N,birçîtî,hlad
57,Träne::N,hêstir,slza
58,Geschmack::N,tam,vkus
59,Geruch::N,bêhn,vůně
60,Geruch::N,bêhn,zápach
61,Schlaf::N,xew,spánek
62,Traum::N,xewn,sen
63,Himmel::N,ezman,nebe
64,Sonne::N,roj,slunce
65,Mond::N,heyv,měsíc
66,Stern::N,stêrk,hvězda
67,Luft::N,ba,vzduch
68,Wind::N,ba,vítr
69,Welle::N,şewl,vlna
70,Wasser::N,av,voda
71,Stein::N,kevir,kámen
72,Boden::N,herd,půda
73,Erde::N,ax,země
74,Staub::N,toz,prach
75,Rauch::N,dû,dým
76,Rauch::N,dû,kouř
77,Funke::N,çirûşk,jiskra
78,Feuer::N,agir,oheň
79,Licht::N,ronahî,světlo
80,Schatten::N,sî,stín
81,Wetter::N,hewa,počasí
82,Nebel::N,mij,mlha
83,Wolke::N,ewr,mrak
84,Wolke::N,ewr,oblak
85,Regen::N,baran,déšť
86,Schnee::N,berf,sníh
87,Eis::N,qeşa,led
88,Frost::N,xûsik,mráz
89,Kälte::N,serma,chlad
90,Hitze::N,germayî,horko
91,Raureif::N,şext,jinovatka
92,Regenbogen::N,heftreng,duha
93,Donner::N,gire-gir,hrom
94,Strömung::N,şewl,proudění
95,Tropfen::N,dilop,kapka
96,Schaum::N,kef,pěna
97,Schmutz::N,gemar,špína
98,See::N,gol,jezero
99,Sumpf::N,hezek,močál
100,Sumpf::N,hezek,bažina
101,Moor::N,mafêl,bažina
102,Moor::N,mafêl,slatina
103,Wiese::N,sûrik,louka
104,Wald::N,çiya,les
105,Wald::N,daristan,les
106,Hügel::N,gir,kopec
107,Anhöhe::N,sere gir,pahorek
108,Berg::N,kaş,hora
109,Gipfel::N,sere gir,vrchol
110,Höhle::N,şikeft,jeskyně
111,Abhang::N,kaş,svah
112,Abhang::N,kaş,stráň
113,Quelle::N,kanî,pramen
114,Bach::N,çem,potok
115,Fluss::N,çem,řeka
116,Fluss::N,rûbar,řeka
117,Ufer::N,kevî,břeh
118,Küste::N,berav,pobřeží
119,Festland::N,bejahî,souš
120,Festland::N,bejahî,pevnina
121,Meer::N,behr,moře
122,Bucht::N,derav,záliv
123,Bucht::N,derav,zátoka
124,Insel::N,girav,ostrov
125,Blume::N,kulînk,květina
126,Gras::N,giha,tráva
127,Wurzel::N,reh,kořen
128,Baum::N,dar,strom
129,Stamm::N,bavik,kmen
130,Rinde::N,qaqil,kůra
131,Ast::N,gulî,větev
132,Zweig::N,şax,větev
133,Blatt::N,pel,lupen
134,Birke::N,dara sipî,bříza
135,Kiefer[Baum]::N,dara bî,sosna
136,Kiefer[Baum]::N,dara bî,borovice
137,Weide[Baum]::N,dara belalûk,vrba
138,Tanne::N,merx,jedle
139,Horn::N,strô,roh
140,Feder::N,pîrtîk,pero
141,Fell::N,heyar,srst
142,Flügel::N,per,křídlo
143,Klaue::N,napîk,dráp
144,Klaue::N,napîk,pazneht
145,Kralle::N,dinik,dráp
146,Kralle::N,dirnax,dráp
147,Schwanz::N,dûv,ocas
148,Ei::N,hêk,vejce
149,Nest::N,hêlîn,hnízdo
150,Bau::N,avahî,nora
151,Tier::N,heywan,zvíře
152,Herde::N,hoz,stádo
153,Kuh::N,çêlek,kráva
154,Bulle::N,ga,býk
155,Pferd::N,hesp,kůň
156,Schaf::N,mîh,ovce
157,Schwein::N,beraz,vepř
158,Schwein::N,beraz,prase
159,Hund::N,seh,pes
160,Katze::N,pişîk,kočka
161,Bär::N,hirç,medvěd
162,Eichhörnchen::N,pilûr,veverka
163,Elch::N,pazkovî,los
164,Fuchs::N,rovî,liška
165,Hase::N,kîroşk,zajíc
166,Maus::N,mişk,myš
167,Wolf::N,gur,vlk
168,Vogel::N,çûk,pták
169,Schwarm::N,lufik,roj
170,Schwarm::N,lufik,hejno
171,Huhn::N,mirîşk,kuře
172,Huhn::N,mirîşk,slepice
173,Hahn::N,dîk,kohout
174,Gans::N,qaz,husa
175,Adler::N,eylo,orel
176,Ente::N,werdek,kachna
177,Eule::N,bûm,sova
178,Eule::N,kund,sova
179,Kranich::N,quling,jeřáb
180,Krähe::N,qijik,vrána
181,Kuckuck::N,pepûk,kukačka
182,Schwan::N,qû,labuť
183,Fisch::N,masî,ryba
184,Barsch::N,okûn,okoun
185,Hecht::N,mesîyê lûf,štika
186,Schlange[Tier]::N,mar,had
187,Wurm::N,kurm,červ
188,Spinne::N,pîrê,pavouk
189,Ameise::N,mîro,mravenec
190,Ameise::N,gêrîk,mravenec
191,Laus::N,spi,veš
192,Mücke::N,mêş,komár
193,Fliege::N,mêş,moucha
194,Schmetterling::N,perperîk,motýl
195,Beere::N,hirç,bobule
196,Apfel::N,sêv,jablko
197,Pilz::N,bîrov,houba
198,Zwiebel::N,pîvaz,cibule
199,Saat::N,tov,osivo
200,Korn::N,dexl,zrno
201,Heu::N,sap,seno
202,Schale::N,qaşik,slupka
203,Schale::N,qaşik,skořápka
204,Grube::N,çahl,jáma
205,Falle::N,dafik,past
206,Falle::N,dafik,léčka
207,Schlinge::N,dahf,smyčka
208,Spur::N,rêç,stopa
209,Asche::N,xweli,popel
210,Dreck::N,gemarî,špína
211,Eisen::N,hesing,železo
212,Gold::N,zêr,zlato
213,Silber::N,zîv,stříbro
214,Kohle::N,komir,uhlí
215,Glas::N,qedeh,sklo
216,Lehm::N,kelpîç,jíl
217,Lehm::N,kelpîç,hlína
218,Sand::N,qûm,písek
219,Mensch::N,mirov,člověk
220,Mann::N,mêr,muž
221,Frau::N,jin,žena
222,Kind::N,zarok,dítě
223,Junge::N,kur,hoch
224,Junge::N,kur,chlapec
225,Mädchen::N,keç,děvče
226,Mädchen::N,keçik,děvče
227,Familie::N,malbat,rodina
228,Großvater::N,bapîr,děd
229,Großvater::N,bapîr,dědeček
230,Großmutter::N,pîrik,babička
231,Eltern::N,bavudê,rodiče
232,Vater::N,bav,otec
233,Mutter::N,dê,matka
234,Mutter::N,dayik,matka
235,Sohn::N,kur,syn
236,Tochter::N,keç,dcera
237,Bruder::N,bira,bratr
238,Schwester::N,xweh,sestra
239,Onkel::N,am,strýc
240,Onkel::N,xal,strýc
241,Tante::N,metik,teta
242,Tante::N,xaltîk,teta
243,Ehemann::N,mêr,choť
244,Ehemann::N,mêr,manžel
245,Ehefrau::N,kulfet,choť
246,Ehefrau::N,kulfet,manželka
247,Freude::N,kêfxweşî,radost
248,Gelächter::N,pîrqînî,smích
249,Glück::N,bext,štěstí
250,Kummer::N,derd,žal
251,Kummer::N,derd,trápení
252,Wunsch::N,daxwaz,přání
253,Wunsch::N,xwestek,přání
254,Lust::N,şewq,chuť
255,Geist::N,aqil,duch
256,Gedanke::N,fikir,myšlenka
257,Gedächtnis::N,aqil,paměť
258,Verstand::N,fêm,rozum
259,Sinn::N,aqil,smysl
260,Grund::N,asas,důvod
261,Wahrheit::N,rastî,pravda
262,Gespräch::N,guftûgo,rozhovor
263,Märchen::N,çirok,pohádka
264,Erzählung::N,çirok,povídka
265,Erzählung::N,vegotin,povídka
266,Nachricht::N,nûçe,zpráva
