,Concept_ID,ru,ro
0,Auge::N,глаз,ochi
1,Ohr::N,ухо,ureche
2,Nase::N,нос,nas
3,Mund::N,рот,gură
4,Zahn::N,зуб,dinte
5,Zunge::N,язык,limbă
6,Lippe::N,губа,buză
7,Wange::N,щека,bucă
8,Wange::N,щека,obraz
9,Gesicht::N,лицо,față
10,Gesicht::N,лицо,figură
11,Stirn::N,лоб,frunte
12,Haar::N,волос,păr
13,Haar::N,волосы,păr
14,Schnurrbart::N,ус,mustață
15,Schnurrbart::N,усы,mustață
16,Bart::N,борода,barbă
17,Kinn::N,подбородок,bărbie
18,Kiefer[Anatomie]::N,челюсть,falcă
19,Kehle::N,горло,beregată
20,Hals::N,шея,gât
21,Genick::N,затылок,ceafă
22,Kopf::N,голова,cap
23,Rücken::N,спина,dos
24,Rücken::N,спина,spate
25,Rücken::N,спина,spinare
26,Bauch::N,живот,burtă
27,Bauch::N,живот,pântece
28,Nabel::N,пупок,buric
29,Busen::N,женская грудь,sân
30,Brust::N,грудь,piept
31,Schulter::N,плечо,umăr
32,Schulter::N,плечо,spate
33,Arm::N,рука,braț
34,Ellenbogen::N,локоть,cot
35,Hand::N,кисть,mână
36,Handfläche::N,ладонь,palmă
37,Finger::N,палец,deget
38,Fingernagel::N,ноготь,unghie
39,Nagel[Anatomie]::N,ноготь,unghie
40,Zeh::N,палец,deget de la picior
41,Fuß::N,ступня,picior
42,Ferse::N,пята,călcâi
43,Ferse::N,пятка,călcâi
44,Knie::N,колено,genunchi
45,Oberschenkel::N,бедро,coapsă
46,Bein::N,нога,picior
47,Körper::N,тело,corp
48,Haut::N,кожа,piele
49,Blut::N,кровь,sânge
50,Ader::N,вена,vână
51,Ader::N,вена,arteră
52,Ader::N,сосуд,vână
53,Ader::N,сосуд,arteră
54,Sehne::N,жила,tendon
55,Sehne::N,тетива,tendon
56,Sehne::N,сухожилие,tendon
57,Knochen::N,кость,os
58,Gehirn::N,мозг,creier
59,Herz::N,сердце,inimă
60,Magen::N,желудок,stomac
61,Leber::N,печень,ficat
62,Atem::N,дух,răsuflare
63,Atem::N,дух,respirație
64,Atem::N,дыхание,răsuflare
65,Atem::N,дыхание,respirație
66,Hunger::N,голод,foame
67,Träne::N,слеза,lacrimă
68,Geschmack::N,вкус,gust
69,Geruch::N,запах,miros
70,Schlaf::N,сон,somn
71,Traum::N,сновидение,vis
72,Himmel::N,небо,cer
73,Sonne::N,солнце,soare
74,Mond::N,луна,lună
75,Stern::N,звезда,stea
76,Luft::N,воздух,aer
77,Wind::N,ветер,vânt
78,Welle::N,волна,val
79,Welle::N,волна,undă
80,Wasser::N,вода,apă
81,Stein::N,камень,piatră
82,Boden::N,почва,sol
83,Boden::N,почва,pământ
84,Erde::N,земля,pământ
85,Staub::N,пыль,praf
86,Rauch::N,дым,fum
87,Funke::N,искра,scânteie
88,Feuer::N,огонь,foc
89,Licht::N,свет,lumină
90,Schatten::N,тень,umbră
91,Wetter::N,погода,timp
92,Wetter::N,погода,vreme
93,Nebel::N,туман,ceață
94,Nebel::N,туман,negură
95,Wolke::N,облако,nor
96,Regen::N,дождь,ploaie
97,Schnee::N,снег,zăpadă
98,Eis::N,лед,gheață
99,Frost::N,мороз,ger
100,Kälte::N,холод,frig
101,Hitze::N,жара,arșiță
102,Hitze::N,жара,căldură
103,Raureif::N,иней,chiciură
104,Regenbogen::N,радуга,curcubeu
105,Donner::N,гром,tunet
106,Strömung::N,течение,curent
107,Tropfen::N,капля,picătură
108,Schaum::N,пена,spumă
109,Schmutz::N,грязь,murdărie
110,See::N,озеро,lac
111,Sumpf::N,топь,mlaștină
112,Moor::N,болото,bărăgan
113,Wiese::N,луг,fânaț
114,Wiese::N,луг,livadă
115,Wald::N,лес,codru
116,Wald::N,лес,pădure
117,Hügel::N,холм,deal
118,Hügel::N,холм,movilă
119,Anhöhe::N,возвышенность,deal
120,Anhöhe::N,возвышенность,ridicătură
121,Berg::N,гора,munte
122,Gipfel::N,вершина,pisc
123,Höhle::N,пещера,peșteră
124,Abhang::N,склон,pantă
125,Abhang::N,склон,versant
126,Quelle::N,источник,izvor
127,Bach::N,ручей,gârlă
128,Fluss::N,река,râu
129,Fluss::N,река,fluviu
130,Ufer::N,берег,mal
131,Ufer::N,берег,țărm
132,Küste::N,побережье,coastă
133,Festland::N,суша,uscat
134,Meer::N,море,mare
135,Bucht::N,бухта,golf
136,Insel::N,остров,insulă
137,Blume::N,цветок,floare
138,Gras::N,трава,iarbă
139,Wurzel::N,корень,rădăcină
140,Baum::N,дерево,copac
141,Baum::N,дерево,arbore
142,Stamm::N,ствол,tulpină
143,Rinde::N,кора,scoarță
144,Ast::N,сук,cracă
145,Ast::N,сук,creangă
146,Zweig::N,ветвь,ramură
147,Zweig::N,ветвь,creangă
148,Blatt::N,лист,frunză
149,Birke::N,береза,mesteacăn
150,Kiefer[Baum]::N,сосна,pin
151,Weide[Baum]::N,ива,salcie
152,Weide[Baum]::N,ива,răchită
153,Tanne::N,ель,brad
154,Horn::N,рог,corn
155,Feder::N,перо,pană
156,Fell::N,шкура,piele
157,Flügel::N,крыло,aripă
158,Klaue::N,коготь,gheară
159,Kralle::N,лапа,labă
160,Kralle::N,лапа,gheară
161,Schwanz::N,хвост,coadă
162,Ei::N,яйцо,ou
163,Nest::N,гнездо,cuib
164,Bau::N,нора,bârlog
165,Bau::N,нора,vizuină
166,Tier::N,животное,animal
167,Herde::N,стадо,turmă
168,Herde::N,стадо,cireadă
169,Kuh::N,корова,vacă
170,Bulle::N,бык,taur
171,Pferd::N,лошадь,cal
172,Schaf::N,овца,oaie
173,Schwein::N,свинья,porc
174,Hund::N,собака,câine
175,Katze::N,кошка,pisică
176,Bär::N,медведь,urs
177,Eichhörnchen::N,белка,veveriță
