,Concept_ID,en,tt
0,Auge::N,eye,күз
1,Ohr::N,ear,колак
2,Nase::N,nose,борын
3,Mund::N,mouth,авыз
4,Mund::N,mouth,тамак
5,Zahn::N,tooth,теш
6,Zunge::N,tongue,тел
7,Lippe::N,lip,ирен
8,Wange::N,cheek,яңак
9,Gesicht::N,face,йөз
10,Stirn::N,forehead,маңгай
11,Haar::N,hair,чәч
12,Schnurrbart::N,moustache,мыек
13,Bart::N,beard,сакал
14,Kinn::N,chin,ияк
15,Kiefer[Anatomie]::N,jaw,казналык
16,Kehle::N,throat,тамак
17,Hals::N,neck,бугаз
18,Genick::N,nape,җилкә
19,Kopf::N,head,баш
20,Rücken::N,back,сырт
21,Rücken::N,spine,сырт
22,Bauch::N,belly,корсак
23,Nabel::N,navel,кендек
24,Busen::N,bosom,түш
25,Brust::N,chest,имчәк
26,Brust::N,chest,күкрәк
27,Brust::N,breast,имчәк
28,Brust::N,breast,күкрәк
29,Schulter::N,shoulder,иңбаш
30,Schulter::N,shoulder,кулбаш
31,Arm::N,arm,кул
32,Ellenbogen::N,elbow,терсәк
33,Hand::N,hand,кул
34,Handfläche::N,palm,уч
35,Finger::N,finger,бармак
36,Fingernagel::N,fingernail,тырнак
37,Nagel[Anatomie]::N,nail,тырнак
38,Zeh::N,toe,бармак
39,Fuß::N,foot,табан
40,Ferse::N,heel,үкчә
41,Knie::N,knee,тез
42,Oberschenkel::N,thigh,бот
43,Bein::N,leg,аяк
44,Körper::N,body,тән
45,Körper::N,body,җисем
46,Haut::N,skin,тире
47,Blut::N,blood,кан
48,Ader::N,vein,тамыр
49,Sehne::N,sinew,сеңер
50,Knochen::N,bone,сөяк
51,Gehirn::N,brain,ми
52,Herz::N,heart,йөрәк
53,Magen::N,stomach,ашказаны
54,Leber::N,liver,бавыр
55,Atem::N,breath,сулыш
56,Hunger::N,hunger,ачлык
57,Träne::N,tear,яшь
58,Geschmack::N,flavour,тәм
59,Geschmack::N,flavour,зәвык
60,Geschmack::N,flavor,тәм
61,Geschmack::N,flavor,зәвык
62,Geruch::N,odour,ис
63,Geruch::N,odor,ис
64,Schlaf::N,sleep,йокы
65,Traum::N,dream,төш
66,Himmel::N,sky,күк
67,Sonne::N,sun,кояш
68,Mond::N,moon,ай
69,Stern::N,star,йолдыз
70,Luft::N,air,һава
71,Wind::N,wind,җил
72,Welle::N,wave,дулкын
73,Wasser::N,water,су
74,Stein::N,stone,таш
75,Boden::N,soil,туфрак
76,Boden::N,ground,туфрак
77,Erde::N,earth,җир
78,Staub::N,dust,тузан
79,Rauch::N,smoke,төтен
80,Funke::N,spark,очкын
81,Feuer::N,fire,ут
82,Licht::N,light,якты
83,Schatten::N,shadow,күләгә
84,Wetter::N,weather,һава
85,Nebel::N,fog,томан
86,Wolke::N,cloud,болыт
87,Regen::N,rain,яңгыр
88,Schnee::N,snow,кар
89,Eis::N,ice,боз
90,Frost::N,frost,суык
91,Frost::N,frost,салкын
92,Kälte::N,chill,суык
93,Kälte::N,chill,салкын
94,Hitze::N,heat,эсселек
95,Raureif::N,hoarfrost,бәс
96,Raureif::N,hoarfrost,сыкы
97,Regenbogen::N,rainbow,салават күпере
98,Donner::N,thunder,күкрәү
99,Strömung::N,current,агыш'агым
100,Tropfen::N,drop,тамчы
101,Schaum::N,foam,күбек
102,Schmutz::N,dirt,пычрак
103,See::N,lake,күл
104,Sumpf::N,swamp,саз
105,Moor::N,moor,торфлык
106,Wiese::N,meadow,болын
