,Concept_ID,ga,hy
0,Auge::N,súil,աչք
1,Ohr::N,cluas,ականջ
2,Nase::N,soc,քիթ
3,Mund::N,béal,բերան
4,Zahn::N,fiacail,ատամ
5,Zunge::N,teanga,լեզու
6,Lippe::N,liopa,շրթունք
7,Wange::N,grua,այտ
8,Wange::N,grua,թուշ
9,Wange::N,leiceann,այտ
10,Wange::N,leiceann,թուշ
11,Gesicht::N,éadan,դեմք
12,Gesicht::N,aghaidh,դեմք
13,Stirn::N,baithis,ճակատ
14,Stirn::N,clár éadain,ճակատ
15,Haar::N,gruaig,մազ
16,Schnurrbart::N,croiméal,բեղ
17,Bart::N,féasóg,մորուք
18,Kinn::N,smig,կզակ
19,Kiefer[Anatomie]::N,giall,ծնոտ
20,Kehle::N,scornach,կոկորդ
21,Hals::N,muinéal,վիզ
22,Hals::N,muinéal,պարանոց
23,Genick::N,baic,ծոծրակ
24,Kopf::N,ceann,գլուխ
25,Rücken::N,droim,մեջք
26,Bauch::N,bolg,փոր
27,Bauch::N,bolg,որովայն
28,Nabel::N,imleacán,պորտ
29,Busen::N,cíoch,ծոց
30,Brust::N,brollach,կուրծք
31,Schulter::N,gualainn,ուս
32,Arm::N,lámh,թեւ
33,Arm::N,lámh,բազուկ
34,Ellenbogen::N,uillinn,արմունկ
35,Hand::N,lámh,ձեռք
36,Handfläche::N,bos,ափ
37,Finger::N,méar,մատ
38,Fingernagel::N,ionga,եղունգ
39,Nagel[Anatomie]::N,ionga,եղունգ
40,Zeh::N,ladhar,ոտքի մատ
41,Fuß::N,cos,ոտք
42,Fuß::N,troigh,ոտք
43,Ferse::N,sáil,գարշապար
44,Knie::N,glúin,ծունկ
45,Oberschenkel::N,ceathrú,ազդր
46,Bein::N,cos,ոտք
47,Körper::N,corp,մարմին
48,Körper::N,colainn,մարմին
49,Haut::N,cneas,մաշկ
50,Haut::N,craiceann,մաշկ
51,Blut::N,fuil,արյուն
52,Sehne::N,teannán,ջիղ
53,Sehne::N,teannán,ձգտան
54,Sehne::N,féitheog,ջիղ
55,Sehne::N,féitheog,ձգտան
56,Knochen::N,cnámh,ոսկոր
57,Gehirn::N,inchinn,խելք
58,Herz::N,croí,սիրտ
59,Magen::N,bolg,ստամոքս
60,Magen::N,goile,ստամոքս
61,Leber::N,ae,լյարդ
62,Atem::N,anáil,շունչ
63,Hunger::N,ocras,քաղց
64,Träne::N,deoir,արտասուք
65,Geschmack::N,blas,համ
66,Geschmack::N,blas,բուրմունք
67,Geruch::N,boladh,հոտ
68,Geruch::N,boladh,բուրում
69,Schlaf::N,suan,քուն
70,Schlaf::N,codladh,քուն
71,Traum::N,taibhreamh,երազ
72,Himmel::N,spéir,երկինք
73,Sonne::N,grian,արեւ
74,Mond::N,ré,լուսին
75,Mond::N,gealach,լուսին
76,Stern::N,rinn,աստղ
77,Stern::N,réalta,աստղ
78,Luft::N,aer,օդ
79,Wind::N,gaoth,քամի
80,Welle::N,tonn,ալիք
81,Wasser::N,uisce,ջուր
82,Stein::N,cloch,քար
83,Boden::N,talamh,գետին
84,Erde::N,cré,հող
85,Erde::N,ithir,հող
86,Staub::N,dusta,փոշի
87,Staub::N,deannach,փոշի
88,Rauch::N,toit,ծուխ
89,Rauch::N,deatach,ծուխ
90,Funke::N,drithle,կայծ
91,Feuer::N,tine,կրակ
92,Feuer::N,tine,հրդեհ
93,Licht::N,solas,լույս
94,Schatten::N,scáth,ստվեր
95,Wetter::N,aimsir,եղանակ
96,Nebel::N,ceo,մեգ
97,Nebel::N,ceo,մառախուղ
98,Wolke::N,néal,ամպ
99,Wolke::N,scamall,ամպ
100,Regen::N,báisteach,անձրև
101,Regen::N,fearthainn,անձրև
102,Schnee::N,sneachta,ձյուն
103,Eis::N,oighear,սառույց
104,Frost::N,sioc,սառնամանիք
105,Kälte::N,fuacht,դող
106,Hitze::N,teas,շոգ
107,Hitze::N,teocht,շոգ
108,Raureif::N,sioc bán,ցօղեղեամ
109,Regenbogen::N,stua ceatha,ծիածան
110,Regenbogen::N,bogha báistí,ծիածան
111,Donner::N,toirneach,որոտ
112,Strömung::N,sruth,հոսանք
113,Tropfen::N,deoir,կաթիլ
114,Schaum::N,cúr,փրփուր
115,Schmutz::N,salachar,կեղտ
116,See::N,loch,լիճ
117,Sumpf::N,portach,ճահիճ
118,Moor::N,caorán,ճահիճ
119,Moor::N,móinteán,ճահիճ
120,Wiese::N,cluain,մարգագետին
121,Wiese::N,móinéar,մարգագետին
122,Wald::N,coill,անտառ
123,Wald::N,foraois,անտառ
124,Hügel::N,ard,բլուր
125,Anhöhe::N,ard,բարձունք
126,Anhöhe::N,ardán,բարձունք
127,Berg::N,sliabh,լեռ
128,Gipfel::N,barr,գագաթ
129,Gipfel::N,barr,կատար
130,Gipfel::N,mullach,գագաթ
131,Gipfel::N,mullach,կատար
132,Höhle::N,uaimh,քարայր
133,Höhle::N,pluais,քարայր
134,Abhang::N,fána,լանջ
135,Abhang::N,fána,զառիվայր
136,Quelle::N,foinse,աղբյուր
137,Bach::N,sruthán,վտակ
138,Fluss::N,abhainn,գետ
139,Ufer::N,bruach,ծովափ
140,Küste::N,cósta,ափ
141,Küste::N,cósta,ծովափ
142,Küste::N,cladach,ափ
143,Küste::N,cladach,ծովափ
144,Festland::N,míntír,ցամաք
145,Meer::N,muir,ծով
146,Meer::N,farraige,ծով
147,Bucht::N,bá,հաչիւն
148,Bucht::N,cuan,հաչիւն
149,Insel::N,inis,վղզի
150,Insel::N,oileán,վղզի
151,Blume::N,bláth,ծաղիկ
152,Gras::N,féar,խոտ
153,Wurzel::N,rúta,արմատ
154,Wurzel::N,fréamh,արմատ
155,Baum::N,crann,ծառ
156,Stamm::N,stoc,իրան
157,Stamm::N,tamhan,իրան
158,Rinde::N,coirt,կեղեւ
159,Rinde::N,coirt,հաչոց
160,Rinde::N,craiceann,կեղեւ
161,Rinde::N,craiceann,հաչոց
162,Ast::N,géag,ճյուղ
163,Zweig::N,géag,ճյուղ
164,Zweig::N,craobh,ճյուղ
165,Blatt::N,duille,տերեւ
166,Blatt::N,duilleog,տերեւ
167,Birke::N,beith,ցարասի
168,Birke::N,crann beithe,ցարասի
169,Kiefer[Baum]::N,péine,սոճի
170,Weide[Baum]::N,saileach,ուռենի
171,Tanne::N,giúis,եղեւին
172,Horn::N,adharc,
173,Feder::N,cleite,փետուր
174,Fell::N,clúmh,մորթի
175,Flügel::N,eite,թեւ
176,Flügel::N,sciathán,թեւ
177,Klaue::N,crúb,չանչ
178,Klaue::N,crobh,չանչ
179,Kralle::N,crobh,ճանկ
180,Schwanz::N,eireaball,պոչ
181,Ei::N,ubh,ձու
182,Nest::N,nead,բույն
183,Bau::N,brocais,որջ
184,Bau::N,brocais,բայոց
185,Tier::N,ainmhí,կենդանի
186,Tier::N,beithíoch,կենդանի
187,Herde::N,tréad,հոտ
188,Kuh::N,bó,կով
189,Bulle::N,tarbh,ցուլ
190,Pferd::N,each,ձի
191,Pferd::N,capall,ձի
192,Schaf::N,caora,ոչխար
193,Schwein::N,muc,խոզ
194,Hund::N,madra,շուն
195,Katze::N,cat,կատու
196,Bär::N,béar,արջ
197,Eichhörnchen::N,iora,սկյուռ
198,Elch::N,eilc,հիւսիսային եղջերու
199,Fuchs::N,sionnach,աղվես
200,Fuchs::N,madra rua,աղվես
201,Hase::N,giorria,նապաստակ
202,Maus::N,luch,մուկ
203,Wolf::N,mac tíre,գայլ
204,Vogel::N,éan,թռչուն
205,Schwarm::N,saithe,երամ
206,Huhn::N,cearc,հավ
207,Hahn::N,coileach,աքաղաղ
208,Gans::N,gé,սագ
209,Adler::N,iolar,արծիվ
210,Ente::N,lacha,բադ
211,Eule::N,ulchabhán,բու
212,Kranich::N,grús,կռունկ
213,Krähe::N,caróg,ագռավ
214,Krähe::N,préachán,ագռավ
215,Kuckuck::N,cuach,կուկու
216,Schwan::N,eala,կարապ
217,Fisch::N,iasc,ձուկ
218,Barsch::N,péirse,պերկես
219,Hecht::N,liús,գայլաձուկ
220,Schlange[Tier]::N,nathair,օձ
221,Wurm::N,péist,որդ
222,Wurm::N,péist,ճիճու
223,Spinne::N,damhán alla,սարդ
224,Ameise::N,seangán,միջյուն
225,Laus::N,míol,ոջիլ
226,Mücke::N,muiscít,մժղուկ
227,Mücke::N,corrmhíol,մժղուկ
228,Fliege::N,cuil,ճանճ
229,Fliege::N,cuileog,ճանճ
230,Schmetterling::N,féileacán,թիթեռ
231,Beere::N,caor,հատապտուղ
232,Apfel::N,úll,խնձոր
233,Pilz::N,beacán,սունկ
234,Pilz::N,muisiriún,սունկ
235,Zwiebel::N,oinniún,սոխ
236,Saat::N,síol,սերմ
237,Korn::N,gráinne,հատիկ
238,Heu::N,féar,խոտ
239,Schale::N,scaimh,կեղեւ
240,Grube::N,poll,փոս
241,Falle::N,gaiste,ծուղակ
242,Schlinge::N,sealán,խեղդան
243,Spur::N,rian,հետք
244,Asche::N,luaith,մոխիր
245,Dreck::N,salachar,աղտ
246,Eisen::N,iarann,երկաթ
247,Gold::N,ór,ոսկի
248,Silber::N,airgead,արծաթ
249,Kohle::N,gual,քարածուխ
250,Glas::N,gloine,ապակի
251,Lehm::N,cré,կավ
252,Sand::N,gaineamh,ավազ
253,Mensch::N,duine,մարդ
254,Mann::N,fear,մարդ
255,Mann::N,fear,տղամարդ
256,Frau::N,bean,կին
257,Kind::N,gasúr,զավակ
258,Kind::N,páiste,զավակ
259,Junge::N,buachaill,տղա
260,Mädchen::N,cailín,աղջիկ
261,Familie::N,teaghlach,ընտանիք
262,Familie::N,comhluadar,ընտանիք
263,Großvater::N,seanathair,պապ
264,Großmutter::N,seanmháthair,տատ
265,Eltern::N,tuismitheoirí,ծնողներ
266,Vater::N,athair,հայր
267,Mutter::N,máthair,մայր
268,Sohn::N,mac,որդի
269,Tochter::N,iníon,աղջիկ
270,Tochter::N,iníon,դուստր
271,Bruder::N,deartháir,եղբայր
272,Schwester::N,deirfiúr,քույր
273,Onkel::N,uncail,քեռի
274,Onkel::N,uncail,հորեղբայր
275,Tante::N,aintín,մորաքույր
276,Ehemann::N,fear céile,մարդ
277,Ehemann::N,fear céile,ամուսին
278,Ehefrau::N,bean chéile,կին ամուսին
279,Freude::N,áthas,ուրախություն
280,Gelächter::N,gáire,ծիծաղ
281,Glück::N,séan,երջանկություն
282,Glück::N,sonas,երջանկություն
283,Kummer::N,brón,վիշտ
284,Kummer::N,buairt,վիշտ
285,Wunsch::N,guí,ցանկություն
286,Wunsch::N,achainí,ցանկություն
287,Lust::N,fonn,փափագ
288,Lust::N,fonn,իղձ
289,Geist::N,meon,ոգի
290,Geist::N,spiorad,ոգի
291,Gedanke::N,smaoineamh,միտք
292,Gedächtnis::N,cuimhne,հիշողություն
293,Verstand::N,ciall,խելք
294,Verstand::N,intinn,խելք
295,Sinn::N,brí,իմաստ
296,Sinn::N,ciall,իմաստ
297,Grund::N,fáth,պատճառ
298,Wahrheit::N,fírinne,ճշմարտություն
299,Gespräch::N,comhrá,զրույց
300,Märchen::N,scéal,պայիկի պատմություն
301,Erzählung::N,scéal,պատմվածք
302,Erzählung::N,scéal,պատմություն
303,Nachricht::N,teachtaireacht,հաղորդագրություն
304,Neuigkeit::N,scéala,լուր
305,Neuigkeit::N,scéala,նորություն
306,Name::N,ainm,անուն
307,Rätsel::N,tomhas,բարդ խնդիր
308,Rede::N,óráid,ճառ
309,Rede::N,óráid,ելույթ
310,Rede::N,aitheasc,ճառ
311,Rede::N,aitheasc,ելույթ
312,Sprache::N,teanga,լեզու
313,Stimme::N,guth,ձայն
314,Wort::N,focal,բառ
315,Zeichen::N,comhartha,նշան
316,Ruf::N,glaoch,կոչ
317,Ruf::N,glaoch,կանչ
318,Lärm::N,torann,աղմուկ
319,Laut::N,fuaim,հնչյուն
320,Laut::N,fuaim,ձայն
321,Ton::N,ton,տոն
322,Lied::N,amhrán,երգ
323,Ruhe::N,suaimhneas,անդորրություն
324,Leute::N,muintir,մարդիկ
325,Volk::N,pobal,ազգ
326,Arbeit::N,obair,գործ
327,Arbeit::N,obair,աշխատանք
328,Gast::N,aoi,հյուր
329,Geschenk::N,féirín,նվեր
330,Geschenk::N,bronntanas,նվեր
331,Spiel::N,cluiche,խաղ
332,Gesellschaft::N,comhluadar,ընկերություն
333,Hilfe::N,cúnamh,օգնությթուն
334,Hilfe::N,cabhair,օգնությթուն
