,Concept_ID,myv,tr
0,Auge::N,сельме,göz
1,Ohr::N,пиле,kulak
2,Nase::N,судо,burun
3,Mund::N,курго,ağız
4,Zahn::N,пей,diş
5,Zunge::N,кель,dil
6,Lippe::N,турва,dudak
7,Wange::N,чамабока,yanak
8,Wange::N,чамаумарь,yanak
9,Gesicht::N,чама,yüz
10,Stirn::N,коня,alın
11,Haar::N,черь,saç
12,Schnurrbart::N,ус,bıyık
13,Schnurrbart::N,муюк,bıyık
14,Bart::N,сакал,sakal
15,Kinn::N,уло,çene
16,Kiefer[Anatomie]::N,пейпакар,çene
17,Kiefer[Anatomie]::N,пейловажа,çene
18,Kehle::N,кирьгапарь,boğaz
19,Hals::N,кирьга,boyun
20,Hals::N,кирьга,gerdan
21,Genick::N,човонь,ense
22,Kopf::N,пря,baş
23,Kopf::N,пря,kafa
24,Rücken::N,копорь,arka
25,Bauch::N,пеке,karın
26,Nabel::N,почо,göbek
27,Busen::N,поте,koyun
28,Brust::N,меште,göğüs
29,Schulter::N,лавтов,omuz
30,Arm::N,кедь,kol
31,Ellenbogen::N,кенерепакарь,dirsek
32,Hand::N,кедь,el
33,Handfläche::N,кедькуншка,avuç
34,Handfläche::N,кедькуншка,el ayası
35,Handfläche::N,кедьлапушка,avuç
36,Handfläche::N,кедьлапушка,el ayası
37,Finger::N,сур,parmak
38,Fingernagel::N,кенже,el tırnağı
39,Nagel[Anatomie]::N,кенже,tırnak
40,Zeh::N,пильге сур,ayak parmağı
41,Fuß::N,пильге,ayak
42,Ferse::N,кочкаря,topuk
43,Knie::N,эле,diz
44,Knie::N,эзне,diz
45,Knie::N,кумажа,diz
46,Oberschenkel::N,качо,uyluk
47,Bein::N,пильге,bacak
48,Körper::N,рунго,vücut
49,Haut::N,киське,cilt
50,Blut::N,верь,kan
51,Ader::N,сан,damar
52,Sehne::N,коське сан,kiriş
53,Knochen::N,пакарь,kemik
54,Gehirn::N,удем,beyin
55,Herz::N,седей,kalp
56,Herz::N,седей,yürek
57,Magen::N,пеке,mide
58,Leber::N,максо,karaciğer
59,Atem::N,лексема,nefes
60,Atem::N,оймень таргсема,nefes
61,Hunger::N,вачочи,açlık
62,Träne::N,селведь,gözyaşı
63,Geschmack::N,тансть,tat
64,Geschmack::N,тансть,lezzet
65,Geruch::N,чине,koku
66,Schlaf::N,удома,uyku
67,Traum::N,он,düş
68,Traum::N,он,rüya
69,Himmel::N,менель,gök
70,Sonne::N,чи,güneş
71,Mond::N,ков,ay
72,Stern::N,теште,yıldız
73,Luft::N,кошт,hava
74,Wind::N,варма,yel
75,Wind::N,варма,rüzgâr
76,Welle::N,толкун,dalga
77,Wasser::N,ведь,su
78,Stein::N,кев,taş
79,Boden::N,мода,yer
80,Boden::N,мода,zemin
81,Erde::N,мастор,toprak
82,Staub::N,пуль,toz
83,Rauch::N,качамо,duman
84,Funke::N,сятко,kıvılcım
85,Feuer::N,тол,ateş
86,Licht::N,валдо,ışık
87,Schatten::N,сулей,gölge
88,Schatten::N,сулейкс,gölge
89,Wetter::N,ушо,hava
90,Nebel::N,сув,pus
91,Wolke::N,пель,bulut
92,Regen::N,пиземс,yağmur
93,Schnee::N,лов,kar
94,Eis::N,эй,buz
95,Frost::N,кельме,don
96,Kälte::N,якшамо,soğukluk
97,Hitze::N,пси,sıcaklık
98,Raureif::N,лекш,kırç
99,Regenbogen::N,пурьгинечирьке,gökkuşağı
100,Regenbogen::N,пурьгинеёнкс,gökkuşağı
101,Donner::N,пурьгине,gök gürlemesi
102,Strömung::N,чудема,akıntı
103,Strömung::N,чудема,cereyan
104,Strömung::N,чудевкс,akıntı
105,Strömung::N,чудевкс,cereyan
106,Tropfen::N,петнявкс,damla
107,Schaum::N,чов,köpük
108,Schmutz::N,рудаз,çamur
109,Schmutz::N,рудаз,pislik
110,See::N,эрьке,göl
111,Sumpf::N,чей,batak
112,Moor::N,чей,cılgıt
113,Wiese::N,луга,çimen
114,Wald::N,вирь,koru
115,Wald::N,вирь,orman
116,Hügel::N,губорь,tepe
117,Hügel::N,пандыне,tepe
118,Anhöhe::N,губорь,tümsek
119,Anhöhe::N,губорь,yükseklik
120,Anhöhe::N,пандыне,tümsek
121,Anhöhe::N,пандыне,yükseklik
122,Berg::N,пандо,dağ
123,Gipfel::N,пря,zirve
124,Höhle::N,пещера,in
125,Höhle::N,пещера,mağara
126,Abhang::N,пандочама,bayır
127,Quelle::N,ушодкс,pınar
128,Quelle::N,ушодкс,kaynak
129,Bach::N,чудикерькс,çay
130,Bach::N,чудикерькс,dere
131,Fluss::N,лей,nehir
132,Ufer::N,чире,kıyı
133,Ufer::N,чире,sahil
134,Küste::N,лейчире,kıyı
135,Küste::N,лейчире,sahil
136,Festland::N,мода,kara
137,Meer::N,моря,deniz
138,Bucht::N,усия,koy
139,Bucht::N,усия,körfez
140,Insel::N,усия,ada
141,Blume::N,цеця,çiçek
142,Gras::N,тикше,ot
143,Gras::N,тикше,çim
144,Wurzel::N,юр,kök
145,Wurzel::N,ундокс,kök
146,Baum::N,чувто,ağaç
147,Stamm::N,рунго,gövde
148,Rinde::N,суд,kabuk
149,Rinde::N,керь,kabuk
150,Ast::N,морго,dal
151,Ast::N,морго,budak
152,Zweig::N,тарад,dal
153,Blatt::N,лопа,yaprak
154,Birke::N,килей,huş
155,Kiefer[Baum]::N,пиче,çam
156,Weide[Baum]::N,каль,söğüt
157,Tanne::N,куз,çam
158,Tanne::N,куз,köknar
159,Horn::N,сюро,boynuz
160,Feder::N,толга,tüy
161,Fell::N,пона,post
162,Flügel::N,сёлмо,kanat
163,Klaue::N,кенже,pençe
164,Kralle::N,кенже,tırnak
165,Schwanz::N,пуло,kuyruk
166,Ei::N,ал,yumurta
167,Nest::N,пизэ,yuva
168,Bau::N,варя,in
169,Bau::N,пизе,in
170,Tier::N,ракша,hayvan
171,Herde::N,стада,sürü
172,Kuh::N,скал,inek
173,Bulle::N,бука,boğa
174,Pferd::N,лишме,at
175,Pferd::N,лишме,beygir
176,Schaf::N,реве,koyun
177,Schwein::N,туво,domuz
178,Hund::N,пине,it
179,Hund::N,пине,köpek
180,Hund::N,киска,it
181,Hund::N,киска,köpek
182,Katze::N,псака,kedi
183,Bär::N,овто,ayı
184,Eichhörnchen::N,ур,sincap
185,Elch::N,сярдо,büyük kuzey geyiği
186,Fuchs::N,ривезь,tilki
187,Hase::N,нумоло,tavşan
188,Maus::N,чеерь,fare
189,Maus::N,чеерь,sıçan
190,Wolf::N,верьгиз,kurt
191,Vogel::N,нармунь,kuş
192,Schwarm::N,полк,sürü
193,Schwarm::N,стада,sürü
194,Huhn::N,сараз,tavuk
195,Hahn::N,атякш,horoz
196,Gans::N,гала,kaz
197,Gans::N,мацей,kaz
198,Adler::N,куцькан,kartal
199,Adler::N,куцькан,karakuş
200,Adler::N,тумоатякш,kartal
201,Adler::N,тумоатякш,karakuş
202,Ente::N,яксярго,ördek
203,Eule::N,корж,baykuş
204,Kranich::N,карго,turna
205,Krähe::N,варака,karga
206,Kuckuck::N,куко,guguk
207,Schwan::N,локсей,kuğu
208,Fisch::N,кал,balık
209,Barsch::N,окунь,hani
210,Barsch::N,окунь,levrek
211,Hecht::N,щука,turnabalığı
212,Schlange[Tier]::N,гуй,yılan
213,Wurm::N,сукс,kurt
214,Wurm::N,сукс,solucan
